id,specified,relevant,category_2,measure_1,measure_2
390,1,1,,Pareto Distribution,
392,1,1,,Structural Approach,
402,1,1,,Absolute Mobility,
404,0,1,,,
406,0,1,,,
409,1,1,,Structural Mobility,
410,1,1,,Structural Parameter,
411,1,1,,Structural Model,
414,0,1,,,
417,1,1,,U‐statistic,
422,1,1,,Structural Parameter,
429,0,1,,,
435,1,1,,Transition Probabilities,
436,0,1,,,
444,1,1,,Intergenerational Elasticity,
445,0,1,,,
446,1,0,,Bibliometric Analysis,
467,1,1,,Intergenerational Elasticity,
468,1,1,,Intergenerational Elasticity,
476,1,1,,Odds Ratios,
485,1,1,,Structural Reading,
489,1,1,,Intergenerational Elasticity,
497,0,1,,,
498,1,1,,Transition Matrix,
504,0,1,,,
506,1,1,,Rich‐list Analysis,
508,1,1,,Sibling Correlations,
516,1,1,,Relative Concern Parameters,
517,1,1,,Intergenerational Elasticity,
521,1,1,,Multigenerational Measure,
522,1,1,,Structural Model,
527,0,1,,,
529,1,1,,Structural Model,
531,1,1,,Simulated Measure,
538,0,1,,,
539,0,1,,,
540,1,1,,Structural Model,
547,1,1,,Intergenerational Elasticity,
550,1,0,,Relative Inequality,
555,1,1,,Multigenerational Measure,
556,1,1,,Intergenerational Elasticity,
560,1,1,,Simulation Outcomes,
583,0,1,,,
590,0,1,,,
595,0,1,,,
598,1,1,,Structural Model,
601,1,1,,Structural Measure,
606,0,1,,,
611,0,1,,,
612,1,1,,Transition Probability,
620,0,0,,,
622,1,1,,Genetic Assortative Mating,
623,1,1,,Regression‐based Estimate,
630,1,1,,Structural Model,
633,0,1,,,
640,1,0,,Regression Estimate,
641,1,1,,Structural Model,
648,1,0,,Elasticity,
659,1,0,,Regression Mediation,
663,1,1,,Structural Model,
665,1,1,,Intergenerational Elasticity,Perceived Inequality of Opportunity
675,1,1,,VES Parameter,
676,1,1,,Structural Model,
677,0,0,,,
681,1,1,,Structural Model,
686,1,0,,Comparative Estimates,
690,1,1,,Intergenerational Elasticity,
691,1,1,,Structural Simulation,
696,0,1,,,
704,1,1,,Structural Model,
706,1,1,,Intergenerational Elasticity,
707,1,1,,Parental Transfers,
712,1,1,,Regression‐based Estimate,
715,1,1,,Education as Inheritance,
717,1,1,,Structural Model,
719,1,1,,Structural Model,
722,1,1,,Structural Measure,
724,1,0,,Top Shares,
728,1,1,,Transition Probabilities,
730,1,1,,Structural Simulation,
732,1,1,,Questionnaire‐based,
737,1,1,,OLG Model,
741,1,1,,Nash Equilibrium Model,
743,1,1,,Structural Simulation,
749,1,0,,Regression Coefficient,
757,1,1,,Structural Model,
759,1,1,,Structural Model,
768,0,1,,,
779,1,1,,Intergenerational Elasticity,
782,1,1,,Structural Model,
783,1,1,,Neural Network Simulation,
790,1,1,,Decomposition,
793,1,1,,Intergenerational Transfers,
797,1,1,,Regression Coefficient,
798,1,1,,Intergenerational Elasticity,
800,1,1,,Intergenerational Elasticity,
806,1,0,,Regression Estimate,
808,1,1,,Structural Model,
811,1,0,,Top Shares,
816,1,0,,Mincer Regression,
819,1,0,,Equilibrium Share,
820,1,1,,Intergenerational Elasticity,
821,1,1,,Structural Measure,
822,1,1,,Social Welfare Function,Consumer Utility Functions
826,1,1,,Structural Model,
827,1,0,,Regression Estimate,
831,1,0,,Regression‐based Estimate,
838,0,1,,,
846,1,1,,Markov Perfect Equilibrium,
847,0,1,,,
855,1,1,,Structural Model,
865,1,1,,Intergenerational Elasticity,
868,0,1,,,
869,1,1,,Intergenerational Elasticity,
878,1,1,,Income‐Achievement Gap,
892,1,1,,Structural Model,
897,1,1,,Relative Educational Positions,
906,0,1,,,
932,0,1,,,
947,1,1,8,Heir Fraction,Wealth Share
950,1,1,,Intergenerational Elasticity,
953,1,1,,Theoretical Measure,
955,1,1,,Comparative Analysis,
958,1,1,,Structural Model,
959,0,1,,,
963,1,1,8,Heirs Fraction,Wealth Shares
964,1,1,,Ordered Probit,
967,1,1,,Intergenerational Elasticity,
976,1,1,"1,4",Regression Model,Wage Gap Decomposition
977,0,1,,,
985,1,1,,Optimal Inheritance Tax Model,
994,0,1,,,
1000,1,1,,Intergenerational Elasticity,
1006,1,1,,Structural Model,
1007,1,1,,Structural Model,
