id,data_cat,data_type
136,1,Jordanian Labor Market Panel Survey
137,2,"Swedish administrative/registry data covering 1975-1995 (e.g., population and income registers)"
138,2,Class Background Registers of Yanshan county
139,1,Birth to Thirty (Bt30) cohort
140,1,Korean education employment panel (KEEP)
141,11,Chilean nitrate industry archival records (35‐years of monthly output and inputs)
142,1,1982 Pelotas Birth Cohort
143,13,N/A
144,1,Australian longitudinal panel dataset (exact dataset name not specified)
145,1,Study tracking 3000 individuals from 1942 to 1972 (panel/longitudinal survey) and international father/son income correlation studies
146,3,East African surveys of representative urban wage employees (used for cross-tabulations and summary statistics)
147,14,Custom survey data from 1982 involving 1200 respondents from 10 major city districts in Pakistan
148,1,Panel Study of Income Dynamics (PSID)
149,1,"Longitudinal data for Norwegian children born in 1950, 1955, 1960, and 1965"
150,1,"SOEP, PSID"
151,1,Panel Study of Income Dynamics (PSID)
152,3,2006 ESRU Survey on Social Mobility in Mexico
153,1,1970 BCS and 1958 NCDS (British Cohort Study 1970; National Child Development Study 1958)
154,13,N/A
155,1,"Health and Retirement Study (HRS) and Survey of Health, Aging and Retirement in Europe (SHARE)"
156,13,N/A
157,2,Spanish Census Data
158,6,Uruguayan Linked Administrative Data (1982–2010)
159,13,N/A
160,6,Linked Administrative Data (using criminal justice records combined with earnings records for individuals born 1980-1984)
161,2,Swedish income data
162,6,Canadian income tax records (linked father-son pairs)
163,1,PSID sample
164,1,British birth cohort studies of 1958 and 1970
165,2,Swiss administrative/registry data – two datasets using administrative records (one for current individual income and one using historical records to proxy for fathers’ income)
166,1,Five longitudinal data sets (exact names not specified)
167,2,Administrative data associated with the Canadian tax system
168,13,N/A
169,13,N/A
170,14,Not specified
171,6,Uruguayan administrative records linking parental education/income with children’s schooling (1982–2010)
172,13,N/A
173,3,Singapore National Youth Surveys of 2002 and 2010
174,1,Korea Labor and Income Panel Study
175,13,N/A
176,6,Swedish linked administrative (multi‐generational registry) data
177,3,The paper uses microdata from a nationally representative survey covering China (1988–2005). The exact dataset name is not provided.
178,7,Cross-National Equivalent File (PSIDGSOEP)
179,6,Norwegian administrative register data
180,14,Unspecified income dataset from young adults in Montreal and Vancouver
181,3,Programme for International Assessment of Adult Competencies (PIAAC)
182,1,Longitudinal survey data from three villages in the semi-arid tropical region of India
183,1,"German Socio-Economic Panel (SOEP), Panel Study of Income Dynamics (PSID), British Household Panel Survey (BHPS)"
184,6,"Italian linked administrative data (e.g., administrative records from Italian provinces)"
185,3,PISA
186,1,National Longitudinal Survey of Youth
187,1,Panel Study of Income Dynamics (PSID)
188,7,EU‐15 intergenerational panel data (exact dataset name not specified)
189,10,"pseudo-panel data (for Colombia, Ecuador, Uruguay) and asset persistence estimates for Mexico"
190,1,German Socio-Economic Panel Survey
191,3,European Union Statistics on Income and Living; International Social Survey
192,14,"Qualitative interviews, household surveys, and existing research studies (data on Uruguay’s Asignaciones Familiares program)"
193,1,China Health and Nutrition Survey (CHNS)
194,1,National Longitudinal Surveys
195,3,Repeated cross‐sectional survey data from Taiwan (exact dataset unspecified)
196,14,In-depth interviews and extensive fieldwork
197,13,N/A
198,13,N/A
199,3,2006 Mexican Social Mobility Survey
200,3,2001 Census
201,2,Probate Records
202,13,N/A
203,1,1958 and 1970 birth cohort studies (panel/longitudinal surveys)
204,11,3-stratum intergenerational mobility classifications assembled by Hazelrigg and Garnier for men in 16 countries (1960s-1970s)
205,2,US income tax data
206,14,Multiple datasets: 11 – Libro D'Oro (Archival/Historical Data); 3 – 19 nationally representative samples on children’s reading/math tests (National Survey Data); 10 – Consumer Expenditure Survey (Household Budget/Expenditure Survey); 2 – Census data (Administrative/Registry Data)
207,13,N/A
208,13,N/A
209,1,Panel Study of Income Dynamics
210,3,Bank of Italy's repeated cross-section household survey
211,13,N/A
212,13,N/A
213,1,"Harmonized Longitudinal Data – likely derived from panel surveys (e.g., the US Panel Study of Income Dynamics and a corresponding British panel such as the British Household Panel Survey)"
214,14,Custom database constructed using a two-sample instrumental variable (TSIV) approach developed by Angrist and Krueger
215,13,N/A
216,1,China Health and Nutrition Survey
217,2,Gothenburg Tax Data (1925–1947 and 1936–1958)
218,11,"Panel of 18,869 individuals tracked via wealth observed at death records (England and Wales, 1858–2012)"
219,11,1940 and 1950 Census Data
220,13,N/A
221,13,N/A
222,1,"PSID, GSOEP"
223,6,Swedish administrative register data linking individuals born 1962–1964 with parental income records
224,1,Panel Study of Income Dynamics
225,6,Linked Administrative Data (using linked registry/tax records for intergenerational study)
226,5,N/A
227,1,1989-2009 China Health and Nutrition Survey (CHNS)
228,6,"Linked Administrative Data – for example, linked tax records tracking parents’ and children’s earnings over time"
229,3,N/A
230,3,Chinese Urban Household Education and Employment Survey (CHUHEES)-2004
231,13,N/A
232,13,N/A
233,13,N/A
234,1,Taipei Household Registers Repeated Cross-sectional Survey (1963 & 1991)
235,7,N/A
236,3,Coleman data
237,1,Korean Labor and Income Panel Study (KLIPS)
238,6,Finnish linked administrative register panel data (covering individuals born 1930–1970 observed from 1950 through 1999)
239,1,Chilean household panel survey (the country's most extended household panel survey)
240,13,N/A
241,14,Self-collected cross‐sectional survey data (using study-specific questionnaires and samples from Brazil and Mexico)
242,7,European Community Household Panel
243,13,N/A
244,13,N/A
245,2,Swedish Tax Data Files
246,6,Chilean linked administrative registry data (fathers’ income records linked to offspring outcomes)
247,11,Estate inventories of the deceased (tereke) recorded in Kastamonu court records (sicils)
248,13,N/A
249,1,National Educational Longitudinal Study (1988 and 2000 sweeps)
250,2,Social Security Earnings Data (Administrative/Registry Data)
251,6,Unspecified linked administrative data
252,13,N/A
253,3,Survey of Household Income and Wealth
254,13,N/A
255,11,"3,000 families survey of those individuals residing in the Loire-Infrieure department"
256,14,Unique data from India
257,14,"Comparative intergenerational mobility data; 3, 2001 Eurobarometer survey on pensions"
258,3,Bank of Italy's Survey on Household Income and Wealth
259,3,2006 By-Census dataset
260,3,Nationally representative household survey data from five African countries
261,3,2005 Social Stratification and Social Mobility Survey Project
262,13,N/A
263,13,N/A
264,13,N/A
265,2,Estate Tax Returns
266,1,1958 National Child Development Study and 1970 British Cohort Study
267,1,Panel/Longitudinal Surveys (exact dataset name not provided)
268,13,N/A
269,1,British Cohort Study (BCS)
270,2,Administrative data containing the earnings histories of parents and children
271,1,Panel Study of Income Dynamics
272,5,N/A
273,6,Chilean Linked Administrative Data for Greater Santiago
274,1,N/A
275,3,"Urban household surveys in China; National survey data on child poverty from Canada, the United Kingdom, and urban India"
276,13,N/A
277,3,one percent Integrated Public Use Microsample Series (IPUMS) of the decennial Census for the decades 1970 and 1990
278,6,Linked Administrative Data (parent-child income records from administrative sources)
279,1,Panel/Longitudinal Surveys – the paper uses a linked father‐son panel dataset measured over multiple years (exact dataset name not specified)
280,13,N/A
281,1,National Child Development Study; British Cohort Study
282,3,Spanish National Survey Data – two separate cross‐sectional surveys (one providing children’s earnings and one providing fathers’ income) combined via a two‐sample two‐stage least squares approach
283,7,OECD public spending data (2000-2009) and Program for International Student Assessment (PISA) test scores
284,11,"wills on reproductive success, social status and income for England 1585-1638"
285,3,"PISA 2003 (cross‐country survey, National Survey Data), ISTAT 2001 (Italy, National Survey Data) and GSOEP 2001–2002 (Germany, Panel/Longitudinal Survey)"
286,3,decennial U.S. Censuses
287,13,N/A
288,3,Survey of young respondents reporting contemporaneous incomes of their parents (Singapore)
289,11,new intergenerational data set
290,13,N/A
291,4,Opportunity Atlas
292,7,"International panel data aggregated from multiple national sources (e.g., data underlying the Great Gatsby Curve)"
293,1,"Panel/Longitudinal Surveys (e.g., data similar to the Panel Study of Income Dynamics)"
294,7,Young Lives
295,1,"British Birth Cohort Studies – for instance, the 1958 National Child Development Study and analogous longitudinal cohort studies for later birth years (e.g., a study tracking those born in 1991/92)"
296,6,Social Security Earnings Histories from the 1984 Survey of Income and Program Participation
297,1,Japanese Panel Survey of Consumers (1993-2004 rounds)
298,13,N/A
299,1,"U.S. Panel Study of Income Dynamics; 3, Singapore National Youth Survey"
300,13,N/A
301,1,Dunedin Study (cohort study of people born in Dunedin in 1972-1973)
302,2,Swedish register data
303,1,Unique residential history survey data with retrospective parental asset information from 141 villages in rural Bangladesh
304,1,PSID
305,6,Finnish linked administrative registry data (combining sons' earnings in 2000 with fathers' average earnings during 1970-1990)
306,3,US General Social Survey
307,14,Statistical and ethnographic data
308,3,Cumulative ANES data
309,6,Linked Administrative Data (exact dataset not specified)
310,13,N/A
311,13,N/A
312,13,N/A
313,6,administrative earnings records (linked parent-child records)
314,3,PISA 2003 (cross-country survey) and a country-specific nationally representative survey
315,1,Dataset used is not explicitly named in the abstract; likely a panel/longitudinal survey of urban Chinese families.
316,1,"German SocioEconomic Panel, British Household Panel Survey"
317,1,Three British birth cohort studies
318,13,N/A
319,3,National Sample Survey
320,1,"Panel Study of Income Dynamics; also, aggregated administrative records from the Census and IRS (i.e. census data and IRS records)"
321,1,National Longitudinal Survey of Youth (1979-2002)
322,13,N/A
323,1,1958 National Child Development Study and 1970 British Cohort Study
324,13,N/A
325,1,PSID
326,13,N/A
327,2,Danish wealth records
328,11,Historical US Census/Archival Data (linked across generations)
329,6,IRS Linked Administrative Data (parent–child earnings records aggregated at the census commuting zone level)
330,6,Swedish linked administrative register data (parental and offspring income records)
331,11,"Ethnographic and Archaeological data from forager, horticultural and herding populations"
332,11,Rare English Surname Data (1858-1887)
333,3,2001 National Health Interview Survey
334,13,N/A
335,7,Country-level panel data (exact dataset name not specified)
336,13,N/A
337,13,N/A
338,7,"International panel data on income mobility, tax rates, and public expenditures (aggregated cross-country dataset)"
339,3,Vietnam Household Living Standards Survey (VHLSS) of 2012 and Vietnam Living Standards Survey (VLSS) of 1997-98
340,3,Mexican Social Mobility Survey 2006
341,1,PSID (Panel Study of Income Dynamics)
342,6,Linked Administrative Data (dataset not specified)
343,13,N/A
344,13,N/A
345,1,Panel Studies of Income Dynamics (PSID)
346,3,Spanish surveys (no single dataset covering long‐term info on both children’s and fathers’ earnings; two separate national surveys)
347,13,N/A
348,13,N/A
349,13,N/A
350,1,Panel Study of Income Dynamics
351,3,National representative survey of Mexico
352,2,"Social Security Earnings Data; and a second dataset that appears to be a panel/longitudinal survey containing adolescent test scores, family structure, schooling, and parental wealth (exact name not specified)"
353,13,N/A
354,11,"Historical surname records from multiple countries (Sweden, US, England, India, China, Chile, Japan, Korea)"
355,13,N/A
356,7,Harmonized micro data from 18 Latin American countries spanning multiple cohorts
357,2,administrative earnings records
358,2,US state data
359,6,Norwegian administrative registers linking fathers’ and sons’ income records
360,14,"Social survey and observation dataset from a community study in Chittagong, Bangladesh"
361,13,N/A
362,2,Danish administrative registers
363,14,Reanalysis and synthesis of previously collected data on intergenerational economic mobility from various earlier studies
364,14,Custom questionnaire survey data from Osaka middle and vocational school graduates
365,1,National Longitudinal Survey of Youth
366,1,Panel Study of Income Dynamics; Current Population Survey; Census; National Vital Statistics data
367,14,"Precapitalist tribal society dataset; very poor, predominantly peasant pre-industrial society dataset; and city-level datasets from nine Latin American societies"
368,3,Nationwide sample survey of 1965 and 1964 Tokyo survey
369,13,N/A
370,3,General Social Survey (GSS)
371,1,30 poverty-stricken counties in Xinjiang (2000-2012)
372,1,Chinese Household Income Project (1995 and 2002)
373,13,N/A
374,3,National Survey Data – a dataset of Chinese rural residents’ income (exact name not specified)
375,1,"1958 NCDS cohort, 1970 BCS cohort"
376,1,CHIP data (2003 and 2008)
377,1,N/A
378,1,CHNS data from 1989 to 2009 (China Health and Nutrition Survey)
379,1,CHNS data
380,1,CHNS dataset
381,1,CHNS data set
382,1,CHNS
383,1,Chinese Health and Nutrition Survey
384,13,N/A
385,3,N/A
386,1,China Health and Nutrition Survey; China Family Panel Studies
387,1,China Health and Nutrition Survey (CHNS) [Panel/Longitudinal Surveys] and regional public education expenditure records [Administrative/Registry Data]
388,13,N/A
389,1,China Health and Nutrition Survey (1991-2011)
390,3,CGSS
391,10,"Pseudo-Panel/Household Budget Survey – the abstract implies the use of repeated cross‐sectional data reconstructed as pseudo-panel data (e.g. household consumption and linked intergenerational education/occupation measures), though no specific dataset is named"
392,13,N/A
393,1,CHNS (China Health and Nutrition Survey)
394,11,Netherlands government grant archival records
395,2,Administrative/Registry Data (Exact dataset not specified)
396,10,Human Capital Study 200204
397,3,"European Values Studies, Life in Transition Survey"
398,13,N/A
399,9,University of Texas Project (UTIP) Global Data Sets 1963-2008
400,14,"Cross-national cross-sectional data on income and wealth inequality using mediating factors (state type and wealth‐income ratio) across high-, low-, and middle-income countries"
401,13,N/A
402,3,2005 and 2013 national labour force surveys (Ethiopia)
403,6,"Linked Administrative Data (e.g., US IRS records and Swedish Population Registers)"
404,6,Norwegian administrative registers (linked registry data capturing income and demographic records)
405,13,N/A
406,6,Swedish handcollected administrative data on wealth and bequests (linked across generations)
407,6,Office for National Statistics Longitudinal Study of England and Wales
408,1,"Household, Income and Labour Dynamics in Australia (HILDA) Survey"
409,6,"Linked Administrative Data (e.g., U.S. IRS tax records linking parent and child outcomes with county locations)"
410,1,Panel Study of Income Dynamics (PSID)
411,1,1958 National Child Development Study and 1970 British Cohort Study
412,1,Representative group of American children (panel/longitudinal survey)
413,11,Historical surname records from archival sources spanning multiple centuries and regions
414,1,Panel dataset (rural India panel dataset spanning 1994–2012) supplemented with repeated cross‐sections from the National Sample Survey (Category 3)
415,1,Baccalaureate & Beyond Longitudinal Study of 1993 and 2008
416,13,N/A
417,1,Panel Study of Income Dynamics; Institute on Assets and Social Policy Levering Mobility study (qualitative dataset from a research institute)
418,1,Panel Study of Income Dynamics; National Longitudinal Surveys of Youth
419,13,N/A
420,13,N/A
421,1,National Longitudinal Survey of Youth
422,2,"Administrative/Registry Data – National intergenerational income mobility data (1980–1996); Archival/Historical Data – Elite interviews and historical sources for Columbus, OH case study"
423,1,National Longitudinal Survey of Youths of 1997
424,13,N/A
425,3,N/A
426,2,US administrative mortgage data (GSE‐conforming and privately securitized mortgage records linked with state-level lender rights)
427,1,N/A
428,3,Nationally representative survey data
429,11,Newly assembled archival/historical dataset on three generations of Irish American families (1901–1940); Industrial Removal Office records used as a natural experiment on immigrant assimilation
430,11,"Historical US Census Data (names and occupational income, 1850-1940)"
431,13,N/A
432,3,N/A
433,2,1970 Brazilian Census
434,1,"US: National Longitudinal Study of Youth 1979 (Panel/Longitudinal Surveys, 1); Britain: British Cohort Study 1970 (Panel/Longitudinal Surveys, 1); Sweden: Population Register cohort (Administrative/Registry Data, 2)"
435,8,"New Zealand Rich List (1996, 2005, 2015)"
436,3,European Union Statistics on Income and Living Conditions (EU-SILC) 2005
437,3,Large representative German dataset including IQ test scores and non‐cognitive skill measures (exact name not specified)
438,1,Urban birth cohort study (longitudinal survey) linked with county‐level upward mobility estimates from Chetty and Hendren (Opportunity Atlas)
439,1,"Household, Income and Labour Dynamics Australia Survey"
440,1,Study of Income Dynamics (PSID)
441,11,French archival records on wealth mobility (1848–1960)
442,6,Linked Administrative Data: Longitudinal register data from the Netherlands complemented with the WoON-survey
443,1,Korean Labor and Income Panel Study (KLIPS)
444,6,"Linked Administrative Data (using UK and Swedish administrative registers on birth records, educational outcomes, and income)"
445,13,N/A
446,1,"Panel Study of Income Dynamics, National Longitudinal Surveys of Youth"
447,1,Panel Study of Income Dynamics
448,1,"Korea Labor and Income Panel Study; also, Household Income and Expenditure Survey falls under 3"
449,14,Not specified
450,11,Irish American families dataset (1901–1940)
451,2,Dutch funded pension system
452,1,PSID (Panel Study of Income Dynamics)
453,11,Three‐generation occupational records from Great Britain and the US (1850–1910)
454,6,Survey of Income and Program Participation (SIPP) matched with longitudinal administrative tax records
455,2,recently published county-level data
456,5,"County-level estimates of intergenerational economic mobility for children born between 1980 and 1986, using policy-induced variation in Medicaid eligibility"
457,13,N/A
458,14,2004 Immigration and Intergenerational Mobility in Metropolitan Los Angeles
459,13,N/A
460,2,Equality of Opportunity Project administrative tax records
461,11,Newly collected panel data on U.S. prisons and convict-labor camps (1886–1940) and historical distribution records of convict labor camps
462,6,Dutch survey data linked to administrative income data
463,1,1958 and 1970 cohort panel data (longitudinal surveys)
464,11,"Iowa State Census of 1915, 1940 Federal Census"
465,11,"Historical slavery prevalence records (Civil War-era archival data) combined with contemporary intergenerational mobility measures drawn from Chetty et al. (2014a), often associated with the Opportunity Atlas"
466,3,U.S. census
467,1,National Longitudinal Surveys
468,2,Norwegian register-based administrative data (rich registry data on neighbourhood income and attainment)
469,13,N/A
470,3,"National Survey Data (data from 40 countries, likely similar to the World Values Survey)"
471,3,CGSS data
472,7,cross-country panel dataset covering 76 countries and regions between 1970 and 2011
473,13,N/A
474,2,prefecture-level administrative data from China
475,1,Panel Study of Income Dynamics (PSID)
476,13,N/A
477,1,Panel Study of Income Dynamics
478,1,N/A
479,13,N/A
480,1,PSID (Panel Study of Income Dynamics)
481,1,Panel Study of Income Dynamics
482,7,Cross-National Equivalent File 1980-2016 (CNEF 1980-2016)
483,13,N/A
484,13,N/A
485,13,N/A
486,2,U.S. IRS administrative tax data (SOI Working Paper data)
487,13,N/A
488,9,University of Texas System student records (administrative/institutional data)
489,3,"Afrobarometer, Latinobarometer"
490,3,household level data from Pakistan national survey
491,6,"US Linked Administrative Data (e.g., IRS tax records linked across generations)"
492,3,rich survey and test score data
493,1,China Health and Nutrition Survey
494,7,Internationally comparable measures of intergenerational mobility
495,13,N/A
496,1,National Longitudinal Survey of Youth 1979
497,2,Australian tax data covering over a million individuals born between 1978 and 1982
498,11,Cape Colony archival records
499,2,"The paper draws on a few distinct types of data. In Chapter 1 the author uses an approach based on multiple measures derived from surname‐based records to assess intergenerational mobility (an unspecified, nonstandard dataset – categorized here as ‘others’), in Chapter 2 the study employs rich administrative/registry data from Sweden, and in Chapter 3 the analysis is based on simulation exercises evaluating teacher effectiveness (i.e. no external dataset). The most clearly identifiable real-world dataset is the rich administrative data for Sweden, which falls under category 2."
500,1,Panel Study of Income Dynamics (PSID)
501,2,"Chicago administrative records (e.g., Census tract–level data on violence, incarceration, lead exposure, and related administrative registry data)"
502,3,Detailed childhood income survey data from Japan (no specific dataset name provided)
503,14,Case study dataset assembled from six selected poverty‐stricken counties in rural China
504,13,N/A
505,6,Swedish administrative data on net wealth of adoptees merged with corresponding information for biological and adoptive parents
506,3,IPUMS survey data bank
507,2,Chetty et al. (2014) tax records and another tax‐based administrative dataset
508,1,National Longitudinal Survey of Youth 1979
509,1,China Health and Nutrition Survey (CHNS)
510,3,household income distribution survey
511,2,1986 Census Administrative Data on cohort of individuals born between 1963 and 1970
512,1,China Health and Nutrition Survey (CHNS)
513,9,"Federal University of Pernambuco (UFPE) admissions and earnings records, alongside mobility estimates for US comparator institutions as reported by Chetty et al. (2017)"
514,3,National Survey Data (exact dataset not indicated)
515,2,Norwegian tax registers
516,2,2015 U.S. Department of Education College Scorecard Data
517,2,Swedish register data
518,3,N/A
519,1,British Cohort Study
520,13,N/A
521,1,Panel Study of Income Dynamics
522,11,1915 Iowa State Census; linked data from the 1850-1910 Censuses
523,13,N/A
524,1,Likely a Vietnamese panel/longitudinal survey covering 2004–2014 (exact dataset name not specified)
525,2,Credit score data from credit bureaus (administrative/registry records)
526,13,N/A
527,13,N/A
528,11,Complete-count U.S. population census records (linked across years; 1910–1930 and 1930–1940 addresses)
529,1,Panel Study of Income Dynamics
530,11,3000 familles survey
531,14,Aggregated cross‐national measures of class inequality and mobility compiled from various country-level sources
532,13,N/A
533,13,N/A
534,14,U.S. data
535,3,National Survey of College Graduates
536,1,National Longitudinal Survey of Youth 1979 and National Longitudinal Survey of Youth 1979 for Children and Young Adults
537,6,Deidentified tax records linked with SAT/ACT scores
538,13,N/A
539,2,"Brazilian administrative education records (enrollment, admissions, and high school choice data) and Swedish income register data"
540,4,Opportunity Atlas
541,13,N/A
542,6,Credit bureau records linking parents’ and children’s credit information
543,13,N/A
544,13,N/A
545,2,US administrative data on tax and public education expenditure functions (with a comparative experiment using Norwegian administrative fiscal data)
546,1,"British birth cohort studies (e.g., the 1958 National Child Development Study and the 1991/92 cohort study)"
547,2,Swedish administrative registers
548,1,Panel Study of Income Dynamics
549,5,Housing Voucher Experiment
550,2,"U.S. administrative data aggregated at the metropolitan statistical area level (e.g., real gross metropolitan product and income mobility measures)"
551,1,Three Longitudinal Surveys
552,1,German socio-economic panel
553,13,N/A
554,6,Longitudinal and International Study of Adults
555,1,Panel Studies of Income Dynamics
556,7,"national panel data sets for Australia, the United States and Germany"
557,3,EU-SILC 2011
558,13,N/A
559,1,British Cohort Study
560,1,National Longitudinal Survey of Youth 1979 (NLSY79) and National Longitudinal Survey of Youth 79 for Children and Young Adults (NLSY79 CY)
561,13,N/A
562,13,N/A
563,3,"National Survey Data – a cross‐sectional snapshot comparing households (Millennials, Gen X, and Baby Boomers) drawn from national surveys (exact dataset name not specified)"
564,1,Nationally representative longitudinal household survey data
565,2,High-quality administrative data for Denmark and the United States
566,1,Panel Study of Income Dynamics
567,2,State-level administrative records on school finance reforms and newly collected funding formulas data
568,2,Rich register data (register data for adult children in the Netherlands)
569,3,Philippine National Survey Data (likely a nationally representative survey on labor market outcomes)
