id,specified,relevant,category_2,measure_1,measure_2
76,1,1,,Subjective Absolute Mobility,
77,1,1,,Regression‐based Measure,
78,1,1,,Grandparent Coefficient (Regression),
79,1,1,"3,4",Transition Matrix,Absolute Mobility Measure
80,0,1,,,
81,1,1,,Threshold Regression,
82,1,1,,Regression‐based Measure,
83,1,1,8,Descriptive Indicator,
84,1,1,,Class‐origin Pay Penalty (Regression),
85,1,1,,Regression‐based Coefficient,
86,1,1,,Absolute Mobility Measure,
90,1,1,,Class‐origin Earnings Differential,
91,1,1,6,Path Model,
92,1,1,,Intergenerational Elasticity,
95,1,1,8,Composite Opportunity Index,
96,1,1,,Intergenerational Elasticity,
97,1,1,,Andersens Education Mobility Measure,
98,1,1,,Regression‐based Measure,
99,1,1,,Transition Matrix,
101,1,1,,Regression‐based Measure,
104,1,1,,Occupational Mobility (HISCAM Difference),
105,1,1,,Transition Matrix,
106,1,1,1,Intergenerational Elasticity,
111,1,1,,Regression‐based Measure,
112,1,1,,Difference‐in‐Differences,
113,1,1,,Shorrocks Mobility Index,
116,1,1,,Regression‐based Measure,
117,1,1,,Regression‐based Poverty Transmission Estimate,
118,1,1,,Absolute Income Mobility,
122,1,1,8,Human Development Index,
124,1,1,,Intergenerational Elasticity,
125,1,1,,Regression‐based Fixed Effects,
127,1,1,5,Multigenerational Measure,
128,1,1,8,Composite County‐Level Indicators,
129,1,1,,Status Attainment Model,
130,1,1,,Discrete Time Event History Model,
131,1,1,8,Gini Coefficient,
133,1,1,4,Absolute Mobility Measure,
136,1,1,3,Transition Matrix,
137,1,1,6,Structural Decomposition,
140,1,1,,Intergenerational Elasticity,
144,1,1,7,Generalized Concentration Curve,
145,1,1,1,Intergenerational Elasticity,
148,1,1,4,Absolute Mobility Measure,
149,1,1,6,Structural Model Parameter,
152,1,1,3,Transition Probability,
153,1,1,8,Qualitative Narrative,
154,1,1,8,Economic Connectedness and Credit Score,Friending Bias Measure
156,1,1,,Regression‐based Measure,
158,1,1,,Regression‐based Diminishing Education Effect,
159,1,1,8,Descriptive Socioeconomic Comparison,
160,1,1,,Absolute Mobility Measure,
161,0,1,,,
163,1,1,3,Transition Matrix,
166,1,1,,Regression‐based Measure,
170,1,1,5,Multigenerational Measure,
171,1,1,3,Transition Matrix,
174,1,1,1,Regression‐based Measure,
175,1,1,8,Quasi‐experimental Causal Estimate,
176,1,1,,Intergenerational Elasticity & Quantile Regression,
178,1,1,,Intergenerational Earnings Elasticity,
179,1,1,"1,3",Intergenerational Elasticity,Transition Matrix
181,1,1,4,Absolute Mobility Measure,
182,1,1,6,Structural Mobility Index,
184,1,1,"3,7",Transition Matrix,Non‐parametric Regression
186,1,1,3,Transition Matrix,
187,1,1,"3,4",Absolute Mobility Measure,Transition Matrix
188,1,1,,Regression‐based Measure,
189,1,1,,Intergenerational Elasticity,
190,1,1,6,Structural Model – Steady State Effects,
192,1,1,,Intergenerational Elasticity,
193,1,1,8,Surname‐based Persistence,
194,1,1,3,Transition Probability,
197,1,1,3,Transition Probability,
198,1,1,,Intergenerational Elasticity,
199,1,1,,Intergenerational Earnings Elasticity,
200,1,1,,Intergenerational Elasticity,
201,1,1,,Intergenerational Income Elasticity,
202,1,1,,Intergenerational Elasticity (with Quantile Regression),
203,1,1,,Intergenerational Association (Regression‐based),
204,1,1,"3,4",Transition Probability,Absolute Income Gap
205,1,1,8,Model‐based Characterization,
208,1,1,,Intergenerational Elasticity and Opportunity Index,
210,1,1,,Intergenerational Income Elasticity,
211,1,1,,Intergenerational Earnings Elasticity,
212,1,1,3,Transition Probability,
213,1,1,,Intergenerational Elasticity,
214,1,1,6,Structural Decomposition,
215,1,1,,Regression‐based Measure,
216,1,1,,Period‐specific Regression Coefficient,
218,1,1,,Residual Regression Estimate,
219,1,1,,Regression‐based Asset Persistence,
220,1,1,,Intergenerational Income Elasticity & Relative Poverty Risk,
221,1,1,8,Novel Mobility Measure,
222,1,1,,Intergenerational Income Elasticity,
223,1,1,"3,2",Transition Probability,Rank‐based Measure
224,1,1,,Regression‐based Measure,
225,1,1,,Intergenerational Elasticity,
226,1,1,,Persistence Coefficients,
227,1,1,,Regression‐based Measure,
230,1,1,6,Structural Model (Segmentation Analysis),
231,1,1,,Intergenerational Elasticity,
233,1,1,,R² from Regression,
234,1,1,"1,6",Intergenerational Elasticity,Structural Quantile Regression
238,1,1,,Regression Coefficient (Parental Wealth Effect),
240,1,1,,Regression‐based IGE & Quantile Regression,
241,1,1,,Intergenerational Elasticity (Regression),
242,1,1,6,Path Models,
243,1,1,,Intergenerational Earnings Correlation,
244,1,1,8,Composite Social Mobility Index,
245,1,1,6,Log‐linear Model Decomposition,
246,1,1,3,Transition Matrix,
248,1,1,4,Absolute Mobility Measure,
250,1,1,,Intergenerational Elasticity,
251,1,1,,Intergenerational Income Elasticity,
253,1,1,4,Net Economic Mobility,
254,1,1,6,Channel Decomposition,
255,1,1,7,Opportunity Inequality (Conditional Income Distribution),
257,1,1,,Intergenerational Income Elasticity,
258,1,1,4,Absolute Mobility Measure,
260,1,1,,Intergenerational Elasticity,
261,1,1,,Intergenerational Elasticity,
262,1,1,3,Transition Matrix,
263,1,1,,Intergenerational Elasticity,
264,1,1,,Intergenerational Elasticity,
265,1,1,,Intergenerational Elasticity,
266,1,1,7,Non‐parametric Bounds,
267,1,1,,Intergenerational Elasticity (Regression‐based),
268,1,1,,Intergenerational Elasticity (IV & DID),
269,1,1,,Intergenerational Elasticity,
270,1,1,3,Transition Matrix,
271,1,1,3,Simulated Transition Probability,
272,1,1,,Intergenerational Elasticity,
274,1,1,"1,3",Intergenerational Elasticity,Transition Matrix
275,1,1,6,Structural Parameters (Inheritance & Investment Propensity),
276,1,1,3,Transition Matrix,
277,1,1,,Intergenerational Elasticity,
278,1,1,6,Path Analysis,
279,1,1,,Quantile Regression (Earnings Effect),
280,1,1,,Intergenerational Elasticity (with Decomposition),
281,1,1,,Intergenerational Elasticity for Income and Education,
284,1,1,3,Occupational Transition Matrix,
285,1,1,,Intergenerational Elasticity (via Regression),
289,1,1,,Random Coefficient Model (Alternative IGE),
290,1,1,"1,3",Intergenerational Elasticity,Transition Matrix
291,1,1,,Intergenerational Income Elasticity,
292,1,1,5,Multigenerational Wealth Accumulation,
294,1,1,3,Transition Matrix,
295,1,1,"2,3",Rank‐based Measure,Transition Matrix
296,1,1,,Intergenerational Income Elasticity,
297,1,1,6,Structural Decomposition,
298,1,1,,Earnings Elasticity (IGE),
299,1,1,,Intergenerational Elasticity,
301,1,1,,Log‐linear IGE,
303,1,1,8,Structural Income Mobility Parameter,
304,1,1,,Regression Coefficient (IGE),
306,1,1,,Pooled Logit Regression (Occupational Mobility),
311,1,1,8,Share of Women Among Wealthy (Proxy for Dynastic Wealth),
312,1,1,,Regression‐based IGE (Income/Social Class),
313,1,1,8,Gini Coefficient & Mobility Index,
315,1,1,,Intergenerational Elasticity,
317,1,1,,Causal Effect Estimate (Regression),
318,1,1,,Intergenerational Elasticity,
319,1,1,8,Bias‐corrected Retrospective Mobility,
321,1,1,,Intergenerational Income Elasticity,
322,1,1,,Social Gains/Losses from Work‐life Earnings,
323,1,1,,Regression‐based IGE,
325,1,1,3,Transition Matrix (Mobility Index),
327,1,1,"2,3",Rank‐rank Gradient,Transition Probability
328,1,1,,Intergenerational Elasticity,
329,1,1,3,Transition Matrix (Quartile-based),
330,1,1,,Intergenerational Elasticity,
331,1,1,,Two-sample 2SLS IGE,
332,1,1,,Regression‐based Human Capital Coefficient,
334,1,1,,Regression‐based Educational Impact,
335,1,1,"1,2",Intergenerational Elasticity,Rank–Rank Correlation
336,1,1,8,Occupational Level Proxy,
337,1,1,,Intergenerational Elasticity,
338,1,1,,Intergenerational Elasticity (via School Quality),
339,1,1,,Intergenerational Elasticity,
340,1,1,6,Spatial Regression-based Mobility,
343,1,1,,Intergenerational Elasticity,
344,1,1,5,Multigenerational Wealth Outcome Measure,
345,1,1,,Regression‐based Parental Effect,
346,1,1,,Regression‐based Educational Mobility,
347,1,1,,Intergenerational Elasticity,
348,1,1,,Intergenerational Elasticity,
349,1,1,8,Net Worth,
350,1,1,,Intergenerational Elasticity,
352,1,1,,Intergenerational Elasticity,
353,1,1,"1,3",Intergenerational Elasticity (Mean & Quantile),Transition Matrix
354,1,1,"1,3",Father‐son Correlation,Transition Matrix
355,1,1,"1,2",Intergenerational Elasticity,Rank Correlation
356,1,1,,Intergenerational Income Correlation,
357,1,1,6,Structural Recursive Probit,
358,1,1,8,Asset Transfer Analysis,
360,1,1,,Ordered Logit Analysis,
362,1,1,,Regression‐based Skill Premium Analysis,
363,1,1,6,Structural Simulation (Overlapping Generations),
366,1,1,6,Dynamic General Equilibrium Mobility Model,
367,1,1,2,Percentile Rank‐based Measure,
369,1,1,,Intergenerational Elasticity,
370,1,1,6,Decomposition (Assortative Mating Contribution),
371,1,1,"1,3",Absolute Mobility Rate (Transition Table),Grandparent Odds Ratios
373,1,1,3,Transition/Probability Measure,
374,1,1,1,Regression‐based IGE,
375,1,1,,OLS Regression (Father’s SES Effect),
378,1,1,6,Structural Determinants (IGE of Income),
379,1,1,,Regression‐based IGE,
381,1,1,4,Absolute Wealth Mobility,
382,1,1,"1,3",Regression-based IGE,Transition Matrix
383,1,1,7,Non‐parametric Rank–rank Slope,
384,1,1,,Intergenerational Elasticity (with Second‐order AR),
385,1,1,,Income Correlation (IGE),
386,1,1,,Intergenerational Income Elasticity,
387,Not provided,Not provided,,,
388,1,1,5,Multigenerational Wealth Mobility (Death-based),
389,1,1,,Intergenerational Income Elasticity,
391,1,1,,Regression‐based Income Mobility (IGE),
393,1,1,2,Rank Correlation,
394,1,1,,Intergenerational Elasticity,
395,1,1,,Intergenerational Elasticity (2SLS),
397,1,1,8,Probit & PSM Causal Estimate,
398,1,1,,Intergenerational Income Elasticity,
400,1,1,,Probit Marginal Effects,
401,1,1,6,Structural Overlapping‐generation Model,
403,1,1,,Intergenerational Elasticity,
408,1,1,,2SLS-based Intergenerational Elasticity,
412,1,1,,Regression-based Income Elasticity,
413,1,1,,Regression-based Health Investment Returns,
416,1,1,"2,3",Directional Rank Mobility,Transition Probability
418,1,1,,Intergenerational Correlation (IGE),
419,1,1,,Intergenerational Elasticity (Persistence),
420,1,1,,Intergenerational Elasticity (Regression-based),
421,1,1,"2,3",Rank-based Mobility,Transition Probability
423,1,1,"1,2,8",Intergenerational Elasticity,Rank Correlation
424,1,1,8,Subjective Modernity Measure,
425,1,1,,Intergenerational Elasticity,
426,1,1,,Regression‐style Income Correlation,
427,1,1,6,Path Models (Decompositional),
428,1,1,3,Occupational Transition Probability,
430,1,1,"3,2",Transition Probability,Rank‐based Upward Mobility
431,1,1,3,Upward & Downward Mobility Probability,
432,1,1,,Lagged Regression Effects,
433,1,1,3,Markov Two‐stage Transition Matrix,
434,1,1,"1,3",Intergenerational Elasticity (Quantile Regression),Transition Matrix
437,1,1,,Two‐factor Regression (Class Reproduction),
438,1,1,,Panel Model Coefficient,
439,1,1,,"Regression Coefficient (Human, Social, Asset Capital)",
440,1,1,,Quantile Regression (Earnings Correlation),
441,1,1,3,Transition Matrix (with Derived IGE),
442,1,1,,Intergenerational Elasticity,
443,1,1,,Regression‐based Wage Determination,
447,1,1,,Intergenerational Elasticity,
448,1,1,,Intergenerational Elasticity,
449,1,1,,Regression‐based IGE Estimate,
450,1,1,,Unconditional Quantile Regression,
451,1,1,,Two-level Regression (IGE),
452,1,1,,Intergenerational Income Elasticity,
453,1,1,8,Axiomatic and Welfarism Methods,
454,1,1,6,Structural Decomposition (Oaxaca-Blinder-like),
455,1,1,,Regression‐based IGE,
456,1,1,,Intergenerational Income Elasticity & Education Returns,
457,1,1,7,Non‐parametric Kernel Density,
458,1,1,,Intergenerational Elasticity,
459,1,1,"1,3",Atkinson Regression Model,Transition Matrix
460,1,1,3,Intergenerational Transition Probability,
461,1,1,"1,3",Intergenerational Earnings Elasticity,Poverty Transmission Probability
462,1,1,6,"Channel Decomposition (Education, Health, Occupation)",
463,1,1,8,Study Grant Impact (Exogenous Variation),
464,1,1,,Intergenerational Elasticity,
465,1,1,8,Descriptive Expenditure/Wealth Patterns,
466,1,1,8,Subjective & Objective Mobility,
469,1,1,,Intergenerational Elasticity,
470,1,1,8,IGM Indices (Multiple Approaches),
471,1,1,1,OLS & Quantile Regression (IGE),
472,1,1,7,New Non‐parametric IGM Estimator,
473,1,1,"1,2,8",Intergenerational Elasticity,Rank‐Rank Approach
474,1,1,"1,8",Surname‐based Persistence (Regression),
475,1,1,2,Rank Correlation (Parent–child/grandparent–grandchild),
477,1,1,,Intergenerational Earnings Elasticity,
478,1,1,1,County Fixed Effects (Regression),
479,1,1,8,Propensity to Consume & Wealth‐Income Ratios,
480,1,1,,Regression‐based IGE (Net Income),
481,1,1,4,Absolute Mobility Measure (Middle‐class Achievement),
482,1,1,5,Multigenerational Wealth Mobility (Surname Persistence),
483,1,1,1,Between‐groups Regression Coefficient (IGE-like),
484,1,1,,Regression‐based Income Difference,
486,1,1,,Regression‐based Effect of Financial Transfers,
487,1,1,"1,8",Intergenerational Persistence (IGE Regression),Overeducation Rate
488,1,1,3,Markov Transition Matrix,
490,1,1,7,Non‐parametric Approach (Upward/Downward Mobility),
491,1,1,,Regression-based IGE,
492,1,1,,Growth Curve Model (Income Trajectories),
493,1,1,"1,2",Intergenerational Earnings Elasticity,Rank–Rank Slope
494,1,1,1,Regression Coefficients (IGE analogue),
495,1,1,1,Regression Coefficient (Homeownership Impact),
496,1,1,,Intergenerational Elasticity,
499,1,1,5,Multigenerational Mobility (3-generation),
500,1,1,,Intergenerational Elasticity,
501,1,1,"1,4",Intergenerational Elasticity (Relative Mobility),Absolute Mobility Measure
502,1,1,6,Decomposition (Pure vs. Mediated Inheritance),
503,1,1,6,Simulation‐based Structural Approach,
505,1,1,"1,2",Intergenerational Income Elasticity,Rank–order Correlations
507,1,1,,Intergenerational Income Elasticity,
509,1,1,4,County‐level Upward Mobility (Chetty-Hendren),
510,1,1,"1,2",Intergenerational Income Elasticity,Rank Correlation
511,1,1,4,Absolute Poverty Duration,
512,1,1,,Intergenerational Wealth IGE,
513,1,1,,Intergenerational Elasticity,
514,1,1,,Intergenerational Elasticity,
515,1,1,1,"Regression Coefficients (Birthweight, Height, School Performance)",
518,1,1,1,Regression Coefficient (Wealth Mobility Effect),
519,1,1,,Intergenerational Elasticity,
520,1,1,7,Counterfactual Distributional Measures (Quantile Regression),
523,1,1,,Regression-based Mobility (Health Outcomes IGE analogue),
524,1,1,,Least Squares IGE Estimate,
525,1,1,,Regression Fit Statistics (R² for Cumulative Earnings),
526,1,1,1,Regression‐based IGE,
528,1,1,1,IV-based IGE,
530,1,1,,Regression Coefficients (Occupation & Income),
532,1,1,6,Decomposition via Structural Simulation,
533,1,1,3,Parent–child Transition Probabilities,
534,1,1,,Regression Coefficient (Test Scores IGE analogue),
535,1,1,,Intergenerational Elasticity,
536,1,1,,"Intergenerational Elasticity (Earnings, Education, Occupation)",
537,1,1,1,IV Regression-based IGE,
541,1,1,1,Regression-based Social Background Effects,
542,1,1,,Multilevel Regression (Neighborhood Median Income Effects),
543,1,1,,Intergenerational Income Elasticity,
544,1,1,8,Subjective Intergenerational Mobility,
545,1,1,1,Intergenerational Regression Coefficient (IGE),
546,1,1,,Intergenerational Income Mobility Elasticity,
548,1,1,1,Regression-based IGE,
549,1,1,,Intergenerational Elasticity,
551,1,1,3,New Mobility Table (Scaled Quintiles),
552,1,1,1,Intergenerational Income Elasticity & Expectation IGE,
553,1,1,"3,4,1",Non‐linear Transition Matrix,Absolute Mobility Measure
554,1,1,,Unconditional Quantile Regression Coefficients,
557,1,1,,Intergenerational Income Elasticity,
558,1,1,,Intergenerational Elasticity,
559,1,1,,OLS Estimation,
561,1,1,6,Fixed‐effects Decomposition,
562,1,1,6,Dynastic Model Counterfactual Decomposition,
563,1,1,"1,2,3",Logistic Regression (Causal Effect),Rank‐rank Slope & Transition Matrix
564,1,1,1,Regression Coefficients (Self‐reported Mobility),
565,1,1,,Intergenerational Elasticity,
566,1,1,1,Regression‐based IGE Estimate,
567,1,1,6,New Decomposition Approach (Educational Mobility Focus),
568,1,1,,Intergenerational Income Elasticity,
569,1,1,1,Regression‐based IGE,
570,1,1,4,Absolute Income Mobility,
571,1,1,,Intergenerational Income Elasticity,
572,1,1,,Intergenerational Elasticity & Rank‐Rank Slope,
573,1,1,1,Regression‐based IGE & Wealth Persistence,
575,1,1,3,Transition Matrix (Wealth Flows),
576,1,1,1,Regression‐based Income Mobility,
577,1,1,1,IV-based Causal Effect Estimate (Upward Mobility),
578,1,1,"1,3",Regression Model,Transformation Matrix Method
579,1,1,6,Life Cycle Dynastic Model,
580,1,1,1,Regression‐based Net Wealth IGE,
581,1,1,,Intergenerational Elasticity,
582,1,1,,Intergenerational Elasticity,
584,1,1,,Intergenerational Income Elasticity,
585,1,1,,OLS & Quantile Regression (IGE),
586,1,1,,Intergenerational Income Elasticity,
587,1,1,8,Nine Complementary Indicators,
588,1,1,1,"Multi‐stage Regression (3SLS, Beta, Quantile, Threshold)",
589,1,1,3,Upward Mobility Rate (Bottom-to-Top Quintile),
591,1,1,2,Intergenerational Rank Persistence,
592,1,1,1,Regression Coefficient (Wealth Transfer Impact),
593,1,1,4,Absolute Treatment-effect Income Mobility,
594,1,1,8,Sibling Correlation in Income,
596,1,1,,Intergenerational Elasticity,
597,1,1,4,Relative & Absolute Income Mobility,
599,1,1,6,"Intergenerational Income Elasticity (IIE, Decomposition)",
600,1,1,,Intergenerational Elasticity,
602,1,1,,Intergenerational Elasticity,
603,1,1,,Intergenerational Elasticity using Credit Scores,
604,1,1,,Intergenerational Elasticity,
605,1,1,8,Snapshot (Cross‐sectional) vs. Dynamic Mobility Comparison,
607,1,1,3,Occupational Transition Probabilities,
608,1,1,"1,6",Intergenerational Elasticity (Regression) & Linked Trajectory Decomposition,
609,1,1,4,Wealth Ratio/Multiplier Mobility Measure,
610,1,1,3,Off‐diagonal Origin–Destination Transition Probabilities,
613,1,1,,Intergenerational Elasticity,
614,1,1,6,Calibrated Structural Model Simulation,
615,1,1,1,Regression-based Mobility (Parental Education Impact),
616,1,1,1,Multiple Regression on Maternal Net Worth/Poverty,
617,1,1,6,Counterfactual Simulation (College Allocation),
618,1,1,8,Intergenerational Wealth Mobility Framework,
619,1,1,1,Lifecycle-estimated IGE,
621,1,1,4,Racial Opportunity Gap,
624,1,1,6,Regime‐switch IGE Decomposition,
625,1,1,4,Absolute Earnings Mobility,
626,1,1,6,Structural IGE Parameter,
627,1,1,1,Regression-based Educational IGE,
628,1,1,6,Sibling Correlations (Decomposition by SES),
629,1,1,6,Novel Decomposition (Marriage Sorting),
631,1,1,"4,1",Absolute Income Mobility,Intergenerational Elasticity
632,1,1,1,Regression-based IGE,
634,1,1,2,Intergenerational Rank Association,
635,1,1,8,Cross-dimensional Comparisons,
636,1,1,6,Decomposition of Income Correlation (Education Contribution),
637,1,1,1,Intergenerational Elasticity,
638,1,1,"2,3",Rank Correlation,Transition Matrix
639,1,1,1,OLS & IV Quantile Regression IGE,
642,1,1,"1,4",Regression-based (IGE),Absolute Mobility Measure
643,1,1,6,Mediation Model (Partial Mediation via Regression),
644,1,1,6,Structural Equation Modeling (Social Welfare Mobility),
645,1,1,1,Intergenerational Elasticity (Geometric & Parametric Versions),
646,1,1,"4,3,1",Absolute Mobility Measure,Transition Matrix & IGE
647,1,1,6,Decomposition Analysis (One‐child Policy Impact),
649,1,1,1,Intergenerational Elasticity,
650,1,1,1,Intergenerational Elasticity,
651,1,1,1,Simulated‐instruments Regression (Causal Effect on Mobility),
652,1,1,"2,4,6",Rank‐based Measure,Absolute Mobility Measure
653,1,1,"1,3",Regression‐based IGE,Transition Matrix
654,1,1,6,"Structural Equation Modeling (Social, Educational, Occupational Mobility)",
655,1,1,8,Subjective Social Mobility,
656,1,1,2,Rank‐rank Model,
657,1,1,2,Rank‐Rank Regression (Relative & Absolute Upward Mobility),
658,1,1,1,2SLS Regression (Wealth-Child Income Link),Decomposition by Race
660,1,1,,Intergenerational Income Elasticity,
661,1,1,,Intergenerational Income Elasticity,
662,1,1,4,Absolute Mobility Measure (Sons vs. Fathers),Relative Mobility Indicator (Implied Regression)
664,1,1,7,New Non‐parametric Correlation Curve,Intergenerational Elasticity (for comparison)
666,1,1,1,Intergenerational Transmission of Human Capital (IGE analogue),
667,1,1,1,Intergenerational Elasticity (Multiple Childhood Periods),
668,1,1,1,Intergenerational Elasticity & Rank‐Rank Slope,
669,1,1,1,Intergenerational Persistence (Between‐groups Coefficient),
670,1,1,"1,4",Regression-based Elasticity for Income & Education,Absolute Mobility Indicator
671,1,1,1,Intergenerational Earnings Elasticity,
672,1,1,1,Intergenerational Income Elasticity (Lifetime Differences),
673,1,1,1,Intergenerational Elasticity (Regression Slope),
674,1,1,1,Intergenerational Elasticity,
678,1,1,1,Intergenerational Income Elasticity,
679,1,1,"1,2",Intergenerational Income Elasticity,Earnings Correlation
682,1,1,6,Structural Decomposition (Education & Occupational Change),
683,1,1,1,Intergenerational Earnings Elasticity & Wealth Inheritance Effects,
684,1,1,1,Generalized Errors‐in‐Variables IGE,
685,1,1,8,Inequality of Economic Opportunity (IEO & HOI),
687,1,1,1,Regression Coefficient (Parental Credit Risk Effect),
688,1,1,1,MII (Regression-based Persistence),
692,1,1,,Intergenerational Elasticity,
693,1,1,8,Alternative Household‐level Mobility Measure,
694,1,1,3,Transition Probabilities (Upward/Downward Occupational),
695,1,1,1,Regression Coefficients (Educational Impact on Test Scores),
697,1,1,1,Growth Model (Life‐course Income Trajectories),
698,1,1,"2,3",Rank‐based Mobility (Rank‐rank slope),Transition Probability
699,1,1,,Intergenerational Elasticity,
700,1,1,6,Regression-based Mobility Gains Coefficient,Gini-type Spatial Inequality Indices
701,1,1,6,Structural/Model‐implied Mobility Parameter,
702,1,1,2,Rank‐based Wealth Mobility (Parent–child & Grandparent),Decomposition (Bequests vs. Earnings)
703,1,1,1,Simulated Instruments Regression (Causal Effect on Lifetime Earnings),
705,1,1,2,Rank‐based Mobility (Top Percentile Focus),
708,1,1,,Intergenerational Income Elasticity & Educational Mobility,
709,1,1,1,Regression‐based Income Mobility (IGE analogue),
710,1,1,6,"Decomposition Analysis (Human Capital, Earnings, Marriage)",
711,1,1,7,Non‐parametric Counterfactual Distribution Analysis,
713,1,1,1,"Regression‐based IGE (Birthweight, Grades, Height, Education)",
714,1,1,8,Sibling Correlations,
716,1,1,6,Recursive Bivariate Probit (Causal Effect of Relative Mobility),
718,1,1,"1,2",Intergenerational Elasticity,Rank‐Rank Slope
720,1,1,"1,2",Intergenerational Income Elasticity,Rank Correlation
721,1,1,,Intergenerational Elasticity,
723,1,1,"1,2,8",Intergenerational Elasticity,Rank Correlation & Sibling Correlations
725,1,1,"1,2,4",Intergenerational Elasticity,Rank‐Rank Correlation & Absolute Upward Mobility
726,1,1,1,Regression‐based Parent–child Correlation,
727,1,1,3,Transition Probability Estimate (Industry Entry),Income Premium Differences
729,1,1,3,Transition Matrix (Tercile and Educational/Health Transitions),
731,1,1,6,TS2SLS IGE & Channel Decomposition,
734,1,1,4,Absolute Intergenerational Income Mobility,
735,1,1,2,Income Rank Association,
736,1,1,"2,3",Rank‐rank Correlation,Transition Probability
738,1,1,1,Regression‐based Educational Elasticity,
739,1,1,"1,2,6",Intergenerational Income Elasticity,Rank-based & Structural Decomposition
740,1,1,"2,3",Rank‐rank Slope,Transition Probability
742,1,1,1,Two‐stage Least Squares Regression (Grandparent’s Wealth Effect),Decomposition of Racial Differences
744,1,1,1,Regression-based IGE (Occupational Mobility),
745,1,1,2,Rank Difference (Income Percentile),
746,1,1,4,Absolute Mobility Indicators (Upward/Downward Rates & Gaps),
747,1,1,6,Counterfactual Structural Simulation (Sibling Correlations),
750,1,1,2,Rank‐based Mobility Estimator,
751,1,1,6,Decomposition into Mediation Channels (Great Gatsby Curve),
752,1,1,,Simple Regression with PCA,
753,1,1,1,Regression-based Income Dynamics,
754,1,1,"1,4",Multilevel Regression (Relative Mobility IGE),Absolute Mobility Measure
