id,Q1,Q1_1,Q2,Q2_1,Q2_2,Q3,Q4
https://openalex.org/W4385782198,Yes,"Based solely on the title, the paper focuses on intergenerational income mobility in Turkey, examining how income is transmitted across generations in that context.",N/A,N/A – The available information does not provide details on specific measures used.,N/A – There is insufficient information to determine if measures are discussed.,N/A,N/A
https://openalex.org/W4386491507,Yes,"The paper examines intergenerational income mobility in France, investigating how income is transmitted across generations with a comparative and geographic perspective. However, beyond the title, further details are not available from the provided information.",Yes,"While it is standard in such studies to employ measures like intergenerational elasticities or rank‐rank correlations, the provided information does not detail the exact measures used in this paper.",N/A,Yes,N/A
https://openalex.org/W4401871424,Yes,"The paper, as indicated by its title, investigates intergenerational income mobility by examining how income is transmitted across generations in Southern Brazil and by exploring the relationship between income mobility and returns to education.",Yes,"The provided information does not detail the specific measures used, though such studies typically apply metrics such as intergenerational income elasticity or rank–rank slopes.",N/A,Yes,N/A
https://openalex.org/W4401998537,No,"The paper’s focus, suggested by its title 'The Life-Cycle Dynamics of Wealth Mobility', appears to be on the individual-level accumulation and movement of wealth over the life cycle rather than on inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W4402097378,No,"The paper focuses on mobility ideation related to water problems during the 2022 drought and its associations with livestock wealth, water and food insecurity, and physiological stress (measured via fingernail cortisol), rather than inter/multigenerational wealth/income/earning mobility.",N/A,N/A,"The study does not address inter/multigenerational wealth/income/earning mobility, so no related measures are discussed.",N/A,N/A
https://openalex.org/W4402173369,Yes,"The title clearly indicates that the paper examines intergenerational income mobility – specifically, how variations in income mobility across counties relate to drug overdose deaths in the U.S. Midwest.",N/A,N/A,The brief information provided (title and error fetching abstract) does not include details on any specific measures used to study intergenerational income mobility.,N/A,N/A
https://openalex.org/W4402314342,Yes,"Based on the title, the paper examines intergenerational income mobility in the United States by exploring how racial and geographic factors influence economic outcomes across generations.",No,N/A,The available information (title and missing abstract) does not provide any details about specific measures of intergenerational mobility.,N/A,N/A
https://openalex.org/W4402923847,Yes,"The paper examines whether digital financial inclusion can affect intergenerational income mobility in China, essentially asking if greater access to digital finance may promote income mobility across generations.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W4404002973,Yes,"The paper examines digital factor participation as a potential pathway for individuals to move from lower to higher income levels, framing its analysis in terms of intergenerational income mobility and how new digital opportunities might disrupt traditional wealth transfer patterns.",No,N/A,The provided information does not include details about any specific measures used to study intergenerational wealth/income mobility.,N/A,N/A
https://openalex.org/W4404109958,Yes,The title indicates that the paper examines intergenerational income mobility by exploring the different sources that contribute to mobility differences between high and low income families.,No,N/A,The available information (title and error fetching abstract) does not provide details on any specific measures used to study intergenerational income mobility.,N/A,N/A
https://openalex.org/W4405458573,Yes,"The title indicates the paper examines how trade affects intergenerational income mobility in the U.S., combining theoretical analysis with empirical evidence.",Yes,N/A – The available information does not specify the particular measures used.,N/A,Yes,N/A
https://openalex.org/W4406371807,Yes,The title indicates that the paper focuses on intergenerational income mobility by exploring how individual‐specific heterogeneity can affect its measurement.,Yes,The available information only suggests that methods to account for individual-specific heterogeneity are discussed; no specific measures are detailed.,N/A,N/A,N/A
https://openalex.org/W4406809927,Yes,"Based solely on the title, the paper appears to examine wealth mobility in two villages of Bihar—in all likelihood considering how wealth distributions change over time, which may imply an inter/multigenerational perspective. However, the lack of a retrievable abstract prevents a more detailed understanding.",No,N/A,The provided information does not offer any details on specific measures to study wealth mobility.,N/A,N/A
https://openalex.org/W4407233874,Yes,"The paper examines the impact of college enrollment expansion on intergenerational income mobility, suggesting it explores the relationship between educational access and income across generations.",No,N/A,The available information does not provide any details on specific measures used to study intergenerational income mobility.,N/A,N/A
