id,result,category,measure
34,"{
  ""category"": 8,
  ""measure"": ""Descriptive mobility measures based on observed changes in the size and composition of the middle class and poverty reduction""
}",8,Descriptive mobility measures based on observed changes in the size and composition of the middle class and poverty reduction
36,"{
  ""category"": 4,
  ""measure"": ""Absolute Mobility Measures (e.g., comparing career earnings outcomes as an upward mobility gap)""
}",4,"Absolute Mobility Measures (e.g., comparing career earnings outcomes as an upward mobility gap)"
46,"{
  ""category"": 8,
  ""measure"": ""Modified median voter model–based measure of income mobility and redistribution""
}",8,Modified median voter model–based measure of income mobility and redistribution
47,"{
  ""category"": 8,
  ""measure"": ""Qualitative measures based on surveys and semi‐structured interviews (no explicit quantitative mobility measure such as IGE or transition matrix)""
}",8,Qualitative measures based on surveys and semi‐structured interviews (no explicit quantitative mobility measure such as IGE or transition matrix)
48,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE) – a regression‐based estimate of the influence of family background on child outcomes""}",1,Intergenerational Elasticity (IGE) – a regression‐based estimate of the influence of family background on child outcomes
50,"{
  ""category"": 4,
  ""measure"": ""Absolute mobility measures – comparing individuals’ attained positions (e.g., income levels and executive roles) relative to their low socioeconomic origins""
}",4,"Absolute mobility measures – comparing individuals’ attained positions (e.g., income levels and executive roles) relative to their low socioeconomic origins"
58,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Income Elasticity (IGE)""
}",1,Intergenerational Income Elasticity (IGE)
63,"{
  ""category"": 1,
  ""measure"": ""The paper appears to rely on regression‐based estimates of intergenerational (and intragenerational) income mobility—typically captured by measures such as intergenerational elasticity—which quantify how parental (or earlier life) incomes relate to later outcomes.""
}",1,The paper appears to rely on regression‐based estimates of intergenerational (and intragenerational) income mobility—typically captured by measures such as intergenerational elasticity—which quantify how parental (or earlier life) incomes relate to later outcomes.
69,"{
  ""category"": 1,
  ""measure"": ""Wage gap estimates derived from regression analyses (assessing the role of occupational sorting via autonomy and prosocial characteristics)""
}",1,Wage gap estimates derived from regression analyses (assessing the role of occupational sorting via autonomy and prosocial characteristics)
75,"{
  ""category"": 8,
  ""measure"": ""Pseudo‐panel based income mobility measure constructed from pattern data""
}",8,Pseudo‐panel based income mobility measure constructed from pattern data
87,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE)""
}",1,Intergenerational Elasticity (IGE)
88,"{
  ""category"": 6,
  ""measure"": ""unfair inequality measure (decomposing overall inequality into fair and unfair components based on equality of opportunity and freedom from poverty)""
}",6,unfair inequality measure (decomposing overall inequality into fair and unfair components based on equality of opportunity and freedom from poverty)
89,"{
  ""category"": 3,
  ""measure"": ""The paper uses a transition‐matrix approach to assess intergenerational class mobility – evidenced by the analysis of how many individuals end up in a different class from their father – alongside regression‐based findings (e.g. declining explained variance in wage income by class position)""
}",3,The paper uses a transition‐matrix approach to assess intergenerational class mobility – evidenced by the analysis of how many individuals end up in a different class from their father – alongside regression‐based findings (e.g. declining explained variance in wage income by class position)
93,"{
  ""category"": 8,
  ""measure"": ""Descriptive analysis of utilization rates of the GI Bill transfer provision""
}",8,Descriptive analysis of utilization rates of the GI Bill transfer provision
94,"{
  ""category"": 6,
  ""measure"": ""Structural model that links parental value transmission (obedience vs. independence) to labor market outcomes and steady‐state social mobility patterns""
}",6,Structural model that links parental value transmission (obedience vs. independence) to labor market outcomes and steady‐state social mobility patterns
100,"{
  ""category"": 8,
  ""measure"": ""No explicit measure provided""
}",8,No explicit measure provided
102,"{
  ""category"": 6,
  ""measure"": ""A structural parameter capturing the differential cost of human capital accumulation between children of educated and non‐educated families, which operationalizes the degree of social mobility.""
}",6,"A structural parameter capturing the differential cost of human capital accumulation between children of educated and non‐educated families, which operationalizes the degree of social mobility."
103,"{
  ""category"": 4,
  ""measure"": ""Share of self-made fortunes (absolute mobility measure)""
}",4,Share of self-made fortunes (absolute mobility measure)
107,"{
  ""category"": 8,
  ""measure"": ""Vertical socioeconomic mobility based on the disproportionate representation of entrepreneurs from higher-status castes and high economic status families (no specific standardized quantitative measure such as IGE, transition matrix, etc. is provided)""
}",8,"Vertical socioeconomic mobility based on the disproportionate representation of entrepreneurs from higher-status castes and high economic status families (no specific standardized quantitative measure such as IGE, transition matrix, etc. is provided)"
108,"{
  ""category"": 1,
  ""measure"": ""Instrumental Variables estimates (regression-based measures of the causal effect of parental education on offspring inventing probability)""
}",1,Instrumental Variables estimates (regression-based measures of the causal effect of parental education on offspring inventing probability)
109,"{""category"": 1, ""measure"": ""Income Elasticity (as estimated via the Tobit regression model)""}",1,Income Elasticity (as estimated via the Tobit regression model)
110,"{
  ""category"": 6,
  ""measure"": ""A structural/welfare‐based measure that assesses the degree of intra‐generational income mobility by evaluating the trade‐offs between inequality and uncertainty effects – comparing observed low mobility (with income switchings rewarding or compensating individuals) against a counterfactual complete reversal process.""
}",6,A structural/welfare‐based measure that assesses the degree of intra‐generational income mobility by evaluating the trade‐offs between inequality and uncertainty effects – comparing observed low mobility (with income switchings rewarding or compensating individuals) against a counterfactual complete reversal process.
114,"{
  ""category"": 1,
  ""measure"": ""Regression coefficient estimating the causal effect of parental education on offspring probability of inventing (using an instrumental variable approach)""
}",1,Regression coefficient estimating the causal effect of parental education on offspring probability of inventing (using an instrumental variable approach)
115,"{
  ""category"": 8,
  ""measure"": ""The paper does not report use of a standard mobility measure (such as IGE, rank‐correlations, or transition matrices). Instead, it discusses estimating the joint effect of sociodemographic shifts (namely rising marital homogamy in human capital and changes in female labor supply) on long‐term income dynamics and intergenerational mobility, which does not fall neatly into the conventional categories and is best classified as ‘Others’""
}",8,"The paper does not report use of a standard mobility measure (such as IGE, rank‐correlations, or transition matrices). Instead, it discusses estimating the joint effect of sociodemographic shifts (namely rising marital homogamy in human capital and changes in female labor supply) on long‐term income dynamics and intergenerational mobility, which does not fall neatly into the conventional categories and is best classified as ‘Others’"
119,"{
  ""category"": 8,
  ""measure"": ""No specific measure is explicitly mentioned in the abstract.""
}",8,No specific measure is explicitly mentioned in the abstract.
120,"{
  ""category"": 8,
  ""measure"": ""Qualitative descriptive assessment of social mobility (no formal quantitative measure)""
}",8,Qualitative descriptive assessment of social mobility (no formal quantitative measure)
121,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify any particular quantitative measure, such as IGE, transition probabilities, or any other model-based estimate. Instead, it describes a survey and data visualizations to illustrate socioeconomic mobility, leaving the exact measure unspecified.""
}",8,"The abstract does not specify any particular quantitative measure, such as IGE, transition probabilities, or any other model-based estimate. Instead, it describes a survey and data visualizations to illustrate socioeconomic mobility, leaving the exact measure unspecified."
123,"{
  ""category"": 8,
  ""measure"": ""Bourdieusian class analysis (a qualitative, theoretical framework rather than a formal quantitative mobility measure)""
}",8,"Bourdieusian class analysis (a qualitative, theoretical framework rather than a formal quantitative mobility measure)"
126,"{
  ""category"": 8,
  ""measure"": ""The paper does not employ a conventional inter‐ or multi‐generational mobility measure (such as IGE, transition matrices, or rank‐based measures). Instead, it discusses income ratios (e.g., comparing the average income of the richest 10% versus the poorest 10%) as an indicator of inequality and relates these to theoretical aspects of social mobility.""
}",8,"The paper does not employ a conventional inter‐ or multi‐generational mobility measure (such as IGE, transition matrices, or rank‐based measures). Instead, it discusses income ratios (e.g., comparing the average income of the richest 10% versus the poorest 10%) as an indicator of inequality and relates these to theoretical aspects of social mobility."
132,"{
  ""category"": 8,
  ""measure"": ""Laeken poverty indicators (at‐risk‐of‐poverty‐rate for unemployed and employed persons)""
}",8,Laeken poverty indicators (at‐risk‐of‐poverty‐rate for unemployed and employed persons)
134,"{
  ""category"": 1,
  ""measure"": ""Regression‐based estimates of mobility: the study uses conditional regression models (controlling for baseline values and covariates) to assess the predictive effect of polygenic scores on wage, income, and occupational prestige mobility.""
}",1,"Regression‐based estimates of mobility: the study uses conditional regression models (controlling for baseline values and covariates) to assess the predictive effect of polygenic scores on wage, income, and occupational prestige mobility."
135,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE) – a regression‐based estimate of income mobility""}",1,Intergenerational Elasticity (IGE) – a regression‐based estimate of income mobility
138,"{""category"": 6, ""measure"": ""Structural mobility and circular mobility measures""}",6,Structural mobility and circular mobility measures
139,"{
  ""category"": 8,
  ""measure"": ""The paper does not report a model‐based mobility estimate (such as IGE, transition matrix, etc.), but rather relies on descriptive analysis (interviews and statistical data on migration history and occupation) to discuss income stability and occupational independence. This falls under 'Others'.""
}",8,"The paper does not report a model‐based mobility estimate (such as IGE, transition matrix, etc.), but rather relies on descriptive analysis (interviews and statistical data on migration history and occupation) to discuss income stability and occupational independence. This falls under 'Others'."
141,"{
  ""category"": 6,
  ""measure"": ""Direct and indirect effects on upward mobility (with job accessibility and income segregation as mediators) estimated via structural equation modeling""
}",6,Direct and indirect effects on upward mobility (with job accessibility and income segregation as mediators) estimated via structural equation modeling
142,"{
  ""category"": 4,
  ""measure"": ""Educational Mobility – percentage of children who are better educated than their parents (62% upward movement)""
}",4,Educational Mobility – percentage of children who are better educated than their parents (62% upward movement)
143,"{""category"": 1, ""measure"": ""Regression‐based estimates (i.e., coefficients from models linking parental occupational class, education, and income to children’s occupational outcomes)""}",1,"Regression‐based estimates (i.e., coefficients from models linking parental occupational class, education, and income to children’s occupational outcomes)"
146,"{
  ""category"": 6,
  ""measure"": ""A structural model approach that estimates how parental values (obedience versus independence) affect social mobility outcomes""
}",6,A structural model approach that estimates how parental values (obedience versus independence) affect social mobility outcomes
147,"{
  ""category"": 6,
  ""measure"": ""Structural measure of income mobility and distributional impacts estimated from a heterogeneous agent model""
}",6,Structural measure of income mobility and distributional impacts estimated from a heterogeneous agent model
150,"{
  ""category"": 1,
  ""measure"": ""Instrumental variable estimates from regression models (i.e. regression coefficients capturing the causal effect of parental education on offspring invention probability)""
}",1,Instrumental variable estimates from regression models (i.e. regression coefficients capturing the causal effect of parental education on offspring invention probability)
151,"{
  ""category"": 1,
  ""measure"": ""Model residuals from regression analysis (capturing deviations in acceptance of income differences explained by the proposed mechanisms)""
}",1,Model residuals from regression analysis (capturing deviations in acceptance of income differences explained by the proposed mechanisms)
155,"{
  ""category"": 3,
  ""measure"": ""Transition probability measure (quantifying the chance of low‐skilled individuals moving to the high‐skilled group, as derived from the theoretical model)""
}",3,"Transition probability measure (quantifying the chance of low‐skilled individuals moving to the high‐skilled group, as derived from the theoretical model)"
157,"{
  ""category"": 8,
  ""measure"": ""Not explicitly mentioned in the abstract""
}",8,Not explicitly mentioned in the abstract
162,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular quantitative measure (such as IGE, rank‐correlation, or a transition matrix) but rather discusses the overall trends in mobility and income distribution. Hence, no clearly defined measure from the listed categories is identifiable.""
}",8,"The abstract does not specify a particular quantitative measure (such as IGE, rank‐correlation, or a transition matrix) but rather discusses the overall trends in mobility and income distribution. Hence, no clearly defined measure from the listed categories is identifiable."
164,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a concrete intergenerational mobility measure (e.g. IGE, rank-based, etc.) but rather critiques a theoretical model of non‐competitivity using general statistics on social mobility.""
}",8,"The abstract does not specify a concrete intergenerational mobility measure (e.g. IGE, rank-based, etc.) but rather critiques a theoretical model of non‐competitivity using general statistics on social mobility."
165,"{
  ""category"": 6,
  ""measure"": ""Decomposition of aggregate wealth inequality by occupational class""
}",6,Decomposition of aggregate wealth inequality by occupational class
167,"{
  ""category"": 1,
  ""measure"": ""The paper appears to use regression‐based measures. It reports the proportion of variance in wage income explained by class (i.e. an R-squared–type statistic) and also observes mobility through differences in class positions between fathers and children.""
}",1,The paper appears to use regression‐based measures. It reports the proportion of variance in wage income explained by class (i.e. an R-squared–type statistic) and also observes mobility through differences in class positions between fathers and children.
168,"{
  ""category"": 5,
  ""measure"": ""The study uses a multigenerational approach—examining class status transmission (notably noting that those with impoverished grandparents remain disadvantaged)—which fits under multigenerational measures. It also reports a Gini coefficient for land distribution, although for mobility the focus is on class continuity across generations.""
}",5,"The study uses a multigenerational approach—examining class status transmission (notably noting that those with impoverished grandparents remain disadvantaged)—which fits under multigenerational measures. It also reports a Gini coefficient for land distribution, although for mobility the focus is on class continuity across generations."
169,"{
  ""category"": 7,
  ""measure"": ""Non‐parametric adjusted regression approach expressing interactions as nonlinear marginal effects""
}",7,Non‐parametric adjusted regression approach expressing interactions as nonlinear marginal effects
172,"{
  ""category"": 8,
  ""measure"": ""The paper does not calculate a traditional quantitative mobility metric. Instead, it offers a qualitative examination of parental investments and the role of kin financial transfers in supporting expenditures (e.g., education, enrichment) during economic hardship.""
}",8,"The paper does not calculate a traditional quantitative mobility metric. Instead, it offers a qualitative examination of parental investments and the role of kin financial transfers in supporting expenditures (e.g., education, enrichment) during economic hardship."
173,"{
  ""category"": 8,
  ""measure"": ""The study does not employ a formal quantitative measure of intergenerational mobility (e.g., regression‐based IGE, rank‐based, etc.) but instead uses a qualitative pilot interview approach to explore academic capital formation.""
}",8,"The study does not employ a formal quantitative measure of intergenerational mobility (e.g., regression‐based IGE, rank‐based, etc.) but instead uses a qualitative pilot interview approach to explore academic capital formation."
177,"{
  ""category"": 6,
  ""measure"": ""Structural equilibrium measure of intergenerational wealth/utility persistence derived from a dynamic skill acquisition model""
}",6,Structural equilibrium measure of intergenerational wealth/utility persistence derived from a dynamic skill acquisition model
180,"{
  ""category"": 1,
  ""measure"": ""The paper employs regression‐based estimation methods—estimating, for example, the earnings‐experience profile and the responsiveness of wages to changes in educational supply—to assess intergenerational mobility effects. This falls under regression‐based measures such as those estimating differential returns to education.""
}",1,"The paper employs regression‐based estimation methods—estimating, for example, the earnings‐experience profile and the responsiveness of wages to changes in educational supply—to assess intergenerational mobility effects. This falls under regression‐based measures such as those estimating differential returns to education."
183,"{
  ""category"": 8,
  ""measure"": ""No explicit measure of intergenerational mobility is provided in the abstract. The paper critiques existing evidence (such as the Great Gatsby Curve and use of the Gini coefficient for inequality) without introducing a specific quantitative mobility measure.""
}",8,No explicit measure of intergenerational mobility is provided in the abstract. The paper critiques existing evidence (such as the Great Gatsby Curve and use of the Gini coefficient for inequality) without introducing a specific quantitative mobility measure.
185,"{
  ""category"": 6,
  ""measure"": ""TFP elasticity of output per worker (from a calibrated structural model using cross‐country and immigrant earnings data)""
}",6,TFP elasticity of output per worker (from a calibrated structural model using cross‐country and immigrant earnings data)
191,"{
  ""category"": 8,
  ""measure"": ""Absolute measures of parental monetary transfers (annual amounts and cumulative transfers over time)""
}",8,Absolute measures of parental monetary transfers (annual amounts and cumulative transfers over time)
196,"{
  ""category"": 8,
  ""measure"": ""Inherited income distribution pattern (as a barrier to mobility)""
}",8,Inherited income distribution pattern (as a barrier to mobility)
206,"{
  ""category"": 6,
  ""measure"": ""A structural model‐based measure that quantifies intergenerational wealth mobility, along with intragenerational variability, by simulating the transmission of income shocks influenced by habits (aspirations) and bequests.""
}",6,"A structural model‐based measure that quantifies intergenerational wealth mobility, along with intragenerational variability, by simulating the transmission of income shocks influenced by habits (aspirations) and bequests."
207,"{""category"": 1, ""measure"": ""Regression‐based measures, such as regression coefficients capturing the association (e.g., an elasticity‐like estimate) between parental wealth and offspring outcomes""}",1,"Regression‐based measures, such as regression coefficients capturing the association (e.g., an elasticity‐like estimate) between parental wealth and offspring outcomes"
209,"{
  ""category"": 6,
  ""measure"": ""Structural model‐based estimates of intergenerational wealth/income mobility via a unified Aiyagari‐type framework""
}",6,Structural model‐based estimates of intergenerational wealth/income mobility via a unified Aiyagari‐type framework
217,"{
  ""category"": 1,
  ""measure"": ""The study appears to use regression‐based measures—likely estimating intergenerational income gaps via approaches such as Intergenerational Income Elasticity (IGE)""
}",1,The study appears to use regression‐based measures—likely estimating intergenerational income gaps via approaches such as Intergenerational Income Elasticity (IGE)
228,"{
  ""category"": 1,
  ""measure"": ""A regression‐based measure – specifically, a multilevel (regression) model estimate of perceived inequality of opportunity (akin to measures such as the intergenerational elasticity applied to opportunity claims)""
}",1,"A regression‐based measure – specifically, a multilevel (regression) model estimate of perceived inequality of opportunity (akin to measures such as the intergenerational elasticity applied to opportunity claims)"
229,"{
  ""category"": 8,
  ""measure"": ""Not specified; the abstract does not specify a particular measure for intergenerational mobility.""
}",8,Not specified; the abstract does not specify a particular measure for intergenerational mobility.
232,"{
  ""category"": 8,
  ""measure"": ""Inequality measures – specifically, the paper reports changes in the relative inequality using the Gini coefficient, changes in absolute dispersion, and shifts in wealth shares across ranks (e.g. top decile and bottom half)""
}",8,"Inequality measures – specifically, the paper reports changes in the relative inequality using the Gini coefficient, changes in absolute dispersion, and shifts in wealth shares across ranks (e.g. top decile and bottom half)"
235,"{
  ""category"": 8,
  ""measure"": ""Qualitative evidence from in-depth interviews and fieldwork examining cultural mobility strategies""
}",8,Qualitative evidence from in-depth interviews and fieldwork examining cultural mobility strategies
236,"{
  ""category"": 8,
  ""measure"": ""A theoretical, model‐derived measure of the net direction of intergenerational transfers (shifting from transfers from young to old versus from old to young) based on steady state demographic‐economic dynamics.""
}",8,"A theoretical, model‐derived measure of the net direction of intergenerational transfers (shifting from transfers from young to old versus from old to young) based on steady state demographic‐economic dynamics."
237,"{
  ""category"": 6,
  ""measure"": ""Model‐implied structural measure of intergenerational mobility""
}",6,Model‐implied structural measure of intergenerational mobility
239,"{
  ""category"": 8,
  ""measure"": ""No specific mobility measure is applied. The paper focuses on data linkage and administrative record methodology for building parent‐child connections rather than estimating a particular intergenerational mobility metric.""
}",8,No specific mobility measure is applied. The paper focuses on data linkage and administrative record methodology for building parent‐child connections rather than estimating a particular intergenerational mobility metric.
247,"{
  ""category"": 3,
  ""measure"": ""Transition probabilities – for example, the probability that children attain lower, equal, or higher educational outcomes relative to their parents (e.g., the share completing less schooling than their parents or college completion rates by parental income quartile)""
}",3,"Transition probabilities – for example, the probability that children attain lower, equal, or higher educational outcomes relative to their parents (e.g., the share completing less schooling than their parents or college completion rates by parental income quartile)"
249,"{
  ""category"": 8,
  ""measure"": ""A model‐based measure of intergenerational class transition probabilities derived from equilibrium outcomes (capturing the presence of poverty traps and polarization) that does not correspond directly to the standard empirical measures listed.""
}",8,A model‐based measure of intergenerational class transition probabilities derived from equilibrium outcomes (capturing the presence of poverty traps and polarization) that does not correspond directly to the standard empirical measures listed.
252,"{
  ""category"": 8,
  ""measure"": ""Family transfer estimates – e.g., estimates of private transfers as 30.7% of GDP and 70% of total transfers""
}",8,"Family transfer estimates – e.g., estimates of private transfers as 30.7% of GDP and 70% of total transfers"
256,"{
  ""category"": 6,
  ""measure"": ""Structural model estimates derived from a dynastic‐consumption equalizing framework that quantifies the intergenerational transmission of wealth via planned bequests and associated parameters""
}",6,Structural model estimates derived from a dynastic‐consumption equalizing framework that quantifies the intergenerational transmission of wealth via planned bequests and associated parameters
273,"{
  ""category"": 8,
  ""measure"": ""The study appears to use a poverty‐risk based measure of intergenerational mobility (i.e. assessing how maternal employment influences the likelihood of children falling into or avoiding poverty), rather than a standard regression‐based, rank‐based, transition matrix, or other commonly labeled mobility measure.""
}",8,"The study appears to use a poverty‐risk based measure of intergenerational mobility (i.e. assessing how maternal employment influences the likelihood of children falling into or avoiding poverty), rather than a standard regression‐based, rank‐based, transition matrix, or other commonly labeled mobility measure."
282,"{
  ""category"": 1,
  ""measure"": ""The abstract refers to regression‐based estimates of intergenerational income mobility, typically using an econometric model such as the intergenerational elasticity (IGE) estimated via regression.""
}",1,"The abstract refers to regression‐based estimates of intergenerational income mobility, typically using an econometric model such as the intergenerational elasticity (IGE) estimated via regression."
283,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a mobility‐specific measure (e.g., Intergenerational Elasticity or transition matrices) but rather discusses inequality metrics such as the Gini coefficient and income shares (top 1%, richest 20%, etc.) derived from tax and survey data. These measures are not directly classified under intergenerational mobility measures as listed.""
}",8,"The abstract does not specify a mobility‐specific measure (e.g., Intergenerational Elasticity or transition matrices) but rather discusses inequality metrics such as the Gini coefficient and income shares (top 1%, richest 20%, etc.) derived from tax and survey data. These measures are not directly classified under intergenerational mobility measures as listed."
287,"{
  ""category"": 8,
  ""measure"": ""No explicit measure is mentioned in the abstract""
}",8,No explicit measure is mentioned in the abstract
288,"{
  ""category"": 8,
  ""measure"": ""General equilibrium model‐based measure quantifying intergenerational persistence (a structural model approach not fitting the standard empirical mobility measures)""
}",8,General equilibrium model‐based measure quantifying intergenerational persistence (a structural model approach not fitting the standard empirical mobility measures)
293,"{
  ""category"": 6,
  ""measure"": ""A structural measure derived from an endogenous growth model that captures income convergence and intergenerational mobility through human capital spillovers.""
}",6,A structural measure derived from an endogenous growth model that captures income convergence and intergenerational mobility through human capital spillovers.
300,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify an explicit quantitative measure; it only discusses intergenerational mobility broadly without naming a particular model-based or rank‐based estimate.""
}",8,The abstract does not specify an explicit quantitative measure; it only discusses intergenerational mobility broadly without naming a particular model-based or rank‐based estimate.
302,"{
  ""category"": 8,
  ""measure"": ""Dynamic model‐based intergenerational mobility parameter (capturing the strength and effect of community‐based network support)""
}",8,Dynamic model‐based intergenerational mobility parameter (capturing the strength and effect of community‐based network support)
305,"{
  ""category"": 1,
  ""measure"": ""Regression‐based estimates evaluating the disadvantage in educational attainment and income for children with migration background""
}",1,Regression‐based estimates evaluating the disadvantage in educational attainment and income for children with migration background
307,"{
  ""category"": 1,
  ""measure"": ""Intergenerational transmission of income (typically estimated via regression, such as the Intergenerational Elasticity, IGE)""
}",1,"Intergenerational transmission of income (typically estimated via regression, such as the Intergenerational Elasticity, IGE)"
308,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Income Elasticity (IGE)""
}",1,Intergenerational Income Elasticity (IGE)
309,"{
  ""category"": 6,
  ""measure"": ""Dynamic general equilibrium-based intergenerational mobility and returns to human capital measures via steady state comparative statics (structural approach)""
}",6,Dynamic general equilibrium-based intergenerational mobility and returns to human capital measures via steady state comparative statics (structural approach)
310,"{
  ""category"": 8,
  ""measure"": ""Structural model‐based estimate of intergenerational (and intragenerational) mobility derived from a theoretical model""
}",8,Structural model‐based estimate of intergenerational (and intragenerational) mobility derived from a theoretical model
314,"{
  ""category"": 8,
  ""measure"": ""The paper does not specify an empirical measure; it proposes a theoretical mechanism linking work attitudes and intergenerational mobility without introducing a specific quantitative measure.""
}",8,The paper does not specify an empirical measure; it proposes a theoretical mechanism linking work attitudes and intergenerational mobility without introducing a specific quantitative measure.
316,"{
  ""category"": 8,
  ""measure"": ""Net intergenerational wealth flow""
}",8,Net intergenerational wealth flow
320,"{
  ""category"": 1,
  ""measure"": ""Income‐education regression coefficient (interpretable as an intergenerational elasticity measure), estimated using sibling fixed effects""
}",1,"Income‐education regression coefficient (interpretable as an intergenerational elasticity measure), estimated using sibling fixed effects"
324,"{
  ""category"": 6,
  ""measure"": ""A structural/decomposition approach evaluating four mechanisms—intergenerational ability correlation, consumption value of investment, information frictions, and credit constraints—to assess how parental income influences child investments and skills.""
}",6,"A structural/decomposition approach evaluating four mechanisms—intergenerational ability correlation, consumption value of investment, information frictions, and credit constraints—to assess how parental income influences child investments and skills."
333,"{
  ""category"": 1,
  ""measure"": ""Regression coefficient relating wealth to net fertility (yielding a doubling in children for the richest compared to the poorest)""
}",1,Regression coefficient relating wealth to net fertility (yielding a doubling in children for the richest compared to the poorest)
341,"{
  ""category"": 8,
  ""measure"": ""The abstract does not provide explicit details on the specific intergenerational mobility measure used.""
}",8,The abstract does not provide explicit details on the specific intergenerational mobility measure used.
342,"{
  ""category"": 8,
  ""measure"": ""The abstract does not mention a specific model-derived measure; it describes analyses of upward and downward social mobility based on historical records.""
}",8,The abstract does not mention a specific model-derived measure; it describes analyses of upward and downward social mobility based on historical records.
351,"{
  ""category"": 6,
  ""measure"": ""Structural model‐based mobility estimates from counterfactual tax policy simulations (yielding wealth mobility but not income mobility)""
}",6,Structural model‐based mobility estimates from counterfactual tax policy simulations (yielding wealth mobility but not income mobility)
359,"{
  ""category"": 1,
  ""measure"": ""Child Fixed Effects Regression Coefficient (estimating the causal impact of teacher caste on learning outcomes)""
}",1,Child Fixed Effects Regression Coefficient (estimating the causal impact of teacher caste on learning outcomes)
361,"{
  ""category"": 8,
  ""measure"": ""The abstract does not explicitly specify a measure (e.g., an intergenerational elasticity or other quantified estimate); thus, no particularly named measure within the listed categories can be identified.""
}",8,"The abstract does not explicitly specify a measure (e.g., an intergenerational elasticity or other quantified estimate); thus, no particularly named measure within the listed categories can be identified."
364,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular quantitative measure (e.g., IGE, rank‐based or transition matrices) for intergenerational wealth mobility; it only discusses empirical estimates and trends.""
}",8,"The abstract does not specify a particular quantitative measure (e.g., IGE, rank‐based or transition matrices) for intergenerational wealth mobility; it only discusses empirical estimates and trends."
