id,category,measure,specified,relevant,category_2,measure_1,measure_2,category_3
110,6,A structural/welfare‐based measure that assesses the degree of intra‐generational income mobility by evaluating the trade‐offs between inequality and uncertainty effects – comparing observed low mobility (with income switchings rewarding or compensating individuals) against a counterfactual complete reversal process.,1,1,,Structural Measure,,
114,1,Regression coefficient estimating the causal effect of parental education on offspring probability of inventing (using an instrumental variable approach),1,1,,Regression Coefficient,,
115,8,"The paper does not report use of a standard mobility measure (such as IGE, rank‐correlations, or transition matrices). Instead, it discusses estimating the joint effect of sociodemographic shifts (namely rising marital homogamy in human capital and changes in female labor supply) on long‐term income dynamics and intergenerational mobility, which does not fall neatly into the conventional categories and is best classified as ‘Others’",0,1,,,,
119,8,No specific measure is explicitly mentioned in the abstract.,0,1,,,,
120,8,Qualitative descriptive assessment of social mobility (no formal quantitative measure),1,1,,Qualitative,,
121,8,"The abstract does not specify any particular quantitative measure, such as IGE, transition probabilities, or any other model-based estimate. Instead, it describes a survey and data visualizations to illustrate socioeconomic mobility, leaving the exact measure unspecified.",0,1,,,,
123,8,"Bourdieusian class analysis (a qualitative, theoretical framework rather than a formal quantitative mobility measure)",1,1,,Bourdieusian Analysis,,
126,8,"The paper does not employ a conventional inter‐ or multi‐generational mobility measure (such as IGE, transition matrices, or rank‐based measures). Instead, it discusses income ratios (e.g., comparing the average income of the richest 10% versus the poorest 10%) as an indicator of inequality and relates these to theoretical aspects of social mobility.",0,1,,Income Ratios,,
132,8,Laeken poverty indicators (at‐risk‐of‐poverty‐rate for unemployed and employed persons),1,0,,Laeken Poverty Indicators,,
134,1,"Regression‐based estimates of mobility: the study uses conditional regression models (controlling for baseline values and covariates) to assess the predictive effect of polygenic scores on wage, income, and occupational prestige mobility.",1,1,,Regression‐based Estimate,,
135,1,Intergenerational Elasticity (IGE) – a regression‐based estimate of income mobility,1,1,,Intergenerational Elasticity,,
138,6,Structural mobility and circular mobility measures,1,1,6,Structural Mobility,Circular Mobility,
139,8,"The paper does not report a model‐based mobility estimate (such as IGE, transition matrix, etc.), but rather relies on descriptive analysis (interviews and statistical data on migration history and occupation) to discuss income stability and occupational independence. This falls under 'Others'.",0,1,,,,
141,6,Direct and indirect effects on upward mobility (with job accessibility and income segregation as mediators) estimated via structural equation modeling,1,1,,Structural Equation Modeling,,
142,4,Educational Mobility – percentage of children who are better educated than their parents (62% upward movement),1,1,,Educational Mobility,,
143,1,"Regression‐based estimates (i.e., coefficients from models linking parental occupational class, education, and income to children’s occupational outcomes)",1,1,,Regression‐based Estimate,,
146,6,A structural model approach that estimates how parental values (obedience versus independence) affect social mobility outcomes,1,1,,Structural Model,,
147,6,Structural measure of income mobility and distributional impacts estimated from a heterogeneous agent model,1,1,,Structural Model,,
150,1,Instrumental variable estimates from regression models (i.e. regression coefficients capturing the causal effect of parental education on offspring invention probability),1,1,,Regression‐based Estimate,,
151,1,Model residuals from regression analysis (capturing deviations in acceptance of income differences explained by the proposed mechanisms),1,1,,Regression Residuals,,
155,3,"Transition probability measure (quantifying the chance of low‐skilled individuals moving to the high‐skilled group, as derived from the theoretical model)",1,1,,Transition Probability,,
157,8,Not explicitly mentioned in the abstract,0,1,,,,
162,8,"The abstract does not specify a particular quantitative measure (such as IGE, rank‐correlation, or a transition matrix) but rather discusses the overall trends in mobility and income distribution. Hence, no clearly defined measure from the listed categories is identifiable.",0,1,,,,
164,8,"The abstract does not specify a concrete intergenerational mobility measure (e.g. IGE, rank-based, etc.) but rather critiques a theoretical model of non‐competitivity using general statistics on social mobility.",0,1,,,,
165,6,Decomposition of aggregate wealth inequality by occupational class,1,1,,Decomposition,,
167,1,The paper appears to use regression‐based measures. It reports the proportion of variance in wage income explained by class (i.e. an R-squared–type statistic) and also observes mobility through differences in class positions between fathers and children.,1,1,,Regression‐based,,
168,5,"The study uses a multigenerational approach—examining class status transmission (notably noting that those with impoverished grandparents remain disadvantaged)—which fits under multigenerational measures. It also reports a Gini coefficient for land distribution, although for mobility the focus is on class continuity across generations.",1,1,2,Multigenerational Measure,Gini Coefficient,
169,7,Non‐parametric adjusted regression approach expressing interactions as nonlinear marginal effects,1,1,,Non‐parametric Regression,,
172,8,"The paper does not calculate a traditional quantitative mobility metric. Instead, it offers a qualitative examination of parental investments and the role of kin financial transfers in supporting expenditures (e.g., education, enrichment) during economic hardship.",0,1,,,,
173,8,"The study does not employ a formal quantitative measure of intergenerational mobility (e.g., regression‐based IGE, rank‐based, etc.) but instead uses a qualitative pilot interview approach to explore academic capital formation.",0,1,,,,
177,6,Structural equilibrium measure of intergenerational wealth/utility persistence derived from a dynamic skill acquisition model,1,1,,Structural Equilibrium,,
180,1,"The paper employs regression‐based estimation methods—estimating, for example, the earnings‐experience profile and the responsiveness of wages to changes in educational supply—to assess intergenerational mobility effects. This falls under regression‐based measures such as those estimating differential returns to education.",1,1,,Regression‐based,,
183,8,No explicit measure of intergenerational mobility is provided in the abstract. The paper critiques existing evidence (such as the Great Gatsby Curve and use of the Gini coefficient for inequality) without introducing a specific quantitative mobility measure.,0,1,,,,
185,6,TFP elasticity of output per worker (from a calibrated structural model using cross‐country and immigrant earnings data),1,0,,TFP Elasticity,,
191,8,Absolute measures of parental monetary transfers (annual amounts and cumulative transfers over time),1,1,,Parental Monetary Transfers,,
196,8,Inherited income distribution pattern (as a barrier to mobility),1,1,,Inherited Income Pattern,,
206,6,"A structural model‐based measure that quantifies intergenerational wealth mobility, along with intragenerational variability, by simulating the transmission of income shocks influenced by habits (aspirations) and bequests.",1,1,,Structural Model,,
207,1,"Regression‐based measures, such as regression coefficients capturing the association (e.g., an elasticity‐like estimate) between parental wealth and offspring outcomes",1,1,,Regression‐based,,
209,6,Structural model‐based estimates of intergenerational wealth/income mobility via a unified Aiyagari‐type framework,1,1,,Structural Model,,
217,1,The study appears to use regression‐based measures—likely estimating intergenerational income gaps via approaches such as Intergenerational Income Elasticity (IGE),1,1,,Intergenerational Elasticity,,
228,1,"A regression‐based measure – specifically, a multilevel (regression) model estimate of perceived inequality of opportunity (akin to measures such as the intergenerational elasticity applied to opportunity claims)",1,1,,Regression‐based Estimate,,
229,8,Not specified; the abstract does not specify a particular measure for intergenerational mobility.,0,1,,,,
232,8,"Inequality measures – specifically, the paper reports changes in the relative inequality using the Gini coefficient, changes in absolute dispersion, and shifts in wealth shares across ranks (e.g. top decile and bottom half)",1,0,,Inequality Measures,,
235,8,Qualitative evidence from in-depth interviews and fieldwork examining cultural mobility strategies,1,1,,Qualitative,,
236,8,"A theoretical, model‐derived measure of the net direction of intergenerational transfers (shifting from transfers from young to old versus from old to young) based on steady state demographic‐economic dynamics.",1,1,,Theoretical Measure,,
237,6,Model‐implied structural measure of intergenerational mobility,1,1,,Structural Model,,
239,8,No specific mobility measure is applied. The paper focuses on data linkage and administrative record methodology for building parent‐child connections rather than estimating a particular intergenerational mobility metric.,0,1,,,,
247,3,"Transition probabilities – for example, the probability that children attain lower, equal, or higher educational outcomes relative to their parents (e.g., the share completing less schooling than their parents or college completion rates by parental income quartile)",1,1,,Transition Probabilities,,
249,8,A model‐based measure of intergenerational class transition probabilities derived from equilibrium outcomes (capturing the presence of poverty traps and polarization) that does not correspond directly to the standard empirical measures listed.,1,1,,Model‐based Transition,,
252,8,"Family transfer estimates – e.g., estimates of private transfers as 30.7% of GDP and 70% of total transfers",1,1,,Family Transfer,,
256,6,Structural model estimates derived from a dynastic‐consumption equalizing framework that quantifies the intergenerational transmission of wealth via planned bequests and associated parameters,1,1,,Structural Model,,
273,8,"The study appears to use a poverty‐risk based measure of intergenerational mobility (i.e. assessing how maternal employment influences the likelihood of children falling into or avoiding poverty), rather than a standard regression‐based, rank‐based, transition matrix, or other commonly labeled mobility measure.",1,1,,Poverty‐risk Measure,,
282,1,"The abstract refers to regression‐based estimates of intergenerational income mobility, typically using an econometric model such as the intergenerational elasticity (IGE) estimated via regression.",1,1,,Intergenerational Elasticity,,
283,8,"The abstract does not specify a mobility‐specific measure (e.g., Intergenerational Elasticity or transition matrices) but rather discusses inequality metrics such as the Gini coefficient and income shares (top 1%, richest 20%, etc.) derived from tax and survey data. These measures are not directly classified under intergenerational mobility measures as listed.",0,0,,,,
287,8,No explicit measure is mentioned in the abstract,0,1,,,,
288,8,General equilibrium model‐based measure quantifying intergenerational persistence (a structural model approach not fitting the standard empirical mobility measures),1,1,,General Equilibrium Model,,
293,6,A structural measure derived from an endogenous growth model that captures income convergence and intergenerational mobility through human capital spillovers.,1,1,,Structural Measure,,
300,8,The abstract does not specify an explicit quantitative measure; it only discusses intergenerational mobility broadly without naming a particular model-based or rank‐based estimate.,0,1,,,,
302,8,Dynamic model‐based intergenerational mobility parameter (capturing the strength and effect of community‐based network support),1,1,,Dynamic Model Parameter,,
305,1,Regression‐based estimates evaluating the disadvantage in educational attainment and income for children with migration background,1,1,,Regression‐based Estimate,,
307,1,"Intergenerational transmission of income (typically estimated via regression, such as the Intergenerational Elasticity, IGE)",1,1,,Intergenerational Elasticity,,
308,1,Intergenerational Income Elasticity (IGE),1,1,,Intergenerational Elasticity,,
309,6,Dynamic general equilibrium-based intergenerational mobility and returns to human capital measures via steady state comparative statics (structural approach),1,1,,Dynamic Structural Model,,
310,8,Structural model‐based estimate of intergenerational (and intragenerational) mobility derived from a theoretical model,1,1,,Structural Model,,
314,8,The paper does not specify an empirical measure; it proposes a theoretical mechanism linking work attitudes and intergenerational mobility without introducing a specific quantitative measure.,0,1,,,,
316,8,Net intergenerational wealth flow,1,1,,Net Wealth Flow,,
320,1,"Income‐education regression coefficient (interpretable as an intergenerational elasticity measure), estimated using sibling fixed effects",1,1,,Regression Coefficient,,
324,6,"A structural/decomposition approach evaluating four mechanisms—intergenerational ability correlation, consumption value of investment, information frictions, and credit constraints—to assess how parental income influences child investments and skills.",1,1,,Structural Decomposition,,
333,1,Regression coefficient relating wealth to net fertility (yielding a doubling in children for the richest compared to the poorest),1,1,,Regression Coefficient,,
341,8,The abstract does not provide explicit details on the specific intergenerational mobility measure used.,0,1,,,,
342,8,The abstract does not mention a specific model-derived measure; it describes analyses of upward and downward social mobility based on historical records.,0,1,,,,
351,6,Structural model‐based mobility estimates from counterfactual tax policy simulations (yielding wealth mobility but not income mobility),1,1,,Structural Model,,
359,1,Child Fixed Effects Regression Coefficient (estimating the causal impact of teacher caste on learning outcomes),1,0,,Regression Coefficient,,
361,8,"The abstract does not explicitly specify a measure (e.g., an intergenerational elasticity or other quantified estimate); thus, no particularly named measure within the listed categories can be identified.",0,1,,,,
364,8,"The abstract does not specify a particular quantitative measure (e.g., IGE, rank‐based or transition matrices) for intergenerational wealth mobility; it only discusses empirical estimates and trends.",0,1,,,,
365,1,"The paper appears to use a regression‐based approach for intergenerational income mobility (i.e. an Intergenerational Elasticity type estimate), while its analysis of social class mobility suggests the use of transition‐type (probability or matrix) measures.",1,1,3,Intergenerational Elasticity,Transition Matrix,
368,1,Regression coefficient estimates capturing the effect of parental education on school track choice and college attendance,1,1,,Regression Coefficient,,
372,6,Calibrated structural model estimate of inheritance and intergenerational wealth mobility,1,1,,Structural Model,,
376,8,No specific model-based intergenerational or multigenerational wealth/income/earning mobility measure is reported.,0,1,,,,
377,8,"The abstract does not report any formal mobility estimates such as regression‐based elasticity or transition matrices. Instead, it focuses on descriptive concentration measures of wealth (and income) in the top one percent—emphasizing asset ownership, debt portfolios, and inheritance patterns—as a way to contextualize mobility into the top wealth group.",0,1,,,,
380,8,Model‐based measure of transitional welfare redistribution and debt overshooting outcomes derived from an overlapping generations framework,1,1,,Model‐based Transitional Measure,,
387,8,"The paper does not use a standard mobility measure but instead develops a theoretical model that characterizes equilibrium network structures. In this model, stability is determined by coalitions (restricted by a network distance k), intermediation decay in network benefits, and the degree of intergenerational transmission of wealth. Thus, the measure falls under ‘Others’ as it is a network‐equilibrium based approach rather than one of the conventional mobility measures.",1,1,,Network Equilibrium,,
390,8,Pareto distribution (stationary wealth distribution derived from a structural model),1,1,,Pareto Distribution,,
392,6,Structural Approaches,1,1,,Structural Approach,,
402,4,Absolute (structural) mobility,1,1,,Absolute Mobility,,
404,8,No specific empirical measure of inter/multigenerational wealth/income/earning mobility was mentioned in the abstract.,0,1,,,,
406,8,The abstract does not specify a particular quantitative measure; no model-based estimate is described.,0,1,,,,
409,6,Structural mobility estimate derived from a model of human capital production (combining schooling and parental time inputs) to decompose mobility and inequality effects,1,1,,Structural Mobility,,
410,6,A structural model-based parameter quantifying intergenerational mobility (no specific name provided),1,1,,Structural Parameter,,
411,6,Structural model‐based measure of intergenerational transmission along the transition path between steady states,1,1,,Structural Model,,
414,8,"The abstract does not specify any particular quantitative mobility measure (e.g., IGE, rank-based, transition matrices, etc.).",0,1,,,,
417,7,Supremum of a rescaled U-statistic for testing stochastic monotonicity,1,1,,U‐statistic,,
422,6,"Calibrated structural parameter(s) from the endogenous growth model capturing intergenerational mobility (in the context of the trade‐off between growth, inequality, and public education financing)",1,1,,Structural Parameter,,
429,8,Limited economic mobility indicated by persistent wealth status across generations (i.e. evidence that the rich had rich forbears) without a clearly specified formal measure such as an elasticity or rank‐based indicator.,0,1,,,,
435,3,The paper uses a structural model to derive the stationary (ergodic) wealth distribution and analyze wealth transition probabilities—including features like a thick upper tail and a mass point at the bottom—which serve as probabilistic measures of intergenerational mobility.,1,1,,Transition Probabilities,,
436,8,"The abstract does not specify a particular, well‐defined econometric measure (such as IGE, rank‐based mobility, or transition probabilities). Instead, it generally examines the role of educational expansion on income distribution and intergenerational movements using primary data, which does not clearly fit into any of the other specified categories.",0,1,,,,
444,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
445,8,"The abstract does not specify any one particular estimator (such as IGE, rank‐rank slope, etc.). Instead, it reviews various approaches to assessing income mobility—examining mobility over the life cycle and among the lowest-paid jobs—without explicitly tying the discussion to one of the standard model‐based measures.",0,1,,,,
446,8,Bibliometric analysis (co‐citation analysis and information visualization of dynamic networks),1,0,,Bibliometric Analysis,,
467,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
468,1,"Intergenerational Elasticity (IGE) – including extensions that capture nonlinearities (e.g., the inheritance of employers)",1,1,,Intergenerational Elasticity,,
476,1,Odds ratios estimated from multilevel logistic regression models,1,1,,Odds Ratios,,
485,6,Structural reading approach to intergenerational transfers,1,1,,Structural Reading,,
489,1,The paper appears to use a regression‐based approach—estimating how parental income (or poverty status) predicts children’s later economic outcomes (often captured via an intergenerational elasticity or similar regression coefficient)—to quantify intergenerational transmission of economic status.,1,1,,Intergenerational Elasticity,,
497,8,"The abstract does not specify a quantitative model-based measure; instead, it discusses inheritance taxation as a policy instrument without indicating a particular mobility estimate.",0,1,,,,
498,3,Transition Matrix / Probability Measures (capturing stickiness and direction of mobility),1,1,,Transition Matrix,,
504,8,"Not specified – the abstract does not mention a specific model-based estimate or equation, but rather describes patterns of upward mobility at the county level.",0,1,,,,
506,5,Wealth persistence across generations measured by repeated rich‐list analysis (tracking the top 0.01% share and turnover),1,1,,Rich‐list Analysis,,
508,6,Sibling correlations (variance decomposition using restricted maximum likelihood),1,1,,Sibling Correlations,,
516,8,"Relative concern parameters and reference group effects—measures that capture how reference group income influences effort decisions and economic satisfaction (with estimates of marginal sensitivity and the convexity/concavity of the relative concern function, as informed by prospect theory).",1,1,,Relative Concern Parameters,,
517,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
521,5,"Multigenerational mobility measures – the study leverages three‐generation data (e.g., tracking intergenerational income/education/location outcomes) to assess mobility differences",1,1,,Multigenerational Measure,,
522,6,"A structural model that quantifies the aggregate transition effects (e.g., gross aggregate transition effect and cohort-specific redistributive effects) when switching from a uniform to an actuarially fair pension system",1,1,,Structural Model,,
527,8,The abstract does not specify a particular mobility measure (such as an intergenerational elasticity or rank‐based measure) but mentions evidence from panel data and empirical tests rather than detailing a specific quantified mobility metric.,0,1,,,,
529,6,Overlapping-generations structural model of human and social capital investment,1,1,,Structural Model,,
531,6,A simulated intergenerational wealth mobility measure derived from a structural model that generates oscillations in wealth within dynasties based on occupational choice and education investment.,1,1,,Simulated Measure,,
538,8,No specific model-based mobility measure is mentioned; the paper discusses wealth transfer policies conceptually.,0,1,,,,
539,8,"The paper does not use standard quantitative intergenerational mobility measures (such as IGE, rank‐based indices, etc.). Instead, it develops a conceptual process theory that examines how groups capture and recombine routinized social practices, which indirectly relates to mobility and stratification.",0,1,,,,
540,6,A structural model-based measure that generates predictions of intergenerational mobility and migrant outcomes relative to income segregation,1,1,,Structural Model,,
547,1,Intergenerational Elasticity (IGE) implied,1,1,,Intergenerational Elasticity,,
550,2,Relative inequality measures – top shares or percentile ratios,1,0,,Relative Inequality,,
555,5,Multigenerational mobility and transfer measures (studies of intergenerational patterns across three generations),1,1,,Multigenerational Measure,,
556,1,Intergenerational Elasticity (IGE) and related regression‐based estimates of intergenerational persistence,1,1,,Intergenerational Elasticity,,
560,8,"Model‐based simulation outcomes such as savings and accumulation rates that generate long‐run distributional shifts, decumulation traps, and bounded accumulation effects",1,1,,Simulation Outcomes,,
583,8,"The study does not employ a formal quantitative mobility measure; instead, it uses qualitative assessments of wealth accumulation and entrepreneurial succession.",0,1,,,,
590,8,"The study did not employ a specific quantitative measure (e.g. IGE, rank‐based measure, transition matrix, etc.) but rather relied on qualitative narrative analysis from focus groups to discuss intergenerational wealth transfer.",0,1,,,,
595,8,Downward mobility measure based on intergenerational wealth data (not explicitly specified),0,1,,,,
598,6,A structural model‐based measure of intergenerational mobility dynamics (incorporating fertility differences and education cost effects),1,1,,Structural Model,,
601,6,Structural measure of integrational mobility derived from an extended model incorporating fiscal policy effects,1,1,,Structural Measure,,
606,8,"The abstract does not mention any specific mobility measure, only referring generally to empirical analysis of intergenerational mobility.",0,1,,,,
611,8,"The abstract does not specify a particular intergenerational mobility measure (such as IGE, rank‐based metrics, or transition matrices); it merely describes data linkage efforts that enable such analyses.",0,1,,,,
612,3,Transition Probability Measure – quantifying the probability of an individual climbing the social ladder,1,1,,Transition Probability,,
620,8,"The paper does not use quantitative mobility estimates (e.g., IGE, transition matrices, etc.) but rather employs a normative analysis centered on the Rignano tax scheme.",0,0,,,,
622,8,Decline in genetic assortative mating (used as an indicator of social mobility),1,1,,Genetic Assortative Mating,,
623,1,Regression‐based correlation estimates obtained via fixed effects specifications (using sibling comparisons to control for household heterogeneity),1,1,,Regression‐based Estimate,,
630,6,Structural measure in the form of a dynamic life‐cycle model estimating the effects of property tax funding on intergenerational mobility and the impact of policy interventions.,1,1,,Structural Model,,
633,8,"The abstract does not specify an explicit measure (e.g., a regression‐based estimate, rank‐based measure, etc.), so it falls under 'Others'.",0,1,,,,
640,1,Time‐interaction term model regression estimates (examining the determinants of redistribution preference),1,0,,Regression Estimate,,
641,6,"Intergenerational income mobility derived from a structural model simulation estimating welfare impacts, consumption smoothing, and inequality changes",1,1,,Structural Model,,
648,1,Elasticity of household education expenditure with respect to community education expenditure (0.307 elasticity),1,0,,Elasticity,,
659,1,Regression-based mediation effect (indirect effect of young adult income in the association between mothers' poverty and young adults' depression),1,0,,Regression Mediation,,
663,6,Redistributive effect estimated via a calibrated structural overlapping‐generations model (transition effect of switching from uniform to actuarially fair policies),1,1,,Structural Model,,
665,1,"The paper primarily employs regression‐based approaches—specifically, it references the two most adopted objective measures (typically estimated using regression models such as the intergenerational elasticity) alongside a newly proposed measure of perceived inequality of opportunity estimated via a multilevel regression framework.",1,1,,Intergenerational Elasticity,Perceived Inequality of Opportunity,
675,8,The paper uses a model‐derived parameter from the VES production function (within the Diamond overlapping generations framework) that affects intergenerational income/consumption inequality.,1,1,,VES Parameter,,
676,6,Structural model capturing income distribution dynamics with multiple steady states driven by historical discrimination and spillover ratios,1,1,,Structural Model,,
677,8,The abstract does not report a quantitative model or estimate but instead provides a qualitative legal and theoretical analysis of the role of family businesses in wealth inequality.,0,0,,,,
681,8,Structural model estimates of the impact of credit constraints on human capital and social mobility,1,1,,Structural Model,,
686,8,"Comparative estimates of net worth, home equity, asset accumulation, and earnings power between indebted and non-indebted individuals",1,0,,Comparative Estimates,,
690,1,The paper appears to use regression‐based estimates—such as estimates of intergenerational elasticity (IGE) and related sibling‐inequality regressions—to quantify social mobility.,1,1,,Intergenerational Elasticity,,
691,6,Structural Simulation Measures (counterfactual analysis using an overlapping‐generations dynamic general equilibrium model calibrated to neighborhood-specific technologies),1,1,,Structural Simulation,,
696,8,"The abstract does not specify a particular quantitative measure (e.g., IGE, rank mobility, etc.) for intergenerational mobility; it only references empirical analysis of inequality’s impacts without detailing a specific model-based estimate.",0,1,,,,
704,6,A structural measure derived from a theoretical model—assessing intergenerational mobility by quantifying the effect of parental education on an individual's potential (and thus economic outcomes) in equilibrium.,1,1,,Structural Model,,
706,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
707,8,Parental Monetary Transfer Amounts (annual and cumulative absolute amounts),1,1,,Parental Transfers,,
712,1,"The study estimates the intergenerational income‐achievement association using regression coefficients (i.e. the income effect on college enrollment, graduation, and years of schooling) by comparing groups defined by MAOA variants.",1,1,,Regression‐based Estimate,,
715,8,Education‐as‐inheritance (an assessment of intergenerational wealth transmission through education),1,1,,Education as Inheritance,,
717,6,Steady state wealth shares and factor returns computed from a calibrated dynamic structural model that examines transitional convergence dynamics (including variants with social mobility and capital levy interventions),1,1,,Structural Model,,
719,6,Structural model‐derived measure capturing oscillations in wealth and intergenerational persistence in education attainment,1,1,,Structural Model,,
722,6,Structural measure of wealth mobility – a model‐generated indicator capturing oscillations in wealth and persistent educational attainment across generations,1,1,,Structural Measure,,
724,2,Top shares and percentile ratios,1,0,,Top Shares,,
728,3,Transition probabilities of upward and downward economic mobility,1,1,,Transition Probabilities,,
730,6,"Structural, simulated counterfactual outcomes from a dynamic model assessing long‐run wealth convergence and gaps",1,1,,Structural Simulation,,
732,8,Experimental questionnaire-based measure assessing social preferences for inter- and intra-generational wealth mobility and equality of opportunity.,1,1,,Questionnaire‐based,,
737,8,OLG model‐based estimates of productivity differences arising from intergenerational redistribution effects on human capital formation,1,1,,OLG Model,,
741,8,"A theoretical measure of intergenerational mobility derived from a Nash equilibrium model of positional competition, which yields an income distribution characterized by a power law.",1,1,,Nash Equilibrium Model,,
743,6,Intergenerational Mobility estimated via a structural general equilibrium model simulation,1,1,,Structural Simulation,,
749,1,"Regression coefficient estimates (panel data regression predicting the effect of student loans on income inequality, with additional variables like private college tuition and household poverty)",1,0,,Regression Coefficient,,
757,6,Structural estimates from an overlapping generations model capturing self‐selection in education and career choices and its impact on intergenerational mobility,1,1,,Structural Model,,
759,6,"The paper develops a structural model where intergenerational mobility is an endogenous equilibrium outcome from positional competition (yielding, for example, a power law income distribution)",1,1,,Structural Model,,
768,8,"The paper does not use a formal quantitative measure; instead, it employs qualitative interview analysis to explore perceptions of intergenerational gifting and meritocratic narratives.",0,1,,,,
779,1,"Regression‐based Measures (e.g. estimated coefficients for direct and indirect effects on intergenerational income mobility, akin to Intergenerational Income Elasticity)",1,1,,Intergenerational Elasticity,,
782,6,Structural estimates from an overlapping generations model capturing intergenerational mobility effects,1,1,,Structural Model,,
783,8,Intergenerational Mobility as derived from neural network simulation dynamics in savings behavior,1,1,,Neural Network Simulation,,
790,6,Decomposition of income inequality into inequality of opportunity (IO) and inequality of effort (IE) within a structural intergenerational human capital model,1,1,,Decomposition,,
793,8,"Intergenerational transfers for college education (parental support via current income, savings, loans, goods and services)",1,1,,Intergenerational Transfers,,
