id,category,RQ
69,8,"Do individuals perceive that their standard of living is higher than that of their parents, and how do these perceptions of mobility differ across demographic groups (e.g., education level, race, urban vs. rural)?"
70,2,"How do extended family members’ resources, including those of grandparents and aunts/uncles, influence key outcomes such as completing upper secondary education and avoiding low pay? In particular, what role do these extended family resources play in compensating for low resources among parents and grandparents in different country contexts (Finland and the United States)?"
71,1,"How do different modeling choices—such as including both mothers and fathers, addressing measurement error in parental status, and controlling for omitted variable bias—affect the estimated grandparent coefficient in the study of three‐generation status transmission?"
72,8,"How do Americans perceive social mobility? Specifically, how accurately do respondents estimate relative (upward and downward) and absolute economic mobility across different segments of the parental income distribution? Additionally, are there partisan differences in these perceptions, and how might these perceptions inform the implementation of redistribution policies?"
73,2,"How do nonlinear threshold effects, based on parental education and cognitive and noncognitive skills, organize dynastic earning processes into status traps that inhibit upward mobility?"
74,5,"How do social resources (such as education and father's socioeconomic status) influence occupational mobility and earnings attainment among young black and white males, and how does race moderate these processes—including potential benefits of affirmative action for more qualified blacks versus persistent racial barriers for less advantaged blacks?"
75,3,"How do policies, institutions (government, civil society, and ethnic organizations) and patterns of social relations interact with individual agency to shape the socioeconomic mobility of Vietnamese refugees and their children over time (as seen in changes in education, occupation, income, and poverty rates)?"
76,2,Do working-class-origin individuals who attain top U.S. occupations experience a pay penalty relative to those from privileged backgrounds—even after accounting for factors such as education and race—and what are the empirical determinants of this earnings gap?
77,2,"Does a mother's economic independence and income during her children's late childhood and adolescence positively affect their upward economic mobility, and if so, how does this association differ between daughters and sons?"
78,1,"The research question asks how to best measure social mobility, specifically addressing normative issues regarding measurement: should we prioritize whether individuals are better off than their parents (absolute mobility) or the degree of movement within the income distribution (relative mobility), and how these patterns replicate and transmit inequality across generations?"
79,2,"What are the empirical determinants of social mobility—including the roles of education, opportunities, and economic background—and how does social mobility relate to income inequality, welfare, and economic efficiency?"
80,1,"How can inequality be decomposed into fair and unfair components based on principles of equality of opportunity and freedom from poverty, and what do such measurements reveal about the evolution of inequality and intergenerational mobility in the US and across Europe?"
81,4,"The paper asks whether class structure persists over time despite considerable intergenerational mobility, specifically investigating if most individuals change their class position relative to their father's, how class explains less of wage income variance over time, and whether traditional class boundaries (as seen in patterns of class-homogeneous marriage) continue to exist."
82,2,"How does class origin shape both access to high-status occupations and the earnings outcomes within those occupations, particularly regarding the earnings gap between those from privileged backgrounds and those who are not?"
83,4,"What is the power of individual and family background characteristics (father's occupation, education, ability, and current occupation) in explaining differences in occupational and economic success, particularly in terms of earnings variance and social mobility (measured as the occupational distance between father and son), and what role does schooling play after controlling for other factors, including any interaction effects with ability?"
84,7,"How do family‐imparted values (obedience versus independence) interact with labor market incentives to affect intergenerational social and economic mobility, and what are the broader implications (e.g., for entrepreneurial prospects and political engagement)?"
85,1,"How can spatial clustering methods (using k-means and PCA) be employed to create a combined index of social mobility opportunity by grouping census tracts with similar profiles, and what spatial trends emerge from these clusters across the US and EPA regions?"
86,4,"The paper asks: (1) Is there an efficiency‐equality trade-off when school tracking is postponed? (2) Does postponing school tracking weaken the link between parental background and pupil achievement, thereby improving social mobility? (3) Does postponing school tracking lead to greater income mobility across generations?"
87,2,"How is falling inequality associated with rising social mobility in Latin America, and what are the determinants (such as social expenditure, access to credit, conditional cash transfers, and changing returns to education) that drive this relationship, as predicted by the Great Gatsby Curve?"
88,1,"The paper poses two inter-related research questions: (1) How can we improve measurement of children’s academic, behavioral, and social outcomes and their dynamic interactions with family background and local policy through the development of a new, internationally comparable longitudinal survey (the JCPS)? (2) How do these measured outcomes, such as cognitive achievement mobility across different parental income groups in Japan, compare with patterns observed in other developed countries?"
89,2,"How do academic ability and family socioeconomic status determine educational and economic mobility among middle-school students? In particular, what roles do attaining a baccalaureate degree, attending a private middle school, and engaging in an intensive high school curriculum play in enabling students from low SES backgrounds to achieve upward academic and economic progression?"
90,4,"Does parental supervision during early adolescence influence a child's income two decades later (intergenerational mobility), and to what extent are its effects mediated by the child's educational attainment, above and beyond the effects of parental income, educational attainment, and family structure?"
91,7,"How do migration decisions, combined with intergenerational differences in human capital accumulation costs (due to imperfect social mobility), affect per capita income and the wage distribution between skilled and unskilled workers?"
92,4,"To what extent did Chicago's business elite, particularly in manufacturing, meatpacking, and railroading, make their own fortunes rather than inherit wealth, and how does this pattern compare to other cities and economic contexts?"
93,4,Is height causally related to occupational status and intergenerational occupational mobility in a historical context?
94,4,What happens to children who are disadvantaged as infants? What do children themselves think about their childhood experiences? (The paper empirically examines intergenerational income mobility by following low‐income families and the persistence of poverty across childhood and its subjective impacts.)
95,4,"How has China’s One Child Policy affected intergenerational mobility, specifically the transmission of educational attainment and income from parents to children, and what role do factors like household income, family size, birth order, and gender play in shaping child poverty and mobility outcomes, particularly in the lower income quantiles?"
96,2,"Why is offspring invention strongly correlated with parental income? More specifically, what role does parental education play (and how is this mechanism causally identified, including via instruments like distance to university) in explaining the high inventive probability among children from high‐income families, and how did policy reforms (e.g., the comprehensive schooling reform) affect this relationship?"
97,2,"What are the determinants (household income, education level, household demographics, urban/rural residence, etc.) that influence household expenditure on education in Sudan, and how do these determinants reflect or contribute to intergenerational educational and income mobility?"
98,7,"The paper asks: 'What are the social welfare implications of intra-generational income mobility from an opportunity egalitarian social planner’s perspective, particularly in the context of the trade-off between inequality and uncertainty effects? Specifically, under what conditions (e.g., rewarding the more deserving individuals and compensating the less fortunate) is lower observed income mobility optimal compared to perfect mobility processes?'"
99,3,"What is the causal effect of having a regional university (as a key institutional and geographic factor) on the educational, economic, and social mobility outcomes of nearby children, particularly those from lower-income backgrounds?"
100,4,"How did temporary state intervention in industrial sectors during the war reparations period affect long-term outcomes, specifically intergenerational mobility in terms of income, education, and upward mobility for children and young adults in the exposed regions?"
101,2,"Why is invention strongly positively correlated with parental income? In particular, to what extent can this association be explained by parental education (including its causal effect on offspring probability of inventing), and how did the comprehensive schooling reform alter this relationship?"
102,2,"Does participation in Head Start and other preschool programs lead to improved long‐term economic outcomes (e.g., higher income-to-poverty ratios, greater economic mobility, and fewer years spent in poverty) compared to non-preschoolers?"
103,4,"Does migration—from local towns to big cities and overseas—play a role in halting the intergenerational transmission of poverty in rural Philippines? Specifically, to what extent do factors such as education, nonfarm labor market participation, and the shift away from farmland as an income source help children from disadvantaged, landless households overcome poverty?"
104,2,"What are the trends in absolute income mobility in postwar Germany, and how do factors like lower economic growth rates and higher income inequality explain the decline in absolute mobility rates for children born between 1962 and 1988?"
105,2,Does rapid higher education expansion negatively affect dynamic social mobility (as measured by the Human Development Index) for individuals entering the labor market after the expansion in Taiwan?
106,4,"How do family social class conditions and transnational connections shape the upward mobility (including wealth, income, or earning inheritance) of Filipino nurse migrants in the Republic of Ireland?"
107,7,"What are the underlying behavioral and structural mechanisms that explain the Great Gatsby Curve—that is, the positive empirical relationship between cross-sectional income inequality and intergenerational income persistence? More specifically, how do aspects such as family investments, skills, social influences, political economy, and aspirations contribute to this dynamic?"
108,4,"How does multigenerational exposure to neighborhood disadvantage during childhood impact earnings in adulthood, and why do these effects differ—particularly, why do families with Black members not experience the same economic returns from neighborhood improvement as other groups?"
109,4,"How does the premigration socioeconomic and cultural background (including indicators like occupation, education, and samurai ancestry) of Japan-born grandparents and parents influence the educational and income mobility of second-generation Japanese Americans?"
110,3,"How do geographic and institutional factors—captured through county-level concentrated disadvantage measures such as household income, poverty rate, racial segregation, college graduation rate, single parenthood rate, social capital, and job growth—affect the upward mobility outcomes (including household income, college graduation, incarceration, and marriage) of men raised in low‐income families across U.S. and Pennsylvania counties?"
111,7,"How do structural characteristics, such as urban versus rural labour market contexts, influence the determinants of status attainment as modeled by the Wisconsin type framework?"
112,2,"What are the determinants that predict elite entry among college‐educated males in Sweden, and to what extent do factors such as field of study, college/university, personality, cognitive ability, and kin ties (including having parents in top positions) influence entry into the labour market elite via external recruitment and internal promotion?"
113,2,"Does a polygenic score for educational attainment predict upward wage, income, and occupational prestige mobility during individuals’ peak earning years—and what mechanisms (such as on‐the‐job training, changes in job duties, educational attainment differences, and industry wage growth differences) contribute to these outcomes?"
114,2,"How do various determinants—such as inherited bequests, education, and skills—influence the correlation between parental income and offspring economic status, and what is the relationship between social mobility and inequality in income distribution?"
115,2,"What are the empirical levels and determinants of intergenerational mobility in income and wealth? In particular, how persistent is economic status across generations (e.g., the time lag for children from the poorest 10% to reach median income or the probability that children of the wealthy remain rich), and how do these dynamics vary across different contexts (countries and domains such as jobs, education, health)?"
116,4,"How do human capital and financial (exogenous income) components contribute to intergenerational income elasticity, and could targeted cash payments promote intergenerational mobility?"
117,7,"How do theoretical and structural mechanisms—including family investments, skills, social influences, political economy dynamics, and aspirations—explain the mechanical relationship between cross-sectional income inequality and intergenerational income persistence (the Great Gatsby Curve), and what empirical evidence supports these models across various contexts?"
118,2,"How does urban sprawl affect upward mobility within U.S. commuting zones, specifically considering both direct effects (e.g., job accessibility) and indirect effects (e.g., through mediating variables like income segregation)?"
119,2,"What is the extent of socioeconomic mobility in Malaysia and what are its determinants, particularly regarding the role of educational attainment in facilitating upward occupational and income mobility?"
120,1,"How can dynamic fairness be measured using a generalized concentration curve, and in what ways do inequality and exchange mobility jointly determine the distribution of economic opportunities?"
121,2,"The paper asks: 'Are social mobility trends changing in advanced nations when examined through recent birth cohorts in Europe, as evidenced by both educational attainment and adult income measures? Further, what non-linearities and asymmetries exist in the equalization of life chances, particularly in cases such as Denmark where disadvantages appear to dissipate while advantages persist?'"
122,7,"How do family‐transmitted values (obedience vs. independence) interact with labor market incentives to shape social mobility and political activity, potentially leading to multiple steady states in the social hierarchy?"
123,3,"How do different fiscal intervention schemes—specifically, a scheme that targets households by modifying their expected income profile versus a standard scheme that consistently targets low-income cohorts—affect the distribution of income and consumption, particularly through their impacts on income mobility among Indian households?"
124,2,"Does upward mobility among Puerto Rican immigrants occur as a result of open institutions and culturally-accommodating attitudes, and what empirical evidence can be found—using education, job type, and income measures—in the 1950–1960 New York metropolitan area?"
125,7,"How do reference groups, through culturally influenced ambition and relative deprivation effects, function as mechanisms for transmitting intergenerational inequality? In particular, the paper asks how aspects such as the composition of the reference group, the intensity and functional form of income comparisons, pre‐existing inequality, the reward of effort and information about peers combine to affect mobility outcomes across generations."
126,2,"The paper asks: Why is invention strongly positively correlated with parental income? More specifically, how much of that correlation is driven by parental education (as opposed to income per se), what is the causal impact of parental education on an offspring’s probability of inventing, and how did a comprehensive schooling reform in the early 1970s weaken this effect?"
127,8,"How do individuals' perceptions of generational mobility (tunnel effect), fairness in advancement (procedural justice effect), and the current structure of the middle class (middle-class effect) explain cross-national differences in the acceptance of income disparities?"
128,4,"How does higher fertility among rural (lower-income) populations, as observed during/after China's Great Famine, causally affect the income inequality and social mobility of the next generation? Specifically, does a higher rural population share reduce educational opportunities (e.g., lower probability of college or senior high school admission), thereby increasing intergenerational wealth and income disparities?"
129,2,"Do average credit scores (as a proxy for local social trust) robustly predict economic mobility, and how do they correlate with established social capital measures such as economic connectedness and friending bias?"
130,7,"How do growth-enhancing policies that predominantly benefit high-skilled workers—due to limited income redistribution—impact the political survival of reformist regimes, and under what conditions can policies that promote social mobility (helping low‐skilled individuals transition to high-skilled status) serve as a substitute for income redistribution?"
131,5,"How do socio-economic disadvantages—reflected in educational attainment, unemployment risk, access to professional-managerial roles, and earning power—vary across different ethno-gender groups in the UK, and how do parental class backgrounds and the life course affect these outcomes?"
132,4,"How do intergenerational processes shape income attainment, specifically, to what extent is the traditional role of education diminished in transferring economic advantages, and what role does social interconnectivity play in preserving social privileges across generations in EU welfare states?"
133,4,"How do second‐generation MENA immigrants achieve upward socioeconomic mobility relative to their first‐generation parents and how do their outcomes—measured in educational attainment, salary income, employment status, and occupation—compare to those of non‐MENA whites and blacks, including differences among specific ethnic groups?"
134,4,"The abstracts address intergenerational income mobility and inheritance. They ask: (a) To what extent does the income position of a parent predict the income quintile position of the child (e.g., what share of individuals in the top income quintile come from similarly advantaged backgrounds versus disadvantaged ones)? (b) How does the distribution of inherent ability – and its relative importance compared to class origins, parental involvement, education levels, and aspirations – influence ultimate income outcomes?"
135,2,"How is wealth distributed and stratified by big occupational classes over time and cross-nationally, and to what extent do occupational classes account for aggregate wealth inequality trends compared with income?"
136,2,"How does return migration influence intertemporal (and potentially intergenerational) socioeconomic mobility and labor market outcomes (e.g., wage returns) among Jordanian male workers, and what are the key socioeconomic and migration-related determinants driving these outcomes?"
137,2,The paper empirically investigates how class structure persists and evolves over time in Sweden. It examines questions such as: How persistent is the class hierarchy in terms of market position and the variance explained in wage income? To what extent do individuals experience intergenerational mobility – ending up in different class positions than their fathers – and how do patterns like class-homogeneous versus mixed marriage evolve over time?
138,4,"How does intergenerational wealth and social mobility operate in a rural Chinese setting, particularly in relation to land distribution and off‐farm income activities, and how does this affect the persistence of class status across generations?"
139,2,"How do early life family and neighborhood socioeconomic status (SES) factors determine later life outcomes–specifically educational attainment and criminal engagement–among low‐income Black children in South Africa, and what role do gender differences play in these relationships?"
140,3,Does the policy of eliminating educational gaps in higher education contribute to upward social mobility between generations?
141,2,"The paper poses two sets of empirical questions. First, in its examination of the Chilean nitrate industry, it asks: “How do cartels affect market entry and industry productivity, and to what extent does firm experience improve cartel organization?” This set of questions—focusing on the determinants and empirical estimation of entry and productivity differences—is best captured by category 2 (Empirical Estimates and Determinants). Second, using a natural experiment from forced slum relocations in Santiago, it asks: “What are the long‐term, causal effects of being displaced into a high‐poverty neighborhood on outcomes such as education, mortality, income, and crime?” While this question has a clear policy, institutional, and geographic dimension (category 3), the overarching approach in the dissertation is empirical estimation. Overall, the research questions combine insights from both category 2 and category 3, with the cartel and industry‐level questions squarely in category 2."
142,2,"What is the extent of intergenerational income mobility among the 1982 Birth Cohort in Pelotas, and how does mobility vary across different levels of parents' income as measured by intergenerational income elasticity and quantile regressions?"
143,4,"The paper investigates how intergenerational wealth and utility inequality persist by examining under what conditions rich and poor dynasties emerge in a dynamic model of skill acquisition. Specifically, it asks: How does a minimal standard of living required for efficient learning influence the inheritance of wealth, the acquisition of skill, and the resulting intergenerational differences in utility?"
144,2,"What is the magnitude and trend of intergenerational earnings mobility in Australia, and how do variations in methodological choices (such as different levels of occupational disaggregation, sample composition, and earnings measures) affect the estimation of father‐son earnings elasticity?"
145,4,"How easy is it for the children of poor parents to become prosperous? In other words, what is the extent of intergenerational wealth/income mobility in the US (as measured by father–son income correlations and quintile transitions) and how does it compare with other developed nations?"
146,4,Does the expansion of secondary education (and the contrasting educational policies in Kenya versus Tanzania) affect the degree of intergenerational mobility and the process of class formation?
147,4,"How does intergenerational transmission of social, human, and physical capital, along with fathers' labor characteristics and geographic origins, affect the upward mobility (in terms of wealth and income) of sons in Pakistan?"
148,1,"How can we develop and utilize an index (the intergenerational mobility index, IMI) that simultaneously measures changes in income rankings and health outcomes (specifically obesity) across two generations, and what does its decomposition reveal about the contributions of income and health distributions to intergenerational disparity?"
149,2,"How does a compressed and stable income distribution in Norway relate to intergenerational earnings mobility over time, including exploring differences in mobility across different parts of the earnings distribution and between genders (sons versus daughters)?"
150,4,"The paper examines how human capital and family background characteristics affect intergenerational income mobility (i.e., the persistence and transmission of economic status) across two age cohorts in Germany and the United States. In doing so, it also explores why a significant amount of income immobility appears to occur in the extremes of the income distribution."
151,2,"How closely is an individual's economic position (in terms of family income, wealth, and personal earnings) tied to that of their parents, and what are the empirical estimates and determinants (such as starting position on the economic ladder, race, and education) that shape intergenerational mobility?"
152,4,"The paper addresses: (a) How does parental (especially paternal) entrepreneurship influence the decision to become an entrepreneur? and (b) What is the effect of entrepreneurial activity on intergenerational wealth mobility, particularly for those at the socioeconomic extremes?"
153,4,"What factors account for the level of income persistence (intergenerational mobility) in the 1970 BCS cohort and the decline in mobility between the 1958 NCDS cohort and the 1970 cohort, particularly through the roles of cognitive skills, noncognitive traits, educational attainment, and labour market attachment?"
