id,category,measure,measure_1,measure_2
242,6,Path Models of Intergenerational Mobility (including structural decomposition using heritability estimates of IQ),,
243,1,Intergenerational Earnings Correlation (regression‐based estimate),,
244,1,"social mobility index, intergenerational schooling mobility index, sibling correlation index",,
245,6,Stratum‐specific immobility and vertical mobility parameters estimated from log‐linear and log‐multiplicative models,,
246,3,Transition Matrix / Probability Measures (quintile transition probabilities),,
248,4,"Absolute Mobility Measures (with discussion of relative mobility rates, though no specific regression‐based index such as the IGE is distinguished)",,
250,1,Intergenerational Elasticity (IGE),,
251,1,Intergenerational Income Elasticity (IGE),,
253,4,Net Economic Mobility (long‐run absolute levels of wealth and proportion of skilled population),,
254,6,"Decomposition of intergenerational mobility by channel (e.g., decomposing the impact of parental income on offspring education, occupation, and other characteristics)",,
255,7,Conditional income distribution function-based opportunity inequality measure estimated using an axiomatic approach with nonparametric local logistic regression (and TSIV identification),,
257,1,Intergenerational Income Elasticity (IIE),,
258,4,"Absolute Mobility Measures – specifically, changes in household disposable equivalent income and changes in the socioeconomic status of the household head",,
260,1,Intergenerational Elasticity (IGE),,
261,1,Intergenerational Elasticity (IGE),,
262,3,Inter-generational Mobility Matrix (transition probability measures),,
263,1,"The evidence points to regression‐based measures such as the intergenerational elasticity (IGE) estimates, as the discussion centers on the association (and its nonlinearity) between parent and child earnings/income, while also contrasting these with occupational mobility measures.",,
264,1,Intergenerational Income Elasticity (IGE),,
265,1,Intergenerational Income Elasticity (IGE),,
266,7,Nonparametric bounds estimates for intergenerational elasticity (IGE),,
267,1,Intergenerational Elasticity (IGE) estimated via regression‐based approaches,,
268,1,Intergenerational Income Elasticity (IGE) estimated via IV regression and a Difference-in-Differences (DID) estimate for the policy effect,,
269,1,Intergenerational Income Elasticity (IGE),,
270,3,"Transition Matrix / Probability Measures (e.g., quintile transition rates)",,
271,3,Upward wealth mobility probabilities estimated via a simulation model,,
272,1,Intergenerational Income Elasticity (IGE) and regression‐based indices of intergenerational income transmission,,
274,1,Intergenerational Income Elasticity (IGE) and Asymmetric Intergenerational Transition Rates (transition matrix based measure),,
275,6,Structural parameters (degree of inheritability and propensity to invest in children) used within a model to assess intergenerational mobility,,
276,3,Intergenerational occupational transition probabilities derived from a transition matrix approach,,
277,1,Intergenerational Income Elasticity (IGE),,
278,6,Path Analysis (Path Models of Intergenerational Mobility),,
279,1,Quantile regression estimates of the intergenerational earnings effect (with supplemental nonparametric conditional density curve estimates),,
280,1,"Intergenerational Elasticity (IGE) – estimated via regression models, with a further decomposition analysis of its components",,
281,1,Intergenerational Elasticity (IGE) for income and education,,
284,3,Occupational mobility matrices (transition matrices) and correlation coefficients measuring intergenerational mobility,,
285,1,Intergenerational Elasticity (IGE) estimated via regressions on parent-child earnings and occupational status,,
289,1,Alternative indicator of intergenerational income mobility using a random coefficient model (an alternative to the standard intergenerational elasticity measure),,
290,1,"The study employs regression‐based measures (regression and correlation coefficients, potentially reflecting something like an intergenerational elasticity) as well as transition matrix/probability measures (transition matrices).",,
291,1,Intergenerational Income Elasticity (IGE),,
292,5,Multigenerational wealth accumulation measures (using regression‐based estimations across generations),,
294,3,"The paper primarily reports intergenerational mobility using transition probabilities (i.e. a transition matrix for educational and occupational outcomes), complemented by regression‐based approaches (ordered logits) to assess the impact of parental education and occupation.",,
295,2,Directional rank mobility measures and transition probabilities (the study employs rank‐based measures as well as transition matrix/probability measures),,
296,1,Intergenerational Income Elasticity (IGE) estimated via regression analysis,,
297,6,Model‐based estimates that decompose how children’s earnings respond to human capital investments by accounting for differing genetic endowments,,
298,1,Earnings Elasticity (IGE),,
299,1,Intergenerational Elasticity (IGE),,
301,1,"Intergenerational Elasticity (IGE) estimated from a log‐linear relationship, where a doubling in father’s wealth corresponds to 1.45 times the average offspring wealth",,
303,8,"The paper does not use a standard off‐the-shelf mobility measure (like IGE, rank‐based slopes, or transition probabilities) but rather develops a structural parameter of income mobility within a cross‐national overlapping generations model. This can be seen as a model‐generated (or structural) income mobility parameter, which does not neatly fall into one of the standard categories.",,
304,1,"Regression coefficient (Intergenerational Elasticity, IGE)",,
306,1,The paper computes intergenerational occupational mobility using a regression‐based approach (pooled logit regressions) to estimate both gross mobility (observed occupational flows) and net mobility (after decomposing out structural change).,,
311,8,Share of women among the very wealthy as a proxy for dynastic/inherited wealth,,
312,1,Intergenerational Elasticity (IGE) estimated via regression models linking parental income/social class to educational and labour market outcomes,,
313,8,Gini coefficient (used to gauge income inequality) and an unspecified mobility index (reported as Spain’s degree of intergenerational mobility relative to Italy and the United States),,
315,1,Intergenerational Elasticity (IGE),,
317,1,Causal effect estimates (treatment effects from regression analysis on GCSE attainment and wages),,
318,1,Intergenerational Elasticity (IGE),,
319,8,Bias‐corrected retrospective mobility measure,,
321,1,Intergenerational Income Elasticity (IGE),,
322,4,Estimates of social gains and losses constructed from work‐life earnings profiles,,
323,1,"The study appears to use a regression‐based mobility measure – for example, estimating intergenerational mobility via a regression approach (such as an intergenerational elasticity estimate) that captures the relationship between parental characteristics (income and education) and children’s educational attainment.",,
325,3,Transition Matrix based mobility indices (including tests examining the proximity to a perfectly mobile state),,
327,2,Rank‐rank gradient (slope of child’s income percentile on parent’s income percentile) and Transition probability (child moving from bottom to top quintile),,
328,1,Intergenerational Elasticity (IGE),,
329,3,Transition probabilities based on income quartiles (transition matrix measures),,
330,1,Intergenerational Elasticity (IGE),,
331,1,Intergenerational Elasticity (IGE) using a two-sample two-stage least squares estimator and the Chadwick and Solon approach,,
332,1,Regression‐based measure capturing the estimated effect (coefficient) of parental background (akin to an intergenerational elasticity) on child human capital (PISA test scores),,
334,1,Regression-based estimates of the impact of parental education on school track and post-secondary education choices,,
335,1,Intergenerational Income Elasticity (IGE) and Intergenerational Income Correlation,,
336,8,Occupational level proxy for personal economic compensation,,
337,1,Intergenerational Elasticity (IGE),,
338,1,Intergenerational Elasticity (IGE) derived from regression analysis linking school quality and income mobility,,
339,1,Intergenerational Elasticity (IGE),,
340,1,Regression‐based measure of spatial mobility (i.e. estimated mobility effects such as those derived from intergenerational rank or elasticity regressions using Bayesian model averaging),,
343,1,"Intergenerational Elasticity (IGE), often associated with the Great Gatsby Curve",,
344,5,"Measures of wealth outcomes across generations – comparing childhood poverty/inheritances, young adult impediments, and midlife net worth/homeownership to assess intergenerational (multigenerational) wealth mobility",,
345,1,Regression‐based measure estimating the intergenerational association between parental resources and children’s human capital investments (akin to an intergenerational elasticity),,
346,1,Regression‐based measure (an estimation of the intergenerational elasticity linking family income to educational attainment),,
347,1,Intergenerational Elasticity (IGE),,
348,1,Intergenerational Elasticity (IGE),,
349,8,Net worth,,
350,1,Intergenerational Elasticity (IGE),,
352,1,Intergenerational Elasticity (IGE),,
353,1,Mean and quantile regression coefficients (capturing intergenerational elasticity) and transition matrices,,
354,1,Fatherson correlations (Regression‐based Measures) and intergenerational transition matrices (Transition Matrix / Probability Measures),,
355,1,Intergenerational Elasticity (IGE) estimated via regressions; the study also reports intergenerational correlations and rank correlations (which fall under rank‐based measures),,
356,1,Intergenerational income correlation,,
357,6,Structural approach using a recursive bivariate probit to estimate the effect of relative income mobility,,
358,8,Asset transfers analysis (examining differential inheritance transmission by sibship order and sex),,
360,1,Ordered logit analysis,,
362,1,"Regression‐based estimates, including skill premium regressions and parental income impact coefficients on educational attainment",,
363,6,Structural simulation approach using an overlapping generations model to generate intergenerational income persistence,,
366,6,Intergenerational mobility estimates derived from a dynamic general equilibrium model,,
367,2,"Percentile rank‐based correlation measures (parent–child income percentiles and parent income rank versus child college attendance probability) and transition probability measures (e.g., moving from the bottom to the top income quintile)",,
369,1,Intergenerational Elasticity (IGE),,
370,6,Decomposition measure estimating the fraction of the intergenerational income covariance attributable to assortative mating,,
371,1,"The paper employs two kinds of mobility statistics. On one hand, it reports absolute mobility rates – that is, total, upward, downward, and outflow mobility rates calculated from partial parent–child transition tables (which fall under absolute mobility measures, category 4). On the other hand, it estimates a net grandparent–grandchild association summarized by a single uniform parameter expressed as odds ratios (a regression‐based measure, category 1).",,
373,3,Intergenerational Mobility Rates (derived from transition/probability measures),,
374,1,Intergenerational Elasticity (IGE) estimates derived from regression models – including estimates of the effect of neighborhood income on future earnings and the associated absolute mobility differences (lifetime household income differentials),,
375,1,Ordinary Least Squares (OLS) regression estimates (effect of father’s SES on children’s SES),,
378,6,Intergenerational Elasticity (IGE) of income and its structural determinants,,
379,1,Intergenerational Elasticity (IGE) based on regression estimates of income persistence,,
381,4,Absolute Mobility Measures – focusing on absolute changes in wealth (net worth declines and corresponding mobility outcomes such as upward and downward mobility based on absolute wealth levels),,
382,1,"The paper contrasts results when using income‐based regression estimates (typically the Intergenerational Elasticity, a regression‐based measure) with class‐based mobility assessed via transition matrices (i.e. probability measures)",,
383,7,"Non‐parametric rank–rank slope measure of intergenerational wealth mobility, with an extension to multigenerational analysis (by including grandparents’ wealth effects)",,
384,1,Intergenerational Elasticity (IGE) estimated via regression (including a second‐order autoregressive coefficient capturing multigenerational income transmission),,
385,1,"Correlation between parents' and children's earnings (Intergenerational Elasticity, IGE)",,
386,1,Intergenerational Income Elasticity (IGE),,
388,5,Mobility rate based on multi‐generational tracking of wealth at death and average age at death,,
389,1,Intergenerational Income Elasticity (IGE),,
391,1,Intergenerational Income Mobility (typically estimated via a regression-based measure such as the Intergenerational Elasticity of income),,
393,2,Correlation between the son's rank in the wealth/income distribution and his father's rank,,
394,1,Intergenerational Elasticity (IGE),,
395,1,Intergenerational Elasticity (IGE) using a regression-based two-sample two-stage least squares approach.,,
397,8,The paper does not estimate a standard intergenerational mobility measure (like IGE or rank‐based measures); instead it uses regression techniques (a probit model to estimate the determinants of entrepreneurship and propensity score matching to estimate the mean effect of entrepreneurial activity on income) to gauge upward mobility.,,
398,1,Intergenerational Income Elasticity (IGE),,
400,1,Probit regression marginal effects quantifying the impact of father’s income on the probability that the son has zero annual earnings.,,
401,6,Simulated human capital accumulation ratios along different education stages derived from a structural overlapping‐generation model,,
403,1,Intergenerational Elasticity (IGE),,
408,1,Intergenerational Elasticity (IGE) estimated using a two-sample two-stage least squares approach,,
412,1,Intergenerational Income Elasticity (IGE) derived from a regression-based approach,,
413,1,"The study’s approach appears to rely on regression‐based estimation – specifically, regression coefficients capturing the returns on health investments and the intergenerational transmission (elasticity) of educational attainment.",,
416,2,"The paper employs two main measures: directional rank mobility measures (which fall under Rank‐based Measures, category 2) and transition probabilities (which fall under Transition Matrix/Probability Measures, category 3).",,
418,1,Intergenerational correlation (often interpreted as the intergenerational elasticity of status/income),,
419,1,Intergenerational Elasticity (IGE) estimated via regression‐based persistence measures,,
420,1,Intergenerational Elasticity (IGE) estimated through regression‐based methods,,
421,8,"The study uses a combination of measures: (a) rank‐based measures – specifically, the correlation between parent and child income percentile ranks (and similarly, the correlation between a child’s probability of attending college and her parent’s income rank), and (b) transition matrix/probability measures – through the calculation of transition probabilities (e.g., the child’s chances of moving between income/education categories).",,
