,source,target,hops
127,Decomposition / Structural Approaches,Archival/Historical Data,2.0
128,Non‐parametric Approaches,Archival/Historical Data,2.0
129,Linked Administrative Data,Archival/Historical Data,2.0
130,No dataset,Archival/Historical Data,2.0
131,Panel/Longitudinal Surveys,Archival/Historical Data,2.0
132,Others_DataType,Archival/Historical Data,2.0
133,National Survey Data,Archival/Historical Data,2.0
134,Big Data,Archival/Historical Data,2.0
135,Administrative/Registry Data,Archival/Historical Data,2.0
136,Natural/Experimental Data,Archival/Historical Data,2.0
137,Opportunity Atlas,Archival/Historical Data,2.0
138,International Panel Data,Archival/Historical Data,2.0
139,Pseudo-Panel/Household Budget Survey,Archival/Historical Data,2.0
140,Measurement and Methodological Advances,Archival/Historical Data,2.0
141,Theoretical and Structural Models,Archival/Historical Data,2.0
142,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Archival/Historical Data,2.0
143,Perceptions of Mobility and Attitudes,Archival/Historical Data,2.0
144,"Demographic Differences in Mobility (Race, Gender, etc.)",Archival/Historical Data,2.0
145,University/Institution Data,Archival/Historical Data,2.0
146,Others_RqType,Archival/Historical Data,2.0
147,Big Data,Intergenerational Wealth Mobility and Inheritance,2.0
148,Empirical Estimates and Determinants,Intergenerational Wealth Mobility and Inheritance,2.0
149,Measurement and Methodological Advances,Intergenerational Wealth Mobility and Inheritance,2.0
150,Theoretical and Structural Models,Intergenerational Wealth Mobility and Inheritance,2.0
151,"Policy, Institutional, and Geographic Impacts",Intergenerational Wealth Mobility and Inheritance,2.0
152,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Intergenerational Wealth Mobility and Inheritance,2.0
153,Perceptions of Mobility and Attitudes,Intergenerational Wealth Mobility and Inheritance,2.0
154,"Demographic Differences in Mobility (Race, Gender, etc.)",Intergenerational Wealth Mobility and Inheritance,2.0
155,Others_RqType,Intergenerational Wealth Mobility and Inheritance,2.0
156,Multigenerational Measures,Empirical Estimates and Determinants,2.0
157,Intergenerational Wealth Mobility and Inheritance,Empirical Estimates and Determinants,2.0
158,Measurement and Methodological Advances,Empirical Estimates and Determinants,2.0
159,Theoretical and Structural Models,Empirical Estimates and Determinants,2.0
160,"Policy, Institutional, and Geographic Impacts",Empirical Estimates and Determinants,2.0
161,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Empirical Estimates and Determinants,2.0
162,Perceptions of Mobility and Attitudes,Empirical Estimates and Determinants,2.0
163,"Demographic Differences in Mobility (Race, Gender, etc.)",Empirical Estimates and Determinants,2.0
164,Others_RqType,Empirical Estimates and Determinants,2.0
165,Multigenerational Measures,Measurement and Methodological Advances,2.0
166,Big Data,Measurement and Methodological Advances,2.0
167,Natural/Experimental Data,Measurement and Methodological Advances,2.0
168,Opportunity Atlas,Measurement and Methodological Advances,2.0
169,Pseudo-Panel/Household Budget Survey,Measurement and Methodological Advances,2.0
170,Archival/Historical Data,Measurement and Methodological Advances,2.0
171,Intergenerational Wealth Mobility and Inheritance,Measurement and Methodological Advances,2.0
172,Empirical Estimates and Determinants,Measurement and Methodological Advances,2.0
173,Theoretical and Structural Models,Measurement and Methodological Advances,2.0
174,"Policy, Institutional, and Geographic Impacts",Measurement and Methodological Advances,2.0
175,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measurement and Methodological Advances,2.0
176,Perceptions of Mobility and Attitudes,Measurement and Methodological Advances,2.0
177,"Demographic Differences in Mobility (Race, Gender, etc.)",Measurement and Methodological Advances,2.0
178,University/Institution Data,Measurement and Methodological Advances,2.0
179,Others_RqType,Measurement and Methodological Advances,2.0
180,Absolute Mobility Measures,Theoretical and Structural Models,2.0
181,Rank‐based Measures,Theoretical and Structural Models,2.0
182,Non‐parametric Approaches,Theoretical and Structural Models,2.0
183,Panel/Longitudinal Surveys,Theoretical and Structural Models,2.0
184,Others_DataType,Theoretical and Structural Models,2.0
185,National Survey Data,Theoretical and Structural Models,2.0
186,Big Data,Theoretical and Structural Models,2.0
187,Administrative/Registry Data,Theoretical and Structural Models,2.0
188,Natural/Experimental Data,Theoretical and Structural Models,2.0
189,Opportunity Atlas,Theoretical and Structural Models,2.0
190,Pseudo-Panel/Household Budget Survey,Theoretical and Structural Models,2.0
191,Archival/Historical Data,Theoretical and Structural Models,2.0
192,Intergenerational Wealth Mobility and Inheritance,Theoretical and Structural Models,2.0
193,Empirical Estimates and Determinants,Theoretical and Structural Models,2.0
194,Measurement and Methodological Advances,Theoretical and Structural Models,2.0
195,"Policy, Institutional, and Geographic Impacts",Theoretical and Structural Models,2.0
196,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Theoretical and Structural Models,2.0
197,Perceptions of Mobility and Attitudes,Theoretical and Structural Models,2.0
198,"Demographic Differences in Mobility (Race, Gender, etc.)",Theoretical and Structural Models,2.0
199,University/Institution Data,Theoretical and Structural Models,2.0
200,Others_RqType,Theoretical and Structural Models,2.0
201,Transition Matrix / Probability Measures,"Policy, Institutional, and Geographic Impacts",2.0
202,Non‐parametric Approaches,"Policy, Institutional, and Geographic Impacts",2.0
203,Big Data,"Policy, Institutional, and Geographic Impacts",2.0
204,Pseudo-Panel/Household Budget Survey,"Policy, Institutional, and Geographic Impacts",2.0
205,Intergenerational Wealth Mobility and Inheritance,"Policy, Institutional, and Geographic Impacts",2.0
206,Empirical Estimates and Determinants,"Policy, Institutional, and Geographic Impacts",2.0
207,Measurement and Methodological Advances,"Policy, Institutional, and Geographic Impacts",2.0
208,Theoretical and Structural Models,"Policy, Institutional, and Geographic Impacts",2.0
209,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","Policy, Institutional, and Geographic Impacts",2.0
210,Perceptions of Mobility and Attitudes,"Policy, Institutional, and Geographic Impacts",2.0
211,"Demographic Differences in Mobility (Race, Gender, etc.)","Policy, Institutional, and Geographic Impacts",2.0
212,University/Institution Data,"Policy, Institutional, and Geographic Impacts",2.0
213,Others_RqType,"Policy, Institutional, and Geographic Impacts",2.0
214,Transition Matrix / Probability Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
215,Decomposition / Structural Approaches,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
216,Non‐parametric Approaches,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
217,Big Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
218,Administrative/Registry Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
219,Natural/Experimental Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
220,International Panel Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
221,Pseudo-Panel/Household Budget Survey,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
222,Archival/Historical Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
223,Intergenerational Wealth Mobility and Inheritance,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
224,Empirical Estimates and Determinants,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
225,Measurement and Methodological Advances,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
226,Theoretical and Structural Models,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
227,"Policy, Institutional, and Geographic Impacts","Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
228,Perceptions of Mobility and Attitudes,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
229,"Demographic Differences in Mobility (Race, Gender, etc.)","Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
230,Archival/Historical Data,Others_Measure,2.0
231,"Demographic Differences in Mobility (Race, Gender, etc.)",Others_Measure,2.0
232,Others_RqType,Others_Measure,2.0
233,Absolute Mobility Measures,Rank‐based Measures,2.0
234,Regression‐based Measures,Rank‐based Measures,2.0
235,Transition Matrix / Probability Measures,Rank‐based Measures,2.0
236,Others_Measure,Rank‐based Measures,2.0
237,Decomposition / Structural Approaches,Rank‐based Measures,2.0
238,Multigenerational Measures,Rank‐based Measures,2.0
239,Non‐parametric Approaches,Rank‐based Measures,2.0
240,Big Data,Rank‐based Measures,2.0
241,Natural/Experimental Data,Rank‐based Measures,2.0
242,Pseudo-Panel/Household Budget Survey,Rank‐based Measures,2.0
243,Archival/Historical Data,Rank‐based Measures,2.0
244,Theoretical and Structural Models,Rank‐based Measures,2.0
245,Others_RqType,Rank‐based Measures,2.0
246,Absolute Mobility Measures,Decomposition / Structural Approaches,2.0
247,Regression‐based Measures,Decomposition / Structural Approaches,2.0
248,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,2.0
249,Others_Measure,Decomposition / Structural Approaches,2.0
250,Rank‐based Measures,Decomposition / Structural Approaches,2.0
251,Multigenerational Measures,Decomposition / Structural Approaches,2.0
252,Non‐parametric Approaches,Decomposition / Structural Approaches,2.0
253,Big Data,Decomposition / Structural Approaches,2.0
254,Opportunity Atlas,Decomposition / Structural Approaches,2.0
255,International Panel Data,Decomposition / Structural Approaches,2.0
256,Pseudo-Panel/Household Budget Survey,Decomposition / Structural Approaches,2.0
257,Archival/Historical Data,Decomposition / Structural Approaches,2.0
258,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Decomposition / Structural Approaches,2.0
259,"Demographic Differences in Mobility (Race, Gender, etc.)",Decomposition / Structural Approaches,2.0
260,University/Institution Data,Decomposition / Structural Approaches,2.0
261,Others_RqType,Decomposition / Structural Approaches,2.0
262,Absolute Mobility Measures,Multigenerational Measures,2.0
263,Regression‐based Measures,Multigenerational Measures,2.0
264,Transition Matrix / Probability Measures,Multigenerational Measures,2.0
265,Others_Measure,Multigenerational Measures,2.0
266,Rank‐based Measures,Multigenerational Measures,2.0
267,Decomposition / Structural Approaches,Multigenerational Measures,2.0
268,Non‐parametric Approaches,Multigenerational Measures,2.0
269,Linked Administrative Data,Multigenerational Measures,2.0
270,No dataset,Multigenerational Measures,2.0
271,Administrative/Registry Data,Multigenerational Measures,2.0
272,Natural/Experimental Data,Multigenerational Measures,2.0
273,Opportunity Atlas,Multigenerational Measures,2.0
274,International Panel Data,Multigenerational Measures,2.0
275,Pseudo-Panel/Household Budget Survey,Multigenerational Measures,2.0
276,Empirical Estimates and Determinants,Multigenerational Measures,2.0
277,Measurement and Methodological Advances,Multigenerational Measures,2.0
278,Perceptions of Mobility and Attitudes,Multigenerational Measures,2.0
279,"Demographic Differences in Mobility (Race, Gender, etc.)",Multigenerational Measures,2.0
280,University/Institution Data,Multigenerational Measures,2.0
281,Absolute Mobility Measures,Non‐parametric Approaches,2.0
282,Regression‐based Measures,Non‐parametric Approaches,2.0
283,Transition Matrix / Probability Measures,Non‐parametric Approaches,2.0
284,Others_Measure,Non‐parametric Approaches,2.0
285,Rank‐based Measures,Non‐parametric Approaches,2.0
286,Decomposition / Structural Approaches,Non‐parametric Approaches,2.0
287,Multigenerational Measures,Non‐parametric Approaches,2.0
288,National Survey Data,Non‐parametric Approaches,2.0
289,Big Data,Non‐parametric Approaches,2.0
290,Natural/Experimental Data,Non‐parametric Approaches,2.0
291,Opportunity Atlas,Non‐parametric Approaches,2.0
292,International Panel Data,Non‐parametric Approaches,2.0
293,Pseudo-Panel/Household Budget Survey,Non‐parametric Approaches,2.0
294,Archival/Historical Data,Non‐parametric Approaches,2.0
295,Theoretical and Structural Models,Non‐parametric Approaches,2.0
296,"Policy, Institutional, and Geographic Impacts",Non‐parametric Approaches,2.0
297,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Non‐parametric Approaches,2.0
298,"Demographic Differences in Mobility (Race, Gender, etc.)",Non‐parametric Approaches,2.0
299,University/Institution Data,Non‐parametric Approaches,2.0
300,Others_RqType,Non‐parametric Approaches,2.0
301,Multigenerational Measures,Linked Administrative Data,2.0
302,No dataset,Linked Administrative Data,2.0
303,Panel/Longitudinal Surveys,Linked Administrative Data,2.0
304,Others_DataType,Linked Administrative Data,2.0
305,National Survey Data,Linked Administrative Data,2.0
306,Big Data,Linked Administrative Data,2.0
307,Administrative/Registry Data,Linked Administrative Data,2.0
308,Natural/Experimental Data,Linked Administrative Data,2.0
309,Opportunity Atlas,Linked Administrative Data,2.0
310,International Panel Data,Linked Administrative Data,2.0
311,Pseudo-Panel/Household Budget Survey,Linked Administrative Data,2.0
312,Archival/Historical Data,Linked Administrative Data,2.0
313,Perceptions of Mobility and Attitudes,Linked Administrative Data,2.0
314,University/Institution Data,Linked Administrative Data,2.0
315,Multigenerational Measures,No dataset,2.0
316,Linked Administrative Data,No dataset,2.0
317,Panel/Longitudinal Surveys,No dataset,2.0
318,Others_DataType,No dataset,2.0
319,National Survey Data,No dataset,2.0
320,Big Data,No dataset,2.0
321,Administrative/Registry Data,No dataset,2.0
322,Natural/Experimental Data,No dataset,2.0
323,Opportunity Atlas,No dataset,2.0
324,International Panel Data,No dataset,2.0
325,Pseudo-Panel/Household Budget Survey,No dataset,2.0
326,Archival/Historical Data,No dataset,2.0
327,Perceptions of Mobility and Attitudes,No dataset,2.0
328,University/Institution Data,No dataset,2.0
329,Others_RqType,No dataset,2.0
330,Linked Administrative Data,Panel/Longitudinal Surveys,2.0
331,No dataset,Panel/Longitudinal Surveys,2.0
332,Others_DataType,Panel/Longitudinal Surveys,2.0
333,National Survey Data,Panel/Longitudinal Surveys,2.0
334,Big Data,Panel/Longitudinal Surveys,2.0
335,Administrative/Registry Data,Panel/Longitudinal Surveys,2.0
336,Natural/Experimental Data,Panel/Longitudinal Surveys,2.0
337,Opportunity Atlas,Panel/Longitudinal Surveys,2.0
338,International Panel Data,Panel/Longitudinal Surveys,2.0
339,Pseudo-Panel/Household Budget Survey,Panel/Longitudinal Surveys,2.0
340,Archival/Historical Data,Panel/Longitudinal Surveys,2.0
341,Theoretical and Structural Models,Panel/Longitudinal Surveys,2.0
342,Perceptions of Mobility and Attitudes,Panel/Longitudinal Surveys,2.0
343,University/Institution Data,Panel/Longitudinal Surveys,2.0
344,Others_RqType,Panel/Longitudinal Surveys,2.0
345,Transition Matrix / Probability Measures,Others_DataType,2.0
346,Linked Administrative Data,Others_DataType,2.0
347,No dataset,Others_DataType,2.0
348,Panel/Longitudinal Surveys,Others_DataType,2.0
349,National Survey Data,Others_DataType,2.0
350,Big Data,Others_DataType,2.0
351,Administrative/Registry Data,Others_DataType,2.0
352,Natural/Experimental Data,Others_DataType,2.0
353,Opportunity Atlas,Others_DataType,2.0
354,International Panel Data,Others_DataType,2.0
355,Pseudo-Panel/Household Budget Survey,Others_DataType,2.0
356,Archival/Historical Data,Others_DataType,2.0
357,Theoretical and Structural Models,Others_DataType,2.0
358,Perceptions of Mobility and Attitudes,Others_DataType,2.0
359,"Demographic Differences in Mobility (Race, Gender, etc.)",Others_DataType,2.0
360,University/Institution Data,Others_DataType,2.0
361,Others_RqType,Others_DataType,2.0
362,Non‐parametric Approaches,National Survey Data,2.0
363,Linked Administrative Data,National Survey Data,2.0
364,No dataset,National Survey Data,2.0
365,Panel/Longitudinal Surveys,National Survey Data,2.0
366,Others_DataType,National Survey Data,2.0
367,Big Data,National Survey Data,2.0
368,Administrative/Registry Data,National Survey Data,2.0
369,Natural/Experimental Data,National Survey Data,2.0
370,Opportunity Atlas,National Survey Data,2.0
371,International Panel Data,National Survey Data,2.0
372,Pseudo-Panel/Household Budget Survey,National Survey Data,2.0
373,Archival/Historical Data,National Survey Data,2.0
374,Theoretical and Structural Models,National Survey Data,2.0
375,University/Institution Data,National Survey Data,2.0
376,Others_RqType,National Survey Data,2.0
377,Transition Matrix / Probability Measures,Big Data,2.0
378,Others_Measure,Big Data,2.0
379,Rank‐based Measures,Big Data,2.0
380,Decomposition / Structural Approaches,Big Data,2.0
381,Non‐parametric Approaches,Big Data,2.0
382,Linked Administrative Data,Big Data,2.0
383,No dataset,Big Data,2.0
384,Panel/Longitudinal Surveys,Big Data,2.0
385,Others_DataType,Big Data,2.0
386,National Survey Data,Big Data,2.0
387,Administrative/Registry Data,Big Data,2.0
388,Natural/Experimental Data,Big Data,2.0
389,Opportunity Atlas,Big Data,2.0
390,International Panel Data,Big Data,2.0
391,Pseudo-Panel/Household Budget Survey,Big Data,2.0
392,Archival/Historical Data,Big Data,2.0
393,Intergenerational Wealth Mobility and Inheritance,Big Data,2.0
394,Measurement and Methodological Advances,Big Data,2.0
395,Theoretical and Structural Models,Big Data,2.0
396,"Policy, Institutional, and Geographic Impacts",Big Data,2.0
397,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Big Data,2.0
398,Perceptions of Mobility and Attitudes,Big Data,2.0
399,"Demographic Differences in Mobility (Race, Gender, etc.)",Big Data,2.0
400,University/Institution Data,Big Data,2.0
401,Others_RqType,Big Data,2.0
402,Multigenerational Measures,Administrative/Registry Data,2.0
403,Linked Administrative Data,Administrative/Registry Data,2.0
404,No dataset,Administrative/Registry Data,2.0
405,Panel/Longitudinal Surveys,Administrative/Registry Data,2.0
406,Others_DataType,Administrative/Registry Data,2.0
407,National Survey Data,Administrative/Registry Data,2.0
408,Big Data,Administrative/Registry Data,2.0
409,Natural/Experimental Data,Administrative/Registry Data,2.0
410,Opportunity Atlas,Administrative/Registry Data,2.0
411,International Panel Data,Administrative/Registry Data,2.0
412,Pseudo-Panel/Household Budget Survey,Administrative/Registry Data,2.0
413,Archival/Historical Data,Administrative/Registry Data,2.0
414,Theoretical and Structural Models,Administrative/Registry Data,2.0
415,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Administrative/Registry Data,2.0
416,Perceptions of Mobility and Attitudes,Administrative/Registry Data,2.0
417,University/Institution Data,Administrative/Registry Data,2.0
418,Others_RqType,Administrative/Registry Data,2.0
419,Transition Matrix / Probability Measures,Natural/Experimental Data,2.0
420,Rank‐based Measures,Natural/Experimental Data,2.0
421,Multigenerational Measures,Natural/Experimental Data,2.0
422,Non‐parametric Approaches,Natural/Experimental Data,2.0
423,Linked Administrative Data,Natural/Experimental Data,2.0
424,No dataset,Natural/Experimental Data,2.0
425,Panel/Longitudinal Surveys,Natural/Experimental Data,2.0
426,Others_DataType,Natural/Experimental Data,2.0
427,National Survey Data,Natural/Experimental Data,2.0
428,Big Data,Natural/Experimental Data,2.0
429,Administrative/Registry Data,Natural/Experimental Data,2.0
430,Opportunity Atlas,Natural/Experimental Data,2.0
431,International Panel Data,Natural/Experimental Data,2.0
432,Pseudo-Panel/Household Budget Survey,Natural/Experimental Data,2.0
433,Archival/Historical Data,Natural/Experimental Data,2.0
434,Measurement and Methodological Advances,Natural/Experimental Data,2.0
435,Theoretical and Structural Models,Natural/Experimental Data,2.0
436,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Natural/Experimental Data,2.0
437,"Demographic Differences in Mobility (Race, Gender, etc.)",Natural/Experimental Data,2.0
438,University/Institution Data,Natural/Experimental Data,2.0
439,Others_RqType,Natural/Experimental Data,2.0
440,Others_Measure,Opportunity Atlas,2.0
441,Decomposition / Structural Approaches,Opportunity Atlas,2.0
442,Multigenerational Measures,Opportunity Atlas,2.0
443,Non‐parametric Approaches,Opportunity Atlas,2.0
444,Linked Administrative Data,Opportunity Atlas,2.0
445,No dataset,Opportunity Atlas,2.0
446,Panel/Longitudinal Surveys,Opportunity Atlas,2.0
447,Others_DataType,Opportunity Atlas,2.0
448,National Survey Data,Opportunity Atlas,2.0
