triplet_key,measure,datatype,rqtype,ew,years,paper_ids
Absolute Mobility Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2017],[https://openalex.org/W2564827629]
Absolute Mobility Measures | Big Data | Empirical Estimates and Determinants,Absolute Mobility Measures,Big Data,Empirical Estimates and Determinants,[3.0],[2022],"[https://openalex.org/W4289222991, https://openalex.org/W4289538664]"
Transition Matrix / Probability Measures | No dataset | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,No dataset,Empirical Estimates and Determinants,[3.0],"[2005, 2019]","[https://openalex.org/W1994031345, https://openalex.org/W4242326182]"
"Regression‐based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts","[3.0, 6.0, 7.547149699531194, 14.439339829513402, 11.293222954702607, 10.450748513426063]","[2016, 2018, 2015, 2019, 2022]","[https://openalex.org/W2460486083, https://openalex.org/W2596999048, https://openalex.org/W2891903686, https://openalex.org/W3094369084, https://openalex.org/W3124369867, https://openalex.org/W4205360523, https://openalex.org/W4307723330]"
Absolute Mobility Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2021],[https://openalex.org/W3201233520]
Others_Measure | No dataset | Measurement and Methodological Advances,Others_Measure,No dataset,Measurement and Methodological Advances,"[3.0, 8.223303379776745, 3.678169616393806]","[2002, 1998, 2016, 2019]","[https://openalex.org/W2164455384, https://openalex.org/W2117544103, https://openalex.org/W2476394513, https://openalex.org/W2981344849]"
"Regression‐based Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Regression‐based Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2006],[https://openalex.org/W1994583502]
Absolute Mobility Measures | National Survey Data | Empirical Estimates and Determinants,Absolute Mobility Measures,National Survey Data,Empirical Estimates and Determinants,[3.0],"[2016, 2023]","[https://openalex.org/W2470832101, https://openalex.org/W3186457560]"
Others_Measure | National Survey Data | Empirical Estimates and Determinants,Others_Measure,National Survey Data,Empirical Estimates and Determinants,[3.0],"[2013, 2019]","[https://openalex.org/W2123210148, https://openalex.org/W3049173530]"
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[3.0, 3.75, 4.632282306180233]","[2002, 2012, 2018, 2022]","[https://openalex.org/W2008396968, https://openalex.org/W1523582143, https://openalex.org/W3142916655, https://openalex.org/W4283657131]"
"Absolute Mobility Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",Absolute Mobility Measures,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts",[3.0],[2020],[https://openalex.org/W3045264130]
Regression‐based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 8.223303379776745, 78.56876051992883, 28.91802526141679, 11.304522011888043, 32.83281244438517, 40.71499764479142, 29.861880739701014, 28.996277099028397, 60.992554198056794, 33.4962770990284, 36.4962770990284, 21.2481385495142, 24.2481385495142, 24.10923067316205, 21.271380168566175, 40.035623975662574, 370.9108432169876, 64.17747397703249, 39.860279392641125, 141.8015547136185, 23.360901579444455, 26.360901579444455, 25.94849771897906, 25.58947930594541, 28.58947930594541, 31.58947930594541, 34.58947930594541, 33.111890693910404]","[2018, 2014, 1998, 2006, 2015, 2008, 2007, 2010, 2011, 2016, 2017, 2019, 1999, 2012, 2021, 2022, 2023, 2024]","[https://openalex.org/W2613688294, https://openalex.org/W2056728055, https://openalex.org/W1559271355, https://openalex.org/W1737762879, https://openalex.org/W1770740881, https://openalex.org/W2009549340, https://openalex.org/W2028148226, https://openalex.org/W2038719374, https://openalex.org/W2094244093, https://openalex.org/W2133450989, https://openalex.org/W2184544484, https://openalex.org/W2216308767, https://openalex.org/W2298141770, https://openalex.org/W2495276003, https://openalex.org/W2767134817, https://openalex.org/W2940947093, https://openalex.org/W3121421182, https://openalex.org/W3121694509, https://openalex.org/W3125112178, https://openalex.org/W3126032812, https://openalex.org/W3207400243, https://openalex.org/W3216509343, https://openalex.org/W4252745096, https://openalex.org/W4312651175, https://openalex.org/W4364368805, https://openalex.org/W4381660505, https://openalex.org/W4381666160, https://openalex.org/W4387172619, https://openalex.org/W4390920600, https://openalex.org/W4394797139]"
"Regression‐based Measures | International Panel Data | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,International Panel Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2014],[https://openalex.org/W1983053572]
Regression‐based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.4948154665398357, 5.6485748497655965, 81.67792027654015, 56.887330970186255, 40.53164161895831, 29.740910876413682, 32.74091087641368, 27.812970509010345, 45.156580164372116, 32.79223237516968, 89.53922006187882, 41.97420923098212, 44.97420923098212, 47.97420923098212, 86.5279497394352, 265.303693772482, 103.53130095183813, 121.92623509407942, 73.02823284177539, 66.57476923692808, 79.47432790676649, 82.47432790676649, 85.47432790676649, 77.40972430659319, 61.665600770252965, 49.73378633564439, 52.73378633564439, 63.575213616519825, 58.34543802553276, 61.34543802553276, 64.34543802553276, 150.82699762298628, 52.75435413041374, 55.75435413041374, 51.536984394443266, 54.536984394443266, 221.14793757777306, 195.52046163010644, 51.88011540752661, 210.52046163010644, 48.81717661436231, 45.497820600159486, 48.497820600159486, 45.21980504210321, 48.21980504210321]","[2008, 2021, 2023, 2004, 2007, 2010, 2013, 2015, 2012, 2014, 2002, 2009, 2017, 2016, 2011, 2019, 2020, 2022, 2024]","[https://openalex.org/W2079089263, https://openalex.org/W3143516863, https://openalex.org/W4381889820, https://openalex.org/W146920992, https://openalex.org/W1525853258, https://openalex.org/W1577807578, https://openalex.org/W167868874, https://openalex.org/W1842793959, https://openalex.org/W1896316165, https://openalex.org/W191471880, https://openalex.org/W1947133949, https://openalex.org/W1978270348, https://openalex.org/W1998586807, https://openalex.org/W2011405670, https://openalex.org/W2027209063, https://openalex.org/W2028289362, https://openalex.org/W2082418718, https://openalex.org/W2125337016, https://openalex.org/W2131012252, https://openalex.org/W2133143546, https://openalex.org/W2133321662, https://openalex.org/W2171543589, https://openalex.org/W2262410031, https://openalex.org/W2351966756, https://openalex.org/W2364400020, https://openalex.org/W2376609871, https://openalex.org/W2580182246, https://openalex.org/W2588161629, https://openalex.org/W2598091349, https://openalex.org/W2716435981, https://openalex.org/W2772867153, https://openalex.org/W2773177589, https://openalex.org/W2806349642, https://openalex.org/W2921143263, https://openalex.org/W2943543771, https://openalex.org/W3043938586, https://openalex.org/W3113905449, https://openalex.org/W3122768301, https://openalex.org/W3125844548, https://openalex.org/W3163537223, https://openalex.org/W4206194690, https://openalex.org/W4295766715, https://openalex.org/W4327519823, https://openalex.org/W4390145267, https://openalex.org/W4391308576, https://openalex.org/W4392865012, https://openalex.org/W4404002973]"
Regression‐based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 194.99999999999994, 13.60983499017151, 5.962012379265277, 13.380466470295703, 5.535124337083014, 8.535124337083014, 9.4684146774714, 15.493648069401695, 26.483979054473995, 16.241989527236996, 17.139473131985916, 25.61567038413489, 22.41304798175151]","[2009, 1979, 2000, 2011, 2007, 2019, 2021, 2016, 2022, 2020, 2023]","[https://openalex.org/W2042572864, https://openalex.org/W1974242925, https://openalex.org/W2037428382, https://openalex.org/W2310208630, https://openalex.org/W2403977165, https://openalex.org/W2943104001, https://openalex.org/W2963918180, https://openalex.org/W3120292600, https://openalex.org/W3123638740, https://openalex.org/W3124621746, https://openalex.org/W3181553951, https://openalex.org/W4281690951, https://openalex.org/W4285483025, https://openalex.org/W4293801681, https://openalex.org/W4385494974]"
Rank‐based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,Rank‐based Measures,Administrative/Registry Data,Empirical Estimates and Determinants,"[3.0, 4.723047532495553, 8.425356931150446, 10.334699222383925, 13.334699222383925, 16.334699222383925, 17.220181609319084]","[2018, 2022, 2021, 2023]","[https://openalex.org/W2912008487, https://openalex.org/W3163153651, https://openalex.org/W4211263339, https://openalex.org/W4312419656, https://openalex.org/W4312705867, https://openalex.org/W4312805135, https://openalex.org/W4386491507, https://openalex.org/W4388724660]"
Regression‐based Measures | No dataset | Theoretical and Structural Models,Regression‐based Measures,No dataset,Theoretical and Structural Models,"[3.0, 6.0, 9.0, 34.33982027866047, 12.861523766247776, 25.39321351910698]","[2022, 2013, 2018, 2012]","[https://openalex.org/W4280580662, https://openalex.org/W4212975927, https://openalex.org/W4214604726, https://openalex.org/W2018386129, https://openalex.org/W4212888016, https://openalex.org/W4252430879, https://openalex.org/W70509848]"
"Others_Measure | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Others_Measure,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2020],[https://openalex.org/W3018625260]
Regression‐based Measures | National Survey Data | Empirical Estimates and Determinants,Regression‐based Measures,National Survey Data,Empirical Estimates and Determinants,"[3.0, 9.0, 18.669910139330234, 21.669910139330234, 17.296808927292, 20.296808927292, 73.6775937790714, 58.837174735780984, 54.220735608986615, 30.110367804493308, 107.85039061302052, 84.73531187838636, 51.66765668243157, 28.833828341215785, 28.10130550442915, 24.296807146816548, 27.296807146816548, 30.296807146816548, 33.29680714681655, 28.234261102165828, 21.62766543956761, 31.53787563905899, 57.91063080549183]","[2021, 2016, 2012, 2015, 2006, 2008, 2009, 2014, 2005, 2007, 2011, 2017, 2019, 2024, 2022, 2018, 2023]","[https://openalex.org/W3165956734, https://openalex.org/W2419212734, https://openalex.org/W3175158828, https://openalex.org/W1648451562, https://openalex.org/W1792190074, https://openalex.org/W1882444807, https://openalex.org/W1971213371, https://openalex.org/W2018079782, https://openalex.org/W2097343718, https://openalex.org/W2108734997, https://openalex.org/W2116568238, https://openalex.org/W2118931737, https://openalex.org/W2387291285, https://openalex.org/W2482682982, https://openalex.org/W2602849344, https://openalex.org/W2918831213, https://openalex.org/W2944091914, https://openalex.org/W2967279307, https://openalex.org/W3105823174, https://openalex.org/W3136260651, https://openalex.org/W3204735205, https://openalex.org/W4205552064, https://openalex.org/W4230700148, https://openalex.org/W4385782198]"
Regression‐based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,No dataset,Intergenerational Wealth Mobility and Inheritance,"[3.0, 8.223303379776745, 6.11604929104214, 6.512747879850444, 7.296811174166028, 137.109359879816, 20.138669984977003]","[2009, 2005, 2012, 2016, 2019, 1998, 2013, 2011]","[https://openalex.org/W1993125614, https://openalex.org/W1545014524, https://openalex.org/W2055372720, https://openalex.org/W2908577399, https://openalex.org/W2980728415, https://openalex.org/W3123505781, https://openalex.org/W3124226182, https://openalex.org/W59453117]"
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models,"[3.0, 9.89219012998221, 1457.4822437924436, 1460.4822437924436, 82.4639775010937, 23.615994375273424, 18.58074569947073, 59.32628814960923, 22.570376632550403, 25.570376632550403, 15.785188316275201, 16.741804580468774, 17.57458740812072, 20.57458740812072, 661.3867970598627, 18.663670705857577, 21.663670705857577, 24.663670705857577, 27.663670705857577, 149.00972934958176]","[2021, 2015, 1979, 2000, 2010, 2013, 2005, 2018, 2019, 2020, 1995, 2022, 2007]","[https://openalex.org/W3127732452, https://openalex.org/W1969182931, https://openalex.org/W1997361840, https://openalex.org/W2022256544, https://openalex.org/W2144050291, https://openalex.org/W2170708007, https://openalex.org/W2198347083, https://openalex.org/W2258354779, https://openalex.org/W2261420935, https://openalex.org/W2587720673, https://openalex.org/W2804095451, https://openalex.org/W2971359031, https://openalex.org/W3021741550, https://openalex.org/W3044383046, https://openalex.org/W3124481018, https://openalex.org/W3170592684, https://openalex.org/W3210465688, https://openalex.org/W4220732045, https://openalex.org/W4289824063, https://openalex.org/W4300073440, https://openalex.org/W85222481]"
Multigenerational Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,Multigenerational Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2001],[https://openalex.org/W3123290206]
"Regression‐based Measures | Linked Administrative Data | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Regression‐based Measures,Linked Administrative Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2021],[https://openalex.org/W3189916381]
Others_Measure | Pseudo-Panel/Household Budget Survey | Empirical Estimates and Determinants,Others_Measure,Pseudo-Panel/Household Budget Survey,Empirical Estimates and Determinants,[3.0],[2015],[https://openalex.org/W2337892695]
Absolute Mobility Measures | National Survey Data | Perceptions of Mobility and Attitudes,Absolute Mobility Measures,National Survey Data,Perceptions of Mobility and Attitudes,[3.0],[2020],[https://openalex.org/W3088079582]
Regression‐based Measures | Linked Administrative Data | Measurement and Methodological Advances,Regression‐based Measures,Linked Administrative Data,Measurement and Methodological Advances,[3.0],"[2020, 2009]","[https://openalex.org/W3027769937, https://openalex.org/W2009897266]"
Others_Measure | National Survey Data | Perceptions of Mobility and Attitudes,Others_Measure,National Survey Data,Perceptions of Mobility and Attitudes,[3.0],"[2022, 2018]","[https://openalex.org/W4213429281, https://openalex.org/W2890540479]"
Absolute Mobility Measures | No dataset | Measurement and Methodological Advances,Absolute Mobility Measures,No dataset,Measurement and Methodological Advances,"[3.0, 6.446095064991105]","[2014, 2013, 2017]","[https://openalex.org/W2119977186, https://openalex.org/W1985674062, https://openalex.org/W2635740930]"
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[3.0],"[2009, 2003]","[https://openalex.org/W48048703, https://openalex.org/W1510224607]"
Absolute Mobility Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[3.0],"[1976, 2004]","[https://openalex.org/W2004570201, https://openalex.org/W2986629221]"
Regression‐based Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Others_DataType,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.8615237662477764, 5.54765557860074]","[2007, 2016, 2019, 2023]","[https://openalex.org/W2146082360, https://openalex.org/W2473722593, https://openalex.org/W2936910510, https://openalex.org/W4361214653]"
Regression‐based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 15.0, 48.47149699531194, 18.98963093307967, 15.52848411942814, 16.518330597303084, 19.518330597303084, 19.991693696082173, 33.301741327753234, 22.126827740863458]","[2024, 2014, 2006, 2017, 2018, 2019, 2016, 2020]","[https://openalex.org/W4403898265, https://openalex.org/W2003514985, https://openalex.org/W2056823769, https://openalex.org/W2184044297, https://openalex.org/W2761614070, https://openalex.org/W2789684694, https://openalex.org/W2807800750, https://openalex.org/W2922684064, https://openalex.org/W3122167690, https://openalex.org/W3123195152, https://openalex.org/W4401171797]"
"Others_Measure | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",Others_Measure,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2020],[https://openalex.org/W3161971993]
Regression‐based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,Regression‐based Measures,Administrative/Registry Data,Empirical Estimates and Determinants,"[3.0, 16.78438025996442, 22.280189994265832, 17.699443475478425, 7.424860868869606, 9.463716811789785, 11.238644001378598, 12.783807866084745, 12.688314682855294, 15.688314682855294, 18.688314682855292, 19.2691228742149]","[2017, 2006, 2005, 2008, 2018, 2019, 2020, 2021, 2023, 2024]","[https://openalex.org/W2569989626, https://openalex.org/W1578919155, https://openalex.org/W2091916425, https://openalex.org/W2132728629, https://openalex.org/W2794220255, https://openalex.org/W2922209108, https://openalex.org/W3084113281, https://openalex.org/W3192903419, https://openalex.org/W4383346553, https://openalex.org/W4384133380, https://openalex.org/W4388626236, https://openalex.org/W4392135119, https://openalex.org/W4402546895]"
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[3.0, 15.0, 5.474077332699178, 7.765461105507814, 10.765461105507814]","[2016, 2006, 2019, 2020]","[https://openalex.org/W2556000214, https://openalex.org/W2158055684, https://openalex.org/W2972798438, https://openalex.org/W3025676006, https://openalex.org/W3080387614, https://openalex.org/W3185155858]"
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants,"[3.0, 4.979261866159341, 10.547149699531193, 9.057746754879478]","[2015, 2018, 2019, 2024]","[https://openalex.org/W632219639, https://openalex.org/W2804958844, https://openalex.org/W291004932, https://openalex.org/W3171039042, https://openalex.org/W4404109958]"
Non‐parametric Approaches | No dataset | Measurement and Methodological Advances,Non‐parametric Approaches,No dataset,Measurement and Methodological Advances,[3.0],"[2021, 2019]","[https://openalex.org/W2546674699, https://openalex.org/W3121217472]"
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.652912922472093, 47.294245060886915, 5.240145960605902, 21.24724807103751, 11.051201473506914, 14.051201473506914, 7.6351678750390315, 29.5871987779028, 14.21145183607587]","[2003, 2014, 1996, 2018, 2009, 2016, 2024, 2015, 2022]","[https://openalex.org/W115198923, https://openalex.org/W1583265181, https://openalex.org/W2051645598, https://openalex.org/W2913916335, https://openalex.org/W3124279434, https://openalex.org/W3125406097, https://openalex.org/W3125856458, https://openalex.org/W3168728451, https://openalex.org/W4230356224, https://openalex.org/W4293041566, https://openalex.org/W4293190917]"
Absolute Mobility Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Others_DataType,Intergenerational Wealth Mobility and Inheritance,[3.0],[1986],[https://openalex.org/W1502476793]
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Measurement and Methodological Advances,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[3.0],[2011],[https://openalex.org/W1504828284]
"Decomposition / Structural Approaches | No dataset | Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,No dataset,"Policy, Institutional, and Geographic Impacts","[3.0, 3.430761883123888, 4.7153809415619445]","[2000, 2014, 2019, 2023]","[https://openalex.org/W1527079419, https://openalex.org/W2153943844, https://openalex.org/W2938378096, https://openalex.org/W4367597654]"
Others_Measure | Administrative/Registry Data | Measurement and Methodological Advances,Others_Measure,Administrative/Registry Data,Measurement and Methodological Advances,[3.0],[2007],[https://openalex.org/W1546068527]
Transition Matrix / Probability Measures | Linked Administrative Data | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,Linked Administrative Data,Empirical Estimates and Determinants,[3.0],"[2015, 2013]","[https://openalex.org/W1556385061, https://openalex.org/W2012592263]"
Regression‐based Measures | Administrative/Registry Data | Measurement and Methodological Advances,Regression‐based Measures,Administrative/Registry Data,Measurement and Methodological Advances,"[3.0, 6.0, 15.0]","[2016, 2011, 2015]","[https://openalex.org/W1557569468, https://openalex.org/W2922736319, https://openalex.org/W3123202179, https://openalex.org/W4300951185]"
