u,v,jaccard
No dataset,Measurement and Methodological Advances,0.3333333333333333
No dataset,Theoretical and Structural Models,0.23529411764705882
No dataset,"Policy, Institutional, and Geographic Impacts",0.2
No dataset,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.19047619047619047
No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",0.15789473684210525
Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,0.3076923076923077
Panel/Longitudinal Surveys,Empirical Estimates and Determinants,0.25925925925925924
Panel/Longitudinal Surveys,Measurement and Methodological Advances,0.3333333333333333
Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",0.25
Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.25
Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",0.15789473684210525
Others_DataType,Intergenerational Wealth Mobility and Inheritance,0.28
Others_DataType,Empirical Estimates and Determinants,0.23076923076923078
Others_DataType,Measurement and Methodological Advances,0.3
Others_DataType,"Policy, Institutional, and Geographic Impacts",0.2727272727272727
Others_DataType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.2777777777777778
National Survey Data,Intergenerational Wealth Mobility and Inheritance,0.25925925925925924
National Survey Data,Empirical Estimates and Determinants,0.21428571428571427
National Survey Data,Measurement and Methodological Advances,0.2727272727272727
National Survey Data,"Policy, Institutional, and Geographic Impacts",0.25
National Survey Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.25
National Survey Data,Perceptions of Mobility and Attitudes,0.3125
National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.15789473684210525
Big Data,Empirical Estimates and Determinants,0.09523809523809523
Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,0.28
Administrative/Registry Data,Empirical Estimates and Determinants,0.28
Administrative/Registry Data,Measurement and Methodological Advances,0.3684210526315789
Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",0.21739130434782608
Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.17647058823529413
Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance,0.16666666666666666
Natural/Experimental Data,Empirical Estimates and Determinants,0.16666666666666666
Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",0.2
Natural/Experimental Data,Perceptions of Mobility and Attitudes,0.36363636363636365
Opportunity Atlas,Intergenerational Wealth Mobility and Inheritance,0.16666666666666666
Opportunity Atlas,Empirical Estimates and Determinants,0.16666666666666666
Opportunity Atlas,"Policy, Institutional, and Geographic Impacts",0.14285714285714285
Opportunity Atlas,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.1875
International Panel Data,Intergenerational Wealth Mobility and Inheritance,0.08
International Panel Data,Empirical Estimates and Determinants,0.08
International Panel Data,Measurement and Methodological Advances,0.10526315789473684
International Panel Data,Theoretical and Structural Models,0.07692307692307693
International Panel Data,"Policy, Institutional, and Geographic Impacts",0.09523809523809523
Pseudo-Panel/Household Budget Survey,Intergenerational Wealth Mobility and Inheritance,0.09090909090909091
Pseudo-Panel/Household Budget Survey,Empirical Estimates and Determinants,0.09090909090909091
Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.13043478260869565
Archival/Historical Data,Empirical Estimates and Determinants,0.08333333333333333
Archival/Historical Data,"Policy, Institutional, and Geographic Impacts",0.15789473684210525
University/Institution Data,Intergenerational Wealth Mobility and Inheritance,0.13636363636363635
University/Institution Data,Empirical Estimates and Determinants,0.13636363636363635
