period,dt.name,m.name,rq.name,names,n_papers
2001-2005,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2001-2005,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2001-2005,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2001-2005,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",0
2001-2005,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",0
2001-2005,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[National Survey Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2001-2005,No dataset,Regression‐based Measures,Measurement and Methodological Advances,"[No dataset, Regression‐based Measures, Measurement and Methodological Advances]",0
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",8
2006-2010,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",6
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Regression‐based Measures, Empirical Estimates and Determinants]",5
2006-2010,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Regression‐based Measures, Empirical Estimates and Determinants]",4
2006-2010,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",3
2006-2010,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,"[No dataset, Decomposition / Structural Approaches, Theoretical and Structural Models]",3
2006-2010,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,"[No dataset, Regression‐based Measures, Empirical Estimates and Determinants]",3
2006-2010,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2006-2010,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",2
2006-2010,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Regression‐based Measures, Empirical Estimates and Determinants]",2
2006-2010,No dataset,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,International Panel Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[International Panel Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Administrative/Registry Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",1
2006-2010,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2006-2010,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,"[International Panel Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2006-2010,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2006-2010,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[National Survey Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2006-2010,Others_DataType,Others_Measure,Empirical Estimates and Determinants,"[Others_DataType, Others_Measure, Empirical Estimates and Determinants]",1
2006-2010,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Rank‐based Measures, Empirical Estimates and Determinants]",1
2006-2010,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Rank‐based Measures, Empirical Estimates and Determinants]",1
2006-2010,No dataset,Regression‐based Measures,Measurement and Methodological Advances,"[No dataset, Regression‐based Measures, Measurement and Methodological Advances]",1
2006-2010,Linked Administrative Data,Regression‐based Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Regression‐based Measures, Measurement and Methodological Advances]",1
2006-2010,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",1
2006-2010,Administrative/Registry Data,Others_Measure,Measurement and Methodological Advances,"[Administrative/Registry Data, Others_Measure, Measurement and Methodological Advances]",1
2006-2010,Others_DataType,Non‐parametric Approaches,Measurement and Methodological Advances,"[Others_DataType, Non‐parametric Approaches, Measurement and Methodological Advances]",1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2006-2010,No dataset,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[No dataset, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2006-2010,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",0
2006-2010,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2006-2010,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,"[Others_DataType, Regression‐based Measures, Empirical Estimates and Determinants]",0
2006-2010,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[No dataset, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2006-2010,No dataset,Others_Measure,Empirical Estimates and Determinants,"[No dataset, Others_Measure, Empirical Estimates and Determinants]",0
2006-2010,Administrative/Registry Data,Others_Measure,Empirical Estimates and Determinants,"[Administrative/Registry Data, Others_Measure, Empirical Estimates and Determinants]",0
2006-2010,Administrative/Registry Data,Regression‐based Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Regression‐based Measures, Measurement and Methodological Advances]",0
2006-2010,Others_DataType,Regression‐based Measures,Measurement and Methodological Advances,"[Others_DataType, Regression‐based Measures, Measurement and Methodological Advances]",0
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Regression‐based Measures, Measurement and Methodological Advances]",0
2006-2010,No dataset,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[No dataset, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",0
2006-2010,No dataset,Others_Measure,Measurement and Methodological Advances,"[No dataset, Others_Measure, Measurement and Methodological Advances]",0
2006-2010,Others_DataType,Others_Measure,Measurement and Methodological Advances,"[Others_DataType, Others_Measure, Measurement and Methodological Advances]",0
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",18
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Regression‐based Measures, Empirical Estimates and Determinants]",11
2011-2015,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",8
2011-2015,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",7
2011-2015,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,"[No dataset, Regression‐based Measures, Empirical Estimates and Determinants]",6
2011-2015,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Regression‐based Measures, Empirical Estimates and Determinants]",6
2011-2015,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,"[No dataset, Decomposition / Structural Approaches, Theoretical and Structural Models]",4
2011-2015,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",3
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Regression‐based Measures, Measurement and Methodological Advances]",3
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",3
2011-2015,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",2
2011-2015,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2011-2015,International Panel Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[International Panel Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2011-2015,No dataset,Regression‐based Measures,Theoretical and Structural Models,"[No dataset, Regression‐based Measures, Theoretical and Structural Models]",2
2011-2015,No dataset,Others_Measure,Theoretical and Structural Models,"[No dataset, Others_Measure, Theoretical and Structural Models]",2
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Administrative/Registry Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",2
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",2
2011-2015,National Survey Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[National Survey Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",2
2011-2015,Archival/Historical Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Archival/Historical Data, Regression‐based Measures, Empirical Estimates and Determinants]",2
2011-2015,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,"[International Panel Data, Regression‐based Measures, Empirical Estimates and Determinants]",2
2011-2015,Linked Administrative Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",2
2011-2015,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Rank‐based Measures, Empirical Estimates and Determinants]",2
2011-2015,No dataset,Absolute Mobility Measures,Measurement and Methodological Advances,"[No dataset, Absolute Mobility Measures, Measurement and Methodological Advances]",2
2011-2015,No dataset,Regression‐based Measures,Measurement and Methodological Advances,"[No dataset, Regression‐based Measures, Measurement and Methodological Advances]",2
2011-2015,Administrative/Registry Data,Regression‐based Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Regression‐based Measures, Measurement and Methodological Advances]",2
2011-2015,Administrative/Registry Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Administrative/Registry Data, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",2
2011-2015,National Survey Data,Decomposition / Structural Approaches,Perceptions of Mobility and Attitudes,"[National Survey Data, Decomposition / Structural Approaches, Perceptions of Mobility and Attitudes]",2
2011-2015,Administrative/Registry Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Pseudo-Panel/Household Budget Survey,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Pseudo-Panel/Household Budget Survey, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Administrative/Registry Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Linked Administrative Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Panel/Longitudinal Surveys,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Administrative/Registry Data,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2011-2015,International Panel Data,Regression‐based Measures,Theoretical and Structural Models,"[International Panel Data, Regression‐based Measures, Theoretical and Structural Models]",1
2011-2015,No dataset,Transition Matrix / Probability Measures,Theoretical and Structural Models,"[No dataset, Transition Matrix / Probability Measures, Theoretical and Structural Models]",1
2011-2015,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2011-2015,No dataset,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[No dataset, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",1
2011-2015,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,"[Others_DataType, Regression‐based Measures, Empirical Estimates and Determinants]",1
2011-2015,Natural/Experimental Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Natural/Experimental Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2011-2015,Opportunity Atlas,Regression‐based Measures,Empirical Estimates and Determinants,"[Opportunity Atlas, Regression‐based Measures, Empirical Estimates and Determinants]",1
2011-2015,Administrative/Registry Data,Others_Measure,Empirical Estimates and Determinants,"[Administrative/Registry Data, Others_Measure, Empirical Estimates and Determinants]",1
2011-2015,Linked Administrative Data,Others_Measure,Empirical Estimates and Determinants,"[Linked Administrative Data, Others_Measure, Empirical Estimates and Determinants]",1
2011-2015,National Survey Data,Others_Measure,Empirical Estimates and Determinants,"[National Survey Data, Others_Measure, Empirical Estimates and Determinants]",1
2011-2015,Pseudo-Panel/Household Budget Survey,Others_Measure,Empirical Estimates and Determinants,"[Pseudo-Panel/Household Budget Survey, Others_Measure, Empirical Estimates and Determinants]",1
2011-2015,Linked Administrative Data,Non‐parametric Approaches,Empirical Estimates and Determinants,"[Linked Administrative Data, Non‐parametric Approaches, Empirical Estimates and Determinants]",1
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Measurement and Methodological Advances]",1
2011-2015,No dataset,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[No dataset, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2011-2015,Others_DataType,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Others_DataType, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2011-2015,Administrative/Registry Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2011-2015,Linked Administrative Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2011-2015,National Survey Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[National Survey Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2011-2015,International Panel Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[International Panel Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2011-2015,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2011-2015,Linked Administrative Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2011-2015,National Survey Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[National Survey Data, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2011-2015,Panel/Longitudinal Surveys,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2011-2015,Linked Administrative Data,Regression‐based Measures,Others_RqType,"[Linked Administrative Data, Regression‐based Measures, Others_RqType]",1
2011-2015,No dataset,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Others_DataType,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",0
