from_label,from_name,reltype,to_label,to_name,period,weight_sum,names,color_group,count_rank_percentile,to_short_name,from_short_name,short_name,to_strength,from_strength,edge_strength
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,-2000,2,Decomposition / Structural Approaches - Administrative/Registry Data,Other,0.234375,D2,M6,M6-D2,8.0,14.0,18.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,-2000,4,Regression-based Measures - Linked Administrative Data,Other,0.59375,D6,M1,M1-D6,4.0,18.0,14.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,-2000,4,Regression-based Measures - Panel/Longitudinal Surveys,M1-D1,0.59375,D1,M1,M1-D1,6.0,18.0,16.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,-2000,10,No dataset - Theoretical and Structural Models,Other,0.953125,R7,D13,D13-R7,10.0,24.0,14.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,10,Regression-based Measures - Intergenerational Wealth Mobility and Inheritance,M1-R4,0.953125,R4,M1,M1-R4,24.0,18.0,22.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,8,Administrative/Registry Data - Intergenerational Wealth Mobility and Inheritance,Other,0.875,R4,D2,D2-R4,24.0,8.0,16.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,-2000,8,Regression-based Measures - Empirical Estimates and Determinants,M1-R2,0.875,R2,M1,M1-R2,8.0,18.0,10.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,6,No dataset - Intergenerational Wealth Mobility and Inheritance,Other,0.78125,R4,D13,D13-R4,24.0,24.0,36.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,-2000,8,Decomposition / Structural Approaches - Theoretical and Structural Models,Other,0.875,R7,M6,M6-R7,10.0,14.0,8.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,6,Transition Matrix / Probability Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.78125,R4,M3,M3-R4,24.0,6.0,18.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,4,Linked Administrative Data - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,D6,D6-R4,24.0,4.0,20.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,-2000,4,No dataset - Empirical Estimates and Determinants,Other,0.59375,R2,D13,D13-R2,8.0,24.0,24.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,-2000,4,Panel/Longitudinal Surveys - Empirical Estimates and Determinants,D1-R2,0.59375,R2,D1,D1-R2,8.0,6.0,6.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,4,Others_Measure - No dataset,Other,0.59375,D13,M9,M9-D13,24.0,4.0,20.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,-2000,4,Regression-based Measures - Administrative/Registry Data,Other,0.59375,D2,M1,M1-D2,8.0,18.0,18.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,6,Regression-based Measures - No dataset,Other,0.78125,D13,M1,M1-D13,24.0,18.0,30.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,2,Absolute Mobility Measures - Panel/Longitudinal Surveys,Other,0.32926829268292684,D1,M4,M4-D1,18.0,4.0,18.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2001-2005,2,Absolute Mobility Measures - Empirical Estimates and Determinants,Other,0.32926829268292684,R2,M4,M4-R2,20.0,4.0,20.0
Measure,Multigenerational Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2001-2005,2,Multigenerational Measures - National Survey Data,Other,0.32926829268292684,D3,M5,M5-D3,6.0,2.0,4.0
Measure,Non-parametric Approaches,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,2,Non-parametric Approaches - Panel/Longitudinal Surveys,Other,0.32926829268292684,D1,M7,M7-D1,18.0,2.0,16.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2001-2005,2,Regression-based Measures - Administrative/Registry Data,Other,0.32926829268292684,D2,M1,M1-D2,2.0,22.0,20.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2001-2005,2,Regression-based Measures - National Survey Data,Other,0.32926829268292684,D3,M1,M1-D3,6.0,22.0,24.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2001-2005,2,Transition Matrix / Probability Measures - National Survey Data,Other,0.32926829268292684,D3,M3,M3-D3,6.0,8.0,10.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,2,Transition Matrix / Probability Measures - No dataset,Other,0.32926829268292684,D13,M3,M3-D13,14.0,8.0,18.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Absolute Mobility Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,M4,M4-R4,18.0,4.0,18.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2001-2005,2,Regression-based Measures - Measurement and Methodological Advances,Other,0.32926829268292684,R1,M1,M1-R1,4.0,22.0,22.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2001-2005,2,Decomposition / Structural Approaches - Theoretical and Structural Models,Other,0.32926829268292684,R7,M6,M6-R7,2.0,4.0,2.0
Measure,Multigenerational Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Multigenerational Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,M5,M5-R4,18.0,2.0,16.0
Measure,Non-parametric Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Non-parametric Approaches - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,M7,M7-R4,18.0,2.0,16.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Others_Measure - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,M9,M9-R4,18.0,4.0,18.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2001-2005,2,Others_Measure - Measurement and Methodological Advances,Other,0.32926829268292684,R1,M9,M9-R1,4.0,4.0,4.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2001-2005,2,"Transition Matrix / Probability Measures - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.32926829268292684,R5,M3,M3-R5,2.0,8.0,6.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Transition Matrix / Probability Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,M3,M3-R4,18.0,8.0,22.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2001-2005,2,Absolute Mobility Measures - Archival/Historical Data,Other,0.32926829268292684,D11,M4,M4-D11,2.0,4.0,2.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Decomposition / Structural Approaches - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,M6,M6-R4,18.0,4.0,18.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2001-2005,2,Panel/Longitudinal Surveys - Measurement and Methodological Advances,Other,0.32926829268292684,R1,D1,D1-R1,4.0,18.0,18.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2001-2005,2,"Panel/Longitudinal Surveys - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.32926829268292684,R5,D1,D1-R5,2.0,18.0,16.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,2001-2005,2,No dataset - Theoretical and Structural Models,Other,0.32926829268292684,R7,D13,D13-R7,2.0,14.0,12.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2001-2005,14,Regression-based Measures - Empirical Estimates and Determinants,M1-R2,1.0,R2,M1,M1-R2,20.0,22.0,14.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,10,Regression-based Measures - Panel/Longitudinal Surveys,M1-D1,0.975609756097561,D1,M1,M1-D1,18.0,22.0,20.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,6,No dataset - Intergenerational Wealth Mobility and Inheritance,Other,0.9024390243902439,R4,D13,D13-R4,18.0,14.0,20.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,6,Panel/Longitudinal Surveys - Intergenerational Wealth Mobility and Inheritance,D1-R4,0.9024390243902439,R4,D1,D1-R4,18.0,18.0,24.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,6,Regression-based Measures - Intergenerational Wealth Mobility and Inheritance,M1-R4,0.9024390243902439,R4,M1,M1-R4,18.0,22.0,28.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,4,Linked Administrative Data - Empirical Estimates and Determinants,Other,0.7560975609756098,R2,D6,D6-R2,20.0,4.0,16.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,4,National Survey Data - Intergenerational Wealth Mobility and Inheritance,Other,0.7560975609756098,R4,D3,D3-R4,18.0,6.0,16.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,4,No dataset - Empirical Estimates and Determinants,Other,0.7560975609756098,R2,D13,D13-R2,20.0,14.0,26.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,4,Decomposition / Structural Approaches - No dataset,Other,0.7560975609756098,D13,M6,M6-D13,14.0,4.0,10.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,8,Panel/Longitudinal Surveys - Empirical Estimates and Determinants,D1-R2,0.9512195121951219,R2,D1,D1-R2,20.0,18.0,22.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2001-2005,4,Regression-based Measures - Linked Administrative Data,Other,0.7560975609756098,D6,M1,M1-D6,4.0,22.0,18.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,4,Regression-based Measures - No dataset,Other,0.7560975609756098,D13,M1,M1-D13,14.0,22.0,28.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,4,Transition Matrix / Probability Measures - Panel/Longitudinal Surveys,Other,0.7560975609756098,D1,M3,M3-D1,18.0,8.0,18.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2001-2005,4,Transition Matrix / Probability Measures - Empirical Estimates and Determinants,Other,0.7560975609756098,R2,M3,M3-R2,20.0,8.0,20.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,2,Administrative/Registry Data - Empirical Estimates and Determinants,Other,0.32926829268292684,R2,D2,D2-R2,20.0,2.0,18.0
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,Archival/Historical Data - Intergenerational Wealth Mobility and Inheritance,Other,0.32926829268292684,R4,D11,D11-R4,18.0,2.0,16.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,2,National Survey Data - Empirical Estimates and Determinants,Other,0.32926829268292684,R2,D3,D3-R2,20.0,6.0,22.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2001-2005,2,No dataset - Measurement and Methodological Advances,Other,0.32926829268292684,R1,D13,D13-R1,4.0,14.0,14.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,4,Others_Measure - No dataset,Other,0.7560975609756098,D13,M9,M9-D13,14.0,4.0,10.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,2,Decomposition / Structural Approaches - Panel/Longitudinal Surveys,Other,0.2578125,D1,M6,M6-D1,42.0,10.0,48.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,2,Absolute Mobility Measures - Panel/Longitudinal Surveys,Other,0.2578125,D1,M4,M4-D1,42.0,4.0,42.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,2,Absolute Mobility Measures - No dataset,Other,0.2578125,D13,M4,M4-D13,24.0,4.0,24.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2006-2010,2,"Panel/Longitudinal Surveys - Policy, Institutional, and Geographic Impacts",Other,0.2578125,R3,D1,D1-R3,2.0,42.0,40.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2006-2010,2,"Panel/Longitudinal Surveys - Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Other,0.2578125,R6,D1,D1-R6,2.0,42.0,40.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,Panel/Longitudinal Surveys - Measurement and Methodological Advances,Other,0.2578125,R1,D1,D1-R1,10.0,42.0,48.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2006-2010,2,"No dataset - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.2578125,R5,D13,D13-R5,2.0,24.0,22.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,2,Others_DataType - Intergenerational Wealth Mobility and Inheritance,Other,0.2578125,R4,D14,D14-R4,66.0,6.0,68.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,2,Others_DataType - Empirical Estimates and Determinants,Other,0.2578125,R2,D14,D14-R2,42.0,6.0,44.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,No dataset - Measurement and Methodological Advances,Other,0.2578125,R1,D13,D13-R1,10.0,24.0,30.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,Linked Administrative Data - Measurement and Methodological Advances,Other,0.2578125,R1,D6,D6-R1,10.0,18.0,24.0
DataType,International Panel Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,2,International Panel Data - Intergenerational Wealth Mobility and Inheritance,Other,0.2578125,R4,D7,D7-R4,66.0,4.0,66.0
Measure,Multigenerational Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2006-2010,2,Multigenerational Measures - Archival/Historical Data,Other,0.2578125,D11,M5,M5-D11,4.0,2.0,2.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,Others_DataType - Measurement and Methodological Advances,Other,0.2578125,R1,D14,D14-R1,10.0,6.0,12.0
Measure,Non-parametric Approaches,CO_MEASURE_DATATYPE,DataType,Others_DataType,2006-2010,2,Non-parametric Approaches - Others_DataType,Other,0.2578125,D14,M7,M7-D14,6.0,2.0,4.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,2,Others_Measure - Empirical Estimates and Determinants,Other,0.2578125,R2,M9,M9-R2,42.0,8.0,46.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Others_DataType,2006-2010,2,Others_Measure - Others_DataType,Other,0.2578125,D14,M9,M9-D14,6.0,8.0,10.0
Measure,Rank-based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2006-2010,2,Rank-based Measures - Linked Administrative Data,Other,0.2578125,D6,M2,M2-D6,18.0,4.0,18.0
Measure,Rank-based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,2,Rank-based Measures - Panel/Longitudinal Surveys,Other,0.2578125,D1,M2,M2-D1,42.0,4.0,42.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2006-2010,2,Regression-based Measures - Archival/Historical Data,Other,0.2578125,D11,M1,M1-D11,4.0,86.0,86.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Others_DataType,2006-2010,2,Regression-based Measures - Others_DataType,Other,0.2578125,D14,M1,M1-D14,6.0,86.0,88.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,2,Transition Matrix / Probability Measures - No dataset,Other,0.2578125,D13,M3,M3-D13,24.0,14.0,34.0
Measure,Multigenerational Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,2,Multigenerational Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.2578125,R4,M5,M5-R4,66.0,2.0,64.0
Measure,Non-parametric Approaches,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,2,Non-parametric Approaches - Measurement and Methodological Advances,Other,0.2578125,R1,M7,M7-R1,10.0,2.0,8.0
DataType,International Panel Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,2,International Panel Data - Empirical Estimates and Determinants,Other,0.2578125,R2,D7,D7-R2,42.0,4.0,42.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,2,Others_Measure - Measurement and Methodological Advances,Other,0.2578125,R1,M9,M9-R1,10.0,8.0,14.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2006-2010,2,"Regression-based Measures - Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Other,0.2578125,R6,M1,M1-R6,2.0,86.0,84.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,"Policy, Institutional, and Geographic Impacts",2006-2010,2,"Regression-based Measures - Policy, Institutional, and Geographic Impacts",Other,0.2578125,R3,M1,M1-R3,2.0,86.0,84.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2006-2010,2,"Transition Matrix / Probability Measures - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.2578125,R5,M3,M3-R5,2.0,14.0,12.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,2,Transition Matrix / Probability Measures - Measurement and Methodological Advances,Other,0.2578125,R1,M3,M3-R1,10.0,14.0,20.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,2,Others_Measure - No dataset,Other,0.2578125,D13,M9,M9-D13,24.0,8.0,28.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,Administrative/Registry Data - Measurement and Methodological Advances,Other,0.2578125,R1,D2,D2-R1,10.0,12.0,18.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,6,Transition Matrix / Probability Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.734375,R4,M3,M3-R4,66.0,14.0,68.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,4,Regression-based Measures - Measurement and Methodological Advances,Other,0.59375,R1,M1,M1-R1,10.0,86.0,88.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,4,Transition Matrix / Probability Measures - Empirical Estimates and Determinants,Other,0.59375,R2,M3,M3-R2,42.0,14.0,48.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,46,Regression-based Measures - Intergenerational Wealth Mobility and Inheritance,M1-R4,1.0,R4,M1,M1-R4,66.0,86.0,60.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,32,Regression-based Measures - Empirical Estimates and Determinants,M1-R2,0.984375,R2,M1,M1-R2,42.0,86.0,64.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,30,Regression-based Measures - Panel/Longitudinal Surveys,M1-D1,0.96875,D1,M1,M1-D1,42.0,86.0,68.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2006-2010,16,Regression-based Measures - Linked Administrative Data,Other,0.9375,D6,M1,M1-D6,18.0,86.0,72.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,14,Panel/Longitudinal Surveys - Empirical Estimates and Determinants,D1-R2,0.9140625,R2,D1,D1-R2,42.0,42.0,56.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2006-2010,14,Regression-based Measures - National Survey Data,Other,0.9140625,D3,M1,M1-D3,20.0,86.0,78.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,12,Linked Administrative Data - Intergenerational Wealth Mobility and Inheritance,Other,0.890625,R4,D6,D6-R4,66.0,18.0,60.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,10,National Survey Data - Empirical Estimates and Determinants,Other,0.859375,R2,D3,D3-R2,42.0,20.0,42.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,10,National Survey Data - Intergenerational Wealth Mobility and Inheritance,Other,0.859375,R4,D3,D3-R4,66.0,20.0,66.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,10,Regression-based Measures - No dataset,Other,0.859375,D13,M1,M1-D13,24.0,86.0,90.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,8,No dataset - Intergenerational Wealth Mobility and Inheritance,Other,0.8125,R4,D13,D13-R4,66.0,24.0,74.0
