period,dt.name,m.name,rq.name,n_triangles,tri_sum_total,tri_min_total
2006-2010,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,12,2
2006-2010,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,1,10,1
2006-2010,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,1,26,2
2006-2010,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,1,5,1
2006-2010,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,1,28,5
2006-2010,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,10,2
2006-2010,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,1,19,1
2006-2010,No dataset,Regression‐based Measures,Measurement and Methodological Advances,1,8,1
2006-2010,No dataset,Transition Matrix / Probability Measures,Measurement and Methodological Advances,1,3,1
2006-2010,No dataset,Others_Measure,Measurement and Methodological Advances,1,3,1
2006-2010,Administrative/Registry Data,Regression‐based Measures,Measurement and Methodological Advances,1,7,1
2006-2010,Administrative/Registry Data,Others_Measure,Measurement and Methodological Advances,1,4,1
2006-2010,Others_DataType,Regression‐based Measures,Measurement and Methodological Advances,1,4,1
2006-2010,Others_DataType,Others_Measure,Measurement and Methodological Advances,1,3,1
2006-2010,Others_DataType,Non‐parametric Approaches,Measurement and Methodological Advances,1,3,1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,1,18,1
2006-2010,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Measurement and Methodological Advances,1,5,1
2006-2010,Linked Administrative Data,Regression‐based Measures,Measurement and Methodological Advances,1,11,1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,17,1
2006-2010,No dataset,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,3,1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1,17,1
2011-2015,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,49,3
2011-2015,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,1,6,1
2011-2015,No dataset,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,10,2
2011-2015,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,16,2
2011-2015,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,61,6
2011-2015,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,11,1
2011-2015,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,11,2
2011-2015,Administrative/Registry Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,7,1
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,8,2
2011-2015,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,50,4
2011-2015,Administrative/Registry Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,9,1
2011-2015,Administrative/Registry Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,7,1
2011-2015,Administrative/Registry Data,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,7,1
2011-2015,Others_DataType,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,4,1
2011-2015,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,44,1
2011-2015,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,4,1
2011-2015,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,26,2
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,27,2
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,99,22
2011-2015,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,28,2
2011-2015,Panel/Longitudinal Surveys,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,1,25,1
2011-2015,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,25,1
2011-2015,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,59,8
2011-2015,Linked Administrative Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,16,4
2011-2015,Linked Administrative Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,11,1
2011-2015,Linked Administrative Data,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,11,1
2011-2015,National Survey Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,15,2
2011-2015,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,66,9
2011-2015,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,15,2
2011-2015,National Survey Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,12,1
2011-2015,International Panel Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,50,2
2011-2015,Pseudo-Panel/Household Budget Survey,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,44,1
2011-2015,Pseudo-Panel/Household Budget Survey,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,4,1
2011-2015,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,1,21,4
2011-2015,No dataset,Regression‐based Measures,Theoretical and Structural Models,1,25,3
2011-2015,No dataset,Transition Matrix / Probability Measures,Theoretical and Structural Models,1,11,1
2011-2015,No dataset,Others_Measure,Theoretical and Structural Models,1,14,2
2011-2015,International Panel Data,Regression‐based Measures,Theoretical and Structural Models,1,10,1
2011-2015,Archival/Historical Data,Regression‐based Measures,Empirical Estimates and Determinants,1,36,2
2011-2015,No dataset,Absolute Mobility Measures,Empirical Estimates and Determinants,1,10,1
2011-2015,No dataset,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,22,7
2011-2015,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,1,50,7
2011-2015,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,10,1
2011-2015,No dataset,Others_Measure,Empirical Estimates and Determinants,1,14,3
2011-2015,Administrative/Registry Data,Absolute Mobility Measures,Empirical Estimates and Determinants,1,5,1
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,12,2
2011-2015,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,1,37,3
2011-2015,Administrative/Registry Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,6,1
2011-2015,Administrative/Registry Data,Others_Measure,Empirical Estimates and Determinants,1,8,1
2011-2015,Administrative/Registry Data,Non‐parametric Approaches,Empirical Estimates and Determinants,1,5,1
2011-2015,Administrative/Registry Data,Rank‐based Measures,Empirical Estimates and Determinants,1,7,2
2011-2015,Others_DataType,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,9,1
2011-2015,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,1,32,1
2011-2015,Others_DataType,Others_Measure,Empirical Estimates and Determinants,1,6,1
2011-2015,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,1,17,1
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,24,3
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,1,79,14
2011-2015,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,18,2
2011-2015,Panel/Longitudinal Surveys,Non‐parametric Approaches,Empirical Estimates and Determinants,1,16,1
2011-2015,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,1,17,1
2011-2015,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,1,45,6
2011-2015,Linked Administrative Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,12,2
2011-2015,Linked Administrative Data,Others_Measure,Empirical Estimates and Determinants,1,11,1
2011-2015,Linked Administrative Data,Non‐parametric Approaches,Empirical Estimates and Determinants,1,8,1
2011-2015,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,1,10,2
2011-2015,National Survey Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,20,4
2011-2015,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,1,54,9
2011-2015,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,13,2
2011-2015,National Survey Data,Others_Measure,Empirical Estimates and Determinants,1,14,1
2011-2015,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,1,38,2
2011-2015,Pseudo-Panel/Household Budget Survey,Regression‐based Measures,Empirical Estimates and Determinants,1,32,1
2011-2015,Pseudo-Panel/Household Budget Survey,Others_Measure,Empirical Estimates and Determinants,1,6,1
2011-2015,Natural/Experimental Data,Regression‐based Measures,Empirical Estimates and Determinants,1,32,1
2011-2015,Opportunity Atlas,Regression‐based Measures,Empirical Estimates and Determinants,1,32,1
2011-2015,No dataset,Absolute Mobility Measures,Measurement and Methodological Advances,1,8,2
2011-2015,No dataset,Decomposition / Structural Approaches,Measurement and Methodological Advances,1,13,1
2011-2015,No dataset,Regression‐based Measures,Measurement and Methodological Advances,1,24,4
2011-2015,Administrative/Registry Data,Absolute Mobility Measures,Measurement and Methodological Advances,1,5,1
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,Measurement and Methodological Advances,1,5,1
2011-2015,Administrative/Registry Data,Regression‐based Measures,Measurement and Methodological Advances,1,13,2
2011-2015,Panel/Longitudinal Surveys,Absolute Mobility Measures,Measurement and Methodological Advances,1,8,2
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Measurement and Methodological Advances,1,8,1
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,1,46,4
2011-2015,No dataset,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",1,11,1
2011-2015,No dataset,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,21,1
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",1,5,1
2011-2015,Administrative/Registry Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,12,1
2011-2015,Others_DataType,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",1,4,1
2011-2015,Others_DataType,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,9,1
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",1,8,2
2011-2015,Panel/Longitudinal Surveys,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,45,3
2011-2015,Linked Administrative Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,17,1
2011-2015,National Survey Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",1,7,1
2011-2015,National Survey Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,23,1
2011-2015,International Panel Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",1,14,1
2011-2015,Administrative/Registry Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,6,1
2011-2015,Administrative/Registry Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,7,2
2011-2015,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,7,2
2011-2015,Panel/Longitudinal Surveys,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,6,1
2011-2015,Linked Administrative Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,8,1
2011-2015,Linked Administrative Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,6,1
2011-2015,National Survey Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,6,1
2011-2015,National Survey Data,Decomposition / Structural Approaches,Perceptions of Mobility and Attitudes,1,8,2
2011-2015,Linked Administrative Data,Regression‐based Measures,Others_RqType,1,11,1
2016-2020,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,52,7
2016-2020,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,1,11,1
2016-2020,No dataset,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,14,3
2016-2020,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,28,8
2016-2020,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,59,8
2016-2020,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,16,4
2016-2020,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,15,2
2016-2020,No dataset,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,13,2
2016-2020,Administrative/Registry Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,13,1
2016-2020,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,24,3
2016-2020,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,64,9
2016-2020,Administrative/Registry Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,15,2
2016-2020,Administrative/Registry Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,15,2
2016-2020,Others_DataType,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,8,1
2016-2020,Others_DataType,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,17,1
2016-2020,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,44,2
2016-2020,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,7,1
2016-2020,Others_DataType,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,8,1
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,27,3
2016-2020,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,36,5
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,90,19
2016-2020,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,25,2
2016-2020,Panel/Longitudinal Surveys,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,22,1
2016-2020,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,23,1
2016-2020,Panel/Longitudinal Surveys,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,22,1
2016-2020,Linked Administrative Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,13,1
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,25,4
2016-2020,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,58,9
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,14,1
2016-2020,Linked Administrative Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,15,2
2016-2020,National Survey Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,14,2
2016-2020,National Survey Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,23,2
2016-2020,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,63,9
2016-2020,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,14,1
2016-2020,National Survey Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,13,2
2016-2020,National Survey Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,12,1
2016-2020,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,1,19,4
2016-2020,No dataset,Regression‐based Measures,Theoretical and Structural Models,1,22,2
2016-2020,No dataset,Transition Matrix / Probability Measures,Theoretical and Structural Models,1,12,1
2016-2020,No dataset,Others_Measure,Theoretical and Structural Models,1,13,1
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,Theoretical and Structural Models,1,9,1
2016-2020,Linked Administrative Data,Regression‐based Measures,Theoretical and Structural Models,1,14,1
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Theoretical and Structural Models,1,3,1
2016-2020,Archival/Historical Data,Regression‐based Measures,Empirical Estimates and Determinants,1,42,1
2016-2020,No dataset,Absolute Mobility Measures,Empirical Estimates and Determinants,1,15,3
2016-2020,No dataset,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,20,5
2016-2020,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,1,54,7
2016-2020,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,13,2
2016-2020,No dataset,Others_Measure,Empirical Estimates and Determinants,1,18,5
2016-2020,Administrative/Registry Data,Absolute Mobility Measures,Empirical Estimates and Determinants,1,15,1
2016-2020,Administrative/Registry Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,17,3
2016-2020,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,1,60,9
2016-2020,Administrative/Registry Data,Others_Measure,Empirical Estimates and Determinants,1,19,4
2016-2020,Administrative/Registry Data,Rank‐based Measures,Empirical Estimates and Determinants,1,17,4
2016-2020,Others_DataType,Absolute Mobility Measures,Empirical Estimates and Determinants,1,8,1
2016-2020,Others_DataType,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,8,1
2016-2020,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,1,38,2
2016-2020,Others_DataType,Others_Measure,Empirical Estimates and Determinants,1,9,1
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,1,26,5
2016-2020,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,26,5
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,1,83,16
2016-2020,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,20,2
2016-2020,Panel/Longitudinal Surveys,Others_Measure,Empirical Estimates and Determinants,1,23,1
2016-2020,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,1,21,1
2016-2020,Linked Administrative Data,Absolute Mobility Measures,Empirical Estimates and Determinants,1,11,1
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,14,4
2016-2020,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,1,50,5
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,8,1
2016-2020,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,1,13,4
2016-2020,National Survey Data,Absolute Mobility Measures,Empirical Estimates and Determinants,1,18,2
2016-2020,National Survey Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,1,18,2
2016-2020,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,1,61,11
2016-2020,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,14,1
2016-2020,National Survey Data,Others_Measure,Empirical Estimates and Determinants,1,19,2
2016-2020,National Survey Data,Rank‐based Measures,Empirical Estimates and Determinants,1,16,1
2016-2020,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,1,40,3
2016-2020,International Panel Data,Rank‐based Measures,Empirical Estimates and Determinants,1,8,1
2016-2020,University/Institution Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,5,1
2016-2020,University/Institution Data,Others_Measure,Empirical Estimates and Determinants,1,9,1
2016-2020,No dataset,Absolute Mobility Measures,Measurement and Methodological Advances,1,14,1
2016-2020,No dataset,Regression‐based Measures,Measurement and Methodological Advances,1,36,10
2016-2020,No dataset,Transition Matrix / Probability Measures,Measurement and Methodological Advances,1,15,1
2016-2020,No dataset,Others_Measure,Measurement and Methodological Advances,1,17,2
