from_label,from_name,reltype,to_label,to_name,period,weight_sum,period2,names,from_code,to_code,code_combined
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Others_DataType,-2000,2,2000,Absolute Mobility Measures <-> Others_DataType,M.4,DT.14,"['M.4', 'DT.14']"
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,-2000,2,2000,Absolute Mobility Measures <-> Archival/Historical Data,M.4,DT.11,"['M.4', 'DT.11']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2001-2005,14,2005,Regression‐based Measures <-> Empirical Estimates and Determinants,M.1,RQ.2,"['M.1', 'RQ.2']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,10,2005,Regression‐based Measures <-> Panel/Longitudinal Surveys,M.1,DT.1,"['M.1', 'DT.1']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,8,2005,Panel/Longitudinal Surveys <-> Empirical Estimates and Determinants,DT.1,RQ.2,"['DT.1', 'RQ.2']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,6,2005,Regression‐based Measures <-> Intergenerational Wealth Mobility and Inheritance,M.1,RQ.4,"['M.1', 'RQ.4']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,6,2005,Panel/Longitudinal Surveys <-> Intergenerational Wealth Mobility and Inheritance,DT.1,RQ.4,"['DT.1', 'RQ.4']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,6,2005,No dataset <-> Intergenerational Wealth Mobility and Inheritance,DT.13,RQ.4,"['DT.13', 'RQ.4']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,4,2005,Transition Matrix / Probability Measures <-> Panel/Longitudinal Surveys,M.3,DT.1,"['M.3', 'DT.1']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2001-2005,4,2005,Transition Matrix / Probability Measures <-> Empirical Estimates and Determinants,M.3,RQ.2,"['M.3', 'RQ.2']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,4,2005,Regression‐based Measures <-> No dataset,M.1,DT.13,"['M.1', 'DT.13']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2001-2005,4,2005,Regression‐based Measures <-> Linked Administrative Data,M.1,DT.6,"['M.1', 'DT.6']"
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,4,2005,Others_Measure <-> No dataset,M.8,DT.13,"['M.8', 'DT.13']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,4,2005,No dataset <-> Empirical Estimates and Determinants,DT.13,RQ.2,"['DT.13', 'RQ.2']"
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,4,2005,National Survey Data <-> Intergenerational Wealth Mobility and Inheritance,DT.3,RQ.4,"['DT.3', 'RQ.4']"
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,4,2005,Linked Administrative Data <-> Empirical Estimates and Determinants,DT.6,RQ.2,"['DT.6', 'RQ.2']"
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,4,2005,Decomposition / Structural Approaches <-> No dataset,M.6,DT.13,"['M.6', 'DT.13']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2001-2005,2,2005,Transition Matrix / Probability Measures <-> No dataset,M.3,DT.13,"['M.3', 'DT.13']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2001-2005,2,2005,Transition Matrix / Probability Measures <-> National Survey Data,M.3,DT.3,"['M.3', 'DT.3']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Transition Matrix / Probability Measures <-> Intergenerational Wealth Mobility and Inheritance,M.3,RQ.4,"['M.3', 'RQ.4']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2001-2005,2,2005,"Transition Matrix / Probability Measures <-> Demographic Differences in Mobility (Race, Gender, etc.)",M.3,RQ.5,"['M.3', 'RQ.5']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2001-2005,2,2005,Regression‐based Measures <-> National Survey Data,M.1,DT.3,"['M.1', 'DT.3']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2001-2005,2,2005,Regression‐based Measures <-> Measurement and Methodological Advances,M.1,RQ.1,"['M.1', 'RQ.1']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2001-2005,2,2005,Regression‐based Measures <-> Administrative/Registry Data,M.1,DT.2,"['M.1', 'DT.2']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2001-2005,2,2005,Panel/Longitudinal Surveys <-> Measurement and Methodological Advances,DT.1,RQ.1,"['DT.1', 'RQ.1']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2001-2005,2,2005,"Panel/Longitudinal Surveys <-> Demographic Differences in Mobility (Race, Gender, etc.)",DT.1,RQ.5,"['DT.1', 'RQ.5']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2001-2005,2,2005,Others_Measure <-> Measurement and Methodological Advances,M.8,RQ.1,"['M.8', 'RQ.1']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Others_Measure <-> Intergenerational Wealth Mobility and Inheritance,M.8,RQ.4,"['M.8', 'RQ.4']"
Measure,Non‐parametric Approaches,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,2,2005,Non‐parametric Approaches <-> Panel/Longitudinal Surveys,M.7,DT.1,"['M.7', 'DT.1']"
Measure,Non‐parametric Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Non‐parametric Approaches <-> Intergenerational Wealth Mobility and Inheritance,M.7,RQ.4,"['M.7', 'RQ.4']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,2001-2005,2,2005,No dataset <-> Theoretical and Structural Models,DT.13,RQ.7,"['DT.13', 'RQ.7']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2001-2005,2,2005,No dataset <-> Measurement and Methodological Advances,DT.13,RQ.1,"['DT.13', 'RQ.1']"
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,2,2005,National Survey Data <-> Empirical Estimates and Determinants,DT.3,RQ.2,"['DT.3', 'RQ.2']"
Measure,Multigenerational Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2001-2005,2,2005,Multigenerational Measures <-> National Survey Data,M.5,DT.3,"['M.5', 'DT.3']"
Measure,Multigenerational Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Multigenerational Measures <-> Intergenerational Wealth Mobility and Inheritance,M.5,RQ.4,"['M.5', 'RQ.4']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2001-2005,2,2005,Decomposition / Structural Approaches <-> Theoretical and Structural Models,M.6,RQ.7,"['M.6', 'RQ.7']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Decomposition / Structural Approaches <-> Intergenerational Wealth Mobility and Inheritance,M.6,RQ.4,"['M.6', 'RQ.4']"
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Archival/Historical Data <-> Intergenerational Wealth Mobility and Inheritance,DT.11,RQ.4,"['DT.11', 'RQ.4']"
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2001-2005,2,2005,Administrative/Registry Data <-> Empirical Estimates and Determinants,DT.2,RQ.2,"['DT.2', 'RQ.2']"
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2001-2005,2,2005,Absolute Mobility Measures <-> Panel/Longitudinal Surveys,M.4,DT.1,"['M.4', 'DT.1']"
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2001-2005,2,2005,Absolute Mobility Measures <-> Intergenerational Wealth Mobility and Inheritance,M.4,RQ.4,"['M.4', 'RQ.4']"
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2001-2005,2,2005,Absolute Mobility Measures <-> Empirical Estimates and Determinants,M.4,RQ.2,"['M.4', 'RQ.2']"
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2001-2005,2,2005,Absolute Mobility Measures <-> Archival/Historical Data,M.4,DT.11,"['M.4', 'DT.11']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,46,2010,Regression‐based Measures <-> Intergenerational Wealth Mobility and Inheritance,M.1,RQ.4,"['M.1', 'RQ.4']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,32,2010,Regression‐based Measures <-> Empirical Estimates and Determinants,M.1,RQ.2,"['M.1', 'RQ.2']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,30,2010,Regression‐based Measures <-> Panel/Longitudinal Surveys,M.1,DT.1,"['M.1', 'DT.1']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,22,2010,Panel/Longitudinal Surveys <-> Intergenerational Wealth Mobility and Inheritance,DT.1,RQ.4,"['DT.1', 'RQ.4']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2006-2010,16,2010,Regression‐based Measures <-> Linked Administrative Data,M.1,DT.6,"['M.1', 'DT.6']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2006-2010,14,2010,Regression‐based Measures <-> National Survey Data,M.1,DT.3,"['M.1', 'DT.3']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,14,2010,Panel/Longitudinal Surveys <-> Empirical Estimates and Determinants,DT.1,RQ.2,"['DT.1', 'RQ.2']"
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,12,2010,Linked Administrative Data <-> Intergenerational Wealth Mobility and Inheritance,DT.6,RQ.4,"['DT.6', 'RQ.4']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,10,2010,Regression‐based Measures <-> No dataset,M.1,DT.13,"['M.1', 'DT.13']"
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,10,2010,National Survey Data <-> Intergenerational Wealth Mobility and Inheritance,DT.3,RQ.4,"['DT.3', 'RQ.4']"
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,10,2010,National Survey Data <-> Empirical Estimates and Determinants,DT.3,RQ.2,"['DT.3', 'RQ.2']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2006-2010,8,2010,Regression‐based Measures <-> Administrative/Registry Data,M.1,DT.2,"['M.1', 'DT.2']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,8,2010,No dataset <-> Intergenerational Wealth Mobility and Inheritance,DT.13,RQ.4,"['DT.13', 'RQ.4']"
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,8,2010,Decomposition / Structural Approaches <-> No dataset,M.6,DT.13,"['M.6', 'DT.13']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,6,2010,Transition Matrix / Probability Measures <-> Panel/Longitudinal Surveys,M.3,DT.1,"['M.3', 'DT.1']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2006-2010,6,2010,Transition Matrix / Probability Measures <-> National Survey Data,M.3,DT.3,"['M.3', 'DT.3']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,6,2010,Transition Matrix / Probability Measures <-> Intergenerational Wealth Mobility and Inheritance,M.3,RQ.4,"['M.3', 'RQ.4']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,2006-2010,6,2010,No dataset <-> Theoretical and Structural Models,DT.13,RQ.7,"['DT.13', 'RQ.7']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,6,2010,No dataset <-> Empirical Estimates and Determinants,DT.13,RQ.2,"['DT.13', 'RQ.2']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2006-2010,6,2010,Decomposition / Structural Approaches <-> Theoretical and Structural Models,M.6,RQ.7,"['M.6', 'RQ.7']"
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,6,2010,Administrative/Registry Data <-> Intergenerational Wealth Mobility and Inheritance,DT.2,RQ.4,"['DT.2', 'RQ.4']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,4,2010,Transition Matrix / Probability Measures <-> Empirical Estimates and Determinants,M.3,RQ.2,"['M.3', 'RQ.2']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,4,2010,Regression‐based Measures <-> Measurement and Methodological Advances,M.1,RQ.1,"['M.1', 'RQ.1']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,International Panel Data,2006-2010,4,2010,Regression‐based Measures <-> International Panel Data,M.1,DT.7,"['M.1', 'DT.7']"
Measure,Rank‐based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,4,2010,Rank‐based Measures <-> Empirical Estimates and Determinants,M.2,RQ.2,"['M.2', 'RQ.2']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,2010,Others_Measure <-> Intergenerational Wealth Mobility and Inheritance,M.8,RQ.4,"['M.8', 'RQ.4']"
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2006-2010,4,2010,Others_Measure <-> Administrative/Registry Data,M.8,DT.2,"['M.8', 'DT.2']"
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,4,2010,Linked Administrative Data <-> Empirical Estimates and Determinants,DT.6,RQ.2,"['DT.6', 'RQ.2']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,2010,Decomposition / Structural Approaches <-> Intergenerational Wealth Mobility and Inheritance,M.6,RQ.4,"['M.6', 'RQ.4']"
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,2010,Archival/Historical Data <-> Intergenerational Wealth Mobility and Inheritance,DT.11,RQ.4,"['DT.11', 'RQ.4']"
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,4,2010,Administrative/Registry Data <-> Empirical Estimates and Determinants,DT.2,RQ.2,"['DT.2', 'RQ.2']"
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,2010,Absolute Mobility Measures <-> Intergenerational Wealth Mobility and Inheritance,M.4,RQ.4,"['M.4', 'RQ.4']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,2,2010,Transition Matrix / Probability Measures <-> No dataset,M.3,DT.13,"['M.3', 'DT.13']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,2,2010,Transition Matrix / Probability Measures <-> Measurement and Methodological Advances,M.3,RQ.1,"['M.3', 'RQ.1']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2006-2010,2,2010,"Transition Matrix / Probability Measures <-> Demographic Differences in Mobility (Race, Gender, etc.)",M.3,RQ.5,"['M.3', 'RQ.5']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,"Policy, Institutional, and Geographic Impacts",2006-2010,2,2010,"Regression‐based Measures <-> Policy, Institutional, and Geographic Impacts",M.1,RQ.3,"['M.1', 'RQ.3']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Others_DataType,2006-2010,2,2010,Regression‐based Measures <-> Others_DataType,M.1,DT.14,"['M.1', 'DT.14']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2006-2010,2,2010,"Regression‐based Measures <-> Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",M.1,RQ.6,"['M.1', 'RQ.6']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2006-2010,2,2010,Regression‐based Measures <-> Archival/Historical Data,M.1,DT.11,"['M.1', 'DT.11']"
Measure,Rank‐based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,2,2010,Rank‐based Measures <-> Panel/Longitudinal Surveys,M.2,DT.1,"['M.2', 'DT.1']"
Measure,Rank‐based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2006-2010,2,2010,Rank‐based Measures <-> Linked Administrative Data,M.2,DT.6,"['M.2', 'DT.6']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2006-2010,2,2010,"Panel/Longitudinal Surveys <-> Policy, Institutional, and Geographic Impacts",DT.1,RQ.3,"['DT.1', 'RQ.3']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2006-2010,2,2010,"Panel/Longitudinal Surveys <-> Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DT.1,RQ.6,"['DT.1', 'RQ.6']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,2010,Panel/Longitudinal Surveys <-> Measurement and Methodological Advances,DT.1,RQ.1,"['DT.1', 'RQ.1']"
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Others_DataType,2006-2010,2,2010,Others_Measure <-> Others_DataType,M.8,DT.14,"['M.8', 'DT.14']"
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,2,2010,Others_Measure <-> No dataset,M.8,DT.13,"['M.8', 'DT.13']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2006-2010,2,2010,Others_Measure <-> Measurement and Methodological Advances,M.8,RQ.1,"['M.8', 'RQ.1']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,2,2010,Others_Measure <-> Empirical Estimates and Determinants,M.8,RQ.2,"['M.8', 'RQ.2']"
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2006-2010,2,2010,Others_DataType <-> Measurement and Methodological Advances,DT.14,RQ.1,"['DT.14', 'RQ.1']"
