m.name,n.name,year,paper_count,paper_ids
Regression‐based Measures,Panel/Longitudinal Surveys,"[1990, 1992, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",116,"[https://openalex.org/W1988669335, https://openalex.org/W1963513809, https://openalex.org/W2082418718, https://openalex.org/W1575557529, https://openalex.org/W146920992, https://openalex.org/W2148814768, https://openalex.org/W2553521091, https://openalex.org/W1994583502, https://openalex.org/W2353931744, https://openalex.org/W1525853258, https://openalex.org/W1978270348, https://openalex.org/W2079089263, https://openalex.org/W2131012252, https://openalex.org/W2127281421, https://openalex.org/W2125337016, https://openalex.org/W3093752946, https://openalex.org/W2364722826, https://openalex.org/W2028289362, https://openalex.org/W2366816539, https://openalex.org/W1577807578, https://openalex.org/W3122768301, https://openalex.org/W2365705769, https://openalex.org/W2806349642, https://openalex.org/W4206194690, https://openalex.org/W3125844548, https://openalex.org/W1580804840, https://openalex.org/W2133143546, https://openalex.org/W2171543589, https://openalex.org/W2157585414, https://openalex.org/W2009388710, https://openalex.org/W2351966756, https://openalex.org/W2262410031, https://openalex.org/W191471880, https://openalex.org/W623596649, https://openalex.org/W2368218525, https://openalex.org/W2612875108, https://openalex.org/W2133321662, https://openalex.org/W2364400020, https://openalex.org/W167868874, https://openalex.org/W1842793959, https://openalex.org/W2159988399, https://openalex.org/W2351358614, https://openalex.org/W3121808914, https://openalex.org/W2378057080, https://openalex.org/W2363649169, https://openalex.org/W2355555430, https://openalex.org/W2027209063, https://openalex.org/W1998586807, https://openalex.org/W2011405670, https://openalex.org/W2376609871, https://openalex.org/W2380359989, https://openalex.org/W3125359030, https://openalex.org/W2237492881, https://openalex.org/W1947133949, https://openalex.org/W1896316165, https://openalex.org/W1020822704, https://openalex.org/W1444704346, https://openalex.org/W2598091349, https://openalex.org/W2107393980, https://openalex.org/W4396596924, https://openalex.org/W2411230938, https://openalex.org/W4238028113, https://openalex.org/W2527995213, https://openalex.org/W3125643021, https://openalex.org/W2773177589, https://openalex.org/W2716435981, https://openalex.org/W2588161629, https://openalex.org/W2587329652, https://openalex.org/W2580182246, https://openalex.org/W2210747677, https://openalex.org/W2772867153, https://openalex.org/W2766173862, https://openalex.org/W2802089178, https://openalex.org/W2883024550, https://openalex.org/W2756659966, https://openalex.org/W2895165109, https://openalex.org/W3156722884, https://openalex.org/W2922039017, https://openalex.org/W3121545129, https://openalex.org/W2943543771, https://openalex.org/W2943421593, https://openalex.org/W2921143263, https://openalex.org/W2984996373, https://openalex.org/W2978816005, https://openalex.org/W3037705751, https://openalex.org/W3043938586, https://openalex.org/W3033501614, https://openalex.org/W3113905449, https://openalex.org/W3001811947, https://openalex.org/W2897475839, https://openalex.org/W3143516863, https://openalex.org/W3202616165, https://openalex.org/W3195123941, https://openalex.org/W3163537223, https://openalex.org/W3119775080, https://openalex.org/W3190097825, https://openalex.org/W4285263003, https://openalex.org/W4286458987, https://openalex.org/W4296277673, https://openalex.org/W4304172618, https://openalex.org/W4307711555, https://openalex.org/W4308132439, https://openalex.org/W4295766715, https://openalex.org/W4385260730, https://openalex.org/W4390145267, https://openalex.org/W4381889820, https://openalex.org/W4381736130, https://openalex.org/W4324121632, https://openalex.org/W4327519823, https://openalex.org/W4381512763, https://openalex.org/W4401871424, https://openalex.org/W4404002973, https://openalex.org/W4395466247, https://openalex.org/W4391619986, https://openalex.org/W4391308576, https://openalex.org/W4392865012]"
Regression‐based Measures,Linked Administrative Data,"[1998, 1999, 2002, 2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",51,"[https://openalex.org/W1559271355, https://openalex.org/W3121694509, https://openalex.org/W2124465354, https://openalex.org/W2049773875, https://openalex.org/W1737762879, https://openalex.org/W2133450989, https://openalex.org/W3122728969, https://openalex.org/W3207400243, https://openalex.org/W2028148226, https://openalex.org/W2009549340, https://openalex.org/W2009897266, https://openalex.org/W2038719374, https://openalex.org/W2184544484, https://openalex.org/W2216308767, https://openalex.org/W2094244093, https://openalex.org/W3125112178, https://openalex.org/W439017983, https://openalex.org/W2184450311, https://openalex.org/W2056728055, https://openalex.org/W3121421182, https://openalex.org/W1770740881, https://openalex.org/W3126032812, https://openalex.org/W2298141770, https://openalex.org/W2495276003, https://openalex.org/W2767134817, https://openalex.org/W4241858005, https://openalex.org/W2544001857, https://openalex.org/W2613688294, https://openalex.org/W3124550008, https://openalex.org/W2920476039, https://openalex.org/W2940947093, https://openalex.org/W3027769937, https://openalex.org/W4252745096, https://openalex.org/W3216509343, https://openalex.org/W3189916381, https://openalex.org/W3181973673, https://openalex.org/W4312651175, https://openalex.org/W4295122648, https://openalex.org/W4390066466, https://openalex.org/W4387172619, https://openalex.org/W4381666160, https://openalex.org/W4364368805, https://openalex.org/W4377834046, https://openalex.org/W4381660505, https://openalex.org/W4405654739, https://openalex.org/W3121518780, https://openalex.org/W4401327824, https://openalex.org/W4390693054, https://openalex.org/W4390920600, https://openalex.org/W4394797139, https://openalex.org/W4407463226]"
Regression‐based Measures,National Survey Data,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",52,"[https://openalex.org/W2116568238, https://openalex.org/W1971213371, https://openalex.org/W2118931737, https://openalex.org/W1989526535, https://openalex.org/W2053034611, https://openalex.org/W2018079782, https://openalex.org/W2097343718, https://openalex.org/W1969197029, https://openalex.org/W2387291285, https://openalex.org/W2187204840, https://openalex.org/W1648451562, https://openalex.org/W3122884517, https://openalex.org/W3175158828, https://openalex.org/W2244928658, https://openalex.org/W4238048379, https://openalex.org/W2741490491, https://openalex.org/W1504875321, https://openalex.org/W1524458346, https://openalex.org/W1967097718, https://openalex.org/W2108734997, https://openalex.org/W1792190074, https://openalex.org/W2208317766, https://openalex.org/W1882444807, https://openalex.org/W2419212734, https://openalex.org/W2482682982, https://openalex.org/W2602849344, https://openalex.org/W2905819002, https://openalex.org/W3121626177, https://openalex.org/W4230700148, https://openalex.org/W2890591802, https://openalex.org/W2918831213, https://openalex.org/W3105823174, https://openalex.org/W2944091914, https://openalex.org/W2942948331, https://openalex.org/W2933369931, https://openalex.org/W2912277864, https://openalex.org/W2967279307, https://openalex.org/W3039606322, https://openalex.org/W3001385022, https://openalex.org/W4252952688, https://openalex.org/W3202722289, https://openalex.org/W3204672706, https://openalex.org/W4247667710, https://openalex.org/W3165956734, https://openalex.org/W3136260651, https://openalex.org/W4205552064, https://openalex.org/W4385782198, https://openalex.org/W4402923847, https://openalex.org/W4403660177, https://openalex.org/W3204735205, https://openalex.org/W4401067024, https://openalex.org/W4396530482]"
Regression‐based Measures,International Panel Data,"[2009, 2011, 2013, 2014, 2015, 2016, 2018, 2019, 2023, 2024]",13,"[https://openalex.org/W1763036350, https://openalex.org/W2034417760, https://openalex.org/W1896704912, https://openalex.org/W2123253365, https://openalex.org/W2122216841, https://openalex.org/W2208157789, https://openalex.org/W1983053572, https://openalex.org/W2025903092, https://openalex.org/W2291516288, https://openalex.org/W2902789768, https://openalex.org/W2921237584, https://openalex.org/W4366085258, https://openalex.org/W4402066912]"
Regression‐based Measures,Pseudo-Panel/Household Budget Survey,[2014],1,[https://openalex.org/W1912659445]
Regression‐based Measures,Opportunity Atlas,"[2014, 2021]",4,"[https://openalex.org/W2120158174, https://openalex.org/W3197901707, https://openalex.org/W3129579937, https://openalex.org/W3150419855]"
Regression‐based Measures,Natural/Experimental Data,"[2014, 2018, 2022, 2024]",5,"[https://openalex.org/W2010545686, https://openalex.org/W2801737043, https://openalex.org/W4312802865, https://openalex.org/W4226345407, https://openalex.org/W4401242778]"
Regression‐based Measures,Big Data,[2025],1,[https://openalex.org/W4407152405]
Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[1979, 1998, 1999, 2000, 2002, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",145,"[https://openalex.org/W1974242925, https://openalex.org/W3123505781, https://openalex.org/W1559271355, https://openalex.org/W3121694509, https://openalex.org/W2037428382, https://openalex.org/W2082418718, https://openalex.org/W146920992, https://openalex.org/W1545014524, https://openalex.org/W2056823769, https://openalex.org/W1737762879, https://openalex.org/W2133450989, https://openalex.org/W2403977165, https://openalex.org/W2146082360, https://openalex.org/W3207400243, https://openalex.org/W1525853258, https://openalex.org/W2028148226, https://openalex.org/W1989526535, https://openalex.org/W2053034611, https://openalex.org/W2009549340, https://openalex.org/W1978270348, https://openalex.org/W2079089263, https://openalex.org/W2131012252, https://openalex.org/W2125337016, https://openalex.org/W2042572864, https://openalex.org/W1993125614, https://openalex.org/W2034417760, https://openalex.org/W1969197029, https://openalex.org/W2038719374, https://openalex.org/W2028289362, https://openalex.org/W1577807578, https://openalex.org/W3122768301, https://openalex.org/W2806349642, https://openalex.org/W59453117, https://openalex.org/W4206194690, https://openalex.org/W2184544484, https://openalex.org/W3125844548, https://openalex.org/W2310208630, https://openalex.org/W1896704912, https://openalex.org/W2216308767, https://openalex.org/W2187204840, https://openalex.org/W2094244093, https://openalex.org/W2133143546, https://openalex.org/W2055372720, https://openalex.org/W2171543589, https://openalex.org/W3125112178, https://openalex.org/W2351966756, https://openalex.org/W2262410031, https://openalex.org/W3122884517, https://openalex.org/W191471880, https://openalex.org/W2244928658, https://openalex.org/W2123253365, https://openalex.org/W4238048379, https://openalex.org/W2133321662, https://openalex.org/W2364400020, https://openalex.org/W167868874, https://openalex.org/W3124226182, https://openalex.org/W1842793959, https://openalex.org/W2184044297, https://openalex.org/W2027209063, https://openalex.org/W1504875321, https://openalex.org/W1524458346, https://openalex.org/W1912659445, https://openalex.org/W1967097718, https://openalex.org/W1998586807, https://openalex.org/W2003514985, https://openalex.org/W2056728055, https://openalex.org/W2011405670, https://openalex.org/W2376609871, https://openalex.org/W3121421182, https://openalex.org/W1770740881, https://openalex.org/W2208317766, https://openalex.org/W1947133949, https://openalex.org/W1896316165, https://openalex.org/W2598091349, https://openalex.org/W2908577399, https://openalex.org/W3126032812, https://openalex.org/W3124621746, https://openalex.org/W2298141770, https://openalex.org/W2473722593, https://openalex.org/W2495276003, https://openalex.org/W3122167690, https://openalex.org/W2773177589, https://openalex.org/W2761614070, https://openalex.org/W2716435981, https://openalex.org/W2588161629, https://openalex.org/W2580182246, https://openalex.org/W2772867153, https://openalex.org/W2767134817, https://openalex.org/W2905819002, https://openalex.org/W3121626177, https://openalex.org/W2613688294, https://openalex.org/W2807800750, https://openalex.org/W2789684694, https://openalex.org/W2890591802, https://openalex.org/W3123638740, https://openalex.org/W2943543771, https://openalex.org/W2943104001, https://openalex.org/W2942948331, https://openalex.org/W2940947093, https://openalex.org/W2936910510, https://openalex.org/W2922684064, https://openalex.org/W2963918180, https://openalex.org/W2912277864, https://openalex.org/W2921143263, https://openalex.org/W2980728415, https://openalex.org/W4285483025, https://openalex.org/W3039606322, https://openalex.org/W3043938586, https://openalex.org/W3113905449, https://openalex.org/W3001385022, https://openalex.org/W3123195152, https://openalex.org/W4252952688, https://openalex.org/W3143516863, https://openalex.org/W3204672706, https://openalex.org/W4252745096, https://openalex.org/W3216509343, https://openalex.org/W4247667710, https://openalex.org/W3150419855, https://openalex.org/W3163537223, https://openalex.org/W3181553951, https://openalex.org/W3120292600, https://openalex.org/W4293801681, https://openalex.org/W4312651175, https://openalex.org/W4295766715, https://openalex.org/W4226345407, https://openalex.org/W4281690951, https://openalex.org/W4385494974, https://openalex.org/W4390145267, https://openalex.org/W4381889820, https://openalex.org/W4387172619, https://openalex.org/W4381666160, https://openalex.org/W4327519823, https://openalex.org/W4361214653, https://openalex.org/W4364368805, https://openalex.org/W4366085258, https://openalex.org/W4381660505, https://openalex.org/W4402923847, https://openalex.org/W4404002973, https://openalex.org/W4403898265, https://openalex.org/W4390920600, https://openalex.org/W4401171797, https://openalex.org/W4391308576, https://openalex.org/W4392865012, https://openalex.org/W4394797139, https://openalex.org/W4396530482]"
Regression‐based Measures,Theoretical and Structural Models,"[2012, 2013, 2015, 2018, 2022]",9,"[https://openalex.org/W70509848, https://openalex.org/W2018386129, https://openalex.org/W2025903092, https://openalex.org/W4252430879, https://openalex.org/W4241858005, https://openalex.org/W4214604726, https://openalex.org/W4212975927, https://openalex.org/W4280580662, https://openalex.org/W4212888016]"
