triplet_key,years,ew,measure,datatype,rqtype
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,[2024],[3.0],Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants
"Multigenerational Measures | Archival/Historical Data | Policy, Institutional, and Geographic Impacts",[2017],[3.0],Multigenerational Measures,Archival/Historical Data,"Policy, Institutional, and Geographic Impacts"
Multigenerational Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,[2001],[3.0],Multigenerational Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
"Multigenerational Measures | Others_DataType | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2022],[3.0],Multigenerational Measures,Others_DataType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Multigenerational Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,[2014],[3.0],Multigenerational Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Non‐parametric Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,[2014],[3.0],Non‐parametric Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Non‐parametric Approaches | Linked Administrative Data | Empirical Estimates and Determinants,[2015],[3.0],Non‐parametric Approaches,Linked Administrative Data,Empirical Estimates and Determinants
Non‐parametric Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,[2017],[3.0],Non‐parametric Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Non‐parametric Approaches | No dataset | Measurement and Methodological Advances,"[2019, 2021]",[3.0],Non‐parametric Approaches,No dataset,Measurement and Methodological Advances
Non‐parametric Approaches | Others_DataType | Intergenerational Wealth Mobility and Inheritance,[2020],[3.0],Non‐parametric Approaches,Others_DataType,Intergenerational Wealth Mobility and Inheritance
Non‐parametric Approaches | Others_DataType | Measurement and Methodological Advances,[2010],[3.0],Non‐parametric Approaches,Others_DataType,Measurement and Methodological Advances
Non‐parametric Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,"[2002, 2014, 2017]","[3.0, 3.5683937124413996]",Non‐parametric Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Administrative/Registry Data | Empirical Estimates and Determinants,"[2014, 2019, 2020]","[3.0, 4.5]",Others_Measure,Administrative/Registry Data,Empirical Estimates and Determinants
Others_Measure | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,"[2009, 2019]",[3.0],Others_Measure,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Administrative/Registry Data | Measurement and Methodological Advances,[2007],[3.0],Others_Measure,Administrative/Registry Data,Measurement and Methodological Advances
"Others_Measure | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",[2020],[3.0],Others_Measure,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts"
Others_Measure | Linked Administrative Data | Empirical Estimates and Determinants,[2015],[3.0],Others_Measure,Linked Administrative Data,Empirical Estimates and Determinants
"Others_Measure | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",[2024],[3.0],Others_Measure,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts"
Others_Measure | National Survey Data | Empirical Estimates and Determinants,"[2013, 2019]",[3.0],Others_Measure,National Survey Data,Empirical Estimates and Determinants
Others_Measure | National Survey Data | Perceptions of Mobility and Attitudes,"[2018, 2022]",[3.0],Others_Measure,National Survey Data,Perceptions of Mobility and Attitudes
Others_Measure | Natural/Experimental Data | Perceptions of Mobility and Attitudes,[2019],[3.0],Others_Measure,Natural/Experimental Data,Perceptions of Mobility and Attitudes
Others_Measure | No dataset | Empirical Estimates and Determinants,"[2020, 2021]",[3.0],Others_Measure,No dataset,Empirical Estimates and Determinants
Others_Measure | No dataset | Intergenerational Wealth Mobility and Inheritance,"[2004, 2007, 2015, 2018]","[3.0, 4.979261866159341, 4.6425438555517635]",Others_Measure,No dataset,Intergenerational Wealth Mobility and Inheritance
Others_Measure | No dataset | Measurement and Methodological Advances,"[1998, 2002, 2016, 2019]","[3.0, 4.723047532495553, 3.678169616393806]",Others_Measure,No dataset,Measurement and Methodological Advances
Others_Measure | No dataset | Theoretical and Structural Models,"[1997, 2012, 2015, 2019, 2024]","[3.0, 3.375, 5.226669599429259, 6.001933385488702]",Others_Measure,No dataset,Theoretical and Structural Models
Others_Measure | Others_DataType | Empirical Estimates and Determinants,"[2008, 2016, 2023]","[3.0, 3.989630933079671]",Others_Measure,Others_DataType,Empirical Estimates and Determinants
Others_Measure | Others_DataType | Intergenerational Wealth Mobility and Inheritance,[2013],[3.0],Others_Measure,Others_DataType,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,[2024],[3.0],Others_Measure,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Others_Measure | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,[2021],[3.0],Others_Measure,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Panel/Longitudinal Surveys | Measurement and Methodological Advances,[2024],[3.0],Others_Measure,Panel/Longitudinal Surveys,Measurement and Methodological Advances
"Others_Measure | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2020],[3.0],Others_Measure,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Others_Measure | Pseudo-Panel/Household Budget Survey | Empirical Estimates and Determinants,[2015],[3.0],Others_Measure,Pseudo-Panel/Household Budget Survey,Empirical Estimates and Determinants
Others_Measure | University/Institution Data | Empirical Estimates and Determinants,[2019],[3.0],Others_Measure,University/Institution Data,Empirical Estimates and Determinants
"Rank‐based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)","[2011, 2020]","[3.0, 6.0]",Rank‐based Measures,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Rank‐based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,"[2018, 2021, 2022, 2023]","[3.0, 4.979261866159341, 7.334699222383924, 10.334699222383925, 13.334699222383925, 16.334699222383925, 17.220181609319084]",Rank‐based Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Rank‐based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,"[2016, 2021, 2023, 2024]","[3.0, 4.5, 7.5, 8.683937124413992, 10.559806355286725]",Rank‐based Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Rank‐based Measures | Administrative/Registry Data | Measurement and Methodological Advances,"[2018, 2021, 2023]","[3.0, 4.979261866159341]",Rank‐based Measures,Administrative/Registry Data,Measurement and Methodological Advances
"Rank‐based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",[2025],[3.0],Rank‐based Measures,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts"
Rank‐based Measures | International Panel Data | Measurement and Methodological Advances,[2020],[3.0],Rank‐based Measures,International Panel Data,Measurement and Methodological Advances
"Rank‐based Measures | Linked Administrative Data | Demographic Differences in Mobility (Race, Gender, etc.)",[2024],[3.0],Rank‐based Measures,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Rank‐based Measures | Linked Administrative Data | Empirical Estimates and Determinants,"[2008, 2014, 2019, 2020, 2023]","[3.0, 4.305825844944186, 7.305825844944186, 6.652912922472093, 9.652912922472094, 11.403348782106518]",Rank‐based Measures,Linked Administrative Data,Empirical Estimates and Determinants
Rank‐based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,"[2018, 2021, 2022, 2023, 2024]","[3.0, 4.979261866159341, 7.334699222383924, 9.385226539653969]",Rank‐based Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
Rank‐based Measures | National Survey Data | Empirical Estimates and Determinants,[2025],[3.0],Rank‐based Measures,National Survey Data,Empirical Estimates and Determinants
Rank‐based Measures | National Survey Data | Measurement and Methodological Advances,[2023],[3.0],Rank‐based Measures,National Survey Data,Measurement and Methodological Advances
Rank‐based Measures | National Survey Data | Perceptions of Mobility and Attitudes,[2019],[3.0],Rank‐based Measures,National Survey Data,Perceptions of Mobility and Attitudes
Rank‐based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,[2021],[3.0],Rank‐based Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Rank‐based Measures | No dataset | Measurement and Methodological Advances,[2025],[3.0],Rank‐based Measures,No dataset,Measurement and Methodological Advances
"Rank‐based Measures | Opportunity Atlas | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2023],[3.0],Rank‐based Measures,Opportunity Atlas,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Rank‐based Measures | Others_DataType | Measurement and Methodological Advances,[2024],[3.0],Rank‐based Measures,Others_DataType,Measurement and Methodological Advances
"Rank‐based Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)","[2011, 2022]",[3.0],Rank‐based Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)"
Rank‐based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,"[2010, 2023]",[3.0],Rank‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Rank‐based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,[2023],[3.0],Rank‐based Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Rank‐based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,[2020],[3.0],Rank‐based Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances
Rank‐based Measures | University/Institution Data | Intergenerational Wealth Mobility and Inheritance,[2022],[3.0],Rank‐based Measures,University/Institution Data,Intergenerational Wealth Mobility and Inheritance
"Regression‐based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)","[2018, 2019]",[3.0],Regression‐based Measures,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Regression‐based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,"[2005, 2006, 2008, 2017, 2018, 2019, 2020, 2021, 2023, 2024]","[3.0, 5.611651689888372, 7.252836715924938, 5.082830401161269, 7.424860868869607, 9.463716811789787, 11.2386440013786, 12.783807866084747, 12.688314682855294, 15.688314682855294, 18.688314682855292, 19.2691228742149]",Regression‐based Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Regression‐based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,"[1979, 2000, 2007, 2009, 2011, 2016, 2019, 2020, 2021, 2022, 2023]","[3.0, 3.1632282306180235, 4.198639358200278, 6.181973616013373, 7.685059911760829, 6.842529955880415, 7.5143862032423545, 10.514386203242355, 13.514386203242355, 14.764956521834, 15.85364121712537, 18.85364121712537, 19.413047981751514, 22.413047981751514]",Regression‐based Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Regression‐based Measures | Administrative/Registry Data | Measurement and Methodological Advances,"[2011, 2015, 2016]","[3.0, 4.723047532495553, 7.111651689888372]",Regression‐based Measures,Administrative/Registry Data,Measurement and Methodological Advances
"Regression‐based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts","[2015, 2016, 2018, 2019, 2022]","[3.0, 5.611651689888372, 8.611651689888372, 9.526411565690534, 11.293222954702607, 10.450748513426063]",Regression‐based Measures,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | Archival/Historical Data | Empirical Estimates and Determinants,"[2011, 2015, 2018]","[3.0, 4.723047532495553]",Regression‐based Measures,Archival/Historical Data,Empirical Estimates and Determinants
Regression‐based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,"[2006, 2014, 2016, 2017, 2018, 2019, 2020, 2024]","[3.0, 3.989630933079671, 6.98963093307967, 8.297149699531193, 10.223088344679148, 11.899715317086473, 14.899715317086473, 15.970955562241517, 16.90352436108672, 12.708525313616311]",Regression‐based Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
Regression‐based Measures | Big Data | Empirical Estimates and Determinants,[2025],[3.0],Regression‐based Measures,Big Data,Empirical Estimates and Determinants
Regression‐based Measures | International Panel Data | Empirical Estimates and Determinants,"[2009, 2013, 2016, 2018, 2019, 2024]","[3.0, 4.723047532495553, 7.723047532495553, 8.09531115720148, 9.135098616013373, 10.952565245936086]",Regression‐based Measures,International Panel Data,Empirical Estimates and Determinants
Regression‐based Measures | International Panel Data | Intergenerational Wealth Mobility and Inheritance,"[2009, 2011, 2013, 2023]","[3.0, 5.2735748497655965, 6.996622382261149]",Regression‐based Measures,International Panel Data,Intergenerational Wealth Mobility and Inheritance
"Regression‐based Measures | International Panel Data | Policy, Institutional, and Geographic Impacts",[2014],[3.0],Regression‐based Measures,International Panel Data,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | International Panel Data | Theoretical and Structural Models,[2015],[3.0],Regression‐based Measures,International Panel Data,Theoretical and Structural Models
Regression‐based Measures | Linked Administrative Data | Empirical Estimates and Determinants,"[2002, 2003, 2006, 2021, 2022, 2023, 2024]","[3.0, 5.611651689888372, 6.702309398654894, 3.837788674831862, 6.340989092686364, 8.520151626492694, 11.520151626492694, 13.028874487699976, 16.028874487699976]",Regression‐based Measures,Linked Administrative Data,Empirical Estimates and Determinants
Regression‐based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,"[1998, 1999, 2006, 2007, 2008, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024]","[3.0, 5.611651689888372, 5.12641835796247, 8.12641835796247, 10.074458079104192, 13.074458079104192, 14.381976845555714, 13.899500281988876, 15.100217800020053, 18.100217800020054, 21.100217800020054, 21.368806491478363, 19.194527002844346, 19.70980629452881, 22.70980629452881, 22.770034662047923, 25.770034662047923, 28.770034662047923, 28.045769881094834, 27.41526076806058, 26.86637070454527, 23.36090157944445, 26.36090157944445, 25.948497718979056, 25.58947930594541, 28.58947930594541, 31.58947930594541, 34.58947930594541, 33.111890693910404]",Regression‐based Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
Regression‐based Measures | Linked Administrative Data | Measurement and Methodological Advances,"[2009, 2020]",[3.0],Regression‐based Measures,Linked Administrative Data,Measurement and Methodological Advances
"Regression‐based Measures | Linked Administrative Data | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2021],[3.0],Regression‐based Measures,Linked Administrative Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Regression‐based Measures | Linked Administrative Data | Others_RqType,[2012],[3.0],Regression‐based Measures,Linked Administrative Data,Others_RqType
"Regression‐based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts","[2013, 2018, 2019, 2024, 2025]","[3.0, 4.5, 6.917477534832559, 9.917477534832559, 7.958738767416279]",Regression‐based Measures,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | Linked Administrative Data | Theoretical and Structural Models,[2018],[3.0],Regression‐based Measures,Linked Administrative Data,Theoretical and Structural Models
"Regression‐based Measures | National Survey Data | Demographic Differences in Mobility (Race, Gender, etc.)",[2021],[3.0],Regression‐based Measures,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Regression‐based Measures | National Survey Data | Empirical Estimates and Determinants,"[2005, 2006, 2007, 2008, 2009, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024]","[3.0, 5.611651689888372, 7.88522653965397, 9.864488405813312, 11.587535938308864, 11.781710093364678, 13.256574358370251, 16.25657435837025, 15.320179534844966, 16.336990923857037, 19.336990923857037, 19.833828341215785, 22.833828341215785, 22.878002124652404, 22.916457636706074, 22.94993510438624, 25.94993510438624, 28.94993510438624, 31.94993510438624, 27.213522968325172, 30.213522968325172, 29.302399439235863, 28.50922033775481]",Regression‐based Measures,National Survey Data,Empirical Estimates and Determinants
Regression‐based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,"[2007, 2010, 2011, 2012, 2013, 2014, 2015, 2018, 2019, 2020, 2021, 2024]","[3.0, 6.0, 6.958523732318683, 9.057746754879478, 10.88522653965397, 13.88522653965397, 15.087791785590056, 16.134685637840057, 19.134685637840057, 22.134685637840057, 22.26936305040429, 17.692300356441024, 20.692300356441024, 23.692300356441024, 23.625345421080695, 26.625345421080695, 26.17870945427568, 29.17870945427568, 28.401541951673636, 31.401541951673636, 34.401541951673636, 25.696553374009476]",Regression‐based Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
"Regression‐based Measures | National Survey Data | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2019],[3.0],Regression‐based Measures,National Survey Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Regression‐based Measures | National Survey Data | Perceptions of Mobility and Attitudes,[2024],[3.0],Regression‐based Measures,National Survey Data,Perceptions of Mobility and Attitudes
"Regression‐based Measures | National Survey Data | Policy, Institutional, and Geographic Impacts","[2013, 2024]",[3.0],Regression‐based Measures,National Survey Data,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | Natural/Experimental Data | Empirical Estimates and Determinants,"[2014, 2022]",[3.0],Regression‐based Measures,Natural/Experimental Data,Empirical Estimates and Determinants
Regression‐based Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,[2022],[3.0],Regression‐based Measures,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance
"Regression‐based Measures | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts","[2018, 2024]",[3.0],Regression‐based Measures,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | No dataset | Empirical Estimates and Determinants,"[1980, 1998, 2002, 2006, 2008, 2009, 2011, 2013, 2014, 2015, 2018, 2019, 2020, 2021, 2022, 2025]","[3.0, 3.2474077332699176, 4.865145960605902, 5.794292580884235, 7.391252628027263, 9.434459138793091, 10.149983006367055, 13.149983006367055, 12.965823546040378, 14.2874049916036, 17.2874049916036, 18.049560153368745, 14.908268704170636, 15.978401718185726, 16.910006616338343, 17.72101578519453, 20.72101578519453, 21.038691963868978]",Regression‐based Measures,No dataset,Empirical Estimates and Determinants
Regression‐based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,"[1998, 2005, 2009, 2011, 2012, 2013, 2016, 2019]","[3.0, 4.136787424882799, 5.375960454967647, 7.07421616124962, 9.158462864054401, 10.972905005229194, 10.239417479279703]",Regression‐based Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Regression‐based Measures | No dataset | Measurement and Methodological Advances,"[2010, 2011, 2015, 2016, 2020, 2022, 2023]","[3.0, 5.611651689888372, 6.223047532495553, 8.417477534832559, 11.417477534832559, 14.417477534832559, 11.280666363734435, 14.280666363734435, 13.822721294160043, 15.033377808916356, 18.033377808916356]",Regression‐based Measures,No dataset,Measurement and Methodological Advances
