period,n1_type,n1_name,n2_type,n2_name,n3_type,n3_name,mean_null,obs,sd_null,z
2001-2005,DataType,National Survey Data,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.035,1.0,0.18424093903932007,5.237706695546384
2001-2005,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.56,1.0,0.6231706897333295,0.7060665837610032
2001-2005,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.195,1.0,0.40965115690274667,1.9650866021870192
2001-2005,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.2,1.0,0.40100376569366847,1.9949937343260002
2001-2005,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.02,1.0,0.1403513179927839,6.982478070141003
2001-2005,DataType,No dataset,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.205,1.0,0.41694630482296835,1.9067203397750458
2001-2005,DataType,No dataset,Measure,Others,RqType,Measurement and Methodological Advances,0.06,1.0,0.23808279460185094,3.9482063438140274
2001-2005,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.395,1.0,0.9237105639918549,-0.42762312719797263
2001-2005,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.275,1.0,0.9239281444357035,-0.2976421939911338
2001-2005,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.515,1.0,0.6871212981650036,0.705843351523552
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.37,1.0,0.5609575445915411,1.123079644928801
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.165,1.0,0.37211199481260626,2.2439480899305644
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.9,2.0,1.160488547268653,0.08617060481584407
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.645,2.0,0.9969677645832339,0.3560797175306886
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.34,1.0,0.5439479726820614,1.213351337161378
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.04,1.0,0.19645092217681395,4.886716689148246
2001-2005,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.64,1.0,0.7162156268335695,0.5026419230638414
2006-2010,DataType,Administrative/Registry Data,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.22,1.0,0.4501256106095644,1.732849634891284
2006-2010,DataType,Administrative/Registry Data,Measure,Others,RqType,Measurement and Methodological Advances,0.045,1.0,0.2078243363368914,4.59522699233793
2006-2010,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.37,2.0,0.8927964085589045,0.705647999880405
2006-2010,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,2.04,2.0,1.120122032117113,-0.035710394807963106
2006-2010,DataType,Archival/Historical Data,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.015,1.0,0.12185748327926268,8.083213057524421
2006-2010,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.74,1.0,0.6668006565517834,0.3899216316680524
2006-2010,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.42,1.0,0.5702860077656354,1.017033544751385
2006-2010,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.575,1.0,0.6453350187554994,0.6585726601658688
2006-2010,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.105,1.0,0.30732269063787737,2.912248354139887
2006-2010,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.925,1.0,1.1070241698187144,-0.8355734456560939
2006-2010,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,3.16,6.0,1.3126366882640774,2.163584200709653
2006-2010,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.545,1.0,0.6558396359939703,0.6937671574399678
2006-2010,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,2.115,4.0,1.1655761833513842,1.6172259067442973
2006-2010,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,3.475,3.0,1.3410320034103789,-0.35420482046068064
2006-2010,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.375,1.0,0.5620985446248253,1.1119046757489088
2006-2010,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.49,2.0,0.6573129403165114,2.2972315123948417
2006-2010,DataType,No dataset,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.21,1.0,0.4204567987296554,1.8789088495818398
2006-2010,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.44,1.0,0.654631738894349,0.8554427882549985
2006-2010,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.04,3.0,0.19645092217681395,15.067376458207091
2006-2010,DataType,No dataset,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.345,1.0,0.5454010556991882,1.200951104064713
2006-2010,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,2.43,3.0,1.2858331284310784,0.44329235839139625
2006-2010,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,4.08,1.0,1.4643502340766026,-2.103321956951236
2006-2010,DataType,No dataset,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.59,1.0,0.695932186380398,0.5891378614523415
2006-2010,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.02,1.0,0.1403513179927839,6.982478070141003
2006-2010,DataType,Others,Measure,Non‐parametric Approaches,RqType,Measurement and Methodological Advances,0.005,1.0,0.07071067811865475,14.071424945612296
2006-2010,DataType,Others,Measure,Others,RqType,Empirical Estimates and Determinants,0.08,1.0,0.2719739863410307,3.3826764551165693
2006-2010,DataType,Others,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.005,1.0,0.8417348679600356,-0.005940112724708092
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.355,1.0,0.5295062647619106,1.218115899516355
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.785,1.0,0.8198388124454463,0.2622466718289292
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.21,1.0,0.45490072913420815,1.7366426330060432
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,4.305,5.0,1.463792486048161,0.4747940754063508
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,7.045,8.0,1.8923211664474202,0.5046712032465847
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.255,1.0,0.4369549727846177,1.7049811683164497
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.225,1.0,0.4186302142480963,1.8512758363415815
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.78,1.0,0.7840110757088645,0.2806082806943597
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.135,1.0,0.9754653573123871,-0.13839548374321922
2006-2010,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Measurement and Methodological Advances,0.21,1.0,0.44371660112120304,1.7804156932686146
2011-2015,DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.185,1.0,0.40197377348884883,2.027495458040396
2011-2015,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.535,2.0,0.700878845292747,2.0902328695455066
2011-2015,DataType,Administrative/Registry Data,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.115,1.0,0.37747508154304654,2.34452562108812
2011-2015,DataType,Administrative/Registry Data,Measure,Others,RqType,Empirical Estimates and Determinants,0.155,1.0,0.4145288540672064,2.038458823093175
2011-2015,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.015,2.0,0.12185748327926268,16.289520730138047
2011-2015,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,3.135,1.0,1.2786515353073014,-1.669727788256939
2011-2015,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.525,2.0,0.686828703784072,2.14755148099302
2011-2015,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.48,1.0,0.6869933034571553,0.7569214974632283
2011-2015,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.345,1.0,0.5810880454654996,1.1271957926363652
2011-2015,DataType,Archival/Historical Data,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.025,1.0,0.1565167321316987,6.229365938841609
2011-2015,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.165,2.0,0.9604097743533053,0.8694205559936639
2011-2015,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.23,2.0,0.9226899717237627,0.8345164937270225
2011-2015,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.245,2.0,0.9693675086540557,0.7788583723507505
2011-2015,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.61,2.0,0.9708826218068966,0.40169634437804247
2011-2015,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.235,1.0,0.4908970355354445,1.5583716026428607
2011-2015,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.26,1.0,0.5036549828092072,1.469259761657762
2011-2015,DataType,Linked Administrative Data,Measure,Non‐parametric Approaches,RqType,Empirical Estimates and Determinants,0.17,1.0,0.426626359067576,1.9454962928545423
2011-2015,DataType,Linked Administrative Data,Measure,Others,RqType,Empirical Estimates and Determinants,0.295,1.0,0.5379796562629147,1.310458475135092
2011-2015,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.245,2.0,0.485958618500045,3.61141861300241
2011-2015,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,4.335,7.0,1.7487324914443505,1.5239609334409212
2011-2015,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Others,0.05,1.0,0.21849186132974535,4.347988040461933
2011-2015,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.785,1.0,0.8320073202229187,0.2584111879477158
2011-2015,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.06,1.0,0.23808279460185094,3.9482063438140274
2011-2015,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.415,2.0,0.6362381590056307,2.4912054983894367
2011-2015,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.49,1.0,0.6097202587825413,0.836449162798596
2011-2015,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.98,2.0,0.9185962635877564,1.1103898855588543
2011-2015,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Perceptions of Mobility and Attitudes,0.03,2.0,0.17101529509309654,11.51943748030011
2011-2015,DataType,National Survey Data,Measure,Others,RqType,Empirical Estimates and Determinants,0.395,1.0,0.5836766159096995,1.0365328736993626
2011-2015,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,4.725,6.0,1.9282024852490476,0.6612376084741539
2011-2015,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,5.56,8.0,1.8718759568918957,1.3035051767273247
2011-2015,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.035,1.0,0.937105025675206,-0.03734906871807843
2011-2015,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.055,1.0,0.22855235921889458,4.134719953141819
2011-2015,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.585,1.0,0.7317460360716227,0.5671366560834779
2011-2015,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.19,1.0,0.39328535039354173,2.0595732823240733
2011-2015,DataType,No dataset,Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,0.03,2.0,0.17101529509309654,11.51943748030011
2011-2015,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,1.0,1.0,0.8966716793244407,0.0
2011-2015,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.49,2.0,1.1163022230858146,0.45686552391716795
2011-2015,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.22,1.0,0.42721489067455315,1.8257790564566114
2011-2015,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.29,4.0,0.5071350211218322,7.3156059934356685
2011-2015,DataType,No dataset,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.71,1.0,0.7994344734791806,0.3627564354810781
2011-2015,DataType,No dataset,Measure,Others,RqType,Theoretical and Structural Models,0.09,2.0,0.30391085707033594,6.284737631331009
2011-2015,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,5.755,6.0,1.9322637542738317,0.12679428440248008
2011-2015,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,6.92,3.0,1.9832464122388553,-1.9765572123611075
2011-2015,DataType,No dataset,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,1.205,2.0,0.920440685365647,0.863716709441396
2011-2015,DataType,No dataset,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,1.175,2.0,1.0487489555939002,0.7866515581250876
2011-2015,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Theoretical and Structural Models,0.165,1.0,0.4226917809805896,1.9754346726660008
2011-2015,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.19,1.0,0.3932853503935417,2.0595732823240738
2011-2015,DataType,Others,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.03,1.0,0.17101529509309654,5.672007287254369
2011-2015,DataType,Others,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.045,1.0,0.2078243363368914,4.59522699233793
2011-2015,DataType,Others,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.595,1.0,0.6732319110307761,0.6015757621766772
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.5,1.0,0.6799349658525767,0.7353644467644717
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.56,1.0,0.7342312152087614,0.5992662677449586
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,2.04,2.0,1.3217926003696494,-0.03026193367160153
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Measurement and Methodological Advances,0.37,1.0,0.5519267302621693,1.1414558590064035
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.25,1.0,0.445524928945124,1.683407484685057
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.375,1.0,0.5967878843395469,1.0472732714600512
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.06,1.0,0.23808279460185094,3.9482063438140274
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,9.685,11.0,2.379936023801257,0.5525358609848969
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,11.26,18.0,2.4906659923456487,2.7061035163741214
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,2.055,3.0,1.1996544728676488,0.7877268174902695
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.805,3.0,1.278730133284128,0.9345208726183013
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.115,1.0,0.31982250102330834,2.7671599001581884
2011-2015,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.245,1.0,0.932374178128181,-0.2627700399123644
2011-2015,DataType,Pseudo-Panel/Household Budget Survey,Measure,Others,RqType,Empirical Estimates and Determinants,0.04,1.0,0.19645092217681395,4.886716689148246
2011-2015,DataType,Pseudo-Panel/Household Budget Survey,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.54,1.0,0.583181363310388,0.7887769207658529
2016-2020,DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.765,1.0,0.7828404664935886,0.300188876352529
2016-2020,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,1.195,2.0,1.1059341988840505,0.727891406932067
2016-2020,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.37,1.0,1.0765196107650845,-0.34370019486875897
2016-2020,DataType,Administrative/Registry Data,Measure,Others,RqType,Empirical Estimates and Determinants,0.835,2.0,0.8493420450841571,1.3716499809974272
2016-2020,DataType,Administrative/Registry Data,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.875,1.0,0.9347425948318419,0.1337266544727078
2016-2020,DataType,Administrative/Registry Data,Measure,Others,RqType,"Policy, Institutional, and Geographic Impacts",0.23,1.0,0.44507353579077974,1.7300511894779602
2016-2020,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.05,1.0,0.24039331256010033,3.9518570208249537
2016-2020,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.53,1.0,0.6490038752971771,0.7241867389232279
2016-2020,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.57,1.0,0.7333409471205179,0.5863575485432883
2016-2020,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.2,1.0,0.42532872300500163,1.8808981306221175
2016-2020,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.395,2.0,0.5836766159096995,2.7498103508883918
2016-2020,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,5.19,4.0,1.9031579152165108,-0.6252765419440358
2016-2020,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,5.575,5.0,2.1996744848263297,-0.2614023138270834
2016-2020,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,1.845,2.0,1.2404307081447727,0.12495659691610095
2016-2020,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.825,4.0,1.2538884244240085,1.7346040984460935
2016-2020,DataType,Archival/Historical Data,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.065,1.0,0.24714449621638404,3.783211903620032
2016-2020,DataType,Archival/Historical Data,Measure,Multigenerational Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.01,2.0,0.09974842727441166,19.950189234818062
2016-2020,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.635,1.0,1.1784390493211028,-0.5388484032040712
2016-2020,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.99,6.0,1.129726253140634,3.5495324543022857
2016-2020,DataType,International Panel Data,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.025,1.0,0.1565167321316987,6.229365938841609
2016-2020,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.65,3.0,0.7684089154262415,3.058267483396441
2016-2020,DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.61,1.0,0.7488013872769866,0.5208323684044357
2016-2020,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.79,2.0,0.7931237142657211,1.5256131902703545
2016-2020,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.02,1.0,0.9508525663924327,-0.021033755081379973
2016-2020,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.275,1.0,0.5105667360490683,1.4199906668622522
2016-2020,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.365,3.0,0.5945945791611618,4.431591024118296
2016-2020,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.42,1.0,0.6289498306281959,0.9221721220923064
2016-2020,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,4.21,6.0,1.5838062416391963,1.130188752222241
2016-2020,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,1.49,1.0,1.1690738506791214,-0.4191351981017763
2016-2020,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.275,3.0,1.116065865025616,1.545607704757109
2016-2020,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.56,1.0,0.6991739562551852,0.6293140584879113
2016-2020,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.025,1.0,0.1565167321316987,6.229365938841609
