node,seed,position,x,y
Natural/Experimental Data,27,[-0.63511674  0.16764348],-0.6351167420706044,0.167643484644189
Opportunity Atlas,27,[-0.17784619  0.31520624],-0.17784619308615948,0.31520624110646434
Multigenerational Measures,27,[0.60150701 0.00129245],0.6015070111673961,0.00129245021947616
Perceptions of Mobility and Attitudes,27,[0.40898815 0.4140885 ],0.4089881527672346,0.41408850314044
University/Institution Data,27,[-0.52513454  0.38074945],-0.5251345363220211,0.38074945150737904
Big Data,27,[-0.29294872  0.4455038 ],-0.2929487203908338,0.4455037974816703
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",27,[0.62706265 0.28973427],0.6270626538744823,0.28973426771697053
Others_RqType,27,[ 0.62996483 -0.21510076],0.6299648332219208,-0.2151007572387921
Pseudo-Panel/Household Budget Survey,27,[0.14861231 1.        ],0.14861231230152722,1.0
Regression‐based Measures,28,[ 0.04768112 -0.12216001],0.04768112333952777,-0.12216000506152638
Empirical Estimates and Determinants,28,[ 0.19473897 -0.23847942],0.19473896718553255,-0.2384794163302477
Linked Administrative Data,28,[-0.13641323 -0.54914973],-0.1364132324714014,-0.5491497268562847
Rank‐based Measures,28,[-0.13166515  0.01673348],-0.13166515387770314,0.016733482487511376
Transition Matrix / Probability Measures,28,[0.09396685 0.18535249],0.09396685204669143,0.18535249118197542
No dataset,28,[-0.60438209  0.25650805],-0.6043820935765308,0.2565080463081606
Theoretical and Structural Models,28,[-0.47903119  0.55261379],-0.4790311940754901,0.5526137939643335
Decomposition / Structural Approaches,28,[ 0.08665096 -0.46596188],0.0866509612867422,-0.4659618764780017
Administrative/Registry Data,28,[-0.50363282 -0.2313946 ],-0.5036328190968327,-0.2313945972067706
International Panel Data,28,[-0.22567203  0.5527628 ],-0.22567202655638127,0.5527627982214482
Panel/Longitudinal Surveys,28,[-0.1375977   0.26785077],-0.13759770147915262,0.267850767416501
Intergenerational Wealth Mobility and Inheritance,28,[-0.34134385  0.21219977],-0.34134385381604254,0.21219976583350475
National Survey Data,28,[0.35238217 0.00042821],0.3523821739443871,0.00042820757189983863
Measurement and Methodological Advances,28,[ 0.47774368 -0.1706345 ],0.4777436827500136,-0.17063450132704078
"Policy, Institutional, and Geographic Impacts",28,[-0.28244342 -0.09696789],-0.2824434203323134,-0.09696789058003118
"Demographic Differences in Mobility (Race, Gender, etc.)",28,[-0.60516171  0.06126401],-0.6051617068950997,0.061264006179570965
Absolute Mobility Measures,28,[ 0.38256234 -0.39583077],0.38256234354409946,-0.3958307718473955
Others_Measure,28,[0.14500187 0.37686673],0.1450018722357998,0.37686673177700675
Others_DataType,28,[ 0.18114011 -0.68837145],0.18114010770945166,-0.6883714501362334
Archival/Historical Data,28,[-0.00692031  0.64131125],-0.006920314007466594,0.6413112465358578
Non‐parametric Approaches,28,[-0.29322231 -0.31495453],-0.2932223138344287,-0.3149545334939945
Natural/Experimental Data,28,[0.17985078 0.69281602],0.17985078283525505,0.6928160207245758
Opportunity Atlas,28,[-0.55172755 -0.48243981],-0.5517275518884305,-0.4824398096895617
Multigenerational Measures,28,[0.46437266 0.26505328],0.46437266154127266,0.26505328138077416
Perceptions of Mobility and Attitudes,28,[0.70919457 0.06369031],0.7091945659359117,0.06369030870753324
University/Institution Data,28,[-0.83408589 -0.08234524],-0.8340858929905556,-0.08234523785666048
Big Data,28,[-0.34238762 -0.70101975],-0.3423876210834225,-0.7010197513510456
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",28,[0.72156881 0.34653845],0.7215688055322745,0.34653844872430145
Others_RqType,28,[0.438832   0.61003748],0.4388319960941569,0.6100374804229863
Pseudo-Panel/Household Budget Survey,28,[ 1.         -0.56231731],1.0,-0.5623173092231021
Regression‐based Measures,29,[-0.16559529 -0.11512357],-0.16559529007545418,-0.1151235679551169
Empirical Estimates and Determinants,29,[-0.24681751  0.06776116],-0.24681751016515863,0.06776116079809134
Linked Administrative Data,29,[-0.31250418 -0.29881721],-0.3125041769367476,-0.298817208844304
Rank‐based Measures,29,[ 0.31692355 -0.04253234],0.3169235452332288,-0.04253234016891326
Transition Matrix / Probability Measures,29,[0.05604591 0.25412399],0.056045906519283845,0.2541239918089296
No dataset,29,[-0.14817376 -0.42682147],-0.14817376234062063,-0.42682146641969976
Theoretical and Structural Models,29,[0.51758668 0.28195259],0.5175866797037657,0.2819525868408965
Decomposition / Structural Approaches,29,[ 0.58427523 -0.04120339],0.5842752334619625,-0.04120339055398696
Administrative/Registry Data,29,[ 0.0509183  -0.47319001],0.05091829585310184,-0.4731900110189002
International Panel Data,29,[0.09280134 0.53033576],0.09280133646139656,0.530335760882714
Panel/Longitudinal Surveys,29,[0.05309943 0.00900064],0.05309942789860455,0.009000643579701
Intergenerational Wealth Mobility and Inheritance,29,[-0.3010353   0.26151489],-0.30103529929183803,0.2615148874195388
National Survey Data,29,[-0.11509218  0.3735371 ],-0.11509217548661488,0.3735371036943279
Measurement and Methodological Advances,29,[ 0.42644017 -0.45300835],0.4264401665711223,-0.45300834906644344
"Policy, Institutional, and Geographic Impacts",29,[ 0.0052026  -0.61108719],0.005202600416223469,-0.6110871937814712
"Demographic Differences in Mobility (Race, Gender, etc.)",29,[ 0.32351663 -0.26765779],0.323516633480365,-0.2676577867070019
Absolute Mobility Measures,29,[ 0.59176575 -0.28138616],0.5917657488926507,-0.2813861605984862
Others_Measure,29,[0.29814152 0.2014486 ],0.2981415151880599,0.2014485985034614
Others_DataType,29,[-0.50346177  0.0792845 ],-0.5034617652842338,0.07928450044791134
Archival/Historical Data,29,[0.30808899 0.57190881],0.3080889853032801,0.5719088064457241
Non‐parametric Approaches,29,[ 0.14063626 -0.24582953],0.1406362596587114,-0.2458295308727486
Natural/Experimental Data,29,[-0.55318099 -0.36692185],-0.5531809935654033,-0.3669218481719279
Opportunity Atlas,29,[-0.4389814  -0.14256163],-0.43898140247452694,-0.14256162576716275
Multigenerational Measures,29,[-0.09993448  0.62326259],-0.09993447713262446,0.6232625875182692
Perceptions of Mobility and Attitudes,29,[0.56195281 0.56361482],0.5619528128400413,0.5636148233359263
University/Institution Data,29,[-0.23990911 -0.67968534],-0.2399091137795906,-0.6796853430052774
Big Data,29,[-0.4220158  -0.55701129],-0.42201580400688515,-0.5570112941229265
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",29,[0.79939507 0.14934336],0.7993950695812947,0.14934336264900627
Others_RqType,29,[-0.58008845  0.41593589],-0.5800884465230868,0.4159358857597431
Pseudo-Panel/Household Budget Survey,29,[-1.          0.61981242],-1.0,0.6198124173701396
Regression‐based Measures,30,[-0.00207643  0.19918159],-0.002076426591116379,0.1991815920539651
Empirical Estimates and Determinants,30,[0.15194124 0.33309718],0.15194124230947334,0.3330971817153738
Linked Administrative Data,30,[-0.06698107  0.35734283],-0.06698107392457742,0.3573428305795799
Rank‐based Measures,30,[ 0.11807287 -0.18517865],0.11807287124647534,-0.1851786492530618
Transition Matrix / Probability Measures,30,[-0.3590722  -0.26593515],-0.3590722036872574,-0.2659351491781372
No dataset,30,[-0.29863684  0.36456092],-0.2986368405603171,0.3645609200519465
Theoretical and Structural Models,30,[-0.16395712 -0.62703951],-0.16395711622850798,-0.6270395070059144
Decomposition / Structural Approaches,30,[0.40905698 0.01986733],0.40905698443576904,0.019867333880189565
Administrative/Registry Data,30,[-0.10715511  0.52394804],-0.10715510674349639,0.5239480425586442
International Panel Data,30,[-0.4562085  -0.51179628],-0.4562085016943614,-0.5117962798448256
Panel/Longitudinal Surveys,30,[-0.22511986 -0.01768376],-0.22511986443951504,-0.017683759758107726
Intergenerational Wealth Mobility and Inheritance,30,[-0.19239534 -0.19413971],-0.19239533675403106,-0.19413971119472762
National Survey Data,30,[ 0.32330712 -0.15240706],0.32330711558040165,-0.15240705957393796
Measurement and Methodological Advances,30,[ 0.13152282 -0.40422804],0.1315228156080553,-0.404228037219636
"Policy, Institutional, and Geographic Impacts",30,[-0.54209996 -0.06748685],-0.5420999553913965,-0.06748684796237715
"Demographic Differences in Mobility (Race, Gender, etc.)",30,[ 0.06229334 -0.05301466],0.06229333540391549,-0.053014655867110023
Absolute Mobility Measures,30,[0.26891714 0.12520948],0.2689171421305431,0.12520948337367552
Others_Measure,30,[-0.08096525 -0.44124683],-0.08096525496762655,-0.4412468303865998
Others_DataType,30,[-0.52051645  0.27518633],-0.5205164457129565,0.2751863304264417
Archival/Historical Data,30,[-0.54953031 -0.27522921],-0.5495303087227347,-0.2752292052619354
Non‐parametric Approaches,30,[-0.36414595  0.09500886],-0.36414595202303696,0.09500885733106465
Natural/Experimental Data,30,[-0.71149892  0.12056212],-0.7114989244842629,0.12056211590922983
Opportunity Atlas,30,[-0.33267213  0.5305726 ],-0.3326721331541769,0.5305726049131907
Multigenerational Measures,30,[0.36571195 0.4137905 ],0.36571195324939615,0.41379049805373785
Perceptions of Mobility and Attitudes,30,[ 0.3817738  -0.58887483],0.38177379812995865,-0.5888748255745242
University/Institution Data,30,[ 0.40770093 -0.38471198],0.4077009295155835,-0.38471197994176687
Big Data,30,[0.04885903 0.6502085 ],0.04885903220855215,0.6502085000890112
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",30,[0.64547928 0.30084102],0.6454792821176364,0.3008410161413794
Others_RqType,30,[ 0.65839494 -0.05971531],0.6583949431431984,-0.05971531053687896
Pseudo-Panel/Household Budget Survey,30,[ 1.        -0.0806895],1.0,-0.080689498517839
Regression‐based Measures,31,[ 0.02807427 -0.07525441],0.028074265005534994,-0.07525440631656244
Empirical Estimates and Determinants,31,[-0.06924132  0.17612562],-0.06924131870723621,0.1761256231400903
Linked Administrative Data,31,[-0.10835976 -0.29924871],-0.10835976016227819,-0.29924871111712914
Rank‐based Measures,31,[0.36074012 0.16811258],0.3607401154541185,0.1681125810867753
Transition Matrix / Probability Measures,31,[ 0.28676775 -0.09993964],0.2867677463535674,-0.09993963999890693
No dataset,31,[-0.22114489 -0.57499739],-0.2211448913933099,-0.5749973919414404
Theoretical and Structural Models,31,[0.6550371  0.05172579],0.6550371033309378,0.05172578928702765
Decomposition / Structural Approaches,31,[-0.43936946  0.12209622],-0.43936946381853337,0.12209621835121594
Administrative/Registry Data,31,[-0.25760574 -0.05407653],-0.2576057417622775,-0.05407653482219855
International Panel Data,31,[0.55759579 0.24481169],0.5575957892879366,0.2448116914449183
Panel/Longitudinal Surveys,31,[ 0.36862547 -0.26387799],0.36862547230771553,-0.2638779889540524
Intergenerational Wealth Mobility and Inheritance,31,[0.16541527 0.12940398],0.16541526934340767,0.1294039846881672
National Survey Data,31,[-0.26080578  0.26401083],-0.2608057796118047,0.26401082692478506
Measurement and Methodological Advances,31,[-0.38217658 -0.40398701],-0.38217658025783385,-0.40398700555977485
"Policy, Institutional, and Geographic Impacts",31,[ 0.08483106 -0.37614748],0.08483105998352493,-0.37614748338760945
"Demographic Differences in Mobility (Race, Gender, etc.)",31,[ 0.61011444 -0.2065198 ],0.6101144431714173,-0.2065197969018168
Absolute Mobility Measures,31,[-0.4120235  -0.20382915],-0.4120235023277967,-0.20382914880569244
Others_Measure,31,[0.08331593 0.37615688],0.08331592827619082,0.3761568825928328
Others_DataType,31,[-0.03708725 -0.68812611],-0.03708724710807623,-0.6881261101378757
Archival/Historical Data,31,[-0.23366794  0.51418946],-0.23366794044899486,0.5141894625374205
Non‐parametric Approaches,31,[ 0.29576295 -0.47717442],0.2957629546847579,-0.4771744244729224
Natural/Experimental Data,31,[ 0.25345267 -0.76506495],0.25345266650995635,-0.7650649485614026
Opportunity Atlas,31,[ 0.56006802 -0.51630279],0.5600680150719266,-0.5163027887580086
Multigenerational Measures,31,[-0.67683653  0.01474832],-0.6768365318916048,0.014748323309369338
Perceptions of Mobility and Attitudes,31,[-0.08395605  0.72894917],-0.08395604644744771,0.7289491699005569
University/Institution Data,31,[0.24345816 0.5908325 ],0.24345815934380022,0.5908324993633491
Big Data,31,[0.52596522 0.4913441 ],0.5259652231422408,0.4913440997727711
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",31,[-0.71092965 -0.26217132],-0.7109296455020742,-0.2621713174376701
Others_RqType,31,[-0.63273599  0.39421054],-0.6327359887710859,0.39421054477378087
Pseudo-Panel/Household Budget Survey,31,[-0.55328377  1.        ],-0.5532837730567669,1.0
Regression‐based Measures,32,[ 0.15177248 -0.06701277],0.15177247530185384,-0.06701276817057443
Empirical Estimates and Determinants,32,[ 0.32922121 -0.1655143 ],0.3292212118634834,-0.16551430079828305
Linked Administrative Data,32,[-0.13134338  0.11814666],-0.13134338454407707,0.11814665884018151
Rank‐based Measures,32,[0.28777285 0.22860774],0.28777284952601634,0.22860774331663922
Transition Matrix / Probability Measures,32,[-0.51124472  0.26074164],-0.5112447199294452,0.2607416366964672
No dataset,32,[-0.31019001 -0.32437453],-0.310190012865592,-0.324374529326517
Theoretical and Structural Models,32,[-0.28831297  0.46891269],-0.28831296628776,0.4689126907559456
Decomposition / Structural Approaches,32,[0.45324073 0.03683363],0.4532407328322917,0.0368336271303603
Administrative/Registry Data,32,[ 0.00082925 -0.54066721],0.0008292489541665199,-0.5406672110958151
International Panel Data,32,[-0.74102179  0.24383994],-0.741021791586478,0.2438399420108814
Panel/Longitudinal Surveys,32,[-0.18751811 -0.07242536],-0.18751810922838177,-0.07242535697957302
Intergenerational Wealth Mobility and Inheritance,32,[-0.54911231 -0.04411433],-0.5491123088096987,-0.04411432773942296
National Survey Data,32,[0.27222547 0.47457046],0.2722254739610983,0.4745704608384715
Measurement and Methodological Advances,32,[ 0.13309052 -0.25803117],0.13309052451298947,-0.2580311663275943
"Policy, Institutional, and Geographic Impacts",32,[-0.38237843 -0.11016663],-0.38237843479143685,-0.11016662835961061
"Demographic Differences in Mobility (Race, Gender, etc.)",32,[0.08238496 0.62803625],0.08238496166766546,0.6280362503574214
Absolute Mobility Measures,32,[-0.04517368 -0.34249281],-0.04517367984586382,-0.342492813012294
Others_Measure,32,[-0.16048766  0.32881039],-0.16048765544371962,0.3288103870579468
Others_DataType,32,[-0.12420213  0.66882254],-0.12420212721746123,0.6688225371743369
Archival/Historical Data,32,[0.07299498 0.26409432],0.0729949768526797,0.26409431755940777
Non‐parametric Approaches,32,[-0.34422918  0.26487561],-0.3442291779484306,0.26487560769152246
Natural/Experimental Data,32,[-0.26929593 -0.68382562],-0.2692959283671454,-0.6838256231103795
Opportunity Atlas,32,[0.47746984 0.2727595 ],0.47746983522475595,0.27275950228397206
Multigenerational Measures,32,[-0.6341538 -0.2619204],-0.6341537959548009,-0.26192039961456737
Perceptions of Mobility and Attitudes,32,[0.68183966 0.09320746],0.6818396601197244,0.09320745893190138
University/Institution Data,32,[-0.58854758 -0.50922848],-0.588547575604573,-0.5092284797975694
Big Data,32,[ 0.25848639 -0.51681516],0.2584863933392783,-0.5168151626247975
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",32,[ 0.51510711 -0.54631651],0.5151071121218288,-0.546316507575435
Others_RqType,32,[ 0.55077621 -0.29600301],0.5507762121468703,-0.29600301245508537
Pseudo-Panel/Household Budget Survey,32,[1.         0.38664947],0.9999999999999999,0.3866494663419119
Regression‐based Measures,33,[ 0.27716848 -0.03808295],0.2771684795083461,-0.038082948112525515
Empirical Estimates and Determinants,33,[0.13599711 0.05494715],0.13599710927302164,0.05494715017023989
Linked Administrative Data,33,[ 0.28712015 -0.22626141],0.2871201469674709,-0.2262614145377682
Rank‐based Measures,33,[-0.17702282  0.17326986],-0.17702281637442366,0.17326985999695838
Transition Matrix / Probability Measures,33,[-0.32524419  0.05639382],-0.32524418881233885,0.05639381649910906
No dataset,33,[0.50797151 0.27753285],0.5079715106527553,0.27753285089831103
Theoretical and Structural Models,33,[-0.61004864  0.16037657],-0.6100486438762551,0.16037657320799362
Decomposition / Structural Approaches,33,[-0.49467175  0.25498418],-0.4946717479226123,0.2549841821408918
Administrative/Registry Data,33,[0.13009764 0.25869354],0.13009763776687372,0.25869354469781375
International Panel Data,33,[-0.38785227  0.55273736],-0.3878522733937297,0.5527373648338294
Panel/Longitudinal Surveys,33,[-0.06367868  0.00858656],-0.06367867759191292,0.008586556234578414
Intergenerational Wealth Mobility and Inheritance,33,[0.37637313 0.13927888],0.37637313325649274,0.13927887547673748
National Survey Data,33,[-0.15433245 -0.23534366],-0.15433245167700863,-0.2353436589554682
Measurement and Methodological Advances,33,[ 0.10968673 -0.31649275],0.10968673300986152,-0.31649275251195974
"Policy, Institutional, and Geographic Impacts",33,[0.30177256 0.35917358],0.3017725601438813,0.3591735815284069
"Demographic Differences in Mobility (Race, Gender, etc.)",33,[-0.121894    0.39148613],-0.12189399968568858,0.391486130507787
Absolute Mobility Measures,33,[-0.23563447 -0.41278168],-0.2356344660569396,-0.4127816780965025
Others_Measure,33,[-0.45129758 -0.07655691],-0.4512975835590674,-0.07655690531161133
Others_DataType,33,[-0.11186956 -0.56025439],-0.11186956484928191,-0.5602543859729245
Archival/Historical Data,33,[-0.06346339  0.61268833],-0.0634633894347703,0.6126883303478788
Non‐parametric Approaches,33,[-0.30461868  0.3475531 ],-0.3046186806943113,0.3475530962947034
Natural/Experimental Data,33,[ 0.56912718 -0.21476286],0.569127175596378,-0.2147628589689769
Opportunity Atlas,33,[0.15603844 0.58946046],0.1560384387115293,0.589460455425786
Multigenerational Measures,33,[ 0.52513678 -0.01736114],0.5251367786078412,-0.017361141092404133
Perceptions of Mobility and Attitudes,33,[-0.45244531 -0.46851147],-0.4524453067198984,-0.4685114725806833
University/Institution Data,33,[ 0.06747324 -0.45598656],0.06747324380070772,-0.4559865567178577
Big Data,33,[0.40139583 0.66782156],0.40139582932461576,0.667821560781779
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",33,[-0.63551506 -0.3520943 ],-0.6355150645871928,-0.35209429717915963
Others_RqType,33,[ 0.43809412 -0.53049386],0.4380941232211798,-0.5304938590048515
Pseudo-Panel/Household Budget Survey,33,[ 0.30613596 -1.        ],0.3061359553944664,-0.9999999999999999
Regression‐based Measures,34,[0.22505209 0.2348805 ],0.22505209035575818,0.2348805010345443
Empirical Estimates and Determinants,34,[0.23738877 0.39232468],0.23738877298941996,0.39232467944150273
Linked Administrative Data,34,[-0.00447305  0.23115332],-0.004473050352520894,0.2311533180282267
Rank‐based Measures,34,[ 0.23458711 -0.28117457],0.2345871101849462,-0.28117456578790123
Transition Matrix / Probability Measures,34,[-0.24856789 -0.3639376 ],-0.24856788691915654,-0.3639375977877098
No dataset,34,[ 0.14303827 -0.60323664],0.1430382660794614,-0.6032366404687307
Theoretical and Structural Models,34,[-0.12930093 -0.63438796],-0.1293009325490094,-0.6343879618366427
Decomposition / Structural Approaches,34,[-0.23545777  0.28188751],-0.23545776670248475,0.28188750822407405
Administrative/Registry Data,34,[0.46438164 0.19133992],0.464381638401599,0.19133991529826946
International Panel Data,34,[-0.40955356 -0.55969116],-0.40955355608771427,-0.5596911577743527
Panel/Longitudinal Surveys,34,[ 0.01126956 -0.15991605],0.011269560673479216,-0.1599160484692235
Intergenerational Wealth Mobility and Inheritance,34,[-0.23750973 -0.14241563],-0.2375097281158657,-0.1424156327296669
National Survey Data,34,[-0.3142397  0.0846895],-0.3142396990871715,0.08468950460309004
Measurement and Methodological Advances,34,[0.03049192 0.45029368],0.030491918013239715,0.45029367652220204
"Policy, Institutional, and Geographic Impacts",34,[0.02213558 0.04271999],0.022135583708609047,0.04271998521318141
"Demographic Differences in Mobility (Race, Gender, etc.)",34,[ 0.30925205 -0.49438534],0.30925205348360235,-0.494385342155079
Absolute Mobility Measures,34,[0.30009592 0.02376818],0.3000959195016317,0.02376817769751048
Others_Measure,34,[-0.01157058 -0.37149409],-0.011570580543473713,-0.3714940895732406
Others_DataType,34,[-0.50603242 -0.30311875],-0.5060324230540797,-0.3031187541859981
Archival/Historical Data,34,[-0.52658566 -0.06484737],-0.5265856564834767,-0.06484736935409532
Non‐parametric Approaches,34,[ 0.37620364 -0.14423302],0.37620363650220534,-0.14423302074143157
Natural/Experimental Data,34,[-0.41620393  0.3863843 ],-0.41620393289668517,0.3863842965118132
Opportunity Atlas,34,[ 0.58996344 -0.33193047],0.589963439994464,-0.3319304691376706
Multigenerational Measures,34,[-0.22428394  0.52505419],-0.2242839401115998,0.5250541903727978
Perceptions of Mobility and Attitudes,34,[-0.60350863  0.23509423],-0.6035086304280199,0.2350942340356333
University/Institution Data,34,[ 0.63813327 -0.14923559],0.6381332661809659,-0.1492355927176595
Big Data,34,[0.71897637 0.05025198],0.7189763662404639,0.05025197664352271
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",34,[0.61420687 0.40284425],0.6142068702860505,0.4028442516569843
Others_RqType,34,[-0.75111121  0.07131803],-0.7511112118422848,0.07131802743562932
Pseudo-Panel/Household Budget Survey,34,[-0.2967775  1.       ],-0.29677749742247433,0.9999999999999999
Regression‐based Measures,35,[-0.00619515  0.28029528],-0.006195146251288989,0.28029527774452073
Empirical Estimates and Determinants,35,[-0.19930072  0.38785985],-0.19930071877918143,0.38785984569257825
Linked Administrative Data,35,[ 0.67934657 -0.17633963],0.679346566277587,-0.17633962917634233
Rank‐based Measures,35,[ 0.02763585 -0.04087914],0.027635854902015457,-0.0408791409226473
Transition Matrix / Probability Measures,35,[-0.08483827 -0.36972661],-0.0848382654130604,-0.36972660881990965
No dataset,35,[ 0.57124987 -0.50383343],0.5712498689155706,-0.5038334262885517
Theoretical and Structural Models,35,[ 0.11101645 -0.73651237],0.1110164483650362,-0.7365123650421023
Decomposition / Structural Approaches,35,[0.10306074 0.47822483],0.1030607443461597,0.4782248263927473
Administrative/Registry Data,35,[-0.05442582  0.5600773 ],-0.054425816755448976,0.5600773021858878
International Panel Data,35,[-0.18618659 -0.68397011],-0.18618659349729463,-0.6839701143904602
Panel/Longitudinal Surveys,35,[-0.26716906 -0.19280223],-0.26716906025562936,-0.19280222645562214
Intergenerational Wealth Mobility and Inheritance,35,[-0.16868114 -0.00788318],-0.16868113534926715,-0.007883184404865783
National Survey Data,35,[-0.24687213  0.16164998],-0.24687212644669637,0.1616499841861231
Measurement and Methodological Advances,35,[0.2658606  0.19797874],0.26586059819513264,0.19797873906035018
"Policy, Institutional, and Geographic Impacts",35,[ 0.0952409  -0.48178733],0.0952408987585324,-0.48178733271074253
"Demographic Differences in Mobility (Race, Gender, etc.)",35,[ 0.41965046 -0.21725759],0.4196504551268636,-0.2172575856986729
Absolute Mobility Measures,35,[ 0.26521499 -0.43071138],0.26521498711179076,-0.4307113839995263
Others_Measure,35,[-0.44747373 -0.12951077],-0.447473733294977,-0.12951076889610397
Others_DataType,35,[0.68623301 0.05810905],0.6862330104990827,0.05810904608400669
Archival/Historical Data,35,[0.42008026 0.02595083],0.42008026213366906,0.02595083334586129
Non‐parametric Approaches,35,[ 0.20244442 -0.22554754],0.20244442071129404,-0.22554753879144745
Natural/Experimental Data,35,[-0.60253912  0.09794386],-0.6025391246944783,0.09794385914230239
Opportunity Atlas,35,[-0.47994506 -0.37495141],-0.47994506195992,-0.3749514088614078
Multigenerational Measures,35,[0.47650574 0.63126643],0.47650574061577644,0.631266432155017
Perceptions of Mobility and Attitudes,35,[-0.47562896 -0.63211745],-0.4756289551733713,-0.632117449167724
University/Institution Data,35,[0.6114686  0.23715064],0.6114686007543222,0.23715064297926142
Big Data,35,[0.3027864  0.55022242],0.3027863993618657,0.5502224196040565
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",35,[-0.58215021  0.44555199],-0.5821502074458645,0.4455519883456927
Others_RqType,35,[-0.81533371  0.09154897],-0.8153337073488155,0.09154896670793554
Pseudo-Panel/Household Budget Survey,35,[-0.6210552  1.       ],-0.6210552034093875,1.0
Regression‐based Measures,36,[-0.17236068 -0.17676073],-0.17236068071621746,-0.1767607321057541
Empirical Estimates and Determinants,36,[ 0.09603914 -0.13893337],0.09603913897649417,-0.13893337327012442
Linked Administrative Data,36,[-0.29518919 -0.37930619],-0.2951891894106655,-0.3793061887012168
Rank‐based Measures,36,[-0.15020546  0.08246092],-0.15020545944092809,0.0824609172008426
Transition Matrix / Probability Measures,36,[-0.12505161  0.29209363],-0.1250516067235788,0.29209363032812824
No dataset,36,[-0.04295575 -0.3015187 ],-0.042955748993800204,-0.30151869824709504
Theoretical and Structural Models,36,[-0.24205333  0.63101427],-0.24205333290023676,0.6310142717349565
Decomposition / Structural Approaches,36,[ 0.37579195 -0.09006759],0.3757919489684828,-0.09006759284095213
Administrative/Registry Data,36,[0.37859703 0.10377928],0.3785970339516704,0.10377928331236762
International Panel Data,36,[0.00777449 0.66665495],0.007774490035070663,0.6666549455208678
Panel/Longitudinal Surveys,36,[-0.31968586  0.16088696],-0.31968585666251026,0.16088695783183796
Intergenerational Wealth Mobility and Inheritance,36,[0.07643035 0.12408913],0.07643035428810334,0.12408912696106672
National Survey Data,36,[ 0.21032069 -0.28165906],0.2103206869139698,-0.2816590596647973
Measurement and Methodological Advances,36,[0.21873918 0.47159899],0.21873917799282644,0.4715989862986579
"Policy, Institutional, and Geographic Impacts",36,[-0.36687161 -0.11809699],-0.3668716099926852,-0.11809699124405983
"Demographic Differences in Mobility (Race, Gender, etc.)",36,[-0.51955819  0.25187112],-0.5195581872297521,0.25187111583760236
Absolute Mobility Measures,36,[0.25329014 0.28197637],0.25329013654611754,0.28197636984941493
Others_Measure,36,[0.00466438 0.42961414],0.004664382878765588,0.4296141406807986
Others_DataType,36,[-0.14243885 -0.53346851],-0.14243884742997628,-0.533468505723736
Archival/Historical Data,36,[0.54830967 0.29055154],0.5483096683938751,0.2905515426678705
Non‐parametric Approaches,36,[-0.36874492  0.37827218],-0.3687449233389208,0.3782721823843353
