,u,v,edge_betweenness,edge_betweenness_weighted
48,Non‐parametric Approaches,Empirical Estimates and Determinants,0.01855799373040752,0.0
49,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,0.014535005224660396,0.059770114942528735
50,Non‐parametric Approaches,Linked Administrative Data,0.009055497503773364,0.0
51,Non‐parametric Approaches,Panel/Longitudinal Surveys,0.009966910484151863,0.0
52,Opportunity Atlas,Empirical Estimates and Determinants,0.0314176245210728,0.01264367816091954
53,Others_DataType,Empirical Estimates and Determinants,0.015289910600255426,0.007471264367816092
54,Others_DataType,Intergenerational Wealth Mobility and Inheritance,0.012899106002554275,0.013218390804597701
55,Others_DataType,"Policy, Institutional, and Geographic Impacts",0.006280970625798213,0.0022988505747126436
56,Others_Measure,Administrative/Registry Data,0.010292447316788087,0.0
57,Others_Measure,Empirical Estimates and Determinants,0.013565755107337258,0.05057471264367816
58,Others_Measure,Intergenerational Wealth Mobility and Inheritance,0.0105952795607968,0.0
59,Others_Measure,Linked Administrative Data,0.011205601850632275,0.0
60,Others_Measure,National Survey Data,0.010045429666119321,0.0
61,Others_Measure,No dataset,0.0073198321474183545,0.004597701149425287
62,Others_Measure,Others_DataType,0.0065685093960956035,0.0028735632183908046
63,Others_Measure,Pseudo-Panel/Household Budget Survey,0.0073435504469987235,0.0028735632183908046
64,Others_Measure,Theoretical and Structural Models,0.009628614943016565,0.0
65,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",0.014043140767278698,0.05057471264367816
66,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,0.013416703985669501,0.0
67,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,0.009432029656167587,0.016091954022988506
68,Panel/Longitudinal Surveys,Measurement and Methodological Advances,0.010534656913967258,0.0
69,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",0.01125514587583553,0.0
70,Pseudo-Panel/Household Budget Survey,Empirical Estimates and Determinants,0.01835249042145594,0.009770114942528735
71,Pseudo-Panel/Household Budget Survey,Intergenerational Wealth Mobility and Inheritance,0.015925925925925927,0.013218390804597701
72,Rank‐based Measures,Administrative/Registry Data,0.010353979278928569,0.0022988505747126436
73,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",0.005824243107204567,0.004597701149425287
74,Rank‐based Measures,Empirical Estimates and Determinants,0.026500375629178875,0.04827586206896552
75,Rank‐based Measures,Linked Administrative Data,0.009454210803095185,0.004597701149425287
76,Rank‐based Measures,Panel/Longitudinal Surveys,0.01178324830454648,0.0
77,Regression‐based Measures,Administrative/Registry Data,0.015184289191388584,0.041379310344827586
78,Regression‐based Measures,Archival/Historical Data,0.023256704980842913,0.059770114942528735
79,Regression‐based Measures,Empirical Estimates and Determinants,0.007517448369375347,0.14942528735632182
80,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,0.013895631826666309,0.17011494252873563
81,Regression‐based Measures,International Panel Data,0.014808429118773945,0.059770114942528735
82,Regression‐based Measures,Linked Administrative Data,0.014852290411113939,0.041379310344827586
83,Regression‐based Measures,Measurement and Methodological Advances,0.023759210138520483,0.05747126436781609
84,Regression‐based Measures,National Survey Data,0.022144814955159787,0.10574712643678161
85,Regression‐based Measures,Natural/Experimental Data,0.028352490421455937,0.047126436781609195
86,Regression‐based Measures,No dataset,0.011954794885829368,0.09655172413793103
87,Regression‐based Measures,Opportunity Atlas,0.028352490421455937,0.047126436781609195
88,Regression‐based Measures,Others_DataType,0.013826898516553688,0.029310344827586206
89,Regression‐based Measures,Others_RqType,0.040848806366047735,0.052873563218390804
90,Regression‐based Measures,Panel/Longitudinal Surveys,0.017792389902937574,0.08505747126436781
91,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",0.01459573631987425,0.05747126436781609
92,Regression‐based Measures,Pseudo-Panel/Household Budget Survey,0.01896551724137931,0.0339080459770115
93,Regression‐based Measures,Theoretical and Structural Models,0.020901764826714114,0.0
94,Transition Matrix / Probability Measures,Administrative/Registry Data,0.007670016108149981,0.0
95,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",0.009865750131470214,0.006896551724137931
96,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,0.015531910918320653,0.0
97,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,0.011335381731933455,0.05057471264367816
98,Transition Matrix / Probability Measures,Linked Administrative Data,0.009082996486647602,0.006896551724137931
99,Transition Matrix / Probability Measures,National Survey Data,0.008078817733990147,0.0
100,Transition Matrix / Probability Measures,No dataset,0.008482028826856414,0.0
101,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,0.009017397972773226,0.0
102,Transition Matrix / Probability Measures,Theoretical and Structural Models,0.011529742513515333,0.0
