,source,target,hops
52,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
53,Theoretical and Structural Models,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
54,Transition Matrix / Probability Measures,Others_Measure,2.0
55,Multigenerational Measures,Others_Measure,2.0
56,Non‐parametric Approaches,Others_Measure,2.0
57,Archival/Historical Data,Others_Measure,2.0
58,Panel/Longitudinal Surveys,Others_Measure,2.0
59,National Survey Data,Others_Measure,2.0
60,Theoretical and Structural Models,Others_Measure,2.0
61,Empirical Estimates and Determinants,Others_Measure,2.0
62,Absolute Mobility Measures,Multigenerational Measures,2.0
63,Decomposition / Structural Approaches,Multigenerational Measures,2.0
64,Regression‐based Measures,Multigenerational Measures,2.0
65,Transition Matrix / Probability Measures,Multigenerational Measures,2.0
66,Others_Measure,Multigenerational Measures,2.0
67,Non‐parametric Approaches,Multigenerational Measures,2.0
68,Archival/Historical Data,Multigenerational Measures,2.0
69,No dataset,Multigenerational Measures,2.0
70,Panel/Longitudinal Surveys,Multigenerational Measures,2.0
71,Empirical Estimates and Determinants,Multigenerational Measures,2.0
72,Absolute Mobility Measures,Non‐parametric Approaches,2.0
73,Decomposition / Structural Approaches,Non‐parametric Approaches,2.0
74,Regression‐based Measures,Non‐parametric Approaches,2.0
75,Transition Matrix / Probability Measures,Non‐parametric Approaches,2.0
76,Others_Measure,Non‐parametric Approaches,2.0
77,Multigenerational Measures,Non‐parametric Approaches,2.0
78,Archival/Historical Data,Non‐parametric Approaches,2.0
79,No dataset,Non‐parametric Approaches,2.0
80,National Survey Data,Non‐parametric Approaches,2.0
81,Empirical Estimates and Determinants,Non‐parametric Approaches,2.0
82,Measurement and Methodological Advances,Non‐parametric Approaches,2.0
83,"Demographic Differences in Mobility (Race, Gender, etc.)",Non‐parametric Approaches,2.0
84,Decomposition / Structural Approaches,Archival/Historical Data,2.0
85,Regression‐based Measures,Archival/Historical Data,2.0
86,Transition Matrix / Probability Measures,Archival/Historical Data,2.0
87,Others_Measure,Archival/Historical Data,2.0
88,Multigenerational Measures,Archival/Historical Data,2.0
89,Non‐parametric Approaches,Archival/Historical Data,2.0
90,No dataset,Archival/Historical Data,2.0
91,Panel/Longitudinal Surveys,Archival/Historical Data,2.0
92,National Survey Data,Archival/Historical Data,2.0
93,Empirical Estimates and Determinants,Archival/Historical Data,2.0
94,Absolute Mobility Measures,No dataset,2.0
95,Multigenerational Measures,No dataset,2.0
96,Non‐parametric Approaches,No dataset,2.0
97,Archival/Historical Data,No dataset,2.0
98,Administrative/Registry Data,No dataset,2.0
99,Panel/Longitudinal Surveys,No dataset,2.0
100,Linked Administrative Data,No dataset,2.0
101,National Survey Data,No dataset,2.0
102,"Demographic Differences in Mobility (Race, Gender, etc.)",No dataset,2.0
103,Absolute Mobility Measures,Administrative/Registry Data,2.0
104,Transition Matrix / Probability Measures,Administrative/Registry Data,2.0
105,No dataset,Administrative/Registry Data,2.0
106,Panel/Longitudinal Surveys,Administrative/Registry Data,2.0
107,Linked Administrative Data,Administrative/Registry Data,2.0
108,National Survey Data,Administrative/Registry Data,2.0
109,Intergenerational Wealth Mobility and Inheritance,Administrative/Registry Data,2.0
110,Measurement and Methodological Advances,Administrative/Registry Data,2.0
111,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,2.0
112,Others_Measure,Panel/Longitudinal Surveys,2.0
113,Multigenerational Measures,Panel/Longitudinal Surveys,2.0
114,Archival/Historical Data,Panel/Longitudinal Surveys,2.0
115,No dataset,Panel/Longitudinal Surveys,2.0
116,Administrative/Registry Data,Panel/Longitudinal Surveys,2.0
117,Linked Administrative Data,Panel/Longitudinal Surveys,2.0
118,National Survey Data,Panel/Longitudinal Surveys,2.0
119,Absolute Mobility Measures,Linked Administrative Data,2.0
120,Transition Matrix / Probability Measures,Linked Administrative Data,2.0
121,No dataset,Linked Administrative Data,2.0
122,Administrative/Registry Data,Linked Administrative Data,2.0
123,Panel/Longitudinal Surveys,Linked Administrative Data,2.0
124,National Survey Data,Linked Administrative Data,2.0
125,Intergenerational Wealth Mobility and Inheritance,Linked Administrative Data,2.0
126,Measurement and Methodological Advances,Linked Administrative Data,2.0
127,Absolute Mobility Measures,National Survey Data,2.0
128,Decomposition / Structural Approaches,National Survey Data,2.0
129,Others_Measure,National Survey Data,2.0
130,Non‐parametric Approaches,National Survey Data,2.0
131,Archival/Historical Data,National Survey Data,2.0
132,No dataset,National Survey Data,2.0
133,Administrative/Registry Data,National Survey Data,2.0
134,Panel/Longitudinal Surveys,National Survey Data,2.0
135,Linked Administrative Data,National Survey Data,2.0
136,Measurement and Methodological Advances,National Survey Data,2.0
137,"Demographic Differences in Mobility (Race, Gender, etc.)",National Survey Data,2.0
138,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,2.0
139,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,2.0
140,Theoretical and Structural Models,Intergenerational Wealth Mobility and Inheritance,2.0
141,Empirical Estimates and Determinants,Intergenerational Wealth Mobility and Inheritance,2.0
142,Measurement and Methodological Advances,Intergenerational Wealth Mobility and Inheritance,2.0
143,"Demographic Differences in Mobility (Race, Gender, etc.)",Intergenerational Wealth Mobility and Inheritance,2.0
144,Regression‐based Measures,Theoretical and Structural Models,2.0
145,Transition Matrix / Probability Measures,Theoretical and Structural Models,2.0
146,Others_Measure,Theoretical and Structural Models,2.0
147,Intergenerational Wealth Mobility and Inheritance,Theoretical and Structural Models,2.0
148,Empirical Estimates and Determinants,Theoretical and Structural Models,2.0
149,Measurement and Methodological Advances,Theoretical and Structural Models,2.0
150,Decomposition / Structural Approaches,Empirical Estimates and Determinants,2.0
151,Others_Measure,Empirical Estimates and Determinants,2.0
152,Multigenerational Measures,Empirical Estimates and Determinants,2.0
153,Non‐parametric Approaches,Empirical Estimates and Determinants,2.0
154,Archival/Historical Data,Empirical Estimates and Determinants,2.0
155,Intergenerational Wealth Mobility and Inheritance,Empirical Estimates and Determinants,2.0
156,Theoretical and Structural Models,Empirical Estimates and Determinants,2.0
157,Measurement and Methodological Advances,Empirical Estimates and Determinants,2.0
158,"Demographic Differences in Mobility (Race, Gender, etc.)",Empirical Estimates and Determinants,2.0
159,Absolute Mobility Measures,Measurement and Methodological Advances,2.0
160,Decomposition / Structural Approaches,Measurement and Methodological Advances,2.0
161,Transition Matrix / Probability Measures,Measurement and Methodological Advances,2.0
162,Non‐parametric Approaches,Measurement and Methodological Advances,2.0
163,Administrative/Registry Data,Measurement and Methodological Advances,2.0
164,Linked Administrative Data,Measurement and Methodological Advances,2.0
165,National Survey Data,Measurement and Methodological Advances,2.0
166,Intergenerational Wealth Mobility and Inheritance,Measurement and Methodological Advances,2.0
167,Theoretical and Structural Models,Measurement and Methodological Advances,2.0
168,Empirical Estimates and Determinants,Measurement and Methodological Advances,2.0
169,"Demographic Differences in Mobility (Race, Gender, etc.)",Measurement and Methodological Advances,2.0
170,Absolute Mobility Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
171,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
172,Non‐parametric Approaches,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
173,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
174,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
175,Intergenerational Wealth Mobility and Inheritance,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
176,Empirical Estimates and Determinants,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
177,Measurement and Methodological Advances,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
178,Decomposition / Structural Approaches,Absolute Mobility Measures,2.0
179,Regression‐based Measures,Absolute Mobility Measures,2.0
180,Transition Matrix / Probability Measures,Absolute Mobility Measures,2.0
181,Others_Measure,Absolute Mobility Measures,2.0
182,Multigenerational Measures,Absolute Mobility Measures,2.0
183,Non‐parametric Approaches,Absolute Mobility Measures,2.0
184,No dataset,Absolute Mobility Measures,2.0
185,Administrative/Registry Data,Absolute Mobility Measures,2.0
186,Linked Administrative Data,Absolute Mobility Measures,2.0
187,National Survey Data,Absolute Mobility Measures,2.0
188,Measurement and Methodological Advances,Absolute Mobility Measures,2.0
189,"Demographic Differences in Mobility (Race, Gender, etc.)",Absolute Mobility Measures,2.0
190,Absolute Mobility Measures,Decomposition / Structural Approaches,2.0
191,Regression‐based Measures,Decomposition / Structural Approaches,2.0
192,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,2.0
193,Others_Measure,Decomposition / Structural Approaches,2.0
194,Multigenerational Measures,Decomposition / Structural Approaches,2.0
195,Non‐parametric Approaches,Decomposition / Structural Approaches,2.0
196,Archival/Historical Data,Decomposition / Structural Approaches,2.0
197,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,2.0
198,National Survey Data,Decomposition / Structural Approaches,2.0
199,Empirical Estimates and Determinants,Decomposition / Structural Approaches,2.0
200,Measurement and Methodological Advances,Decomposition / Structural Approaches,2.0
201,Absolute Mobility Measures,Regression‐based Measures,2.0
202,Decomposition / Structural Approaches,Regression‐based Measures,2.0
203,Transition Matrix / Probability Measures,Regression‐based Measures,2.0
204,Others_Measure,Regression‐based Measures,2.0
205,Multigenerational Measures,Regression‐based Measures,2.0
206,Non‐parametric Approaches,Regression‐based Measures,2.0
207,Archival/Historical Data,Regression‐based Measures,2.0
208,Theoretical and Structural Models,Regression‐based Measures,2.0
209,"Demographic Differences in Mobility (Race, Gender, etc.)",Regression‐based Measures,2.0
210,Absolute Mobility Measures,Transition Matrix / Probability Measures,2.0
211,Decomposition / Structural Approaches,Transition Matrix / Probability Measures,2.0
212,Regression‐based Measures,Transition Matrix / Probability Measures,2.0
213,Others_Measure,Transition Matrix / Probability Measures,2.0
214,Multigenerational Measures,Transition Matrix / Probability Measures,2.0
215,Non‐parametric Approaches,Transition Matrix / Probability Measures,2.0
216,Archival/Historical Data,Transition Matrix / Probability Measures,2.0
217,Administrative/Registry Data,Transition Matrix / Probability Measures,2.0
218,Linked Administrative Data,Transition Matrix / Probability Measures,2.0
219,Theoretical and Structural Models,Transition Matrix / Probability Measures,2.0
220,Measurement and Methodological Advances,Transition Matrix / Probability Measures,2.0
221,Absolute Mobility Measures,Others_Measure,2.0
222,Decomposition / Structural Approaches,Others_Measure,2.0
223,Regression‐based Measures,Others_Measure,2.0
224,Archival/Historical Data,Absolute Mobility Measures,1.0
225,Panel/Longitudinal Surveys,Absolute Mobility Measures,1.0
226,Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,1.0
227,Empirical Estimates and Determinants,Absolute Mobility Measures,1.0
228,No dataset,Decomposition / Structural Approaches,1.0
229,Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,1.0
230,Theoretical and Structural Models,Decomposition / Structural Approaches,1.0
231,No dataset,Regression‐based Measures,1.0
232,Administrative/Registry Data,Regression‐based Measures,1.0
233,Panel/Longitudinal Surveys,Regression‐based Measures,1.0
234,Linked Administrative Data,Regression‐based Measures,1.0
235,National Survey Data,Regression‐based Measures,1.0
236,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,1.0
237,Empirical Estimates and Determinants,Regression‐based Measures,1.0
238,Measurement and Methodological Advances,Regression‐based Measures,1.0
239,No dataset,Transition Matrix / Probability Measures,1.0
240,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,1.0
241,National Survey Data,Transition Matrix / Probability Measures,1.0
242,Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,1.0
243,Empirical Estimates and Determinants,Transition Matrix / Probability Measures,1.0
244,"Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,1.0
245,No dataset,Others_Measure,1.0
246,Intergenerational Wealth Mobility and Inheritance,Others_Measure,1.0
247,Measurement and Methodological Advances,Others_Measure,1.0
248,National Survey Data,Multigenerational Measures,1.0
249,Intergenerational Wealth Mobility and Inheritance,Multigenerational Measures,1.0
250,Panel/Longitudinal Surveys,Non‐parametric Approaches,1.0
251,Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,1.0
252,Absolute Mobility Measures,Archival/Historical Data,1.0
253,Intergenerational Wealth Mobility and Inheritance,Archival/Historical Data,1.0
254,Decomposition / Structural Approaches,No dataset,1.0
255,Regression‐based Measures,No dataset,1.0
256,Transition Matrix / Probability Measures,No dataset,1.0
257,Others_Measure,No dataset,1.0
258,Intergenerational Wealth Mobility and Inheritance,No dataset,1.0
259,Theoretical and Structural Models,No dataset,1.0
260,Empirical Estimates and Determinants,No dataset,1.0
261,Measurement and Methodological Advances,No dataset,1.0
262,Regression‐based Measures,Administrative/Registry Data,1.0
263,Empirical Estimates and Determinants,Administrative/Registry Data,1.0
264,Absolute Mobility Measures,Panel/Longitudinal Surveys,1.0
265,Regression‐based Measures,Panel/Longitudinal Surveys,1.0
266,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,1.0
267,Non‐parametric Approaches,Panel/Longitudinal Surveys,1.0
268,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,1.0
269,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,1.0
270,Measurement and Methodological Advances,Panel/Longitudinal Surveys,1.0
271,"Demographic Differences in Mobility (Race, Gender, etc.)",Panel/Longitudinal Surveys,1.0
272,Regression‐based Measures,Linked Administrative Data,1.0
273,Empirical Estimates and Determinants,Linked Administrative Data,1.0
274,Regression‐based Measures,National Survey Data,1.0
275,Transition Matrix / Probability Measures,National Survey Data,1.0
276,Multigenerational Measures,National Survey Data,1.0
277,Intergenerational Wealth Mobility and Inheritance,National Survey Data,1.0
278,Empirical Estimates and Determinants,National Survey Data,1.0
279,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1.0
280,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1.0
281,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1.0
282,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1.0
283,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1.0
284,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,1.0
285,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1.0
286,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,1.0
287,No dataset,Intergenerational Wealth Mobility and Inheritance,1.0
288,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,1.0
289,National Survey Data,Intergenerational Wealth Mobility and Inheritance,1.0
290,Decomposition / Structural Approaches,Theoretical and Structural Models,1.0
291,No dataset,Theoretical and Structural Models,1.0
292,Absolute Mobility Measures,Empirical Estimates and Determinants,1.0
293,Regression‐based Measures,Empirical Estimates and Determinants,1.0
294,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1.0
295,No dataset,Empirical Estimates and Determinants,1.0
296,Administrative/Registry Data,Empirical Estimates and Determinants,1.0
297,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,1.0
298,Linked Administrative Data,Empirical Estimates and Determinants,1.0
299,National Survey Data,Empirical Estimates and Determinants,1.0
300,Regression‐based Measures,Measurement and Methodological Advances,1.0
301,Others_Measure,Measurement and Methodological Advances,1.0
302,No dataset,Measurement and Methodological Advances,1.0
303,Panel/Longitudinal Surveys,Measurement and Methodological Advances,1.0
304,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1.0
305,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",1.0
