citing_year,cited_year,citing_cat,cited_cat,counts
2006,2002,Decomposition / Structural Approaches,Non‐parametric Approaches,1
2006,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2006,2002,Decomposition / Structural Approaches,Regression‐based Measures,1
2007,2002,Others,Others,1
2007,2005,Others,Regression‐based Measures,2
2007,1990,Others,Regression‐based Measures,1
2007,1979,Others,Decomposition / Structural Approaches,2
2007,2000,Others,Regression‐based Measures,1
2007,2007,Others,Regression‐based Measures,2
2007,2002,Others,Regression‐based Measures,2
2007,2006,Others,Decomposition / Structural Approaches,1
2007,2000,Regression‐based Measures,Regression‐based Measures,1
2007,2007,Regression‐based Measures,Regression‐based Measures,2
2007,2002,Regression‐based Measures,Regression‐based Measures,8
2007,2005,Regression‐based Measures,Regression‐based Measures,4
2007,2005,Regression‐based Measures,Decomposition / Structural Approaches,1
2007,2006,Regression‐based Measures,Regression‐based Measures,1
2007,1992,Regression‐based Measures,Regression‐based Measures,2
2007,1990,Regression‐based Measures,Regression‐based Measures,1
2007,1979,Regression‐based Measures,Decomposition / Structural Approaches,2
2007,1999,Regression‐based Measures,Regression‐based Measures,2
2007,2005,Regression‐based Measures,Transition Matrix / Probability Measures,1
2008,2006,Regression‐based Measures,Regression‐based Measures,3
2008,1979,Regression‐based Measures,Decomposition / Structural Approaches,1
2008,2005,Regression‐based Measures,Regression‐based Measures,5
2008,2000,Regression‐based Measures,Regression‐based Measures,2
2008,2003,Regression‐based Measures,Regression‐based Measures,2
2008,2002,Regression‐based Measures,Regression‐based Measures,6
2008,1999,Regression‐based Measures,Regression‐based Measures,4
2008,1992,Regression‐based Measures,Regression‐based Measures,2
2008,2006,Multigenerational Measures,Regression‐based Measures,1
2008,1990,Regression‐based Measures,Regression‐based Measures,1
2008,2007,Regression‐based Measures,Regression‐based Measures,2
2008,1980,Regression‐based Measures,Regression‐based Measures,1
2008,2008,Regression‐based Measures,Regression‐based Measures,1
2008,2006,Regression‐based Measures,Decomposition / Structural Approaches,1
2008,1980,Transition Matrix / Probability Measures,Regression‐based Measures,1
2009,2000,Regression‐based Measures,Regression‐based Measures,1
2009,1979,Regression‐based Measures,Decomposition / Structural Approaches,2
2009,1980,Regression‐based Measures,Regression‐based Measures,1
2009,2006,Regression‐based Measures,Regression‐based Measures,2
2009,2007,Regression‐based Measures,Regression‐based Measures,3
2009,2002,Regression‐based Measures,Non‐parametric Approaches,1
2009,2002,Regression‐based Measures,Regression‐based Measures,3
2009,2005,Regression‐based Measures,Regression‐based Measures,5
2009,1999,Regression‐based Measures,Regression‐based Measures,1
2009,1998,Regression‐based Measures,Others,1
2010,2009,Regression‐based Measures,Transition Matrix / Probability Measures,1
2010,2005,Regression‐based Measures,Regression‐based Measures,3
2010,2008,Regression‐based Measures,Regression‐based Measures,1
2010,2009,Regression‐based Measures,Regression‐based Measures,2
2010,1979,Rank‐based Measures,Decomposition / Structural Approaches,1
2010,2009,Rank‐based Measures,Regression‐based Measures,1
2010,2005,Regression‐based Measures,Transition Matrix / Probability Measures,2
2010,2002,Regression‐based Measures,Regression‐based Measures,3
2010,2007,Regression‐based Measures,Regression‐based Measures,2
2010,1979,Regression‐based Measures,Decomposition / Structural Approaches,1
2010,1999,Regression‐based Measures,Regression‐based Measures,1
2010,2005,Decomposition / Structural Approaches,Regression‐based Measures,3
2010,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2010,2002,Decomposition / Structural Approaches,Regression‐based Measures,1
2010,2005,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2010,1999,Decomposition / Structural Approaches,Regression‐based Measures,1
2011,2006,Regression‐based Measures,Regression‐based Measures,3
2011,2005,Regression‐based Measures,Regression‐based Measures,9
2011,2002,Regression‐based Measures,Regression‐based Measures,6
2011,1998,Regression‐based Measures,Others,2
2011,2006,Regression‐based Measures,Decomposition / Structural Approaches,3
2011,2009,Regression‐based Measures,Regression‐based Measures,9
2011,2007,Regression‐based Measures,Regression‐based Measures,11
2011,2000,Regression‐based Measures,Regression‐based Measures,5
2011,1992,Regression‐based Measures,Regression‐based Measures,1
2011,2010,Rank‐based Measures,Rank‐based Measures,1
2011,1979,Rank‐based Measures,Decomposition / Structural Approaches,2
2011,2005,Rank‐based Measures,Regression‐based Measures,1
2011,2011,Rank‐based Measures,Transition Matrix / Probability Measures,1
2011,2009,Rank‐based Measures,Regression‐based Measures,3
2011,2005,Regression‐based Measures,Transition Matrix / Probability Measures,1
2011,1979,Regression‐based Measures,Decomposition / Structural Approaches,3
2011,1999,Regression‐based Measures,Regression‐based Measures,3
2011,1980,Regression‐based Measures,Regression‐based Measures,2
2011,2008,Regression‐based Measures,Regression‐based Measures,4
2011,2003,Regression‐based Measures,Regression‐based Measures,2
2011,2011,Regression‐based Measures,Regression‐based Measures,4
2011,2005,Multigenerational Measures,Regression‐based Measures,2
2011,2007,Multigenerational Measures,Others,1
2011,2002,Multigenerational Measures,Regression‐based Measures,1
2011,1998,Regression‐based Measures,Regression‐based Measures,2
2011,2010,Regression‐based Measures,Regression‐based Measures,4
2011,2006,Regression‐based Measures,Transition Matrix / Probability Measures,1
2011,2010,Regression‐based Measures,Decomposition / Structural Approaches,1
2011,2005,Regression‐based Measures,Decomposition / Structural Approaches,1
2011,2005,Transition Matrix / Probability Measures,Regression‐based Measures,1
2011,1979,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,1
2011,2009,Transition Matrix / Probability Measures,Regression‐based Measures,1
2012,2008,Regression‐based Measures,Regression‐based Measures,2
2012,2007,Regression‐based Measures,Regression‐based Measures,6
2012,2005,Regression‐based Measures,Decomposition / Structural Approaches,2
2012,1979,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,1
2012,2005,Regression‐based Measures,Regression‐based Measures,7
2012,1979,Regression‐based Measures,Regression‐based Measures,1
2012,2002,Regression‐based Measures,Regression‐based Measures,6
2012,1979,Regression‐based Measures,Decomposition / Structural Approaches,4
2012,2009,Regression‐based Measures,Regression‐based Measures,4
2012,2010,Regression‐based Measures,Regression‐based Measures,1
2012,2011,Regression‐based Measures,Regression‐based Measures,4
2012,2011,Absolute Mobility Measures,Transition Matrix / Probability Measures,1
2012,2006,Regression‐based Measures,Transition Matrix / Probability Measures,1
2012,2006,Regression‐based Measures,Regression‐based Measures,2
2012,2002,Decomposition / Structural Approaches,Regression‐based Measures,2
2012,2006,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2012,1980,Regression‐based Measures,Regression‐based Measures,1
2012,1998,Regression‐based Measures,Others,1
2013,1980,Others,Regression‐based Measures,1
2013,1990,Others,Regression‐based Measures,1
2013,1979,Others,Decomposition / Structural Approaches,1
2013,1979,Regression‐based Measures,Decomposition / Structural Approaches,5
2013,2007,Regression‐based Measures,Regression‐based Measures,2
2013,2013,Regression‐based Measures,Decomposition / Structural Approaches,1
2013,2011,Regression‐based Measures,Regression‐based Measures,5
2013,2002,Regression‐based Measures,Regression‐based Measures,8
2013,2008,Regression‐based Measures,Regression‐based Measures,1
2013,2012,Regression‐based Measures,Regression‐based Measures,1
2013,2005,Decomposition / Structural Approaches,Regression‐based Measures,2
2013,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,2
2013,2005,Regression‐based Measures,Regression‐based Measures,11
2013,2009,Regression‐based Measures,Regression‐based Measures,7
2013,2008,Absolute Mobility Measures,Regression‐based Measures,2
2013,2010,Absolute Mobility Measures,Regression‐based Measures,1
2013,2012,Absolute Mobility Measures,Regression‐based Measures,1
2013,2006,Decomposition / Structural Approaches,Regression‐based Measures,1
2013,2002,Decomposition / Structural Approaches,Regression‐based Measures,1
2013,2012,Decomposition / Structural Approaches,Regression‐based Measures,1
2013,2011,Decomposition / Structural Approaches,Regression‐based Measures,2
2013,2013,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,1
2013,1999,Regression‐based Measures,Regression‐based Measures,4
2013,2013,Regression‐based Measures,Regression‐based Measures,3
2013,2006,Transition Matrix / Probability Measures,Regression‐based Measures,1
2013,2010,Transition Matrix / Probability Measures,Regression‐based Measures,1
2013,2002,Transition Matrix / Probability Measures,Regression‐based Measures,1
2013,2011,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,1
2013,2009,Transition Matrix / Probability Measures,Regression‐based Measures,1
2013,1999,Transition Matrix / Probability Measures,Regression‐based Measures,1
2013,2006,Regression‐based Measures,Regression‐based Measures,2
2013,2011,Regression‐based Measures,Transition Matrix / Probability Measures,1
2013,2010,Regression‐based Measures,Decomposition / Structural Approaches,1
2013,2010,Decomposition / Structural Approaches,Regression‐based Measures,1
2013,2007,Decomposition / Structural Approaches,Regression‐based Measures,1
2013,1998,Decomposition / Structural Approaches,Others,1
2013,2009,Decomposition / Structural Approaches,Regression‐based Measures,1
2013,1980,Regression‐based Measures,Regression‐based Measures,1
2013,2000,Regression‐based Measures,Regression‐based Measures,1
2013,1998,Regression‐based Measures,Regression‐based Measures,1
2013,2005,Regression‐based Measures,Transition Matrix / Probability Measures,1
2013,2006,Regression‐based Measures,Decomposition / Structural Approaches,1
2014,1979,Regression‐based Measures,Decomposition / Structural Approaches,6
2014,2011,Regression‐based Measures,Regression‐based Measures,7
2014,2007,Regression‐based Measures,Regression‐based Measures,6
2014,2002,Regression‐based Measures,Regression‐based Measures,9
2014,2013,Regression‐based Measures,Regression‐based Measures,7
2014,2009,Regression‐based Measures,Regression‐based Measures,6
2014,2012,Regression‐based Measures,Regression‐based Measures,5
2014,2013,Absolute Mobility Measures,Regression‐based Measures,1
2014,1990,Regression‐based Measures,Regression‐based Measures,2
2014,2005,Regression‐based Measures,Regression‐based Measures,8
2014,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,2
2014,2006,Regression‐based Measures,Regression‐based Measures,4
2014,2013,Regression‐based Measures,Others,1
2014,2014,Regression‐based Measures,Regression‐based Measures,1
2014,2010,Regression‐based Measures,Regression‐based Measures,1
2014,1999,Regression‐based Measures,Regression‐based Measures,3
2014,1980,Absolute Mobility Measures,Regression‐based Measures,1
2014,2006,Absolute Mobility Measures,Regression‐based Measures,1
2014,2007,Absolute Mobility Measures,Regression‐based Measures,1
2014,2000,Absolute Mobility Measures,Regression‐based Measures,1
2014,2003,Absolute Mobility Measures,Regression‐based Measures,1
2014,2002,Absolute Mobility Measures,Regression‐based Measures,1
2014,2009,Absolute Mobility Measures,Regression‐based Measures,1
2014,2008,Absolute Mobility Measures,Rank‐based Measures,1
2014,2007,Regression‐based Measures,Others,2
2014,1979,Regression‐based Measures,Regression‐based Measures,1
2014,2006,Regression‐based Measures,Decomposition / Structural Approaches,2
2014,2014,Regression‐based Measures,Non‐parametric Approaches,1
2014,2003,Regression‐based Measures,Regression‐based Measures,1
2014,2006,Rank‐based Measures,Regression‐based Measures,1
2014,1979,Rank‐based Measures,Decomposition / Structural Approaches,1
2014,2011,Rank‐based Measures,Rank‐based Measures,1
2014,2002,Rank‐based Measures,Regression‐based Measures,2
2014,2005,Rank‐based Measures,Regression‐based Measures,1
2014,2013,Rank‐based Measures,Regression‐based Measures,2
2014,2014,Rank‐based Measures,Rank‐based Measures,1
2014,2010,Rank‐based Measures,Decomposition / Structural Approaches,1
2014,2011,Rank‐based Measures,Transition Matrix / Probability Measures,1
2014,2009,Rank‐based Measures,Regression‐based Measures,2
2014,1999,Rank‐based Measures,Regression‐based Measures,1
2014,2010,Regression‐based Measures,Decomposition / Structural Approaches,1
2014,2005,Regression‐based Measures,Transition Matrix / Probability Measures,1
2014,2013,Rank‐based Measures,Transition Matrix / Probability Measures,1
2014,1979,Non‐parametric Approaches,Decomposition / Structural Approaches,2
2014,2014,Regression‐based Measures,Rank‐based Measures,2
2014,2013,Others,Regression‐based Measures,1
2014,2009,Others,Regression‐based Measures,1
2014,2003,Transition Matrix / Probability Measures,Regression‐based Measures,1
2014,2006,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,1
2014,2009,Transition Matrix / Probability Measures,Regression‐based Measures,1
2014,2005,Non‐parametric Approaches,Regression‐based Measures,1
2014,2013,Non‐parametric Approaches,Regression‐based Measures,1
2014,2010,Non‐parametric Approaches,Decomposition / Structural Approaches,1
2014,2011,Non‐parametric Approaches,Regression‐based Measures,1
2014,2011,Non‐parametric Approaches,Transition Matrix / Probability Measures,1
2014,2009,Non‐parametric Approaches,Regression‐based Measures,1
2014,1999,Non‐parametric Approaches,Regression‐based Measures,1
2015,2006,Regression‐based Measures,Regression‐based Measures,3
2015,2007,Regression‐based Measures,Regression‐based Measures,8
2015,2013,Regression‐based Measures,Decomposition / Structural Approaches,2
2015,1979,Regression‐based Measures,Decomposition / Structural Approaches,3
2015,2002,Regression‐based Measures,Regression‐based Measures,11
2015,2005,Regression‐based Measures,Regression‐based Measures,12
2015,2006,Regression‐based Measures,Transition Matrix / Probability Measures,1
2015,2013,Regression‐based Measures,Regression‐based Measures,8
2015,2009,Regression‐based Measures,Regression‐based Measures,8
2015,2012,Regression‐based Measures,Regression‐based Measures,6
2015,2011,Regression‐based Measures,Regression‐based Measures,4
2015,2011,Regression‐based Measures,Transition Matrix / Probability Measures,6
2015,2014,Regression‐based Measures,Transition Matrix / Probability Measures,1
2015,2005,Transition Matrix / Probability Measures,Regression‐based Measures,1
2015,2011,Transition Matrix / Probability Measures,Rank‐based Measures,1
2015,2014,Transition Matrix / Probability Measures,Rank‐based Measures,1
2015,2011,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,1
2015,2009,Transition Matrix / Probability Measures,Regression‐based Measures,1
2015,2013,Regression‐based Measures,Absolute Mobility Measures,1
2015,2007,Others,Regression‐based Measures,2
2015,2014,Others,Rank‐based Measures,1
2015,2002,Others,Regression‐based Measures,1
2015,2009,Others,Regression‐based Measures,1
2015,2011,Regression‐based Measures,Rank‐based Measures,3
2015,1998,Regression‐based Measures,Regression‐based Measures,2
2015,2008,Regression‐based Measures,Regression‐based Measures,3
2015,2000,Regression‐based Measures,Regression‐based Measures,2
2015,1999,Regression‐based Measures,Regression‐based Measures,3
2015,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,2
2015,2010,Decomposition / Structural Approaches,Decomposition / Structural Approaches,2
2015,2005,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2015,2010,Regression‐based Measures,Decomposition / Structural Approaches,1
2015,2002,Decomposition / Structural Approaches,Regression‐based Measures,2
2015,2006,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2015,1980,Regression‐based Measures,Regression‐based Measures,1
2015,1992,Regression‐based Measures,Regression‐based Measures,1
2015,2014,Regression‐based Measures,Regression‐based Measures,3
2015,2010,Regression‐based Measures,Regression‐based Measures,1
2015,2003,Regression‐based Measures,Regression‐based Measures,1
2015,2014,Regression‐based Measures,Rank‐based Measures,5
2015,2012,Decomposition / Structural Approaches,Regression‐based Measures,1
2015,2015,Regression‐based Measures,Non‐parametric Approaches,1
2015,2006,Non‐parametric Approaches,Regression‐based Measures,1
2015,1992,Non‐parametric Approaches,Regression‐based Measures,1
2015,2011,Non‐parametric Approaches,Regression‐based Measures,1
2015,2000,Non‐parametric Approaches,Regression‐based Measures,1
2015,2002,Non‐parametric Approaches,Regression‐based Measures,1
2015,2013,Non‐parametric Approaches,Regression‐based Measures,1
2015,2011,Non‐parametric Approaches,Transition Matrix / Probability Measures,1
2015,1999,Non‐parametric Approaches,Regression‐based Measures,1
2015,2014,Decomposition / Structural Approaches,Rank‐based Measures,2
2015,2013,Decomposition / Structural Approaches,Regression‐based Measures,1
2016,2014,Transition Matrix / Probability Measures,Rank‐based Measures,1
2016,2013,Transition Matrix / Probability Measures,Regression‐based Measures,1
2016,1992,Regression‐based Measures,Regression‐based Measures,1
2016,1979,Regression‐based Measures,Decomposition / Structural Approaches,8
2016,2006,Regression‐based Measures,Regression‐based Measures,4
2016,2013,Regression‐based Measures,Decomposition / Structural Approaches,3
2016,2009,Regression‐based Measures,Regression‐based Measures,10
2016,2002,Regression‐based Measures,Regression‐based Measures,6
2016,2005,Regression‐based Measures,Regression‐based Measures,10
2016,2014,Regression‐based Measures,Rank‐based Measures,13
2016,2013,Regression‐based Measures,Regression‐based Measures,8
2016,2014,Regression‐based Measures,Non‐parametric Approaches,1
2016,2005,Regression‐based Measures,Decomposition / Structural Approaches,2
2016,2011,Regression‐based Measures,Regression‐based Measures,8
2016,2010,Absolute Mobility Measures,Regression‐based Measures,1
2016,2011,Absolute Mobility Measures,Regression‐based Measures,1
2016,2013,Absolute Mobility Measures,Absolute Mobility Measures,1
2016,2002,Regression‐based Measures,Non‐parametric Approaches,2
2016,2011,Regression‐based Measures,Transition Matrix / Probability Measures,2
2016,1999,Regression‐based Measures,Regression‐based Measures,3
2016,1980,Regression‐based Measures,Regression‐based Measures,1
2016,2007,Regression‐based Measures,Regression‐based Measures,12
2016,2010,Regression‐based Measures,Regression‐based Measures,2
2016,2015,Regression‐based Measures,Regression‐based Measures,2
2016,2012,Regression‐based Measures,Regression‐based Measures,5
2016,2015,Regression‐based Measures,Others,1
2016,2010,Regression‐based Measures,Decomposition / Structural Approaches,3
2016,2014,Regression‐based Measures,Regression‐based Measures,3
2016,2016,Regression‐based Measures,Regression‐based Measures,3
2016,2011,Others,Transition Matrix / Probability Measures,2
2016,1998,Regression‐based Measures,Regression‐based Measures,3
2016,2006,Regression‐based Measures,Transition Matrix / Probability Measures,1
2016,2014,Regression‐based Measures,Transition Matrix / Probability Measures,1
2016,2006,Others,Regression‐based Measures,1
2016,2014,Others,Rank‐based Measures,1
2016,2015,Others,Regression‐based Measures,1
2017,2014,Absolute Mobility Measures,Rank‐based Measures,2
2017,2009,Absolute Mobility Measures,Regression‐based Measures,1
2017,2011,Regression‐based Measures,Regression‐based Measures,8
2017,2006,Regression‐based Measures,Regression‐based Measures,4
2017,2005,Regression‐based Measures,Regression‐based Measures,7
2017,2015,Regression‐based Measures,Regression‐based Measures,4
2017,2013,Regression‐based Measures,Decomposition / Structural Approaches,3
2017,2002,Regression‐based Measures,Regression‐based Measures,6
2017,2013,Regression‐based Measures,Regression‐based Measures,6
2017,2014,Regression‐based Measures,Rank‐based Measures,7
2017,2009,Regression‐based Measures,Regression‐based Measures,3
2017,2014,Regression‐based Measures,Regression‐based Measures,3
2017,2010,Regression‐based Measures,Regression‐based Measures,1
2017,2007,Regression‐based Measures,Regression‐based Measures,4
2017,2012,Regression‐based Measures,Regression‐based Measures,4
2017,1992,Non‐parametric Approaches,Regression‐based Measures,1
2017,2003,Non‐parametric Approaches,Regression‐based Measures,1
2017,2014,Non‐parametric Approaches,Regression‐based Measures,2
2017,2002,Non‐parametric Approaches,Regression‐based Measures,2
2017,2005,Non‐parametric Approaches,Regression‐based Measures,3
2017,2014,Non‐parametric Approaches,Rank‐based Measures,4
2017,2011,Non‐parametric Approaches,Transition Matrix / Probability Measures,2
2017,2014,Non‐parametric Approaches,Transition Matrix / Probability Measures,1
2017,2009,Non‐parametric Approaches,Regression‐based Measures,1
2017,2016,Decomposition / Structural Approaches,Regression‐based Measures,1
2017,2016,Regression‐based Measures,Regression‐based Measures,4
2017,1999,Regression‐based Measures,Regression‐based Measures,1
2017,2016,Regression‐based Measures,Rank‐based Measures,1
2017,1990,Regression‐based Measures,Regression‐based Measures,1
2017,1979,Regression‐based Measures,Decomposition / Structural Approaches,3
2017,2013,Regression‐based Measures,Absolute Mobility Measures,1
2017,2014,Decomposition / Structural Approaches,Rank‐based Measures,1
2017,2017,Non‐parametric Approaches,Absolute Mobility Measures,1
2017,2006,Non‐parametric Approaches,Regression‐based Measures,1
2017,2016,Non‐parametric Approaches,Regression‐based Measures,1
2017,2011,Non‐parametric Approaches,Regression‐based Measures,1
2017,2015,Non‐parametric Approaches,Regression‐based Measures,1
2017,2015,Non‐parametric Approaches,Non‐parametric Approaches,1
2018,2016,Regression‐based Measures,Absolute Mobility Measures,2
2018,1979,Regression‐based Measures,Decomposition / Structural Approaches,7
2018,2014,Regression‐based Measures,Regression‐based Measures,5
2018,2014,Regression‐based Measures,Rank‐based Measures,22
2018,2013,Regression‐based Measures,Regression‐based Measures,13
2018,2003,Regression‐based Measures,Transition Matrix / Probability Measures,1
2018,1998,Regression‐based Measures,Regression‐based Measures,1
2018,2002,Regression‐based Measures,Regression‐based Measures,6
2018,1979,Rank‐based Measures,Regression‐based Measures,1
2018,2014,Rank‐based Measures,Regression‐based Measures,1
2018,1979,Rank‐based Measures,Decomposition / Structural Approaches,2
2018,2006,Rank‐based Measures,Regression‐based Measures,1
2018,2014,Rank‐based Measures,Rank‐based Measures,3
2018,2012,Rank‐based Measures,Regression‐based Measures,1
2018,1980,Regression‐based Measures,Regression‐based Measures,1
2018,2006,Regression‐based Measures,Regression‐based Measures,1
2018,2005,Regression‐based Measures,Regression‐based Measures,9
2018,2016,Regression‐based Measures,Regression‐based Measures,7
2018,2015,Regression‐based Measures,Regression‐based Measures,6
2018,1992,Regression‐based Measures,Regression‐based Measures,1
2018,2011,Regression‐based Measures,Regression‐based Measures,6
2018,2007,Regression‐based Measures,Others,1
2018,2018,Regression‐based Measures,Rank‐based Measures,1
2018,2018,Regression‐based Measures,Regression‐based Measures,1
2018,2011,Decomposition / Structural Approaches,Regression‐based Measures,1
2018,2014,Decomposition / Structural Approaches,Rank‐based Measures,1
2018,2009,Regression‐based Measures,Regression‐based Measures,6
2018,1999,Regression‐based Measures,Regression‐based Measures,3
2018,2017,Regression‐based Measures,Absolute Mobility Measures,1
2018,1979,Others,Decomposition / Structural Approaches,1
2018,2014,Others,Regression‐based Measures,1
2018,2013,Others,Regression‐based Measures,2
2018,2012,Regression‐based Measures,Regression‐based Measures,2
2018,2011,Regression‐based Measures,Rank‐based Measures,1
2018,2011,Regression‐based Measures,Transition Matrix / Probability Measures,1
2018,2015,Regression‐based Measures,Non‐parametric Approaches,1
2018,2017,Transition Matrix / Probability Measures,Absolute Mobility Measures,1
2018,2014,Transition Matrix / Probability Measures,Rank‐based Measures,1
2018,2013,Transition Matrix / Probability Measures,Regression‐based Measures,1
2018,2017,Regression‐based Measures,Regression‐based Measures,3
2018,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2018,2018,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2018,2013,Absolute Mobility Measures,Regression‐based Measures,1
2018,2009,Absolute Mobility Measures,Regression‐based Measures,1
2018,2017,Absolute Mobility Measures,Regression‐based Measures,1
2018,1999,Absolute Mobility Measures,Regression‐based Measures,1
2018,2007,Others,Regression‐based Measures,1
2018,2002,Others,Regression‐based Measures,1
2018,2016,Rank‐based Measures,Regression‐based Measures,2
2018,2016,Rank‐based Measures,Others,1
2018,2017,Absolute Mobility Measures,Absolute Mobility Measures,1
2018,2016,Absolute Mobility Measures,Regression‐based Measures,1
2018,2016,Absolute Mobility Measures,Others,1
2018,2010,Regression‐based Measures,Decomposition / Structural Approaches,1
2018,2005,Regression‐based Measures,Decomposition / Structural Approaches,1
2019,1980,Regression‐based Measures,Regression‐based Measures,3
2019,2006,Regression‐based Measures,Regression‐based Measures,5
2019,2016,Regression‐based Measures,Regression‐based Measures,3
2019,2015,Regression‐based Measures,Regression‐based Measures,2
2019,2008,Regression‐based Measures,Regression‐based Measures,5
2019,2000,Regression‐based Measures,Regression‐based Measures,3
2019,2003,Regression‐based Measures,Regression‐based Measures,3
2019,2014,Regression‐based Measures,Regression‐based Measures,12
2019,2005,Regression‐based Measures,Regression‐based Measures,10
2019,2014,Regression‐based Measures,Rank‐based Measures,16
2019,2013,Regression‐based Measures,Regression‐based Measures,14
2019,2012,Regression‐based Measures,Regression‐based Measures,10
2019,2017,Regression‐based Measures,Non‐parametric Approaches,2
2019,2017,Regression‐based Measures,Decomposition / Structural Approaches,1
2019,2017,Regression‐based Measures,Regression‐based Measures,4
