year,type,datatype,rqtype,measures,num_articles,article_ids
2019,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W2943421593, https://openalex.org/W2978816005, https://openalex.org/W3121545129]"
2024,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W4391308576, https://openalex.org/W4392865012, https://openalex.org/W4404002973]"
2024,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W4391619986, https://openalex.org/W4395466247, https://openalex.org/W4401871424]"
2019,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W2918831213, https://openalex.org/W2944091914, https://openalex.org/W2967279307]"
2019,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W2943104001, https://openalex.org/W2963918180, https://openalex.org/W3123638740]"
2023,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W4383346553, https://openalex.org/W4384133380, https://openalex.org/W4388626236]"
2022,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,"[Rank‐based Measures, Transition Matrix / Probability Measures]",3,"[https://openalex.org/W3163153651, https://openalex.org/W4312419656, https://openalex.org/W4312805135]"
2023,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],3,"[https://openalex.org/W4361000524, https://openalex.org/W4377002343, https://openalex.org/W4382807722]"
2013,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],3,"[https://openalex.org/W2198347083, https://openalex.org/W2261420935, https://openalex.org/W2587720673]"
2020,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],3,"[https://openalex.org/W3025676006, https://openalex.org/W3080387614, https://openalex.org/W3185155858]"
2021,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],2,"[https://openalex.org/W3166017557, https://openalex.org/W3208235548]"
2015,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W3121421182, https://openalex.org/W1770740881]"
2007,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W3207400243, https://openalex.org/W2028148226]"
2006,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W1737762879, https://openalex.org/W2133450989]"
2024,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W4390920600, https://openalex.org/W4394797139]"
2021,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W3207371012, https://openalex.org/W4205619119]"
2005,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2148814768, https://openalex.org/W2553521091]"
2018,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2802089178, https://openalex.org/W2883024550]"
2021,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W3143516863, https://openalex.org/W3163537223]"
2016,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],2,"[https://openalex.org/W2107393980, https://openalex.org/W2527995213]"
2011,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W2806349642, https://openalex.org/W3125844548]"
2020,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],2,"[https://openalex.org/W2897475839, https://openalex.org/W3037705751]"
2019,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W2921143263, https://openalex.org/W2943543771]"
2014,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2351358614, https://openalex.org/W2363649169]"
2009,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2364722826, https://openalex.org/W3093752946]"
2013,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2368218525, https://openalex.org/W2612875108]"
2018,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W2890591802, https://openalex.org/W2905819002]"
2020,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W3001385022, https://openalex.org/W3039606322]"
2016,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2419212734, https://openalex.org/W2482682982]"
2014,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W1504875321, https://openalex.org/W1524458346]"
2012,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W3175158828, https://openalex.org/W1648451562]"
2021,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W3204672706, https://openalex.org/W4252952688]"
2015,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W1792190074, https://openalex.org/W1882444807]"
2007,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W1989526535, https://openalex.org/W2053034611]"
2016,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],2,"[https://openalex.org/W2460486083, https://openalex.org/W2596999048]"
2016,empirical,Administrative/Registry Data,Measurement and Methodological Advances,[Regression‐based Measures],2,"[https://openalex.org/W2922736319, https://openalex.org/W1557569468]"
2021,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W3120292600, https://openalex.org/W3181553951]"
2024,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W4392135119, https://openalex.org/W4402546895]"
2013,empirical,International Panel Data,Empirical Estimates and Determinants,[Regression‐based Measures],2,"[https://openalex.org/W2122216841, https://openalex.org/W2208157789]"
2024,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W4403898265, https://openalex.org/W4401171797]"
2014,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W2003514985, https://openalex.org/W2184044297]"
2018,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],2,"[https://openalex.org/W2789684694, https://openalex.org/W2807800750]"
2011,empirical,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)","[Rank‐based Measures, Transition Matrix / Probability Measures]",2,"[https://openalex.org/W2048745299, https://openalex.org/W2285151281]"
2019,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],2,"[https://openalex.org/W3124992314, https://openalex.org/W3176921257]"
1979,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],2,"[https://openalex.org/W1997361840, https://openalex.org/W2022256544]"
2010,empirical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],2,"[https://openalex.org/W2170708007, https://openalex.org/W4300073440]"
2016,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],2,"[https://openalex.org/W3125406097, https://openalex.org/W3125856458]"
2022,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],2,"[https://openalex.org/W4293041566, https://openalex.org/W4293190917]"
2013,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],2,"[https://openalex.org/W1993865286, https://openalex.org/W2389521723]"
2023,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Rank‐based Measures],2,"[https://openalex.org/W4386491507, https://openalex.org/W4388724660]"
2024,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],2,"[https://openalex.org/W4394017071, https://openalex.org/W4401845594]"
2019,empirical,University/Institution Data,Empirical Estimates and Determinants,"[Absolute Mobility Measures, Others]",1,[https://openalex.org/W2914094440]
2017,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2564827629]
2024,empirical,Linked Administrative Data,Measurement and Methodological Advances,[Absolute Mobility Measures],1,[https://openalex.org/W4393244952]
2022,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W4205731136]
2022,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W4285249755]
2022,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Absolute Mobility Measures, Decomposition / Structural Approaches]",1,[https://openalex.org/W4312204683]
2023,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Absolute Mobility Measures, Rank‐based Measures]",1,[https://openalex.org/W4387195562]
2021,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W3181973673]
2014,theoretical,No dataset,Measurement and Methodological Advances,[Absolute Mobility Measures],1,[https://openalex.org/W2119977186]
2013,theoretical,No dataset,Measurement and Methodological Advances,[Absolute Mobility Measures],1,[https://openalex.org/W1985674062]
2010,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W1993705293]
2017,theoretical,No dataset,Measurement and Methodological Advances,"[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W2635740930]
2018,theoretical,No dataset,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W2921712035]
2020,Not_specified,No dataset,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W3022704615]
2002,Not_specified,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W2008396968]
2012,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Absolute Mobility Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W1523582143]
2008,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2096204191]
2012,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2181742113]
2016,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[Absolute Mobility Measures],1,[https://openalex.org/W2561736289]
2020,empirical,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Absolute Mobility Measures],1,[https://openalex.org/W2968697195]
2019,empirical,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W3043515736]
2021,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W3121144081]
2018,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W3142916655]
2018,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W3190102834]
2022,empirical,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Absolute Mobility Measures],1,[https://openalex.org/W4220692802]
2022,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W4283657131]
1986,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W1502476793]
2024,empirical,Others,Measurement and Methodological Advances,"[Absolute Mobility Measures, Rank‐based Measures]",1,[https://openalex.org/W4399529338]
2020,empirical,Others,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W3041900243]
2024,empirical,Others,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W4391164542]
2020,empirical,National Survey Data,Perceptions of Mobility and Attitudes,[Absolute Mobility Measures],1,[https://openalex.org/W3088079582]
2023,empirical,National Survey Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W3186457560]
2019,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W2912277864]
2016,Not_specified,National Survey Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W2470832101]
2018,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[Absolute Mobility Measures, Regression‐based Measures]",1,[https://openalex.org/W3121626177]
2022,Not_specified,Big Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W4289222991]
2022,empirical,Big Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W4289538664]
1998,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[Absolute Mobility Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W1581391655]
2014,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2003050456]
2019,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2965558093]
2020,empirical,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)","[Absolute Mobility Measures, Rank‐based Measures]",1,[https://openalex.org/W3099122721]
2023,empirical,Administrative/Registry Data,Measurement and Methodological Advances,"[Absolute Mobility Measures, Rank‐based Measures]",1,[https://openalex.org/W4386370708]
2024,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Absolute Mobility Measures],1,[https://openalex.org/W4399290172]
2021,empirical,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W3201233520]
2020,empirical,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts",[Absolute Mobility Measures],1,[https://openalex.org/W3045264130]
2004,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2986629221]
1976,Not_specified,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Absolute Mobility Measures],1,[https://openalex.org/W2004570201]
2021,empirical,0,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4247667710]
2006,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W3122728969]
2017,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2767134817]
2019,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2920476039]
2018,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W2613688294]
2019,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2940947093]
1999,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3121694509]
2019,Not_specified,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W3124550008]
2021,empirical,Linked Administrative Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Regression‐based Measures],1,[https://openalex.org/W3189916381]
2020,empirical,Linked Administrative Data,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W3027769937]
2012,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3125112178]
2022,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4295122648]
2014,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2056728055]
2021,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3216509343]
2018,empirical,Linked Administrative Data,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W4241858005]
2021,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,"[Multigenerational Measures, Regression‐based Measures]",1,[https://openalex.org/W4252745096]
2022,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4312651175]
1998,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1559271355]
2023,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W4377834046]
2023,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,"[Multigenerational Measures, Regression‐based Measures]",1,[https://openalex.org/W4381660505]
2023,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4390066466]
2012,empirical,Linked Administrative Data,Others,[Regression‐based Measures],1,[https://openalex.org/W439017983]
2024,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4390693054]
2008,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2009549340]
2009,empirical,Linked Administrative Data,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2009897266]
2010,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2038719374]
2003,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2049773875]
2002,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2124465354]
2013,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2184450311]
2018,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2544001857]
2025,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4407463226]
1998,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2117407660]
1980,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1515121029]
2019,empirical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2889122466]
2006,empirical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2049884882]
2011,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2890853717]
2022,Not_specified,No dataset,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W4280580662]
2009,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1993125614]
2025,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4407738440]
2020,empirical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4234924712]
2008,theoretical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2159878756]
2022,empirical,No dataset,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W4212975927]
2018,empirical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2900408224]
2013,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3121558866]
2022,theoretical,No dataset,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W4214604726]
2020,empirical,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2906080883]
2016,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2908577399]
2019,Not_specified,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2980728415]
2005,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1545014524]
2018,Not_specified,No dataset,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2997562221]
2013,empirical,No dataset,Theoretical and Structural Models,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2018386129]
2010,Not_specified,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2030719283]
2011,empirical,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2037234295]
2012,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2055372720]
2014,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2068645718]
2002,theoretical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2119587652]
2014,Not_specified,No dataset,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2151222191]
2016,empirical,No dataset,Measurement and Methodological Advances,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2182279624]
2011,empirical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2288802977]
2015,empirical,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2302816456]
2015,empirical,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2353487644]
2009,empirical,No dataset,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2388800308]
2016,empirical,No dataset,Measurement and Methodological Advances,"[Others, Regression‐based Measures]",1,[https://openalex.org/W2507475885]
2017,Not_specified,No dataset,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Regression‐based Measures],1,[https://openalex.org/W2592479289]
2016,theoretical,No dataset,Measurement and Methodological Advances,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W2598656573]
2020,theoretical,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W3044954030]
2022,empirical,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W4320148496]
1998,Not_specified,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3123505781]
2013,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3124226182]
2022,theoretical,No dataset,Theoretical and Structural Models,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W4212888016]
2018,Not_specified,No dataset,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W4252430879]
2011,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W59453117]
