id,predefined_category,matched_categories
7,cat_4. Intergenerational Wealth Mobility and Inheritance,"['Intergenerational Wealth Mobility', 'Historical/Multigenerational Mobility']"
7,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)",['Racial/Ethnic/Gender Differences']
7,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","['Effects on Health & Wellbeing', 'Effects on Crime & Violence']"
7,cat_7. Theoretical and Structural Models,['Theoretical Models / Reviews & Multigenerational Models']
7,cat_8. Perceptions of Mobility and Attitudes,"['Subjective Perceptions & Attitudes', 'Political & Attitudinal Effects']"
7,cat_9. Others,['Others']
8,cat_1. Measurement and Methodological Advances,['Theoretical and Methodological Approaches']
8,cat_2. Empirical Estimates and Determinants,['Determinants: Family Background and Personal Characteristics']
8,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and Institutional Effects', 'Cross‐Country, Comparative and Historical Studies']"
8,cat_4. Intergenerational Wealth Mobility and Inheritance,['Longitudinal/Multigenerational Studies']
8,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)","['Race, Gender, and Immigrant Effects']"
8,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","['Effects on Health, Wellbeing and Other Outcomes']"
8,cat_7. Theoretical and Structural Models,['Theoretical and Methodological Approaches']
8,cat_9. Others,['Others']
