from_type,from_val,to_type,to_val,weight
Year,2019,Type,empirical,220
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,219
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,217
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,216
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,213
Year,2023,Type,empirical,212
RqType,Empirical Estimates and Determinants,DataType,No dataset,208
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,206
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,205
Measure,Regression‐based Measures,Year,2014,204
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,199
Year,2020,Type,empirical,197
Measure,Regression‐based Measures,Type,theoretical,195
Year,2021,Type,empirical,192
Measure,Transition Matrix / Probability Measures,Type,empirical,190
RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,187
Type,empirical,Year,2005,184
Measure,Regression‐based Measures,Measure,Decomposition / Structural Approaches,182
Year,2019,Measure,Regression‐based Measures,181
Measure,Absolute Mobility Measures,Type,empirical,178
Measure,Decomposition / Structural Approaches,Type,empirical,177
DataType,No dataset,RqType,Empirical Estimates and Determinants,174
Type,empirical,DataType,National Survey Data,173
RqType,Empirical Estimates and Determinants,Measure,Rank‐based Measures,172
RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,169
Type,empirical,Year,2002,168
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,165
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,163
Type,empirical,Year,2013,161
Year,2022,Measure,Regression‐based Measures,159
Year,2024,Measure,Regression‐based Measures,159
Year,2023,Measure,Regression‐based Measures,158
DataType,Panel/Longitudinal Surveys,DataType,Linked Administrative Data,156
Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,154
Type,empirical,RqType,Theoretical and Structural Models,154
Measure,Regression‐based Measures,Year,2005,153
DataType,Panel/Longitudinal Surveys,DataType,No dataset,150
Year,2020,Measure,Regression‐based Measures,148
RqType,"Policy, Institutional, and Geographic Impacts",Type,empirical,145
Year,2019,RqType,Empirical Estimates and Determinants,144
Type,empirical,RqType,Measurement and Methodological Advances,144
Measure,Regression‐based Measures,DataType,National Survey Data,142
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,140
RqType,Empirical Estimates and Determinants,Year,2014,138
Year,2024,RqType,Empirical Estimates and Determinants,138
Year,2022,RqType,Empirical Estimates and Determinants,136
Year,2021,Measure,Regression‐based Measures,135
Measure,Regression‐based Measures,Year,2002,134
Measure,Rank‐based Measures,DataType,Linked Administrative Data,133
Measure,Regression‐based Measures,Year,2013,131
Type,empirical,Year,2011,130
Measure,Others,Type,empirical,130
Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,127
Type,empirical,Year,2016,126
Type,empirical,Year,2019,126
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Rank‐based Measures,123
Year,2021,RqType,Empirical Estimates and Determinants,122
Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,122
Type,empirical,Year,1979,122
Type,empirical,DataType,International Panel Data,121
Type,empirical,Year,2009,121
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,120
Year,2018,Type,empirical,118
Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,118
DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,118
Year,2020,RqType,Empirical Estimates and Determinants,117
Type,Not_specified,Type,empirical,116
Year,2015,Type,empirical,114
RqType,Empirical Estimates and Determinants,Type,theoretical,114
Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,113
DataType,Administrative/Registry Data,DataType,Linked Administrative Data,112
Year,2016,Type,empirical,112
Year,2023,RqType,Empirical Estimates and Determinants,110
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,110
DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,107
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,107
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Regression‐based Measures,106
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Empirical Estimates and Determinants,106
DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,105
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,105
Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,105
Type,empirical,Type,Not_specified,104
Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,103
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2014,103
Type,empirical,Measure,Absolute Mobility Measures,102
RqType,Empirical Estimates and Determinants,Measure,Decomposition / Structural Approaches,101
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,101
Measure,Regression‐based Measures,DataType,International Panel Data,101
RqType,Intergenerational Wealth Mobility and Inheritance,Type,theoretical,100
Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,99
RqType,Measurement and Methodological Advances,DataType,Linked Administrative Data,98
DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,98
DataType,Administrative/Registry Data,DataType,Panel/Longitudinal Surveys,98
Measure,Regression‐based Measures,Year,2011,97
Type,empirical,Year,2007,96
Measure,Regression‐based Measures,Year,1979,96
Year,2015,Measure,Regression‐based Measures,96
Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,96
Year,2024,DataType,Linked Administrative Data,95
DataType,No dataset,DataType,Linked Administrative Data,95
DataType,Panel/Longitudinal Surveys,DataType,Administrative/Registry Data,95
Type,empirical,Year,2017,94
Year,2014,Type,empirical,94
Measure,Others,Measure,Regression‐based Measures,93
Measure,Rank‐based Measures,DataType,Panel/Longitudinal Surveys,93
Type,Not_specified,Measure,Regression‐based Measures,92
DataType,Panel/Longitudinal Surveys,Year,2014,92
DataType,Linked Administrative Data,Measure,Rank‐based Measures,92
Year,2017,Type,empirical,91
Year,2018,Measure,Regression‐based Measures,91
Measure,Regression‐based Measures,Year,2009,91
RqType,Measurement and Methodological Advances,DataType,Panel/Longitudinal Surveys,90
Year,2014,Measure,Regression‐based Measures,89
Type,empirical,Year,2006,89
Type,empirical,RqType,"Policy, Institutional, and Geographic Impacts",87
Year,2016,Measure,Regression‐based Measures,86
Measure,Others,RqType,Empirical Estimates and Determinants,86
Year,2022,DataType,Linked Administrative Data,85
DataType,National Survey Data,DataType,Panel/Longitudinal Surveys,85
RqType,Measurement and Methodological Advances,RqType,Intergenerational Wealth Mobility and Inheritance,84
DataType,Linked Administrative Data,DataType,No dataset,84
Year,2018,RqType,Empirical Estimates and Determinants,84
Measure,Regression‐based Measures,Year,2007,84
Type,theoretical,Type,empirical,83
DataType,No dataset,DataType,Panel/Longitudinal Surveys,83
RqType,Empirical Estimates and Determinants,Year,2013,81
Type,empirical,Year,2018,80
Measure,Regression‐based Measures,Year,2016,80
Type,empirical,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",80
DataType,Administrative/Registry Data,Measure,Rank‐based Measures,78
Year,2024,Measure,Rank‐based Measures,78
Measure,Regression‐based Measures,Type,Not_specified,78
DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,78
Year,2015,RqType,Empirical Estimates and Determinants,77
RqType,Empirical Estimates and Determinants,RqType,Measurement and Methodological Advances,77
DataType,Panel/Longitudinal Surveys,Year,2005,77
Year,2011,Type,empirical,76
Year,2011,Measure,Regression‐based Measures,76
DataType,National Survey Data,DataType,No dataset,76
Year,2023,DataType,Linked Administrative Data,75
Type,Not_specified,RqType,Empirical Estimates and Determinants,75
Year,2019,RqType,Intergenerational Wealth Mobility and Inheritance,74
Year,2017,Measure,Regression‐based Measures,74
RqType,Empirical Estimates and Determinants,Year,2002,74
DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,74
Year,2020,DataType,Linked Administrative Data,73
DataType,Linked Administrative Data,DataType,Panel/Longitudinal Surveys,73
Measure,Absolute Mobility Measures,DataType,Linked Administrative Data,72
Measure,Regression‐based Measures,Year,2019,72
Measure,Rank‐based Measures,DataType,Administrative/Registry Data,71
Year,2024,RqType,Intergenerational Wealth Mobility and Inheritance,71
Measure,Rank‐based Measures,Measure,Transition Matrix / Probability Measures,70
DataType,Panel/Longitudinal Surveys,DataType,National Survey Data,70
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,National Survey Data,70
RqType,Empirical Estimates and Determinants,Year,2005,70
RqType,Empirical Estimates and Determinants,DataType,National Survey Data,69
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2005,69
DataType,Linked Administrative Data,DataType,Administrative/Registry Data,69
Year,2013,Measure,Regression‐based Measures,69
Year,2014,RqType,Empirical Estimates and Determinants,69
Year,2024,DataType,Panel/Longitudinal Surveys,69
DataType,National Survey Data,DataType,Linked Administrative Data,68
Year,2023,RqType,Intergenerational Wealth Mobility and Inheritance,68
Year,2013,Type,empirical,68
Year,2016,RqType,Empirical Estimates and Determinants,68
RqType,Empirical Estimates and Determinants,RqType,Theoretical and Structural Models,68
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Theoretical and Structural Models,67
DataType,Panel/Longitudinal Surveys,Type,theoretical,67
RqType,Measurement and Methodological Advances,Measure,Rank‐based Measures,67
RqType,Empirical Estimates and Determinants,DataType,International Panel Data,66
Year,2019,DataType,Linked Administrative Data,66
Measure,Non‐parametric Approaches,Type,empirical,66
DataType,Administrative/Registry Data,DataType,No dataset,66
DataType,Archival/Historical Data,Type,empirical,65
DataType,Linked Administrative Data,Year,2014,65
Measure,Regression‐based Measures,Year,2006,64
Year,2017,RqType,Empirical Estimates and Determinants,64
Type,empirical,Year,2012,64
Type,empirical,Measure,Others,64
RqType,Theoretical and Structural Models,Type,empirical,63
DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,63
Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,63
Year,2019,DataType,Panel/Longitudinal Surveys,63
DataType,Panel/Longitudinal Surveys,Year,2002,63
Year,2024,DataType,Administrative/Registry Data,62
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2002,62
Measure,Rank‐based Measures,Year,2014,62
RqType,Empirical Estimates and Determinants,Year,2011,62
Type,empirical,Year,1999,62
Measure,Transition Matrix / Probability Measures,DataType,Linked Administrative Data,61
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Linked Administrative Data,60
Year,2022,RqType,Intergenerational Wealth Mobility and Inheritance,60
DataType,International Panel Data,Type,empirical,60
Type,theoretical,Measure,Regression‐based Measures,60
DataType,Panel/Longitudinal Surveys,Year,2013,60
RqType,Empirical Estimates and Determinants,Year,2019,59
Measure,Decomposition / Structural Approaches,DataType,Linked Administrative Data,59
Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,59
Measure,Decomposition / Structural Approaches,DataType,No dataset,59
Year,2020,RqType,Intergenerational Wealth Mobility and Inheritance,58
Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,58
Measure,Rank‐based Measures,DataType,No dataset,58
Year,2023,DataType,Panel/Longitudinal Surveys,58
RqType,Empirical Estimates and Determinants,Year,2016,58
Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",58
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2013,58
DataType,Panel/Longitudinal Surveys,Year,2011,58
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1979,58
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,56
Year,2022,Measure,Transition Matrix / Probability Measures,56
Year,2020,DataType,Panel/Longitudinal Surveys,56
Year,2021,DataType,Panel/Longitudinal Surveys,56
RqType,Empirical Estimates and Determinants,RqType,"Policy, Institutional, and Geographic Impacts",56
RqType,Empirical Estimates and Determinants,Year,1979,55
Year,2021,DataType,Linked Administrative Data,55
Measure,Regression‐based Measures,Year,2017,54
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Type,empirical,54
Year,2022,DataType,Panel/Longitudinal Surveys,54
DataType,No dataset,Type,theoretical,54
Measure,Regression‐based Measures,Year,2018,53
DataType,No dataset,Measure,Rank‐based Measures,53
DataType,Others,Type,empirical,53
RqType,Measurement and Methodological Advances,Measure,Transition Matrix / Probability Measures,53
Year,2024,Measure,Transition Matrix / Probability Measures,53
DataType,Linked Administrative Data,Type,theoretical,53
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,52
DataType,No dataset,Measure,Transition Matrix / Probability Measures,52
Measure,Decomposition / Structural Approaches,DataType,Panel/Longitudinal Surveys,52
Measure,Regression‐based Measures,Year,2012,52
DataType,No dataset,Measure,Decomposition / Structural Approaches,52
DataType,No dataset,Year,2014,52
DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,51
Year,2021,RqType,Intergenerational Wealth Mobility and Inheritance,51
RqType,Theoretical and Structural Models,Measure,Regression‐based Measures,51
Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,51
Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",51
RqType,Measurement and Methodological Advances,DataType,No dataset,50
Year,2022,DataType,No dataset,50
Type,empirical,Year,2020,50
DataType,International Panel Data,Measure,Regression‐based Measures,49
Measure,Non‐parametric Approaches,Measure,Regression‐based Measures,49
RqType,Empirical Estimates and Determinants,Type,Not_specified,49
Year,2022,Measure,Rank‐based Measures,49
Type,empirical,Year,2015,49
Measure,Regression‐based Measures,Year,1999,49
Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,48
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2009,48
Measure,Rank‐based Measures,Year,2016,48
Measure,Transition Matrix / Probability Measures,DataType,No dataset,47
Year,2013,RqType,Empirical Estimates and Determinants,47
DataType,Panel/Longitudinal Surveys,Year,2009,47
Year,2024,Year,2014,47
RqType,Measurement and Methodological Advances,DataType,Administrative/Registry Data,46
Year,2022,Year,2014,46
Year,2020,Measure,Rank‐based Measures,46
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2007,46
DataType,No dataset,RqType,Theoretical and Structural Models,46
Type,Not_specified,DataType,No dataset,45
Type,theoretical,RqType,Empirical Estimates and Determinants,45
DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,45
Year,2019,Measure,Transition Matrix / Probability Measures,45
Measure,Others,DataType,Panel/Longitudinal Surveys,45
DataType,Administrative/Registry Data,Type,theoretical,45
DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,45
RqType,Measurement and Methodological Advances,Year,2014,45
Year,2021,Measure,Rank‐based Measures,45
DataType,Administrative/Registry Data,Year,2014,44
Type,empirical,Year,2010,44
Year,2019,DataType,No dataset,44
DataType,International Panel Data,RqType,Empirical Estimates and Determinants,44
RqType,Empirical Estimates and Determinants,Year,2009,44
Year,2023,Measure,Rank‐based Measures,43
DataType,National Survey Data,Type,theoretical,42
Type,empirical,Year,2022,42
Year,2019,Year,2014,42
Measure,Absolute Mobility Measures,Measure,Rank‐based Measures,42
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2011,42
DataType,Archival/Historical Data,Measure,Regression‐based Measures,42
DataType,Panel/Longitudinal Surveys,RqType,Measurement and Methodological Advances,42
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2016,42
RqType,Empirical Estimates and Determinants,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",42
Measure,Rank‐based Measures,Measure,Decomposition / Structural Approaches,41
Year,2021,Year,2014,41
Year,2019,Measure,Rank‐based Measures,41
RqType,"Policy, Institutional, and Geographic Impacts",DataType,No dataset,41
RqType,Theoretical and Structural Models,RqType,Empirical Estimates and Determinants,41
Year,2018,DataType,Linked Administrative Data,40
Measure,Non‐parametric Approaches,RqType,Empirical Estimates and Determinants,40
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Measurement and Methodological Advances,40
DataType,Panel/Longitudinal Surveys,RqType,Theoretical and Structural Models,40
Measure,Decomposition / Structural Approaches,Type,theoretical,40
Measure,Decomposition / Structural Approaches,Year,2014,40
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,International Panel Data,40
Measure,Decomposition / Structural Approaches,Measure,Rank‐based Measures,40
Year,2023,DataType,Administrative/Registry Data,39
RqType,Empirical Estimates and Determinants,Year,2017,39
Year,2011,RqType,Intergenerational Wealth Mobility and Inheritance,39
Year,2020,DataType,No dataset,39
Type,empirical,DataType,Others,39
Type,Not_specified,DataType,Linked Administrative Data,38
Measure,Others,DataType,Linked Administrative Data,38
Year,2012,Measure,Regression‐based Measures,38
Year,2023,DataType,No dataset,38
Year,2011,RqType,Empirical Estimates and Determinants,38
Measure,Regression‐based Measures,Measure,Others,38
Year,2024,Year,2019,38
Measure,Transition Matrix / Probability Measures,Measure,Rank‐based Measures,38
Measure,Regression‐based Measures,Year,2015,38
DataType,Panel/Longitudinal Surveys,DataType,International Panel Data,37
Type,empirical,DataType,Archival/Historical Data,37
DataType,Panel/Longitudinal Surveys,Year,1979,37
Year,2016,RqType,Intergenerational Wealth Mobility and Inheritance,37
Year,2020,Measure,Transition Matrix / Probability Measures,37
Measure,Absolute Mobility Measures,Measure,Transition Matrix / Probability Measures,37
DataType,Linked Administrative Data,RqType,Measurement and Methodological Advances,37
Year,2016,DataType,Linked Administrative Data,36
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Regression‐based Measures,36
RqType,Theoretical and Structural Models,DataType,No dataset,36
DataType,Panel/Longitudinal Surveys,Type,Not_specified,36
RqType,Empirical Estimates and Determinants,Year,2018,36
Year,2020,Year,2014,36
Measure,Regression‐based Measures,Year,2010,36
Year,2012,Type,empirical,35
Type,theoretical,DataType,No dataset,35
Measure,Decomposition / Structural Approaches,Measure,Transition Matrix / Probability Measures,35
Year,2023,Measure,Transition Matrix / Probability Measures,35
Year,2015,DataType,Panel/Longitudinal Surveys,35
Type,Not_specified,DataType,Panel/Longitudinal Surveys,35
DataType,Panel/Longitudinal Surveys,Year,2016,35
DataType,Administrative/Registry Data,Year,2016,35
RqType,Empirical Estimates and Determinants,Year,2006,35
DataType,National Survey Data,Year,2014,35
Year,2018,Measure,Rank‐based Measures,35
DataType,Panel/Longitudinal Surveys,Year,2007,35
DataType,Panel/Longitudinal Surveys,Year,2019,34
DataType,Administrative/Registry Data,Year,2019,34
DataType,National Survey Data,Measure,Decomposition / Structural Approaches,34
Year,2023,Year,2014,34
Year,2018,Year,2014,34
Measure,Others,Measure,Rank‐based Measures,34
DataType,Panel/Longitudinal Surveys,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",34
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2017,34
Type,theoretical,DataType,Linked Administrative Data,34
RqType,Empirical Estimates and Determinants,Year,2020,34
Measure,Regression‐based Measures,Year,2020,34
DataType,Linked Administrative Data,RqType,Theoretical and Structural Models,34
DataType,Panel/Longitudinal Surveys,Year,2017,33
Year,2015,RqType,Intergenerational Wealth Mobility and Inheritance,33
Year,2018,DataType,No dataset,33
Year,2021,DataType,No dataset,33
Year,2024,DataType,No dataset,33
Year,2017,DataType,Panel/Longitudinal Surveys,33
Year,2016,DataType,Panel/Longitudinal Surveys,33
DataType,National Survey Data,Year,2002,33
DataType,National Survey Data,Measure,Rank‐based Measures,33
RqType,Empirical Estimates and Determinants,Year,2007,33
Measure,Rank‐based Measures,Type,theoretical,32
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2019,32
Measure,Rank‐based Measures,Year,2019,32
DataType,Panel/Longitudinal Surveys,Year,2006,32
DataType,Linked Administrative Data,Year,2005,32
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Rank‐based Measures,32
Year,2024,Measure,Absolute Mobility Measures,32
Type,theoretical,RqType,Intergenerational Wealth Mobility and Inheritance,32
Year,2018,RqType,Intergenerational Wealth Mobility and Inheritance,32
DataType,Archival/Historical Data,RqType,Intergenerational Wealth Mobility and Inheritance,32
Measure,Others,DataType,No dataset,32
Year,2014,DataType,No dataset,32
DataType,Archival/Historical Data,RqType,Empirical Estimates and Determinants,32
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Transition Matrix / Probability Measures,32
Measure,Others,Measure,Transition Matrix / Probability Measures,32
Year,2018,DataType,Panel/Longitudinal Surveys,32
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Panel/Longitudinal Surveys,32
Year,2024,RqType,Measurement and Methodological Advances,32
Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,32
DataType,Administrative/Registry Data,RqType,Theoretical and Structural Models,32
Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,32
RqType,Empirical Estimates and Determinants,Year,1999,32
DataType,No dataset,Year,1979,31
DataType,No dataset,DataType,Administrative/Registry Data,31
Year,2022,DataType,Administrative/Registry Data,31
DataType,Linked Administrative Data,Year,2013,31
RqType,"Policy, Institutional, and Geographic Impacts",Year,2014,31
RqType,Empirical Estimates and Determinants,Year,2015,31
Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,31
Year,2008,Measure,Regression‐based Measures,31
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Empirical Estimates and Determinants,31
RqType,Intergenerational Wealth Mobility and Inheritance,Type,Not_specified,31
RqType,Empirical Estimates and Determinants,Measure,Others,31
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,30
Year,2007,Measure,Regression‐based Measures,30
Year,2015,DataType,No dataset,30
Year,2013,DataType,No dataset,30
DataType,Linked Administrative Data,Year,2016,30
DataType,Panel/Longitudinal Surveys,Year,2012,30
Measure,Rank‐based Measures,RqType,Theoretical and Structural Models,30
Type,empirical,Year,2000,30
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2006,30
Year,2022,Measure,Decomposition / Structural Approaches,30
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Decomposition / Structural Approaches,30
Type,empirical,Year,2021,29
Year,2022,Year,2019,29
Year,2023,Year,2019,29
Measure,Rank‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",29
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2018,29
Type,theoretical,Measure,Decomposition / Structural Approaches,29
Year,2023,Measure,Decomposition / Structural Approaches,29
Year,2024,Measure,Decomposition / Structural Approaches,29
Type,empirical,Year,2008,29
Measure,Regression‐based Measures,DataType,Archival/Historical Data,29
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Archival/Historical Data,29
DataType,Others,Measure,Regression‐based Measures,29
DataType,Others,RqType,Empirical Estimates and Determinants,29
Year,2015,Measure,Transition Matrix / Probability Measures,29
Year,2021,Measure,Transition Matrix / Probability Measures,29
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2012,29
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Intergenerational Wealth Mobility and Inheritance,28
Year,2013,DataType,Panel/Longitudinal Surveys,28
Year,2014,DataType,Panel/Longitudinal Surveys,28
DataType,No dataset,Year,2005,28
DataType,Linked Administrative Data,Year,1979,28
Year,2017,DataType,Linked Administrative Data,27
Type,Not_specified,RqType,Intergenerational Wealth Mobility and Inheritance,27
Year,2014,RqType,Intergenerational Wealth Mobility and Inheritance,27
Year,2013,RqType,Intergenerational Wealth Mobility and Inheritance,27
Year,2008,Type,empirical,27
Year,2016,DataType,No dataset,27
Year,2011,DataType,Panel/Longitudinal Surveys,27
RqType,Measurement and Methodological Advances,Year,2016,27
DataType,Linked Administrative Data,Year,2019,27
RqType,Measurement and Methodological Advances,Year,2005,27
DataType,National Survey Data,DataType,Administrative/Registry Data,27
Year,2021,DataType,Administrative/Registry Data,27
Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,27
DataType,Linked Administrative Data,Year,2002,27
DataType,Administrative/Registry Data,Year,2013,27
DataType,Linked Administrative Data,DataType,International Panel Data,27
RqType,"Policy, Institutional, and Geographic Impacts",Type,theoretical,26
Measure,Absolute Mobility Measures,DataType,Administrative/Registry Data,26
Year,2024,RqType,"Policy, Institutional, and Geographic Impacts",26
DataType,Administrative/Registry Data,Year,2002,26
Measure,Regression‐based Measures,Year,2008,26
DataType,Panel/Longitudinal Surveys,Year,2015,26
Year,2015,DataType,Linked Administrative Data,26
Year,2007,Type,empirical,26
DataType,Administrative/Registry Data,RqType,Measurement and Methodological Advances,26
Year,2023,Year,2016,26
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,25
Year,2006,Measure,Regression‐based Measures,25
Measure,Absolute Mobility Measures,DataType,No dataset,25
Type,empirical,Year,1980,25
Type,theoretical,RqType,Theoretical and Structural Models,25
DataType,Administrative/Registry Data,Year,1979,25
Type,Not_specified,Type,theoretical,25
RqType,Measurement and Methodological Advances,Year,2019,25
Year,2019,DataType,National Survey Data,25
Year,2020,DataType,Administrative/Registry Data,25
DataType,Administrative/Registry Data,RqType,"Policy, Institutional, and Geographic Impacts",25
RqType,Theoretical and Structural Models,Measure,Decomposition / Structural Approaches,25
Measure,Absolute Mobility Measures,Year,2014,25
Year,2016,Measure,Rank‐based Measures,25
