to_year,from_type,from_val,to_type,to_val,source,weight
1979,RqType,Measurement and Methodological Advances,Measure,Decomposition / Structural Approaches,citation,7
1979,DataType,International Panel Data,DataType,No dataset,citation,6
1979,DataType,International Panel Data,RqType,Theoretical and Structural Models,citation,6
1979,DataType,International Panel Data,Measure,Decomposition / Structural Approaches,citation,6
1979,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,No dataset,citation,6
1979,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Theoretical and Structural Models,citation,6
1979,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Decomposition / Structural Approaches,citation,6
1979,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,5
1979,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,5
1979,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,citation,5
1979,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,4
1979,Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,4
1979,Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,4
1979,DataType,Others_DataType,DataType,No dataset,citation,4
1979,DataType,Others_DataType,RqType,Theoretical and Structural Models,citation,4
1979,DataType,Others_DataType,Measure,Decomposition / Structural Approaches,citation,4
1979,Measure,Non‐parametric Approaches,DataType,No dataset,citation,3
1979,Measure,Non‐parametric Approaches,RqType,Theoretical and Structural Models,citation,3
1979,Measure,Non‐parametric Approaches,Measure,Decomposition / Structural Approaches,citation,3
1979,DataType,Natural/Experimental Data,DataType,No dataset,citation,2
1979,DataType,Natural/Experimental Data,RqType,Theoretical and Structural Models,citation,2
1979,DataType,Natural/Experimental Data,Measure,Decomposition / Structural Approaches,citation,2
1979,DataType,Opportunity Atlas,DataType,No dataset,citation,2
1979,DataType,Opportunity Atlas,RqType,Theoretical and Structural Models,citation,2
1979,DataType,Opportunity Atlas,Measure,Decomposition / Structural Approaches,citation,2
1979,Measure,Multigenerational Measures,DataType,No dataset,citation,2
1979,Measure,Multigenerational Measures,RqType,Theoretical and Structural Models,citation,2
1979,Measure,Multigenerational Measures,Measure,Decomposition / Structural Approaches,citation,2
1979,DataType,Archival/Historical Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1979,DataType,Archival/Historical Data,Measure,Regression‐based Measures,citation,2
1979,DataType,Archival/Historical Data,DataType,Administrative/Registry Data,citation,2
1979,DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1979,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,2
1979,DataType,Panel/Longitudinal Surveys,DataType,Administrative/Registry Data,citation,2
1979,RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1979,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,1
1979,RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,1
1979,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1979,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,1
1979,Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,citation,1
1979,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DataType,No dataset,citation,1
1979,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",RqType,Theoretical and Structural Models,citation,1
1979,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Decomposition / Structural Approaches,citation,1
1979,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1979,Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,citation,1
1979,Measure,Decomposition / Structural Approaches,DataType,Administrative/Registry Data,citation,1
1979,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1979,Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,1
1979,Measure,Rank‐based Measures,DataType,Administrative/Registry Data,citation,1
1979,RqType,Perceptions of Mobility and Attitudes,DataType,No dataset,citation,1
1979,RqType,Perceptions of Mobility and Attitudes,RqType,Theoretical and Structural Models,citation,1
1979,RqType,Perceptions of Mobility and Attitudes,Measure,Decomposition / Structural Approaches,citation,1
1979,DataType,Archival/Historical Data,DataType,No dataset,citation,1
1979,DataType,Archival/Historical Data,RqType,Theoretical and Structural Models,citation,1
1979,DataType,Archival/Historical Data,Measure,Decomposition / Structural Approaches,citation,1
1979,DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1979,DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,1
1979,DataType,Linked Administrative Data,DataType,Administrative/Registry Data,citation,1
1979,DataType,University/Institution Data,DataType,No dataset,citation,1
1979,DataType,University/Institution Data,RqType,Theoretical and Structural Models,citation,1
1979,DataType,University/Institution Data,Measure,Decomposition / Structural Approaches,citation,1
1979,RqType,Others_RqType,DataType,No dataset,citation,1
1979,RqType,Others_RqType,RqType,Theoretical and Structural Models,citation,1
1979,RqType,Others_RqType,Measure,Decomposition / Structural Approaches,citation,1
1979,DataType,Big Data,DataType,No dataset,citation,1
1979,DataType,Big Data,RqType,Theoretical and Structural Models,citation,1
1979,DataType,Big Data,Measure,Decomposition / Structural Approaches,citation,1
1979,DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1979,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,1
1979,DataType,Administrative/Registry Data,DataType,Administrative/Registry Data,citation,1
1980,Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,20
1980,Measure,Regression‐based Measures,DataType,No dataset,citation,20
1980,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,20
1980,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,11
1980,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,11
1980,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,11
1980,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,10
1980,RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,10
1980,RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,10
1980,DataType,National Survey Data,Measure,Regression‐based Measures,citation,7
1980,DataType,National Survey Data,DataType,No dataset,citation,7
1980,DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,7
1980,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,6
1980,DataType,Panel/Longitudinal Surveys,DataType,No dataset,citation,6
1980,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,6
1980,DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,6
1980,DataType,Linked Administrative Data,DataType,No dataset,citation,6
1980,DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,6
1980,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,5
1980,Measure,Transition Matrix / Probability Measures,DataType,No dataset,citation,5
1980,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,citation,5
1980,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,4
1980,DataType,Administrative/Registry Data,DataType,No dataset,citation,4
1980,DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,4
1980,Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,citation,3
1980,Measure,Absolute Mobility Measures,DataType,No dataset,citation,3
1980,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,3
1980,DataType,No dataset,Measure,Regression‐based Measures,citation,2
1980,DataType,No dataset,DataType,No dataset,citation,2
1980,DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,2
1980,RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,2
1980,RqType,Measurement and Methodological Advances,DataType,No dataset,citation,2
1980,RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,2
1980,Measure,Others_Measure,Measure,Regression‐based Measures,citation,1
1980,Measure,Others_Measure,DataType,No dataset,citation,1
1980,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,1
1980,RqType,"Policy, Institutional, and Geographic Impacts",Measure,Regression‐based Measures,citation,1
1980,RqType,"Policy, Institutional, and Geographic Impacts",DataType,No dataset,citation,1
1980,RqType,"Policy, Institutional, and Geographic Impacts",RqType,Empirical Estimates and Determinants,citation,1
1980,DataType,International Panel Data,Measure,Regression‐based Measures,citation,1
1980,DataType,International Panel Data,DataType,No dataset,citation,1
1980,DataType,International Panel Data,RqType,Empirical Estimates and Determinants,citation,1
1980,Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,1
1980,Measure,Rank‐based Measures,DataType,No dataset,citation,1
1980,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,1
1980,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Regression‐based Measures,citation,1
1980,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,No dataset,citation,1
1980,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Empirical Estimates and Determinants,citation,1
1980,RqType,Others_RqType,Measure,Regression‐based Measures,citation,1
1980,RqType,Others_RqType,DataType,No dataset,citation,1
1980,RqType,Others_RqType,RqType,Empirical Estimates and Determinants,citation,1
1986,Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,citation,3
1986,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,3
1986,Measure,Regression‐based Measures,DataType,Others_DataType,citation,3
1986,DataType,National Survey Data,Measure,Absolute Mobility Measures,citation,2
1986,DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1986,DataType,National Survey Data,DataType,Others_DataType,citation,2
1986,RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,citation,2
1986,RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1986,RqType,Empirical Estimates and Determinants,DataType,Others_DataType,citation,2
1986,DataType,Others_DataType,Measure,Absolute Mobility Measures,citation,1
1986,DataType,Others_DataType,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1986,DataType,Others_DataType,DataType,Others_DataType,citation,1
1986,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,citation,1
1986,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1986,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Others_DataType,citation,1
1990,Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,12
1990,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,12
1990,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,12
1990,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,8
1990,RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,8
1990,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,8
1990,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,7
1990,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,7
1990,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,7
1990,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,6
1990,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,6
1990,DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,6
1990,DataType,National Survey Data,Measure,Regression‐based Measures,citation,4
1990,DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,4
1990,DataType,National Survey Data,DataType,Panel/Longitudinal Surveys,citation,4
1990,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,4
1990,DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,4
1990,DataType,Administrative/Registry Data,DataType,Panel/Longitudinal Surveys,citation,4
1990,DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,3
1990,DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,3
1990,DataType,Linked Administrative Data,DataType,Panel/Longitudinal Surveys,citation,3
1990,Measure,Others_Measure,Measure,Regression‐based Measures,citation,2
1990,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,2
1990,Measure,Others_Measure,DataType,Panel/Longitudinal Surveys,citation,2
1990,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,2
1990,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,citation,2
1990,Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,citation,2
1990,RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,1
1990,RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,1
1990,RqType,Measurement and Methodological Advances,DataType,Panel/Longitudinal Surveys,citation,1
1990,Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,citation,1
1990,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,1
1990,Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,citation,1
1990,Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,citation,1
1990,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,citation,1
1990,Measure,Decomposition / Structural Approaches,DataType,Panel/Longitudinal Surveys,citation,1
1990,Measure,Non‐parametric Approaches,Measure,Regression‐based Measures,citation,1
1990,Measure,Non‐parametric Approaches,RqType,Empirical Estimates and Determinants,citation,1
1990,Measure,Non‐parametric Approaches,DataType,Panel/Longitudinal Surveys,citation,1
1990,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Regression‐based Measures,citation,1
1990,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Empirical Estimates and Determinants,citation,1
1990,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Panel/Longitudinal Surveys,citation,1
1992,Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,18
1992,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,18
1992,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,18
1992,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,10
1992,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,10
1992,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,10
1992,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,10
1992,RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,10
1992,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,10
1992,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,7
1992,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,7
1992,DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,7
1992,DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,6
1992,DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,6
1992,DataType,Linked Administrative Data,DataType,Panel/Longitudinal Surveys,citation,6
1992,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,5
1992,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,citation,5
1992,Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,citation,5
1992,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,5
1992,DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,5
1992,DataType,Administrative/Registry Data,DataType,Panel/Longitudinal Surveys,citation,5
1992,DataType,No dataset,Measure,Regression‐based Measures,citation,4
1992,DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,4
1992,DataType,No dataset,DataType,Panel/Longitudinal Surveys,citation,4
1992,DataType,National Survey Data,Measure,Regression‐based Measures,citation,2
1992,DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,2
1992,DataType,National Survey Data,DataType,Panel/Longitudinal Surveys,citation,2
1992,RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,2
1992,RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,2
1992,RqType,Measurement and Methodological Advances,DataType,Panel/Longitudinal Surveys,citation,2
1992,Measure,Non‐parametric Approaches,Measure,Regression‐based Measures,citation,2
1992,Measure,Non‐parametric Approaches,RqType,Empirical Estimates and Determinants,citation,2
1992,Measure,Non‐parametric Approaches,DataType,Panel/Longitudinal Surveys,citation,2
1992,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Regression‐based Measures,citation,2
1992,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Empirical Estimates and Determinants,citation,2
1992,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Panel/Longitudinal Surveys,citation,2
1992,Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,1
1992,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,1
1992,Measure,Rank‐based Measures,DataType,Panel/Longitudinal Surveys,citation,1
1992,Measure,Others_Measure,Measure,Regression‐based Measures,citation,1
1992,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,1
1992,Measure,Others_Measure,DataType,Panel/Longitudinal Surveys,citation,1
1992,Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,citation,1
1992,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,1
1992,Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,citation,1
1997,Measure,Others_Measure,DataType,No dataset,citation,1
1997,Measure,Others_Measure,Measure,Others_Measure,citation,1
1997,Measure,Others_Measure,RqType,Theoretical and Structural Models,citation,1
1997,DataType,Administrative/Registry Data,DataType,No dataset,citation,1
1997,DataType,Administrative/Registry Data,Measure,Others_Measure,citation,1
1997,DataType,Administrative/Registry Data,RqType,Theoretical and Structural Models,citation,1
1997,Measure,Decomposition / Structural Approaches,DataType,No dataset,citation,1
1997,Measure,Decomposition / Structural Approaches,Measure,Others_Measure,citation,1
1997,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,citation,1
1997,RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,1
1997,RqType,Empirical Estimates and Determinants,Measure,Others_Measure,citation,1
1997,RqType,Empirical Estimates and Determinants,RqType,Theoretical and Structural Models,citation,1
1998,Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,10
1998,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
1998,Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,8
1998,Measure,Regression‐based Measures,DataType,No dataset,citation,8
1998,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,7
1998,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,6
1998,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,citation,6
1998,Measure,Regression‐based Measures,Measure,Others_Measure,citation,6
1998,RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,5
1998,DataType,Panel/Longitudinal Surveys,DataType,No dataset,citation,5
1998,RqType,Empirical Estimates and Determinants,RqType,Measurement and Methodological Advances,citation,4
1998,RqType,Empirical Estimates and Determinants,Measure,Others_Measure,citation,4
1998,DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,4
1998,DataType,National Survey Data,Measure,Regression‐based Measures,citation,4
1998,DataType,National Survey Data,DataType,Linked Administrative Data,citation,3
1998,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,3
1998,DataType,Panel/Longitudinal Surveys,RqType,Measurement and Methodological Advances,citation,3
1998,DataType,Panel/Longitudinal Surveys,Measure,Others_Measure,citation,3
1998,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,3
1998,DataType,No dataset,DataType,Linked Administrative Data,citation,2
1998,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1998,DataType,No dataset,Measure,Regression‐based Measures,citation,2
1998,RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1998,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,2
1998,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,2
1998,DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1998,DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,2
1998,DataType,Linked Administrative Data,DataType,No dataset,citation,2
1998,DataType,Linked Administrative Data,RqType,Measurement and Methodological Advances,citation,2
1998,DataType,Linked Administrative Data,Measure,Others_Measure,citation,2
1998,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,2
1998,DataType,No dataset,DataType,No dataset,citation,2
1998,DataType,No dataset,RqType,Measurement and Methodological Advances,citation,2
1998,DataType,No dataset,Measure,Others_Measure,citation,2
1998,Measure,Absolute Mobility Measures,Measure,Absolute Mobility Measures,citation,1
1998,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1998,Measure,Absolute Mobility Measures,Measure,Transition Matrix / Probability Measures,citation,1
1998,Measure,Absolute Mobility Measures,DataType,Administrative/Registry Data,citation,1
1998,DataType,Linked Administrative Data,DataType,Linked Administrative Data,citation,1
1998,DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,1
1998,DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,citation,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,citation,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,citation,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Measurement and Methodological Advances,citation,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Others_Measure,citation,1
1998,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,1
1998,RqType,Theoretical and Structural Models,DataType,No dataset,citation,1
1998,RqType,Theoretical and Structural Models,RqType,Measurement and Methodological Advances,citation,1
1998,RqType,Theoretical and Structural Models,Measure,Others_Measure,citation,1
1998,DataType,National Survey Data,DataType,No dataset,citation,1
1998,DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,citation,1
1998,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,citation,1
1998,DataType,Administrative/Registry Data,DataType,Administrative/Registry Data,citation,1
1998,DataType,Administrative/Registry Data,DataType,Linked Administrative Data,citation,1
1998,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,1
1998,RqType,Others_RqType,DataType,No dataset,citation,1
1998,RqType,Others_RqType,RqType,Measurement and Methodological Advances,citation,1
1998,RqType,Others_RqType,Measure,Others_Measure,citation,1
1998,RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,1
1998,Measure,Transition Matrix / Probability Measures,DataType,Linked Administrative Data,citation,1
1998,Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,citation,1
1998,Measure,Transition Matrix / Probability Measures,Measure,Transition Matrix / Probability Measures,citation,1
1998,Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,citation,1
