id,method_cat,method_type
34,1,"Regression‐based measure, specifically an intergenerational elasticity measure using the elasticity of a child's income with respect to the parent's educational investment"
35,8,Effect of Educational Assortative Mating on Inter- and Intragenerational Income Mobility
36,1,Intergenerational Earnings Elasticity (IGE)
37,6,"The paper develops structural (decomposition) models that simulate how parental human capital—including cognitive, non‐cognitive, and parenting skills as well as public education quality—influences children’s human capital and, in turn, inter‐generational income mobility. No explicit regression‐based elasticity (IGE) or rank‐based measure is computed, rather a structural framework is used to assess mobility."
38,1,"Intergenerational Elasticity (IGE), estimated through regression‐based methods (using imputed rents as an income component)"
39,5,"Multi-generational Measure: the paper models intergenerational immigrant earnings mobility across three generations, describing an inverted U-shaped mobility curve."
40,8,Economic connectedness (fraction of high‐SES friends among low‐SES individuals)
41,1,"Odds ratios from logistic regression comparing different mobility groups (e.g., extreme downward/upward mobility relative to immobility)"
42,4,Absolute Mobility Measures – The study constructs a pseudo‐panel from cross‐sectional data to quantify income mobility (i.e. differences in income levels across generations) as a measure of absolute mobility and opportunity inequality.
43,8,Subjective Upward Mobility Measure
44,5,Estimated grandparent coefficient from a multigenerational regression model (capturing the three‐generation association)
45,8,"Mixed measures: The study elicits survey‐based estimates of (a) relative mobility – asking respondents to estimate upward and downward mobility (which can be interpreted as transition/probability measures, Category 3) and (b) absolute mobility – defined as the percentage of children who out-earn their parents (Category 4)"
46,1,Threshold regression estimates capturing nonlinear effects (status trap thresholds)
47,4,"Absolute Mobility Measures (i.e., measures of children's absolute income mobility)"
48,4,"Absolute Mobility Measures – the abstract discusses the normative choice between evaluating whether individuals are better off than their parents (absolute mobility) versus assessing movement along the income ladder (relative mobility), but it primarily foregrounds the concept of absolute mobility without specifying a concrete quantitative model."
49,1,Intergenerational Elasticity (IGE)
50,1,"Regression‐based measure: the class-origin pay gap estimated via regression analysis (e.g., a coefficient indicating a 16% lower earnings and a corresponding absolute earnings difference)"
51,1,"A regression‐based measure, most likely the Intergenerational Elasticity (IGE) that captures the association between pupils’ educational achievements (or incomes) and parental background."
52,3,Transition Matrix / Probability Measures – Examining the probability of moving from one SES quartile in childhood to another in early adulthood
53,4,Absolute Mobility Measure – the percentage of individuals who made their own fortunes (self-made) versus those who inherited wealth.
54,1,"Regression‐based measure, likely estimating an Intergenerational Elasticity (IGE) of income/education"
55,1,Difference‐in‐differences regression estimates quantifying the causal effects on long‐term income and upward mobility
56,1,"Regression‐based measure (e.g., estimates similar to an Intergenerational Income Elasticity)"
57,4,Absolute income mobility estimates (absolute mobility rates)
58,1,Intergenerational Income Elasticity (IGE)
59,1,Coefficient estimates from cousin fixed effects regression models that quantify the association between multigenerational neighborhood disadvantage and adult income.
60,8,"The paper does not report a conventional intergenerational mobility statistic (e.g., an IGE, rank‐rank slope, or transition matrix). Instead, it uses multiple absolute outcomes—such as upward mobility captured through adult household income, college graduation, incarceration, and marriage—and links these to county‐level indicators of concentrated disadvantage (household income, poverty rate, racial segregation, etc.)."
61,1,Discrete time event history model coefficients estimating the probability of elite entry (a regression‐based measure).
62,1,"The abstract implicitly refers to regression‐based measures, such as the Intergenerational Elasticity (IGE), where offspring income is related to parental income via a regression framework."
63,3,The abstract emphasizes generational transition probabilities—such as the estimated probability that children of wealthy parents remain rich and the number of generations (four to five) it takes for those from the bottom decile to reach median income—which aligns with Transition Matrix / Probability Measures.
64,6,Intergenerational Income Elasticity (IGE) decomposed into human capital and financial components via a structural two-stage framework
65,1,Intergenerational Elasticity (IGE)
66,6,Structural Equation Modeling (SEM) estimates of direct and indirect effects on upward mobility
67,7,generalized concentration curve
68,1,"Regression‐based Measures – the study estimates mobility by examining the relationship of parental social origin (measured via education attainment) with the adult income attainment of sons, which typically involves calculating a regression coefficient such as an intergenerational elasticity (IGE) while exploring non-linearities."
69,8,"The paper uses a theoretical, model‐based measure of reference group effects on intergenerational mobility rather than a standard empirical mobility measure."
70,1,Regression‐based Measure – the paper employs regression analysis to estimate the coefficient capturing the effect of education on income across two generations.
71,3,Transition matrix/probability measures (using quintile-based transition probabilities)
72,1,"Regression‐based Measures (using regression evidence to relate current outcomes to previous positions and paternal outcomes, an approach akin to estimating intergenerational elasticities)"
73,1,Intergenerational Income Elasticity (IGE) and quantile regressions
74,6,"Structural model‐based measure of intergenerational mobility (quantifying the persistence of dynastic utility, skill, and inheritance differences)"
75,1,Intergenerational Earnings Elasticity (IGE)
76,1,The paper employs a regression‐based measure – an intergenerational income correlation (using father/son income averages) – alongside a transition matrix approach that tracks children’s movement across income (quintile) categories.
77,4,"Absolute Mobility Indicators (analysis based on absolute income and wealth levels, including incidences of upward mobility)"
78,6,Intergenerational Mobility Index (IMI)
79,3,The paper employs quartile father‐child earnings transition matrices (a Transition Matrix / Probability Measure) alongside non‐parametric regressions (a Non‐parametric Approach).
80,3,Intergenerational Transition Matrices
81,4,"Absolute Mobility Measures (e.g., the percentage of individuals with greater family income than their parents and the quantification of mobility gains across the economic ladder)"
82,1,"The abstract indicates the use of regression‐based estimates. The study examines how parental entrepreneurship affects the decision to become an entrepreneur and estimates the mean effect of entrepreneurial activity on individual income (and upward wealth mobility). These effects are quantified using regression coefficients (e.g. parameter estimates capturing the relationship between parental entrepreneurship and intergenerational mobility), which falls under Regression‐based Measures."
83,1,"Intergenerational Elasticity (IGE), a regression‐based measure estimating the association between childhood family income and later adult earnings."
84,6,Structural model-based measure using numerical experiments to assess steady state intergenerational earnings mobility
85,1,Intergenerational Elasticity (IGE)
86,8,Informative Content of Surnames
87,3,Transition Matrix/Probability Measure (upward mobility transition probabilities)
88,1,"Regression‐based measure (Intergenerational Elasticity, estimated via an errors‐in‐variables framework to address lifecycle bias)"
89,1,Intergenerational Earnings Elasticity (IGE)
90,1,Intergenerational Elasticity (IGE)
91,8,"The paper contrasts two different mobility estimates. On the one hand, the economists’ approach uses a regression‐based measure—typically estimated as an intergenerational income elasticity (IGE) between parental income (or permanent income) and children’s later earnings—while on the other, the sociologists’ approach examines intergenerational class mobility, generally relying on a transition‐matrix (or similar probability measure) to capture class continuity."
92,1,Intergenerational Elasticity (IGE) estimated using IV regression and quantile regression methods
93,1,"The study appears to use regression‐based measures, likely estimating intergenerational elasticities (i.e., regression coefficients quantifying the parental influence on outcomes such as class, occupational status, earnings, and household income)."
94,3,"Transition Matrix / Probability Measures (e.g., quartile and decile transition probabilities)"
95,6,"The paper uses a structural (model‐based) approach to quantify intergenerational mobility—essentially measuring how the transmission of labor income shocks (coupled with habits or aspirations) affects wealth distribution. No standard empirical measure like the IGE is mentioned, but rather the model‐derived degree of intergenerational mobility serves as the key measure."
96,1,Intergenerational Elasticity (IGE)
97,1,Intergenerational Elasticity (IGE)
98,3,Intergenerational transition probability measures (upward and downward mobility probabilities)
99,1,Intergenerational Elasticity (IGE) measure via a regression‐based approach
100,6,"Decomposition / Structural Approaches (examining the relative contributions of human capital, social capital, and wealth)"
101,1,Regression‐based Measures – likely estimating parameters such as intergenerational elasticity using a static labor supply model
102,1,Dynamic regression estimates of parental income effects (an extended intergenerational elasticity framework that incorporates the timing of income)
103,1,The study appears to use regression‐based estimates—comparing intergenerational income gaps and the effect sizes of factors such as educational attainment on young adults' incomes—to quantify mobility.
104,1,"The study leverages regression‐based measures – estimating, for example, the effect (or elasticity) of parental education on adult labor-market earnings (i.e. a form of intergenerational elasticity) along with the marginal returns to educational attainment."
105,1,Intergenerational Income Elasticity (IGE)
106,1,The paper uses a novel regression‐based measure of intergenerational mobility (a measure akin to the Intergenerational Elasticity) as developed by Guell and Rodriguez Mora.
107,1,"Intergenerational Income Elasticity (IGE) and Degree of Assortative Mating by Educational Attainment; note that IGE falls under regression‐based measures (1), while the assortative mating measure does not fit the standard mobility categories (8)"
108,2,The paper uses two measures. One is the traditional transition probability across income quantiles – which fits category 3 (Transition Matrix / Probability Measures) – and the other is a direct upward mobility measure defined as the probability that an adult child's relative rank exceeds that of the parents – which fits category 2 (Rank‐based Measures).
109,1,Regression‐based association estimates (coefficients from regression models linking parental wealth measures with upward/downward income mobility)
110,1,"Intergenerational Elasticity (IGE) estimated through regression-based approaches (OLS, Fixed Effects, First Differences, and rank‐order IV / conditional second moments estimation)"
111,1,"Income-persistence coefficients (and asset persistence estimates), similar to Intergenerational Elasticity (IGE) measures estimated via regression-based models"
112,1,Regression‐based Measures (likely regression estimates of intergenerational mobility such as income and education elasticity)
113,1,Intergenerational Elasticity (IGE)
114,1,Intergenerational Elasticity (IGE) measured through regression coefficients and R² statistics
115,1,Intergenerational Elasticity (IGE) and Relative Mobility estimates via Structural Quantile Regression
116,8,Model‐based joint determination measure of income inequality and intergenerational mobility
117,1,"Regression‐based Measures: The paper appears to employ regression models to estimate parental wealth effects on outcomes such as educational attainment, consumption level, asset holdings, and home value."
118,1,"Regression‐based Measures; specifically, measures akin to intergenerational elasticity estimated via regression-to-the-mean models and quantile regressions"
119,1,Intergenerational Elasticity (IGE)
120,1,"The paper fits into a regression‐based measure using predicted intergenerational earnings correlations (a proxy for Intergenerational Elasticity, IGE) via intermediate outcomes."
121,3,Transition Matrix / Probability Measures - Transition Probabilities
122,1,"The abstract contrasts two approaches. On the economists’ side, mobility is quantified via a regression‐based measure (typically estimated as the intergenerational income elasticity even though no explicit distinction is made between relative and absolute mobility), while the sociologists’ alternative is based on absolute mobility rates (i.e. tracking upward mobility in social class)."
123,1,Intergenerational Elasticity (IGE)
124,1,Intergenerational Income Elasticity (IGE) estimated using a two-sample two-stage least squares estimation.
125,6,The paper develops a structural model—a two‐stage education model—to generate long‐run equilibrium outcomes such as net economic mobility (measured by the eventual wealth levels and skilled workforce proportions across dynasties).
126,6,Decomposition / Structural Approaches – the paper decomposes differences between nations into components attributable to the parental income-child characteristics relationship and the returns on those characteristics.
127,7,Non‐parametric local logistic regression for estimating the conditional income distribution (opportunity inequality measure)
128,6,Structural optimal bequest model derived from a dynastic consumption framework and the resulting equilibrium analysis of wealth distribution
129,1,Intergenerational Income Elasticity (IIE)
130,4,The paper uses absolute mobility measures – tracking changes in household disposable equivalent income and changes in the socioeconomic status of the household head across generations.
131,1,Intergenerational Elasticity (IGE)
132,3,Intergenerational Mobility Matrix derived from bequest-income transition rules
133,1,Intergenerational Elasticity (IGE)
134,1,Intergenerational Elasticity (IGE) estimated via regression models
135,7,Intergenerational Elasticity estimated via nonparametric bounds
136,1,Intergenerational Earnings Elasticity (IGE)
137,1,Intergenerational Income Elasticity (IGE) estimated via an IV approach (with additional DID analysis for policy effects)
138,1,Intergenerational Elasticity (IGE)
139,3,"The paper employs measures based on transition probabilities or matrices—for example, tracking the percentage of individuals moving across income quintiles over time."
140,4,"Absolute Mobility Measures – specifically, simulation-based estimates of upward wealth mobility (i.e. the probability or likelihood that baby boomers eventually accumulate more wealth than their same‐sex parents at comparable life stages)"
141,1,Intergenerational Income Elasticity (IGE) estimated via regression (including binary logistic regression and path analysis)
142,1,"Intergenerational Income Elasticity (IGE) derived via a regression‐based structural approach, along with empirical estimates of asymmetric transition rates between income quintiles (which could alternatively be classified under Transition Matrix/Probability Measures)"
143,6,The paper develops a structural model that uses theoretically derived parameters—specifically the degree of inheritability and the propensity to invest in children—to quantify intergenerational mobility. This is a structural (decomposition) approach that examines how parental characteristics affect the income distribution of descendants across several generations.
144,1,"The study appears to rely on regression‐based estimates of income mobility, commonly measured by intergenerational elasticity (IGE), to quantify intergenerational income transmission."
145,1,Quantile regression estimates of the effect of fathers' earnings on sons' earnings (a form of intergenerational elasticity measured across quantiles)
146,1,Intergenerational Elasticity (IGE)
147,1,Intergenerational Elasticity (IGE)
148,1,Intergenerational Income Elasticity (IGE)
149,1,Intergenerational Elasticity (IGE)
150,1,"Random coefficient model-based intergenerational income mobility measure (an alternative to the standard intergenerational elasticity, IGE)"
151,1,The paper employs regression‐based measures—using regression and correlation coefficients (commonly interpreted as estimates of intergenerational elasticity)—as well as transition matrices (which fall under probability measures) to quantify income mobility.
152,1,Intergenerational Income Elasticity (IGE)
153,1,"Regression‐based Measures; the paper appears to use regression estimations (or similar quantitative estimation techniques) to assess the impact of Islamic inheritance practices on wealth accumulation across generations, even though no specific measure like IGE is explicitly mentioned."
154,3,The study computes mobility via transition probabilities (a transition matrix/probability measure) and further uses ordered logits – a regression‐based approach – to examine the impact of parental education and occupation on outcomes.
155,2,"The paper employs measures of directional rank mobility (a rank‐based measure, Category 2) as well as transition probabilities (a transition matrix/probability measure, Category 3) to quantify intergenerational mobility."
156,1,Intergenerational Elasticity (IGE)
157,1,Intergenerational Elasticity (IGE)
158,1,Intergenerational Earnings Elasticity (IGE) estimated using a two-sample two-stage least squares method
159,1,Intergenerational Income Elasticity (IGE)
160,1,Intergenerational Elasticity (IGE) measure – capturing the responsiveness of offspring wealth to parental wealth
161,1,Intergenerational Elasticity (IGE)
162,1,The model appears to yield a regression‐based measure similar to an intergenerational elasticity (IGE) of wealth/privilege transmission.
163,8,Share of women among the very wealthy as a proxy for inherited (dynastic) wealth
164,1,Intergenerational Elasticity (IGE) using extended economic status measures (including husband's earnings)
165,1,Intergenerational Elasticity (IGE)
166,1,Intergenerational Elasticity (IGE)
167,4,social gains and losses based on work-life earnings profiles
168,3,"The paper appears to use a measure based on transition probabilities – essentially a transition matrix approach that estimates mobility (e.g., the probability of remaining in or moving out of poverty, particularly focused on lower‐income quantiles)."
169,3,Mobility indices and tests based on transition matrices with unmatched quantiles
170,1,"The paper uses a regression‐based measure – estimating the rank‐rank slope (i.e. the marginal effect that a 10 percentile increase in parent income is associated with a 3.4 percentile increase in child income, akin to an Intergenerational Elasticity) – and also employs transition probability measures by reporting the probability that a child from the bottom income quintile reaches the top quintile."
171,3,"Transition Matrix / Probability Measures (e.g., quartile transition probabilities)"
172,1,Intergenerational Elasticity (IGE)
173,1,Intergenerational Elasticity (IGE) estimated via two‐sample two‐stage least squares and the Chadwick and Solon approach
174,1,Intergenerational Income Elasticity (IGE) and Intergenerational Income Correlation
175,8,"Using typical occupational levels as a proxy for economic compensation (an alternative, non-standard measure)"
176,1,Intergenerational Elasticity (IGE)
177,1,"The study appears to use regression‐based estimates – for example, estimates akin to the Intergenerational Elasticity (IGE) that quantify income mobility and its association with school quality"
178,1,Intergenerational Elasticity (IGE)
179,1,Regression‐based Measure (the paper builds on the Chetty et al. framework that typically uses estimates such as the rank‐rank slope or intergenerational elasticity)
180,1,"Intergenerational Elasticity (IGE)—a regression‐based measure used to quantify the relationship between parental and offspring earnings/mobility, as illustrated by the Great Gatsby Curve."
181,1,"Regression‐based measure – the study appears to use regression analyses (e.g., controlling for childhood poverty, inheritances, and young adult impediments) to quantify how early life conditions relate to midlife wealth outcomes such as net worth and homeownership."
182,1,"The paper uses regression‐based measures, estimating intergenerational associations (akin to an intergenerational elasticity) between parental resources and children’s human capital investments."
183,1,Intergenerational Elasticity (IGE)
184,1,Intergenerational Elasticity (IGE)
185,1,Intergenerational Elasticity (IGE)
186,1,Intergenerational income elasticity (IGE)
187,1,The paper employs regression‐based measures – specifically mean and quantile regression coefficients that capture intergenerational elasticity – alongside transition matrix (probability) measures that track earnings persistence.
188,1,"The study uses regression‐based estimates (father–son correlations, commonly reflecting intergenerational elasticity [IGE]) along with transition matrix analysis (a probability‐based measure) to quantify intergenerational wealth mobility."
189,1,"Intergenerational Elasticity (IGE) from regression of sons’ lifetime income on fathers’ income; additionally, the paper reports intergenerational and rank correlations (a rank‐based measure)"
190,1,"Intergenerational income correlation measure (a regression‐based estimate analogous to the intergenerational elasticity, but reported as a correlation coefficient)"
191,6,Recursive bivariate probit-based structural approach measure
192,8,Asset transfer analysis as a measure of intergenerational transmission
193,6,Simulated intergenerational income persistence measure derived from a structural (overlapping generations) model
194,1,"The paper discusses intergenerational income mobility – typically estimated via regression‐based measures such as the Intergenerational Elasticity (IGE). It also reviews social class mobility, which in other studies is often assessed using transition matrices (i.e. probability measures), though the abstract emphasizes the income mobility aspect."
195,6,Dynamic General Equilibrium Model‐based Intergenerational Mobility Measure
196,2,"Rank‐based Measures (e.g., correlations between parent and child income percentile ranks, and between parent's income rank and child college attendance probability) as well as Transition Matrix/Probability Measures (e.g., calculations of a child’s chances of moving from the bottom to the top income quintile)"
197,1,Intergenerational Elasticity (IGE)
198,6,"Decomposition measure – the study decomposes the covariance between parents' and own permanent family income, attributing roughly 40–50% to the effect of assortative mating (spouse correlation in human capital)."
199,3,"The paper uses mobility rates that compare the transition probabilities across generations in education, occupation, and income, which fits into the transition matrix/probability measures category."
200,1,Intergenerational Income Elasticity (IGE) and neighborhood effect coefficients based on regression estimates
201,6,Intergenerational Elasticity (IGE) measured through structural modeling
202,1,Intergenerational Elasticity (IGE) estimated from regression-based models
203,1,"The paper appears to use regression‐based measures – estimating the effect of parental wealth on mobility (i.e., using regression coefficients akin to an intergenerational mobility or elasticity specification) to assess upward and downward mobility."
204,1,Intergenerational Elasticity (IGE) from regression‐based models comparing social (class) and income mobility estimates
205,7,"Non‐parametric approach: a rank‐based estimation of intergenerational wealth mobility (using the slope of the linear relationship between child and parent wealth ranks, with further analysis incorporating grandparents, hence also reflecting a multigenerational measure)"
206,1,Intergenerational Elasticity (IGE) measured via regression estimates (including a second‐order autoregressive coefficient)
207,1,Correlation between parents' and children's earnings (regression‐based measure akin to Intergenerational Earnings Elasticity)
208,1,Intergenerational Elasticity (IGE) estimated via regression analysis of long-run parental and offspring incomes
209,5,Multigenerational mobility rate estimated using rare surnames with wealth at death and age at death as proxies
210,1,Intergenerational Elasticity (IGE)
211,8,"The paper uses a structural, model‐based approach that characterizes the transitional dynamics of wealth and derives its stationary Pareto distribution."
212,6,Structural Approach – a structural reading of intergenerational wealth transfers
213,1,Intergenerational Income Elasticity (IGE)
214,1,Intergenerational Elasticity (IGE)
215,1,Intergenerational Income Elasticity (IGE) estimated via quantile regression
216,1,Marginal effects from probit regression models
217,6,Ratios of human capital accumulation derived from a structural overlapping‐generation model simulation
218,1,Intergenerational Elasticity (IGE)
219,1,Intergenerational Elasticity (IGE) estimated via a two-sample two-stage least square estimator
220,6,Structural mobility estimates from a model of human capital production (intergenerational earnings mobility)
221,6,"The paper develops and analyzes a structural measure of intergenerational mobility by examining transmission mechanisms through the dynamic transition between steady states. While it does not specify a conventional metric such as the intergenerational elasticity (IGE), it uses a structural approach, analyzing how changes in institutions and policies affect the mobility measure over time."
222,1,Intergenerational Income Elasticity (IGE) measure from a regression analysis including maternal employment effects
223,2,"The paper employs directional rank mobility measures (a rank‐based measure, category 2) as well as transition probabilities (a transition matrix/probability measure, category 3)."
224,1,"The paper uses regression‐based measures—in particular intergenerational earnings persistence (typically captured by estimates such as the Intergenerational Elasticity, IGE) for income and education."
225,1,Intergenerational Elasticity (IGE)
226,2,The paper uses rank‐based measures—specifically the correlation between parent and child income percentile ranks and the correlation between parental income rank and the child’s probability of college attendance—and also employs transition probability measures (i.e. transition probabilities for moving between income/education categories).
227,1,"The paper uses multiple measures: an intergenerational income elasticity (IGE), which is a regression‐based measure (category 1); associations between fathers’ and sons’ income percentiles, a rank‐based measure (category 2); and brother correlations, which do not neatly fit the above categories (categorized here as Others, category 8)."
228,1,Intergenerational Elasticity (IGE)
229,1,Intergenerational Elasticity (IGE) measured via regression-based correlation estimates
230,3,Transition probability of movement across income quantiles and a probability‐based upward mobility measure defined as the probability that an adult child's relative position exceeds that of the parents.
231,3,"Transition probabilities capturing upward and downward mobility (i.e., intergenerational transition matrix measures)"
232,6,The paper uses a model‐based (structural) approach that derives a stationary wealth distribution—including analysis of lineage-level wealth transitions and the emergence of a mass point—to quantify intergenerational wealth mobility.
233,1,"The paper employs regression‐based measures by estimating panel models and panel error correction models to quantify income mobility and intergenerational transmission of poverty. Although the specific parameters (such as elasticity coefficients) are not explicitly named, the use of these regression‐estimation techniques places the measures in category 1."
234,1,"Regression‐based Measures; i.e., the study appears to use regression estimates (such as intergenerational elasticity coefficients) to quantify the impact of human, social, and asset capitals on intergenerational income mobility."
235,1,Intergenerational Earnings Correlation (often measured as an Intergenerational Elasticity) and return to education (estimated via quantile regression)
236,3,"Transition Matrix (used to measure mobility probabilities, including analysis of intergenerational income elasticity effects)"
237,1,"Intergenerational Elasticity (IGE), estimated via regression analysis (with decomposition of mediating factors)"
238,1,Intergenerational Elasticity (IGE)
239,1,Intergenerational Elasticity (IGE)
240,1,Intergenerational Elasticity (IGE)
241,1,"Intergenerational correlation (regression-based measure, akin to Intergenerational Elasticity estimated via multilevel regression models)"
242,1,Quantile Regression-based Measure assessing intergenerational income mobility and Opportunity Equity using stochastic dominance criteria
243,1,Intergenerational Income Elasticity estimated via a two-level regression model
244,1,Intergenerational Income Elasticity (IGE)
245,6,Decomposition/Structural Approach (analyzing the contributions of individual characteristic differences and degree differences in explaining income gaps)
246,1,Regression‐based Measure (likely an Intergenerational Elasticity - IGE)
247,1,Intergenerational Income Elasticity (IGE) and offspring income elasticity of public expenditure on education
248,1,Intergenerational Elasticity (IGE)
249,1,The study employs two measures: the Atkinson regression model (a regression‐based measure) and a transition matrix (a transition matrix/probability measure).
250,1,"The paper reports two measures: one is the intergenerational earnings elasticity (IGE)—a regression‐based measure (category 1)—and the other is the estimated probability of intergenerational transmission of poverty, which fits the transition matrix/probability measure framework (category 3)."
251,6,"Decomposition approach of the intergenerational income transmission, quantifying the contributions of education, health, and occupation"
252,1,Intergenerational Earnings Elasticity (IGE)
253,1,"A regression‐based measure, likely estimating an intergenerational income elasticity (IGE) that incorporates parental wealth via a wealth‐income ratio and state mediators."
254,3,"The command calculates several types of mobility indices. One set is derived directly from transition matrices between parents’ and children’s socioeconomic status (category 3). In addition, it computes single‐stage indices and indices based on inequality measures (e.g., generalized entropy measures and the Atkinson index), which do not fall neatly into the other specified categories (thus, they can be viewed as falling under ‘Others’, category 8)."
255,1,OLS-based measure (implying Intergenerational Elasticity) and Quantile Regression estimates for intergenerational mobility
256,7,Two‐sample nonparametric estimation of intergenerational income mobility
257,1,"Intergenerational Income Elasticity (IGE); however, the paper also uses rank‐based measures (father–son income percentile associations) and brother correlations which do not neatly fall into the standard categories (thus categorized under Others)"
258,8,"The paper discusses three distinct measures: overall individual mobility, within‐group mobility, and between‐group mobility (with a focus on surname‐based between‐group persistence). These do not neatly fall into the provided categories, so they are classified as 'Others'."
259,2,"The paper uses rank‐based measures, specifically reporting parent–child and grandparent–grandchild rank correlations to quantify intergenerational wealth mobility."
260,1,Intergenerational Earnings Elasticity (IGE) estimated via a two-stage panel regression model
261,1,Regression-based fixed effects estimates of county-level causal effects
262,1,"Intergenerational Elasticity (IGE) estimated via regression models, capturing the associations between parental and offspring earnings and incorporating partner earnings"
263,4,"Absolute Mobility Measure – specifically, the gap in the proportion of children who attain middle‐class status by middle age."
264,5,"Multi-generational measures based on surname persistence to assess wealth, educational attainment, and class over up to 17 generations"
265,1,"Intergenerational income persistence measure, often operationalized as the intergenerational elasticity (IGE) via regression, here indicated by the 'between-groups coefficient' (0.74)"
266,1,Regression‐based estimates of the association between family background and earnings outcomes
267,6,Structural approach (a structural reading of intergenerational wealth transmission)
268,1,Multivariate regression analysis estimating the effects of financial transfers on net wealth
269,3,Transition Matrix / Probability Measures
270,1,"Based on the abstract, the study examines how parental income affects children’s later economic status (with children’s health as a mediating factor), which suggests that the authors are likely estimating a regression‐based measure. A common approach in such work is to estimate an intergenerational elasticity (IGE) that quantifies the percentage change in a child’s income associated with a percentage change in parental income. Thus, the measure can be categorized as 1, with the potential measure being the intergenerational elasticity of income."
271,7,The study leverages non‐parametric approaches (in combination with parametric regression analyses) to estimate mobility differences. No single specific measure like the IGE is named.
272,1,Regression‐based measure (likely an intergenerational income elasticity approach)
273,1,Growth curve model regression estimates assessing the influence of family background and pathway clusters on income trajectories
274,1,"Intergenerational Earnings Elasticity (IGE), a regression‐based measure; and Rank‐Rank Slope, a rank‐based measure"
275,1,"Regression‐based Measures: The paper appears to use regression estimates (e.g., assessing the impact of fathers’ income and education on children’s outcomes) akin to intergenerational elasticity measures."
276,1,Intergenerational Elasticity (IGE)
277,1,Intergenerational Elasticity (IGE) or a similar regression‐based measure of income stickiness
278,5,"The study uses multigenerational measures—tracking mobility and inequality across three generations—to quantify intergenerational outcomes (e.g., income and education) within immigrant families."
279,1,Intergenerational Elasticity (IGE) calculated via regression analysis on occupational income
280,4,"Analytic expressions for canonical relative and absolute intergenerational mobility measures (i.e., measures that quantify absolute mobility through income growth and its relation to inequality, alongside corresponding relative mobility expressions)"
281,6,Decomposition of intergenerational mobility into pure inheritance (direct parent–child link) and mediated inheritance (education-mediated) components
282,6,Simulation-based structural approach measuring intergenerational mobility and income distribution shifts
283,1,Intergenerational Income Elasticity (IGE) (a regression‐based measure) and rank‐order correlation (a rank‐based measure)
284,1,Intergenerational Income Elasticity (IGE) or similar regression‐based estimates of intergenerational persistence
285,1,Intergenerational Income Elasticity (IGE) (a regression‐based measure) and Rank correlation (a rank‐based measure)
286,1,Intergenerational Elasticity (IGE)
