year_val,from_type,from_val,to_type,to_val,source,weight
2000,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2000,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2000,DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2000,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,within,1
2000,Measure,Regression‐based Measures,DataType,Administrative/Registry Data,within,1
2000,Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,within,1
2000,DataType,No dataset,RqType,"Policy, Institutional, and Geographic Impacts",within,1
2000,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,1
2000,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,within,1
2000,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,within,1
2001,DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,2
2001,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,National Survey Data,within,2
2001,Measure,Multigenerational Measures,DataType,National Survey Data,within,1
2001,Measure,Transition Matrix / Probability Measures,DataType,National Survey Data,within,1
2001,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,within,1
2001,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,within,1
2001,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Multigenerational Measures,within,1
2001,DataType,National Survey Data,Measure,Multigenerational Measures,within,1
2001,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2001,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2002,DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,within,2
2002,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,2
2002,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,within,2
2002,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,2
2002,DataType,No dataset,RqType,Empirical Estimates and Determinants,within,1
2002,DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,within,1
2002,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2002,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2002,DataType,No dataset,Measure,Others_Measure,within,1
2002,RqType,Measurement and Methodological Advances,Measure,Others_Measure,within,1
2002,RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,within,1
2002,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,within,1
2002,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,within,1
2002,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,within,1
2002,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Non‐parametric Approaches,within,1
2002,DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,within,1
2002,Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,within,1
2002,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,within,1
2002,Measure,Non‐parametric Approaches,DataType,Panel/Longitudinal Surveys,within,1
2002,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,1
2002,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,1
2002,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,1
2002,DataType,No dataset,Measure,Regression‐based Measures,within,1
2002,DataType,Linked Administrative Data,Measure,Regression‐based Measures,within,1
2002,DataType,No dataset,RqType,Measurement and Methodological Advances,within,1
2002,Measure,Others_Measure,RqType,Measurement and Methodological Advances,within,1
2002,Measure,Regression‐based Measures,DataType,Linked Administrative Data,within,1
2002,RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,within,1
2002,RqType,Measurement and Methodological Advances,DataType,No dataset,within,1
2002,Measure,Others_Measure,DataType,No dataset,within,1
2002,Measure,Regression‐based Measures,DataType,No dataset,within,1
2002,RqType,Empirical Estimates and Determinants,DataType,No dataset,within,1
2003,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,within,1
2003,Measure,Decomposition / Structural Approaches,DataType,No dataset,within,1
2003,RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,within,1
2003,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,within,1
2003,Measure,Non‐parametric Approaches,Measure,Transition Matrix / Probability Measures,within,1
2003,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,1
2003,RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,within,1
2003,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,within,1
2003,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,within,1
2003,Measure,Non‐parametric Approaches,RqType,Empirical Estimates and Determinants,within,1
2003,DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,within,1
2003,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,1
2003,Measure,Regression‐based Measures,DataType,Linked Administrative Data,within,1
2003,RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,within,1
2003,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,within,1
2003,DataType,No dataset,Measure,Decomposition / Structural Approaches,within,1
2003,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2003,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2003,DataType,Linked Administrative Data,Measure,Regression‐based Measures,within,1
2003,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,1
2003,RqType,Empirical Estimates and Determinants,Measure,Non‐parametric Approaches,within,1
2003,Measure,Transition Matrix / Probability Measures,Measure,Non‐parametric Approaches,within,1
2003,DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,within,1
2003,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,within,1
2003,Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,within,1
2003,Measure,Non‐parametric Approaches,DataType,Panel/Longitudinal Surveys,within,1
2003,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,1
2003,RqType,Measurement and Methodological Advances,DataType,Panel/Longitudinal Surveys,within,1
2003,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,within,1
2003,DataType,Panel/Longitudinal Surveys,RqType,Measurement and Methodological Advances,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,within,1
2004,DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,within,1
2004,Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,within,1
2004,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,within,1
2004,Measure,Others_Measure,DataType,No dataset,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Others_Measure,within,1
2004,DataType,No dataset,Measure,Others_Measure,within,1
2004,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,DataType,Archival/Historical Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,Measure,Others_Measure,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,1
2004,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,within,1
2004,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,within,1
2004,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,1
2004,Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,within,1
2004,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2004,Measure,Absolute Mobility Measures,DataType,Archival/Historical Data,within,1
2004,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Archival/Historical Data,within,1
2005,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,4
2005,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,4
2005,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,2
2005,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,within,2
2005,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,2
2005,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,within,2
2005,Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,within,1
2005,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Panel/Longitudinal Surveys,within,1
2005,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",within,1
2005,DataType,Panel/Longitudinal Surveys,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",within,1
2005,DataType,No dataset,RqType,Theoretical and Structural Models,within,1
2005,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,within,1
2005,Measure,Regression‐based Measures,DataType,National Survey Data,within,1
2005,RqType,Empirical Estimates and Determinants,DataType,National Survey Data,within,1
2005,Measure,Rank‐based Measures,DataType,National Survey Data,within,1
2005,DataType,No dataset,Measure,Transition Matrix / Probability Measures,within,1
2005,RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,within,1
2005,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,within,1
2005,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Transition Matrix / Probability Measures,within,1
2005,RqType,Empirical Estimates and Determinants,DataType,No dataset,within,1
2005,Measure,Transition Matrix / Probability Measures,DataType,No dataset,within,1
2005,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,within,1
2005,Measure,Regression‐based Measures,DataType,No dataset,within,1
2005,DataType,No dataset,Measure,Decomposition / Structural Approaches,within,1
2005,RqType,Theoretical and Structural Models,Measure,Decomposition / Structural Approaches,within,1
2005,DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,within,1
2005,DataType,National Survey Data,RqType,Empirical Estimates and Determinants,within,1
2005,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,within,1
2005,RqType,Theoretical and Structural Models,DataType,No dataset,within,1
2005,Measure,Decomposition / Structural Approaches,DataType,No dataset,within,1
2005,DataType,No dataset,RqType,Empirical Estimates and Determinants,within,1
2005,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,within,1
2005,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2005,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2005,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,within,1
2005,DataType,National Survey Data,Measure,Regression‐based Measures,within,1
2005,Measure,Rank‐based Measures,Measure,Regression‐based Measures,within,1
2005,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,1
2005,DataType,No dataset,Measure,Regression‐based Measures,within,1
2005,Measure,Regression‐based Measures,DataType,Administrative/Registry Data,within,1
2005,RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,within,1
2005,Measure,Regression‐based Measures,Measure,Rank‐based Measures,within,1
2005,RqType,Empirical Estimates and Determinants,Measure,Rank‐based Measures,within,1
2005,DataType,National Survey Data,Measure,Rank‐based Measures,within,1
2006,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,4
2006,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,4
2006,DataType,Linked Administrative Data,Measure,Regression‐based Measures,within,3
2006,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,3
2006,Measure,Regression‐based Measures,DataType,Linked Administrative Data,within,3
2006,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,3
2006,DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,2
2006,RqType,Empirical Estimates and Determinants,DataType,National Survey Data,within,2
2006,RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,within,2
2006,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,within,2
2006,DataType,National Survey Data,RqType,Empirical Estimates and Determinants,within,2
2006,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,within,2
2006,DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,within,1
2006,DataType,No dataset,RqType,Empirical Estimates and Determinants,within,1
2006,Measure,Regression‐based Measures,DataType,National Survey Data,within,1
2006,Measure,Transition Matrix / Probability Measures,DataType,National Survey Data,within,1
2006,Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,within,1
2006,DataType,No dataset,Measure,Regression‐based Measures,within,1
2006,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,1
2006,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Regression‐based Measures,within,1
2006,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,within,1
2006,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,within,1
2006,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,within,1
2006,DataType,Archival/Historical Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2006,DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2006,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
2006,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Archival/Historical Data,within,1
2006,Measure,Regression‐based Measures,DataType,Archival/Historical Data,within,1
2006,DataType,No dataset,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",within,1
2006,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",within,1
2006,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,1
2006,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DataType,Panel/Longitudinal Surveys,within,1
2006,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,within,1
2006,Measure,Decomposition / Structural Approaches,DataType,Panel/Longitudinal Surveys,within,1
2006,Measure,Regression‐based Measures,DataType,No dataset,within,1
2006,RqType,Empirical Estimates and Determinants,DataType,No dataset,within,1
2006,Measure,Transition Matrix / Probability Measures,DataType,No dataset,within,1
2006,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,No dataset,within,1
2006,DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,within,1
2006,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,within,1
2006,Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,within,1
2006,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,within,1
2006,DataType,No dataset,Measure,Transition Matrix / Probability Measures,within,1
2006,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Transition Matrix / Probability Measures,within,1
2006,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",within,1
2006,DataType,Panel/Longitudinal Surveys,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",within,1
2006,Measure,Regression‐based Measures,DataType,Administrative/Registry Data,within,1
2006,RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,within,1
2006,RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,within,1
2006,Measure,Transition Matrix / Probability Measures,DataType,Linked Administrative Data,within,1
2006,DataType,National Survey Data,Measure,Regression‐based Measures,within,1
2006,DataType,Archival/Historical Data,Measure,Regression‐based Measures,within,1
2007,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,7
2007,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,7
2007,Measure,Regression‐based Measures,DataType,National Survey Data,within,3
2007,DataType,National Survey Data,Measure,Regression‐based Measures,within,3
2007,DataType,Linked Administrative Data,Measure,Regression‐based Measures,within,2
2007,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,2
2007,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,National Survey Data,within,2
2007,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,2
2007,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,within,2
2007,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,2
2007,DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,2
2007,DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,2
