from_reval,to_reval,weight
Others_Measure,Regression‐based Measures,156
Transition Matrix / Probability Measures,Regression‐based Measures,154
Empirical Estimates and Determinants,Administrative/Registry Data,148
Regression‐based Measures,National Survey Data,143
Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,139
Intergenerational Wealth Mobility and Inheritance,Administrative/Registry Data,139
Others_Measure,Empirical Estimates and Determinants,137
Rank‐based Measures,Linked Administrative Data,134
Administrative/Registry Data,Linked Administrative Data,134
Administrative/Registry Data,Panel/Longitudinal Surveys,131
Decomposition / Structural Approaches,Regression‐based Measures,127
Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,125
Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,123
Regression‐based Measures,Theoretical and Structural Models,122
Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,120
Transition Matrix / Probability Measures,Empirical Estimates and Determinants,118
Panel/Longitudinal Surveys,Rank‐based Measures,118
Decomposition / Structural Approaches,Empirical Estimates and Determinants,113
Rank‐based Measures,Panel/Longitudinal Surveys,112
Panel/Longitudinal Surveys,Administrative/Registry Data,110
Measurement and Methodological Advances,Panel/Longitudinal Surveys,108
Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,107
No dataset,Panel/Longitudinal Surveys,107
National Survey Data,Intergenerational Wealth Mobility and Inheritance,106
"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,106
"Policy, Institutional, and Geographic Impacts",Empirical Estimates and Determinants,106
Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,105
Absolute Mobility Measures,Regression‐based Measures,103
Linked Administrative Data,Panel/Longitudinal Surveys,103
Empirical Estimates and Determinants,Decomposition / Structural Approaches,101
Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,101
National Survey Data,Panel/Longitudinal Surveys,99
Regression‐based Measures,Measurement and Methodological Advances,99
Measurement and Methodological Advances,Linked Administrative Data,98
No dataset,Intergenerational Wealth Mobility and Inheritance,98
Administrative/Registry Data,Rank‐based Measures,98
Absolute Mobility Measures,Empirical Estimates and Determinants,96
Linked Administrative Data,Rank‐based Measures,96
No dataset,Linked Administrative Data,95
Linked Administrative Data,No dataset,90
Panel/Longitudinal Surveys,Decomposition / Structural Approaches,85
Measurement and Methodological Advances,Intergenerational Wealth Mobility and Inheritance,84
Linked Administrative Data,Transition Matrix / Probability Measures,83
Linked Administrative Data,Administrative/Registry Data,82
Rank‐based Measures,Administrative/Registry Data,80
Others_Measure,Panel/Longitudinal Surveys,77
Empirical Estimates and Determinants,Measurement and Methodological Advances,77
National Survey Data,No dataset,76
Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,75
Panel/Longitudinal Surveys,National Survey Data,75
Administrative/Registry Data,No dataset,73
Administrative/Registry Data,Transition Matrix / Probability Measures,73
Absolute Mobility Measures,Linked Administrative Data,72
Others_Measure,Linked Administrative Data,70
Rank‐based Measures,Transition Matrix / Probability Measures,70
Empirical Estimates and Determinants,National Survey Data,70
Intergenerational Wealth Mobility and Inheritance,National Survey Data,70
National Survey Data,Linked Administrative Data,69
Empirical Estimates and Determinants,Theoretical and Structural Models,68
Intergenerational Wealth Mobility and Inheritance,Theoretical and Structural Models,67
Measurement and Methodological Advances,Rank‐based Measures,67
Decomposition / Structural Approaches,Panel/Longitudinal Surveys,66
Absolute Mobility Measures,Panel/Longitudinal Surveys,64
Transition Matrix / Probability Measures,Linked Administrative Data,61
"Policy, Institutional, and Geographic Impacts",Linked Administrative Data,60
Decomposition / Structural Approaches,Linked Administrative Data,59
Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,59
Decomposition / Structural Approaches,No dataset,59
Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,58
Rank‐based Measures,No dataset,58
Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",58
Empirical Estimates and Determinants,Absolute Mobility Measures,56
Others_Measure,Intergenerational Wealth Mobility and Inheritance,56
Empirical Estimates and Determinants,"Policy, Institutional, and Geographic Impacts",56
Regression‐based Measures,Others_Measure,55
Others_Measure,Rank‐based Measures,55
Measurement and Methodological Advances,Transition Matrix / Probability Measures,53
Others_Measure,Transition Matrix / Probability Measures,53
Administrative/Registry Data,Decomposition / Structural Approaches,53
No dataset,Rank‐based Measures,53
Regression‐based Measures,Absolute Mobility Measures,52
No dataset,Transition Matrix / Probability Measures,52
No dataset,Decomposition / Structural Approaches,52
Theoretical and Structural Models,Regression‐based Measures,51
Others_Measure,No dataset,51
Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",51
Measurement and Methodological Advances,No dataset,50
Panel/Longitudinal Surveys,Theoretical and Structural Models,50
Linked Administrative Data,Decomposition / Structural Approaches,50
Others_DataType,Empirical Estimates and Determinants,49
Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,48
Others_DataType,Regression‐based Measures,48
Transition Matrix / Probability Measures,No dataset,47
Panel/Longitudinal Surveys,Panel/Longitudinal Surveys,47
Measurement and Methodological Advances,Administrative/Registry Data,47
National Survey Data,Transition Matrix / Probability Measures,46
No dataset,Theoretical and Structural Models,46
Panel/Longitudinal Surveys,Measurement and Methodological Advances,45
"Policy, Institutional, and Geographic Impacts",Panel/Longitudinal Surveys,44
Empirical Estimates and Determinants,Others_Measure,42
Absolute Mobility Measures,Rank‐based Measures,42
Empirical Estimates and Determinants,"Demographic Differences in Mobility (Race, Gender, etc.)",42
"Policy, Institutional, and Geographic Impacts",No dataset,41
Theoretical and Structural Models,Empirical Estimates and Determinants,41
Rank‐based Measures,Decomposition / Structural Approaches,41
Intergenerational Wealth Mobility and Inheritance,Measurement and Methodological Advances,40
Decomposition / Structural Approaches,Rank‐based Measures,40
Linked Administrative Data,Theoretical and Structural Models,39
No dataset,Administrative/Registry Data,39
Others_Measure,Administrative/Registry Data,39
Transition Matrix / Probability Measures,Rank‐based Measures,38
Absolute Mobility Measures,Transition Matrix / Probability Measures,37
Linked Administrative Data,Measurement and Methodological Advances,37
"Demographic Differences in Mobility (Race, Gender, etc.)",Regression‐based Measures,36
Theoretical and Structural Models,No dataset,36
Others_DataType,Linked Administrative Data,35
Decomposition / Structural Approaches,Transition Matrix / Probability Measures,35
National Survey Data,Decomposition / Structural Approaches,34
Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",34
Administrative/Registry Data,Theoretical and Structural Models,33
National Survey Data,Rank‐based Measures,33
Linked Administrative Data,Absolute Mobility Measures,32
"Policy, Institutional, and Geographic Impacts",Transition Matrix / Probability Measures,32
Rank‐based Measures,Measurement and Methodological Advances,32
Decomposition / Structural Approaches,Theoretical and Structural Models,32
"Policy, Institutional, and Geographic Impacts",Rank‐based Measures,32
"Demographic Differences in Mobility (Race, Gender, etc.)",Empirical Estimates and Determinants,31
Administrative/Registry Data,Measurement and Methodological Advances,31
Others_DataType,Panel/Longitudinal Surveys,30
Rank‐based Measures,Theoretical and Structural Models,30
National Survey Data,Administrative/Registry Data,30
"Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,30
Rank‐based Measures,"Policy, Institutional, and Geographic Impacts",29
"Policy, Institutional, and Geographic Impacts",Intergenerational Wealth Mobility and Inheritance,28
Administrative/Registry Data,Others_Measure,28
Transition Matrix / Probability Measures,Administrative/Registry Data,28
Measurement and Methodological Advances,Others_Measure,26
Panel/Longitudinal Surveys,Others_Measure,26
Rank‐based Measures,Others_Measure,26
Absolute Mobility Measures,Administrative/Registry Data,26
Others_DataType,Rank‐based Measures,26
Rank‐based Measures,Absolute Mobility Measures,25
Absolute Mobility Measures,No dataset,25
Administrative/Registry Data,National Survey Data,25
Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",25
Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",25
Theoretical and Structural Models,Decomposition / Structural Approaches,25
Measurement and Methodological Advances,Absolute Mobility Measures,24
Panel/Longitudinal Surveys,Absolute Mobility Measures,24
Others_DataType,Transition Matrix / Probability Measures,24
Transition Matrix / Probability Measures,Decomposition / Structural Approaches,24
"Demographic Differences in Mobility (Race, Gender, etc.)",Linked Administrative Data,23
Rank‐based Measures,National Survey Data,23
Decomposition / Structural Approaches,Administrative/Registry Data,23
Theoretical and Structural Models,Linked Administrative Data,22
Others_Measure,Measurement and Methodological Advances,22
Empirical Estimates and Determinants,Others_DataType,22
Regression‐based Measures,Others_DataType,22
Intergenerational Wealth Mobility and Inheritance,Others_Measure,21
National Survey Data,Theoretical and Structural Models,21
Measurement and Methodological Advances,Decomposition / Structural Approaches,21
Others_Measure,Decomposition / Structural Approaches,21
Linked Administrative Data,National Survey Data,20
Measurement and Methodological Advances,National Survey Data,20
"Policy, Institutional, and Geographic Impacts",Administrative/Registry Data,20
"Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,19
Theoretical and Structural Models,Panel/Longitudinal Surveys,19
Absolute Mobility Measures,Measurement and Methodological Advances,19
No dataset,Measurement and Methodological Advances,19
"Policy, Institutional, and Geographic Impacts",Theoretical and Structural Models,19
Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",19
"Demographic Differences in Mobility (Race, Gender, etc.)",Rank‐based Measures,19
Intergenerational Wealth Mobility and Inheritance,"Demographic Differences in Mobility (Race, Gender, etc.)",19
Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,18
"Demographic Differences in Mobility (Race, Gender, etc.)",Panel/Longitudinal Surveys,18
Rank‐based Measures,Others_DataType,18
Others_Measure,Theoretical and Structural Models,18
Absolute Mobility Measures,Decomposition / Structural Approaches,18
Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",18
"Demographic Differences in Mobility (Race, Gender, etc.)",Intergenerational Wealth Mobility and Inheritance,17
Others_DataType,No dataset,17
Transition Matrix / Probability Measures,Theoretical and Structural Models,17
No dataset,Others_Measure,16
Linked Administrative Data,Others_Measure,16
Administrative/Registry Data,Administrative/Registry Data,16
Intergenerational Wealth Mobility and Inheritance,"Policy, Institutional, and Geographic Impacts",16
Others_DataType,Absolute Mobility Measures,15
National Survey Data,Absolute Mobility Measures,15
Administrative/Registry Data,Absolute Mobility Measures,15
Theoretical and Structural Models,Intergenerational Wealth Mobility and Inheritance,15
"Demographic Differences in Mobility (Race, Gender, etc.)",No dataset,15
No dataset,National Survey Data,15
Others_Measure,Absolute Mobility Measures,14
Natural/Experimental Data,Empirical Estimates and Determinants,14
Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",14
Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",14
Measurement and Methodological Advances,"Demographic Differences in Mobility (Race, Gender, etc.)",14
Natural/Experimental Data,Linked Administrative Data,13
Others_DataType,Intergenerational Wealth Mobility and Inheritance,13
Natural/Experimental Data,Regression‐based Measures,13
National Survey Data,Measurement and Methodological Advances,13
Decomposition / Structural Approaches,National Survey Data,13
Others_Measure,National Survey Data,13
Others_DataType,Administrative/Registry Data,13
No dataset,"Policy, Institutional, and Geographic Impacts",13
Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",13
Others_RqType,Regression‐based Measures,12
Administrative/Registry Data,Others_DataType,12
Absolute Mobility Measures,Theoretical and Structural Models,12
Measurement and Methodological Advances,Theoretical and Structural Models,12
Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts",12
Others_DataType,Decomposition / Structural Approaches,12
Theoretical and Structural Models,Rank‐based Measures,12
Others_Measure,"Demographic Differences in Mobility (Race, Gender, etc.)",12
No dataset,Absolute Mobility Measures,11
Perceptions of Mobility and Attitudes,Regression‐based Measures,11
Linked Administrative Data,Others_DataType,11
Measurement and Methodological Advances,Others_DataType,11
Others_DataType,"Policy, Institutional, and Geographic Impacts",11
Perceptions of Mobility and Attitudes,Empirical Estimates and Determinants,10
Theoretical and Structural Models,Transition Matrix / Probability Measures,10
National Survey Data,Others_Measure,10
Absolute Mobility Measures,Others_Measure,10
Absolute Mobility Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",10
Linked Administrative Data,Linked Administrative Data,9
Perceptions of Mobility and Attitudes,Intergenerational Wealth Mobility and Inheritance,9
Absolute Mobility Measures,Others_DataType,9
Panel/Longitudinal Surveys,Others_DataType,9
"Policy, Institutional, and Geographic Impacts",National Survey Data,9
Transition Matrix / Probability Measures,National Survey Data,9
Measurement and Methodological Advances,"Policy, Institutional, and Geographic Impacts",9
Transition Matrix / Probability Measures,"Policy, Institutional, and Geographic Impacts",9
Others_DataType,"Demographic Differences in Mobility (Race, Gender, etc.)",9
Perceptions of Mobility and Attitudes,Panel/Longitudinal Surveys,8
Others_DataType,Measurement and Methodological Advances,8
Intergenerational Wealth Mobility and Inheritance,Others_DataType,8
Others_DataType,Theoretical and Structural Models,8
"Demographic Differences in Mobility (Race, Gender, etc.)",Administrative/Registry Data,8
Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",8
Natural/Experimental Data,Rank‐based Measures,8
National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",8
"Policy, Institutional, and Geographic Impacts",Absolute Mobility Measures,7
Others_RqType,Empirical Estimates and Determinants,7
Natural/Experimental Data,Transition Matrix / Probability Measures,7
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Panel/Longitudinal Surveys,7
Transition Matrix / Probability Measures,Measurement and Methodological Advances,7
Others_Measure,Others_Measure,7
Transition Matrix / Probability Measures,Others_Measure,7
Absolute Mobility Measures,National Survey Data,7
Theoretical and Structural Models,Administrative/Registry Data,7
Others_Measure,"Policy, Institutional, and Geographic Impacts",7
National Survey Data,"Policy, Institutional, and Geographic Impacts",7
"Demographic Differences in Mobility (Race, Gender, etc.)",Decomposition / Structural Approaches,7
Decomposition / Structural Approaches,Absolute Mobility Measures,6
Transition Matrix / Probability Measures,Absolute Mobility Measures,6
Perceptions of Mobility and Attitudes,Linked Administrative Data,6
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Intergenerational Wealth Mobility and Inheritance,6
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Regression‐based Measures,6
Others_RqType,No dataset,6
Natural/Experimental Data,No dataset,6
Natural/Experimental Data,Panel/Longitudinal Surveys,6
Decomposition / Structural Approaches,Measurement and Methodological Advances,6
Decomposition / Structural Approaches,Others_Measure,6
"Demographic Differences in Mobility (Race, Gender, etc.)",Theoretical and Structural Models,6
No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",6
Perceptions of Mobility and Attitudes,No dataset,5
Perceptions of Mobility and Attitudes,Transition Matrix / Probability Measures,5
"Policy, Institutional, and Geographic Impacts",Measurement and Methodological Advances,5
National Survey Data,Others_DataType,5
Theoretical and Structural Models,National Survey Data,5
Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",5
Natural/Experimental Data,Decomposition / Structural Approaches,5
Perceptions of Mobility and Attitudes,Rank‐based Measures,5
Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance,4
Others_Measure,Others_DataType,4
No dataset,Others_DataType,4
Transition Matrix / Probability Measures,Others_DataType,4
"Policy, Institutional, and Geographic Impacts",Others_Measure,4
Theoretical and Structural Models,"Policy, Institutional, and Geographic Impacts",4
"Policy, Institutional, and Geographic Impacts","Demographic Differences in Mobility (Race, Gender, etc.)",4
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Linked Administrative Data,3
Others_RqType,Intergenerational Wealth Mobility and Inheritance,3
Others_RqType,Measurement and Methodological Advances,3
Theoretical and Structural Models,Measurement and Methodological Advances,3
Natural/Experimental Data,Theoretical and Structural Models,3
National Survey Data,National Survey Data,3
Others_RqType,Administrative/Registry Data,3
Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",3
"Demographic Differences in Mobility (Race, Gender, etc.)","Policy, Institutional, and Geographic Impacts",3
Regression‐based Measures,Natural/Experimental Data,3
Panel/Longitudinal Surveys,Natural/Experimental Data,3
Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",3
Perceptions of Mobility and Attitudes,Decomposition / Structural Approaches,3
Absolute Mobility Measures,Perceptions of Mobility and Attitudes,3
Decomposition / Structural Approaches,"Demographic Differences in Mobility (Race, Gender, etc.)",3
Theoretical and Structural Models,Absolute Mobility Measures,2
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Absolute Mobility Measures,2
Perceptions of Mobility and Attitudes,Absolute Mobility Measures,2
"Demographic Differences in Mobility (Race, Gender, etc.)",Absolute Mobility Measures,2
Others_RqType,Linked Administrative Data,2
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Empirical Estimates and Determinants,2
Others_RqType,Panel/Longitudinal Surveys,2
"Policy, Institutional, and Geographic Impacts",Others_DataType,2
Theoretical and Structural Models,Others_Measure,2
"Demographic Differences in Mobility (Race, Gender, etc.)",Others_Measure,2
Others_RqType,Theoretical and Structural Models,2
Others_DataType,National Survey Data,2
Others_RqType,National Survey Data,2
Perceptions of Mobility and Attitudes,National Survey Data,2
Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
Empirical Estimates and Determinants,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
Others_RqType,Decomposition / Structural Approaches,2
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Rank‐based Measures,2
Measurement and Methodological Advances,Perceptions of Mobility and Attitudes,2
Others_DataType,Perceptions of Mobility and Attitudes,2
Rank‐based Measures,Perceptions of Mobility and Attitudes,2
National Survey Data,Perceptions of Mobility and Attitudes,2
Others_DataType,Others_Measure,2
Theoretical and Structural Models,"Demographic Differences in Mobility (Race, Gender, etc.)",2
Natural/Experimental Data,Absolute Mobility Measures,1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",No dataset,1
Others_RqType,Transition Matrix / Probability Measures,1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Transition Matrix / Probability Measures,1
Natural/Experimental Data,Measurement and Methodological Advances,1
"Demographic Differences in Mobility (Race, Gender, etc.)",Measurement and Methodological Advances,1
Decomposition / Structural Approaches,Others_DataType,1
"Demographic Differences in Mobility (Race, Gender, etc.)",Others_DataType,1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Others_Measure,1
Others_RqType,Others_Measure,1
Natural/Experimental Data,Others_Measure,1
Perceptions of Mobility and Attitudes,Theoretical and Structural Models,1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Theoretical and Structural Models,1
"Demographic Differences in Mobility (Race, Gender, etc.)",National Survey Data,1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",National Survey Data,1
Natural/Experimental Data,Administrative/Registry Data,1
Intergenerational Wealth Mobility and Inheritance,Natural/Experimental Data,1
Transition Matrix / Probability Measures,Natural/Experimental Data,1
"Policy, Institutional, and Geographic Impacts",Natural/Experimental Data,1
Empirical Estimates and Determinants,Natural/Experimental Data,1
Transition Matrix / Probability Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
Measurement and Methodological Advances,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
Others_Measure,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
Administrative/Registry Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Decomposition / Structural Approaches,1
Others_Measure,Perceptions of Mobility and Attitudes,1
Decomposition / Structural Approaches,Perceptions of Mobility and Attitudes,1
Perceptions of Mobility and Attitudes,Administrative/Registry Data,1
Natural/Experimental Data,"Demographic Differences in Mobility (Race, Gender, etc.)",1
