from_type,from_val,to_type,to_val,source,weight
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,65
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,63
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,62
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,61
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,61
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,60
RqType,Empirical Estimates and Determinants,DataType,International Panel Data,citation,60
DataType,Panel/Longitudinal Surveys,DataType,Linked Administrative Data,citation,59
DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,citation,59
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,59
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,58
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,57
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,56
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,54
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,54
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,54
RqType,Empirical Estimates and Determinants,RqType,Theoretical and Structural Models,citation,54
RqType,Empirical Estimates and Determinants,Measure,Decomposition / Structural Approaches,citation,54
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,54
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,53
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Theoretical and Structural Models,citation,53
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,citation,53
DataType,Linked Administrative Data,DataType,Linked Administrative Data,citation,52
DataType,Linked Administrative Data,Measure,Rank‐based Measures,citation,52
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,51
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,51
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,49
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,49
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,49
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,49
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,49
DataType,Panel/Longitudinal Surveys,DataType,Administrative/Registry Data,citation,49
Measure,Rank‐based Measures,DataType,Linked Administrative Data,citation,48
Measure,Rank‐based Measures,Measure,Rank‐based Measures,citation,48
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,48
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,47
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,47
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,46
DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,citation,45
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,citation,45
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,45
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,44
Measure,Regression‐based Measures,DataType,No dataset,citation,44
DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,44
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,44
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,43
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,43
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,43
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,42
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,42
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,41
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,41
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,41
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,41
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,40
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,40
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,40
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,40
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,40
RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,40
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,citation,39
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,38
Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,citation,38
DataType,No dataset,DataType,Linked Administrative Data,citation,38
DataType,No dataset,Measure,Rank‐based Measures,citation,38
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,38
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,38
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,38
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,38
DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,citation,37
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,37
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,37
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,37
DataType,Administrative/Registry Data,DataType,Linked Administrative Data,citation,36
DataType,Administrative/Registry Data,Measure,Rank‐based Measures,citation,36
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,36
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,36
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,International Panel Data,citation,35
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,35
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,35
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,35
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,35
DataType,Panel/Longitudinal Surveys,DataType,No dataset,citation,35
DataType,Panel/Longitudinal Surveys,RqType,Theoretical and Structural Models,citation,35
DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,citation,35
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,35
RqType,Measurement and Methodological Advances,DataType,Linked Administrative Data,citation,35
RqType,Measurement and Methodological Advances,Measure,Rank‐based Measures,citation,35
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,34
Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,citation,34
Measure,Rank‐based Measures,Measure,Transition Matrix / Probability Measures,citation,34
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,33
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,National Survey Data,citation,33
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,33
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,33
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,33
DataType,Panel/Longitudinal Surveys,DataType,International Panel Data,citation,33
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,33
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,33
DataType,National Survey Data,Measure,Regression‐based Measures,citation,33
Measure,Regression‐based Measures,DataType,No dataset,citation,32
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,32
Measure,Decomposition / Structural Approaches,DataType,Linked Administrative Data,citation,32
Measure,Decomposition / Structural Approaches,Measure,Rank‐based Measures,citation,32
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,32
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,32
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,32
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,32
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,32
DataType,Panel/Longitudinal Surveys,DataType,National Survey Data,citation,32
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,32
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,31
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,31
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,31
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,31
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,31
DataType,No dataset,DataType,No dataset,citation,31
DataType,No dataset,RqType,Theoretical and Structural Models,citation,31
DataType,No dataset,Measure,Decomposition / Structural Approaches,citation,31
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,30
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,30
DataType,No dataset,Measure,Transition Matrix / Probability Measures,citation,30
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,29
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,29
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,29
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,29
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,29
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,29
RqType,Empirical Estimates and Determinants,DataType,National Survey Data,citation,29
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,29
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,29
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,29
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Empirical Estimates and Determinants,citation,29
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,28
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,28
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,28
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,27
DataType,Linked Administrative Data,DataType,No dataset,citation,27
DataType,Linked Administrative Data,RqType,Theoretical and Structural Models,citation,27
DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,citation,27
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,27
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,27
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,27
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,27
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,27
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,27
RqType,Measurement and Methodological Advances,Measure,Transition Matrix / Probability Measures,citation,27
DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,citation,27
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,26
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Linked Administrative Data,citation,26
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Rank‐based Measures,citation,26
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,26
RqType,Empirical Estimates and Determinants,RqType,Measurement and Methodological Advances,citation,26
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,26
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,26
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,26
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,26
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,26
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,25
DataType,Linked Administrative Data,DataType,International Panel Data,citation,25
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,25
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,25
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,25
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,25
DataType,Panel/Longitudinal Surveys,DataType,No dataset,citation,25
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,25
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,25
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,25
DataType,Administrative/Registry Data,DataType,No dataset,citation,24
DataType,Administrative/Registry Data,RqType,Theoretical and Structural Models,citation,24
DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,citation,24
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,24
RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,24
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,24
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,24
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,24
DataType,No dataset,Measure,Regression‐based Measures,citation,24
Measure,Decomposition / Structural Approaches,Measure,Transition Matrix / Probability Measures,citation,24
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,23
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,23
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,23
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,23
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,23
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,23
DataType,Panel/Longitudinal Surveys,RqType,Measurement and Methodological Advances,citation,23
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,23
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,23
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,23
Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,23
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,23
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,23
DataType,No dataset,Measure,Regression‐based Measures,citation,23
Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,22
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,22
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Measurement and Methodological Advances,citation,22
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,citation,22
RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,citation,22
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,22
DataType,Panel/Longitudinal Surveys,DataType,No dataset,citation,22
Measure,Decomposition / Structural Approaches,DataType,No dataset,citation,22
Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,citation,22
Measure,Decomposition / Structural Approaches,Measure,Decomposition / Structural Approaches,citation,22
Measure,Rank‐based Measures,DataType,Panel/Longitudinal Surveys,citation,22
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,22
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,22
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,22
DataType,Administrative/Registry Data,DataType,International Panel Data,citation,22
Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,21
DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,21
RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,citation,21
Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,citation,21
DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,citation,21
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,21
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,21
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,21
Measure,Regression‐based Measures,Measure,Decomposition / Structural Approaches,citation,21
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,21
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,21
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,21
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,21
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,21
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,21
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,21
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,citation,21
DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,21
DataType,No dataset,DataType,International Panel Data,citation,21
Measure,Rank‐based Measures,DataType,No dataset,citation,21
Measure,Rank‐based Measures,RqType,Theoretical and Structural Models,citation,21
Measure,Rank‐based Measures,Measure,Decomposition / Structural Approaches,citation,21
Measure,Rank‐based Measures,DataType,Linked Administrative Data,citation,21
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,20
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,20
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,20
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,20
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,20
RqType,Empirical Estimates and Determinants,Measure,Rank‐based Measures,citation,20
RqType,Empirical Estimates and Determinants,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,20
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,20
Measure,Transition Matrix / Probability Measures,DataType,Linked Administrative Data,citation,20
Measure,Transition Matrix / Probability Measures,Measure,Rank‐based Measures,citation,20
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,20
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,20
RqType,Measurement and Methodological Advances,DataType,Administrative/Registry Data,citation,20
DataType,National Survey Data,DataType,No dataset,citation,20
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,20
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,20
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,20
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,20
Measure,Regression‐based Measures,DataType,No dataset,citation,20
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,20
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,20
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,20
DataType,No dataset,Measure,Regression‐based Measures,citation,20
Measure,Absolute Mobility Measures,DataType,Linked Administrative Data,citation,19
Measure,Absolute Mobility Measures,Measure,Rank‐based Measures,citation,19
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,citation,19
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,19
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,19
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,19
Measure,Regression‐based Measures,DataType,No dataset,citation,19
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,19
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,19
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,19
DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,citation,19
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,19
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,19
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,19
Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,citation,19
DataType,National Survey Data,DataType,Linked Administrative Data,citation,19
DataType,National Survey Data,Measure,Rank‐based Measures,citation,19
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,19
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Transition Matrix / Probability Measures,citation,19
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,18
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,18
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,citation,18
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,18
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,18
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,18
DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,citation,18
DataType,Panel/Longitudinal Surveys,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,18
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,18
RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,18
DataType,Linked Administrative Data,DataType,Administrative/Registry Data,citation,18
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,18
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,18
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,18
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,18
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,18
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,18
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,18
Measure,Regression‐based Measures,DataType,No dataset,citation,18
Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",citation,18
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,18
Measure,Regression‐based Measures,Measure,Others_Measure,citation,18
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,18
DataType,No dataset,Measure,Regression‐based Measures,citation,18
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,18
Measure,Rank‐based Measures,DataType,International Panel Data,citation,18
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,18
Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,citation,17
Measure,Rank‐based Measures,DataType,Administrative/Registry Data,citation,17
Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,17
DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,17
RqType,Empirical Estimates and Determinants,RqType,"Policy, Institutional, and Geographic Impacts",citation,17
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,17
DataType,Panel/Longitudinal Surveys,DataType,Linked Administrative Data,citation,17
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,17
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,17
RqType,Measurement and Methodological Advances,DataType,International Panel Data,citation,17
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,17
RqType,Measurement and Methodological Advances,DataType,Panel/Longitudinal Surveys,citation,17
DataType,National Survey Data,Measure,Regression‐based Measures,citation,17
DataType,Administrative/Registry Data,DataType,Panel/Longitudinal Surveys,citation,17
DataType,Administrative/Registry Data,DataType,Linked Administrative Data,citation,17
DataType,Linked Administrative Data,DataType,Linked Administrative Data,citation,17
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,17
DataType,Linked Administrative Data,DataType,No dataset,citation,17
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,17
DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,17
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,17
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,17
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,17
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Rank‐based Measures,citation,17
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,17
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,17
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,17
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,17
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,17
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,17
