from_type,from_val,to_type,to_val,from_paper,to_paper,weight
Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2896751489,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W2896751489,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W2920476039,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2920476039,https://openalex.org/W2564827629,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,https://openalex.org/W2920476039,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2947666646,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W2947666646,https://openalex.org/W2564827629,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W2947666646,https://openalex.org/W2564827629,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W3022704615,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3022704615,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3037705751,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3037705751,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W3037705751,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3039606322,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3039606322,https://openalex.org/W2564827629,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W3039606322,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3119775080,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3119775080,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3119775080,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3121144081,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3121144081,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W3123816425,https://openalex.org/W2564827629,1
Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3123816425,https://openalex.org/W2564827629,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Absolute Mobility Measures,https://openalex.org/W3123816425,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3125052842,https://openalex.org/W2564827629,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W3125052842,https://openalex.org/W2564827629,1
Measure,Non‐parametric Approaches,Measure,Absolute Mobility Measures,https://openalex.org/W3125052842,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3128702014,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3128702014,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W3128702014,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3128702014,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3163153651,https://openalex.org/W2564827629,1
Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3163153651,https://openalex.org/W2564827629,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W3163153651,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3163153651,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3190097825,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3190097825,https://openalex.org/W2564827629,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,https://openalex.org/W3190097825,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3190102834,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3190102834,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3190102834,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3197901707,https://openalex.org/W2564827629,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,https://openalex.org/W3197901707,https://openalex.org/W2564827629,1
DataType,Opportunity Atlas,Measure,Absolute Mobility Measures,https://openalex.org/W3197901707,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3204735205,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3204735205,https://openalex.org/W2564827629,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W3204735205,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W3207067564,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3207067564,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3207067564,https://openalex.org/W2564827629,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W3216038618,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3216038618,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W3216038618,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4283657131,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4283657131,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4296277673,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4296277673,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4296277673,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W2564827629,1
Measure,Decomposition / Structural Approaches,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W2564827629,1
Measure,Multigenerational Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4383346553,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4383346553,https://openalex.org/W2564827629,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W4383346553,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4386370708,https://openalex.org/W2564827629,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W4386370708,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4386370708,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4388938469,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W4388938469,https://openalex.org/W2564827629,1
Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4388938469,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4390066466,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4390066466,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4390066466,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4390693054,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4390693054,https://openalex.org/W2564827629,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,https://openalex.org/W4390693054,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W2564827629,1
DataType,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4401242778,https://openalex.org/W2564827629,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,https://openalex.org/W4401242778,https://openalex.org/W2564827629,1
DataType,Natural/Experimental Data,Measure,Absolute Mobility Measures,https://openalex.org/W4401242778,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4402066912,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4402066912,https://openalex.org/W2564827629,1
DataType,International Panel Data,Measure,Absolute Mobility Measures,https://openalex.org/W4402066912,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W4402923847,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4402923847,https://openalex.org/W2564827629,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W4402923847,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4402986304,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4402986304,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4402986304,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4403370613,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4403370613,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4403370613,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4403370613,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W2564827629,1
DataType,Big Data,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W3208235548,https://openalex.org/W3041900243,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3208235548,https://openalex.org/W3041900243,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4283657131,https://openalex.org/W3041900243,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4283657131,https://openalex.org/W3041900243,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W3041900243,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W3041900243,1
Measure,Decomposition / Structural Approaches,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W3041900243,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W3041900243,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W3041900243,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W3041900243,1
Measure,Multigenerational Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4381660505,https://openalex.org/W3041900243,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4386370708,https://openalex.org/W3041900243,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W4386370708,https://openalex.org/W3041900243,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4386370708,https://openalex.org/W3041900243,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4393244952,https://openalex.org/W4393244952,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4393244952,https://openalex.org/W4393244952,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3204735205,https://openalex.org/W4393244952,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3204735205,https://openalex.org/W4393244952,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W3204735205,https://openalex.org/W4393244952,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4399290172,https://openalex.org/W4393244952,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W4399290172,https://openalex.org/W4393244952,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W4393244952,1
DataType,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W4393244952,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W4393244952,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4393244952,https://openalex.org/W3208235548,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4393244952,https://openalex.org/W3208235548,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W3208235548,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W3208235548,1
Measure,Decomposition / Structural Approaches,Measure,Absolute Mobility Measures,https://openalex.org/W4312204683,https://openalex.org/W3208235548,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W3208235548,1
DataType,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W3208235548,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W3208235548,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W3207067564,https://openalex.org/W3166017557,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3207067564,https://openalex.org/W3166017557,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3207067564,https://openalex.org/W3166017557,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4381666160,https://openalex.org/W4289222991,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W4381666160,https://openalex.org/W4289222991,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4381666160,https://openalex.org/W4289222991,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4387158607,https://openalex.org/W4289222991,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4387158607,https://openalex.org/W4289222991,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4387158607,https://openalex.org/W4289222991,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4402546895,https://openalex.org/W4289222991,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4402546895,https://openalex.org/W4289222991,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W4402546895,https://openalex.org/W4289222991,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W4289222991,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W4289222991,1
DataType,Big Data,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W4289222991,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2802089178,https://openalex.org/W2470832101,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2802089178,https://openalex.org/W2470832101,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W2802089178,https://openalex.org/W2470832101,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W3027769937,https://openalex.org/W2470832101,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3027769937,https://openalex.org/W2470832101,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W3027769937,https://openalex.org/W2470832101,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2900408224,https://openalex.org/W2470832101,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W2900408224,https://openalex.org/W2470832101,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2900408224,https://openalex.org/W2470832101,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2943421593,https://openalex.org/W2470832101,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2943421593,https://openalex.org/W2470832101,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W2943421593,https://openalex.org/W2470832101,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W3001385022,https://openalex.org/W2470832101,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3001385022,https://openalex.org/W2470832101,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W3001385022,https://openalex.org/W2470832101,1
Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4285024880,https://openalex.org/W2008396968,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W4285024880,https://openalex.org/W2008396968,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4285024880,https://openalex.org/W2008396968,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W3045264130,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W3045264130,1
DataType,Big Data,Measure,Absolute Mobility Measures,https://openalex.org/W4407152405,https://openalex.org/W3045264130,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W3088079582,1
DataType,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W3088079582,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4399529338,https://openalex.org/W3088079582,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4390066466,https://openalex.org/W2119977186,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4390066466,https://openalex.org/W2119977186,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4390066466,https://openalex.org/W2119977186,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2918831213,https://openalex.org/W1502476793,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2918831213,https://openalex.org/W1502476793,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W2918831213,https://openalex.org/W1502476793,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W3178385122,https://openalex.org/W1502476793,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3178385122,https://openalex.org/W1502476793,1
DataType,Others,Measure,Absolute Mobility Measures,https://openalex.org/W3178385122,https://openalex.org/W1502476793,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W4252952688,https://openalex.org/W1502476793,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4252952688,https://openalex.org/W1502476793,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W4252952688,https://openalex.org/W1502476793,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2914094440,https://openalex.org/W1523582143,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W2914094440,https://openalex.org/W1523582143,1
DataType,University/Institution Data,Measure,Absolute Mobility Measures,https://openalex.org/W2914094440,https://openalex.org/W1523582143,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2947666646,https://openalex.org/W1523582143,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W2947666646,https://openalex.org/W1523582143,1
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,https://openalex.org/W2947666646,https://openalex.org/W1523582143,1
