id,rq_cat,rq_type
27,3,"How do institutional factors—specifically secure property rights and lower levels of corruption—influence entrepreneurship, and through this mechanism, affect income mobility?"
28,2,"The paper primarily asks: “Are the empirical estimates of intergenerational income mobility in Britain—specifically, the apparent decline in mobility over different cohorts and its comparison with other countries—robust and reliable?” In doing so, it re‐examines established evidence and questions how research findings (and their impact on policymaking) may not accurately reflect underlying social reality."
29,2,"How does intergenerational earnings mobility manifest across first‐, second‐, and third‐generation immigrants in Sweden, and what are the determinants of the observed regression towards the native earnings mean?"
30,2,"The paper empirically investigates how exposure to immigration affects natives' social mobility as measured by relative prime age labor market outcomes based on parent’s earnings rank. In particular, it asks: 'How does immigration—differentiating between low‐income and high‐income source countries—affect the social gradient in economic performance among natives?'"
31,7,What mechanisms and theoretical models can explain the positive relationship between cross‐sectional income inequality and the persistence of income across generations (the Great Gatsby Curve)?
32,6,"The paper investigates how upward and downward income mobility relates to non-income outcomes, specifically health and well-being. The exact research questions include: (1) How does upward income mobility relate to subsequent perceived stress, depressive symptoms, and metabolic syndrome? (2) What are the health implications of downward mobility on these indicators? (3) Do these mobility-health associations differ between individuals born in the middle and later parts of the 20th century?"
33,2,"The research question can be understood as: What are the empirical levels of income mobility (or immobility) in India using IHDS data, and what determinants (e.g., differences in education between father and child, disparities among socio-economic groups such as Scheduled Tribes) influence income mobility?"
34,4,"The paper investigates how intergenerational inheritance of ability affects income distribution—specifically, its impact on per capita income, income variance, and overall welfare—and evaluates whether and how progressive income tax can enhance social mobility, essentially asking: 'What are the effects of genetic inheritance on economic outcomes across generations, and can progressive taxation serve as a policy tool to improve social mobility?'"
35,2,"How does educational assortative mating influence overall income mobility—both intergenerational and intragenerational—by affecting the distribution of educational resources among families, and in particular, how does it impact the low‐income group’s ability to improve their income status?"
36,4,"This paper aims to answer: How significant is the intergenerational transmission of poverty—specifically through earnings—in rural China, and what is the mechanism by which human capital investments (such as education and skill acquisition) mediate this intergenerational mobility process? It also explores how these elasticities compare to urban areas."
37,7,The paper asks: How would human capital development and intergenerational income mobility be affected when cognitive and non‐cognitive skills are differentiated and a multistage human capital development process is taken into account? It develops structural models to explore these dynamics.
38,2,"The paper empirically investigates how including imputed rents in income measurements affects estimates of intergenerational income mobility across three countries. In other words, it asks: 'To what extent does accounting for imputed rents change our understanding of intergenerational income mobility?'"
39,4,"The paper investigates intergenerational income mobility among immigrants by comparing the economic performance of the first, second, and third generations (compared to natives) and develops a theoretical model to explain the observed inverted U-shaped pattern of earnings across generations."
40,2,How do variations in different forms of social capital—particularly economic connectedness between low-SES and high-SES individuals—relate to and potentially drive differences in upward income mobility?
41,6,The paper aims to answer: How does intergenerational social mobility in education and income affect self-rated health among Canadian adults?
42,2,"The paper empirically examines how income mobility affects the consuming welfare of urban male heads of household in Iran. In particular, it investigates: (1) How income mobility influences consuming welfare and the consumption gap between individuals, and (2) whether different generations (e.g., middle age vs. young) exhibit different levels of income mobility and opportunity inequality."
43,8,"The paper asks whether people perceive that their standard of living has improved relative to their parents, focusing on the subjective experience of upward mobility and examining differences across educational, racial/ethnic, and geographic groups."
44,4,"The research asks: To what extent does incorporating both mothers and fathers along with a multidimensional view of stratification—and accounting for measurement error and omitted variable bias (e.g., from unobserved cognitive ability)—affect the estimated size and significance of three‐generation income/wealth transmission? In other words, can the previously observed grandparent effects be seen as artifacts of data quality and specification choices in the study of intergenerational wealth mobility?"
45,8,"The research question examines how Americans perceive economic mobility, specifically by asking: How accurately do U.S. residents estimate both relative and absolute economic mobility (upward and downward) across different parental income quintiles, and how do these perceptions vary with partisan leanings?"
46,4,"How do threshold effects in parental education and skills, interacting with offspring characteristics, create nonlinearities in the intergenerational mobility process (i.e., status traps) that inhibit upward mobility?"
47,2,"The paper asks: 'To what extent is a mother's economic independence and income level—especially when comparable to the father's—associated with her children's upward income mobility, and how do these effects differ between daughters and sons?'"
48,1,"The research questions center on how to measure social mobility: Should the focus be on relative mobility (whether people are better off than their parents) or on absolute mobility (the magnitude of movement up and down the income ladder), including addressing technical challenges in capturing the replication of inequality across generations?"
49,2,"The paper aims to answer questions such as what factors (e.g., education, opportunities, economic status) determine intergenerational social mobility, how these determinants are linked to income inequality, and what implications this has for welfare and economic efficiency (thereby informing policy measures)."
50,2,"The paper poses empirical questions focusing on the determinants and extent of class-based earnings disparities. Specifically, it asks: How does class origin shape earnings in higher professional and managerial occupations, what is the level of access to various high-status occupations for individuals from non-privileged backgrounds, and why do upwardly mobile individuals from lower classes earn less even after securing high-status positions?"
51,3,"The paper investigates whether postponing school tracking – a policy and institutional intervention – affects the association between pupils' educational achievement and parental background, thereby influencing intergenerational social mobility and income mobility. In essence, the research question is: 'Does delaying school tracking reduce the efficiency–equality trade-off by weakening the link between parental background and students' outcomes, leading to greater income mobility across generations?'"
52,2,"Empirical Estimates and Determinants – The paper asks: What are the determinants of academic and economic mobility among middle school students? Specifically, it evaluates how academic ability and family socioeconomic status interact in predicting baccalaureate degree attainment and subsequent economic mobility as young adults."
53,4,"The research question examines whether Chicago's business elites built their own fortunes or inherited wealth, highlighting intergenerational wealth mobility within the context of a rapidly growing economy."
54,3,"How did China's One Child Policy (OCP) influence child poverty and the degree of intergenerational mobility (in terms of educational attainment and income), particularly in relation to family size, birth order, and gender differences, across various income provinces in urban China?"
55,4,"The paper examines how extensive state interventions—specifically due to war reparations—and the resulting structural change in local industrial composition influenced long-term individual outcomes, particularly in terms of income, education, and upward intergenerational mobility."
56,2,"How do migration, education, and participation in nonfarm employment affect the intergenerational transmission of poverty, enabling children from poor, landless households to escape poverty in rural Philippines?"
57,2,Empirical Estimates and Determinants: The paper investigates absolute income mobility trends for postwar German birth cohorts (1962 to 1988) and examines the role of declining economic growth and rising income inequality as determinants of these mobility trends.
58,7,"The paper’s research questions focus on developing and testing theoretical models of income dynamics that explain the observed Great Gatsby Curve. Specifically, it asks: How do varied behavioral mechanisms (family investments, skills, social influences, political economy, and aspirations) give rise to the positive relationship between income inequality and intergenerational income persistence?"
59,4,"The research question is: 'How does multigenerational exposure to neighborhood disadvantage in childhood affect adult income, and in particular, how do these associations vary by race and ethnicity (i.e., among Whites, Blacks, and Latinos)?'"
60,2,"The study empirically examines whether and how county-level measures of concentrated disadvantage (e.g., poverty rate, racial segregation, job growth) are associated with various outcomes of upward mobility (e.g., household income, college graduation, incarceration, marriage) among men from low-income backgrounds across U.S. and Pennsylvania counties."
61,2,"What are the determinants of elite entry among college-educated Swedish males? The study explores how factors such as field of study, choice of college or university, personality, cognitive ability, and having kin in elite positions affect the chances of moving into elite positions through external recruitment or internal promotion."
62,2,"The paper poses questions such as: 'What are the determinants of social mobility and through which channels (e.g., inherited bequests, education, skills) does parental income or family background influence offspring income?' It further examines how these dynamics relate to inequality and overall economic welfare."
63,2,The paper poses empirical questions such as: How many generations does it typically take for children from the poorest 10% to reach median income levels? What proportion of children from wealthy families remain wealthy? How do these mobility estimates vary across different outcomes (income vs. jobs vs. education vs. health) and across countries? These questions focus on estimating intergenerational mobility and its determinants.
64,4,"The paper asks whether higher transitory parental income permanently increases children’s income—that is, it investigates intergenerational income mobility—and further decomposes this transmission into human capital versus financial channels."
65,7,"The paper aims to answer what theoretical and structural mechanisms (including family investments, skills, social influences, political economy, and aspirations) underlie the positive relationship between cross‐section income inequality and intergenerational income persistence (the Great Gatsby Curve), as well as reviewing empirical evidence supporting this relationship."
66,2,"Does urban sprawl negatively affect upward mobility in U.S. commuting zones, and if so, what are the direct (e.g., job accessibility) and indirect (e.g., income segregation) mechanisms through which this effect operates?"
67,1,"The paper’s research question is methodological: it asks how dynamic fairness—defined via the distribution of economic prospects—is jointly determined by inequality and exchange mobility, and how a generalized concentration curve can be used to measure and compare these features across different economic environments."
68,2,"The paper empirically investigates intergenerational mobility trends in Europe by estimating how social origins affect both educational attainment and adult income, with a special focus on the asymmetries in life chances (i.e. the persistently stronger advantages for those from privileged origins relative to the disappearing disadvantages of low origins)."
69,7,"How do culturally shaped reference groups influence intergenerational inequality transmission? Specifically, how do the composition of the reference group, the intensity and form of income comparisons, initial inequality between social origins, and available peer mobility information shape individuals’ investment behavior and thus affect intergenerational mobility outcomes?"
70,2,"The paper addresses an empirical estimation question by investigating whether the effect of education on income attainment diminishes across two generations in selected EU welfare states, and it explores the determinants of income beyond education (namely, social interconnectivity)."
71,4,"The research question examines intergenerational income mobility by asking whether individual ability or class origins plays a more substantial role in determining an individual's income position, essentially querying: 'Which counts more: ability or class?'"
72,2,"The paper investigates how return migration, along with socioeconomic status, demographic characteristics, and prior occupational outcomes (including intergenerational factors), influences labor market outcomes such as wage returns and overall social mobility among Jordanian migrants."
73,4,"The paper primarily investigates intergenerational income mobility, asking: 'How does intergenerational income mobility operate within the 1982 Birth Cohort in Pelotas, particularly across different levels of parental income, and what evidence is there for poverty and wealth traps?'"
74,4,"Research question: How does the requirement of a minimal standard of living for efficient learning, within a dynamic model of complete credit markets and dynastic utility-maximization, drive persistent intergenerational inequality in wealth, skill, and utility, leading to distinct 'rich' and 'poor' dynasties?"
75,2,"The paper aims to empirically estimate intergenerational earnings elasticity in Australia, examining how different measurement choices (e.g., occupational disaggregation, sample composition, and earnings measures) affect the elasticity estimates over time."
76,4,"The paper’s research question centers on intergenerational wealth/income mobility, specifically examining how easy it is for children of poor parents to become prosperous. It investigates empirical estimates (e.g., father-son income correlations) to assess mobility in the United States relative to other developed countries."
77,4,"The paper focuses on intergenerational wealth mobility by empirically investigating how socioeconomic factors — notably the social, human, and physical capital as well as labor characteristics of fathers — influence the upward mobility in income and wealth of sons in Pakistan. In essence, the research question asks: 'How do these intergenerational socioeconomic characteristics affect the upward mobility (in wealth and income) from fathers to sons?'"
78,6,"The paper primarily examines intergenerational mobility by linking income (a socioeconomic outcome) with a non-income health outcome (obesity). The research questions include: How can we measure and decompose the intergenerational disparity that simultaneously reflects changes in income rankings and health outcomes (obesity)? How do changes in income distributions versus obesity distributions contribute to the observed intergenerational disparities, and are there differences by gender (father‐son versus mother‐daughter pairs)?"
79,2,"The paper primarily asks: “How have intergenerational earnings mobility patterns changed over time in Norway, particularly in relation to a compressed income distribution? Additionally, what differences exist in mobility across the earnings spectrum (e.g., high, middle, and low) and between genders (sons vs. daughters)?”"
80,2,How do human capital and family background characteristics affect intergenerational income mobility across generations in Germany and the United States?
81,4,"The paper essentially asks: How closely tied is a person’s economic position (in terms of family income, wealth, and personal earnings) to that of their parents over generations? In addressing this, it examines the persistence of individuals at the top or bottom of the income ladder, the role of educational attainment (e.g., a four‐year college degree) in facilitating upward mobility, and the racial disparities in mobility outcomes."
82,4,"The paper examines whether entrepreneurship is inherited through examining if having an entrepreneur as a parent influences an individual's decision to become an entrepreneur, and whether entrepreneurial activity is linked to greater intergenerational upward wealth mobility, especially among those from the extremes of the socioeconomic spectrum."
83,2,"The paper asks: What are the determinants of intergenerational income persistence—specifically, how do cognitive skills, noncognitive traits, educational attainment and labour market attachment explain both the level of income persistence in the 1970 cohort and the decline in mobility between the 1958 and 1970 UK cohorts?"
84,3,The paper investigates whether redistributive policies—specifically those that lower the private costs of education or reduce labor income taxes for the poor—promote intergenerational earnings mobility and reduce lifetime earnings inequality.
85,4,"The paper primarily asks whether intergenerational economic success in the United States is determined by family background—that is, whether wealth, education, and race (including differences between African Americans and European Americans) translate into advantages passed from parent to child—and why standard channels like wealth inheritance, schooling, or even genetic IQ fail to fully explain the observed patterns of intergenerational status transmission."
86,1,"The paper primarily asks: How can surnames be used as an alternative and comparable measure of intergenerational mobility? In doing so, it explores methodological advances by developing a model to relate the informative content of surnames to income inheritance and examines the role of factors such as assortative mating."
87,2,"The paper empirically estimates the causal effect of a drug possession conviction on upward intergenerational income mobility among low‐income populations, while also examining how these effects differ by race (i.e., whether nonwhite individuals experience stronger negative impacts compared to whites)."
88,1,"The paper primarily examines measurement and methodological advances. It aims to answer: How does lifecycle bias, arising from using short snapshots of income, affect intergenerational mobility estimates, and how can measurement strategies—such as selecting the optimal age for income measurement and extending classical errors-in-variables models—reduce this bias?"
89,4,"The paper asks: What is the degree of intergenerational income (and earnings) mobility in Canada, and how do these mobility patterns, including non-linearities, vary across different points in the income distribution?"
90,1,"The paper’s research question focuses on how measurement issues—specifically, the use of short-term averages of fathers’ earnings as proxies for lifetime economic status and age-related variability in transitory earnings fluctuations—affect the estimation of intergenerational income elasticity (IGE), leading to potential underestimation of upward income mobility. This question is best categorized under Measurement and Methodological Advances."
91,2,"The paper asks empirical questions about whether social mobility has declined in Britain, examining divergent findings from income-based versus class-based measures. It investigates whether differences in the measurement (e.g., the adequacy of family income as a proxy for permanent income) and the influence of parental class on children’s outcomes can explain the differences in mobility estimates across cohorts."
92,4,"Research Question: How does intergenerational income mobility—specifically, the transmission of income from parents to children—differ between natives and immigrants in Switzerland, and what are the variations in these mobility patterns (including quantile-specific differences) among various ethnic groups?"
93,2,"How does intergenerational mobility in terms of occupational status, earnings, and household income vary across different educational levels (low attainment, bachelor, advanced degrees) in the U.S., and what role do parental resources (e.g., college selectivity, field of study) play in shaping this mobility?"
94,4,"The paper asks: 'What is the extent of intergenerational income mobility among Canadian men, and what is the magnitude of the income disadvantage in adulthood associated with being raised in a low income household?'"
95,4,"The paper asks how the introduction of aspirations and habits affects the distribution of wealth, particularly how these factors modify average wealth levels, intragenerational variability, and intergenerational mobility through the transmission of labor income shocks and bequests. This falls under the category of Intergenerational Wealth Mobility and Inheritance."
96,3,"The research question explores the extent of intergenerational income mobility and examines how political and policy factors—such as the 2009 recession, a widened safety net, immigration dynamics, and aspects of the education system—affect income mobility in Singapore."
97,4,The paper asks: 'What is the magnitude of intergenerational earnings mobility in Korea—measured via intergenerational earnings elasticity—and how does this compare to estimates in other developed and developing countries?'
98,4,"The paper investigates questions related to intergenerational wealth mobility and inheritance. In particular, it asks how the probabilities of upward and downward wealth mobility (via entrepreneurial opportunities and occupational choices) affect persistent wealth inequality, how substitutability between different forms of entrepreneurial ability influences the wealth distribution, and how various economic factors (like the interest rate) impact mobility probabilities and inequality."
99,4,"The research examines whether and to what extent intergenerational mobility—in terms of educational attainment, income, and employment status—is transmitted from first to second generation immigrants, and how ethnic capital (ethnicity) plays a role in this inheritance process."
100,2,"The paper investigates empirical estimates and determinants by asking: How has intergenerational income mobility in China evolved over the period 1988-2005, and to what extent do human capital, social capital, and wealth explain the observed mobility patterns?"
101,2,"How do human capital variables and family-background characteristics determine labor supply decisions, occupational (gender) segregation, and intergenerational income mobility in the United States and Germany, particularly in contexts of traditional versus more egalitarian role patterns?"
102,2,"Does the timing of parental income during different childhood periods (early childhood, middle childhood, and late adolescence) affect later educational outcomes, conditional on permanent income?"
103,2,"The paper empirically examines determinants of income inequality by investigating how post-Fordist and neoliberal restructuring have affected young adults’ earnings, resulting in growing inter- and intra-cohort income disparities. In essence, the research question is: 'How do the changes in labor market structures due to neoliberal and post-Fordist policies shape income inequality and the intergenerational income gap among young adults in Montreal and Vancouver?'"
104,2,"The paper empirically estimates and identifies determinants by examining the relationship between income inequality and intergenerational mobility with a particular focus on education. Specifically, it asks how income inequality is associated with various components of the intergenerational transmission process, including access to higher education, the financial returns on education, and the residual effect of parental education on labor-market earnings, thereby assessing whether educational attainment drives the observed association known as the Great Gatsby Curve."
105,2,"The research question aims to empirically assess the extent of intergenerational income mobility and the determinants influencing it (including parental socio-economic characteristics and social exclusion attributes), and to test whether these factors—as well as the relative risk of poverty—differ across countries with varying welfare state regimes, family role patterns, and social policy designs."
106,2,"How does intergenerational mobility correlate with various economic outcomes such as value added per capita, employment, schooling, and openness across Italian provinces, and does the Great Gatsby Curve hold within Italy? Additionally, what is the relationship between intergenerational mobility and socio-political outcomes like crime and life expectancy?"
107,2,"The research question examines how measures of assortative mating by parental educational attainment vary across OECD countries and how these measures are related to intergenerational income elasticity. In other words, the paper empirically estimates the degree of assortative mating and its correlation with intergenerational income mobility, addressing questions such as: 'Does a higher degree of assortative mating correspond to a higher intergenerational income elasticity?'"
108,5,"Do racial differences (specifically black-white differences) exist in intergenerational income mobility in the United States, and to what extent can differences in adolescent cognitive skills explain these disparities?"
109,4,"The paper asks: How does parental wealth—including measures such as total wealth and home ownership—affect intergenerational income mobility among black and white families, and in what ways does the impact vary by income level (e.g., low‐income vs. top half of the income distribution)? This falls under the category of Intergenerational Wealth Mobility and Inheritance."
110,4,"The paper seeks to answer: What is the extent and persistence of intergenerational income (economic wellbeing) mobility, including differences by gender (fathers and sons, fathers and daughters, mothers and sons, mothers and daughters) across EU-15 countries?"
111,4,"The paper asks whether entrepreneurship acts as a channel for intergenerational social mobility in Latin America – specifically, does engaging in entrepreneurship entail higher chances of upward income mobility, thereby influencing the transmission of economic status from one generation to the next."
112,4,"The paper asks: How do family risk attitudes, particularly a father's risk attitude (and to a lesser extent the son's own), influence intergenerational mobility in education and income? In other words, do risk‐taking tendencies in fathers lead to higher educational and income mobility for sons, thereby uncovering mechanisms behind the intergenerational transmission of socio‐economic status?"
113,4,"The research questions focus on estimating intergenerational income mobility in China and investigating its distributional pattern. Specifically, it asks: What is the magnitude of China's intergenerational income mobility across different income groups? How does wealth transfer occur between generations, particularly with regard to the transmission of economic status from wealthy fathers and the higher mobility observed among poorer families?"
114,2,"Empirical Estimates and Determinants: The paper asks, 'What are the patterns of intergenerational mobility in income and earnings in the US, how much of the variation in children's log incomes is explained by parents' log incomes, and what is the additional impact of various family background characteristics on mobility?'"
115,4,"The paper investigates intergenerational income mobility by asking: What are the income elasticities (father‐son, father‐daughter, mother‐son, and mother‐daughter) in Taiwan? Is there a temporal trend in these elasticities? And through which channel — direct influence or via the propagation of children’s income shocks — does parental income affect children’s income, especially as revealed by structural quantile regression?"
116,7,"The paper develops a theoretical model to explore how redistributive taxation affects income inequality and intergenerational mobility, particularly under conditions of financial constraint. It aims to answer: How does an increase in redistribution influence equality, utility, and mobility when the poor are financially constrained versus unconstrained, and what roles do the size of redistribution and wage inequality play in explaining cross-country differences among OECD countries?"
117,4,"The paper examines the intergenerational transmission of wealth by asking: How does parental wealth influence various outcomes for adult children—such as educational attainment, consumption, asset holdings, home ownership, and home value? The study also explores whether these impacts vary by socio-economic context, particularly for disadvantaged groups."
118,2,"The research question centers on establishing empirical estimates of intergenerational income mobility among children of immigrants by comparing persistence rates with the overall population, examining determinants such as social capital (via father's education) through regression models, and contrasting these findings with the mobility dynamics observed in the United States."
119,4,"The paper aimed to answer the empirical research question: 'What is the degree of intergenerational wealth mobility, and how do various market, institutional, and genetic factors determine the transmission of material wealth (inheritance) from parents to children?'"
120,2,"The research question investigates empirical trends and determinants of intergenerational income mobility, specifically asking: How have intergenerational earnings correlations evolved for cohorts born after 1970, and what role do intermediate outcomes such as degree attainment, test scores, and non-cognitive abilities (which are linked to parental income) play in forecasting future mobility?"
121,2,"The paper primarily investigates empirical estimates of income mobility by assessing how individuals’ positions in the income distribution persist over time, including both long-term and intergenerational mobility. Specifically, it asks: How likely are individuals (or their descendants) in the top or bottom quintile in one period to remain there in later years?"
122,1,"The paper critically examines whether the prevailing measurement methods—specifically, the way economists use available income data without distinguishing between absolute and relative mobility—accurately capture intergenerational mobility trends in Britain, and what implications this has for the role of educational policy in addressing social mobility."
123,2,"The paper primarily asks: What is the intergenerational correlation between children's adult earnings and their parents' income, and how do factors such as longer-run income measures, gender differences, race differences, and liquidity constraints determine the strength of this relationship?"
124,2,"The paper poses empirical questions by asking: What is the degree of intergenerational income mobility in Italy (i.e., what is the intergenerational income elasticity), how do mobility patterns vary across the income distribution, and what role does education play in differentiating labor market outcomes for children from similar educational backgrounds but different family origins?"
125,7,"The paper frames a theoretical and structural model asking: What are the long‐term effects of public education spending, both total expenditure and the allocation between basic and advanced education, on human capital investment, net intergenerational mobility, the proportion of a skilled workforce, and the wealth levels of rich and poor dynasties? In other words, how does the initial distribution of wealth and abilities interact with education policy to shape economic mobility and wealth accumulation over time?"
126,2,"The paper empirically examines the relative impact of various channels—such as education, labor market attachment, occupation, marital status, and health—on the intergenerational mobility of earnings and income in the United States and Great Britain. One clear research question is: 'How do parental income and child characteristics (e.g., education, labor market attachment, occupation, marital status, and health) serve as pathways for intergenerational persistence in socioeconomic status, and how do these relationships differ between the two nations?'"
127,1,The paper primarily asks: How can opportunity inequality in Brazil be measured by combining theoretical and empirical approaches (using tools like TSIV and nonparametric local logistic regression) to assess intergenerational income mobility? This reflects a focus on measurement and methodological advances.
128,4,"The research question asks: How do intergenerational earnings mobility, the asymmetry between positive and negative bequests, parental altruism, the elasticity of the marginal utility of consumption, and the return on wealth shape the intergenerational transmission of inequality through bequests, and are the resulting model predictions consistent with observed patterns of wealth distribution?"
129,4,"The study asks: What is the magnitude of intergenerational income elasticity in China (i.e., how strongly does a father’s income predict his son’s income), and how does this measure differ between rural and urban areas?"
130,4,"The abstract poses research questions regarding intergenerational wealth mobility by asking: 'To what extent do young households (in terms of income and socioeconomic status) follow in their fathers' footsteps in Gothenburg, Sweden, before the rise of the welfare state?' It investigates the levels of income and socioeconomic mobility across two distinct periods (1925–1947 and 1936–1958)."
131,4,"The paper asks: How persistent is wealth across multiple generations, and can the stronger multi-generational wealth persistence observed via rare surname tracking be reconciled with standard one-generation mobility estimates through an underlying first order Markov process of wealth inheritance?"
