node,iter,std_x,std_y,avg_disp,mean_x,mean_y
Transition Matrix / Probability Measures,500,0.27431707810827655,0.2814012607780664,0.3752757857774245,-0.028767478716743417,0.03044826028360361
No dataset,500,0.34259022799564953,0.3810982418914925,0.493056509440221,0.09557728430184742,0.15707652409070313
Theoretical and Structural Models,500,0.4419442871496594,0.4518049427569561,0.6238233949793313,0.00934968404416132,-0.07774064919202109
Decomposition / Structural Approaches,500,0.3954382196552856,0.34710286437665905,0.519763419483983,0.018077263028070317,0.0394690025884391
Administrative/Registry Data,500,0.3199058475483118,0.3734223191975597,0.4834967799068311,-0.008677270306708276,-0.040620408801524475
International Panel Data,500,0.5016482827853168,0.44941833675389053,0.6605521600474469,-0.07721156297990597,0.07401571149442686
Panel/Longitudinal Surveys,500,0.21092378804293976,0.1718457537949796,0.2487151902054297,-0.034131622543705366,-0.05189317525980918
Intergenerational Wealth Mobility and Inheritance,500,0.2561720085215439,0.23270158643571706,0.32940244502729193,0.0419142595540063,0.045705489132763746
National Survey Data,500,0.28483643443688583,0.26022730165697033,0.36833553734337826,-0.002546428739091452,0.05752639379453851
Measurement and Methodological Advances,500,0.2833582035715159,0.35345520978267597,0.43869086404964397,0.056003507067047424,-0.06949142105716602
"Policy, Institutional, and Geographic Impacts",500,0.3094425921404898,0.3149020723959521,0.4205206462235188,-0.06826097380343168,-0.11646956736499113
"Demographic Differences in Mobility (Race, Gender, etc.)",500,0.3843534633733545,0.3496191118574268,0.49575618438637226,0.006713184376765655,-0.07226163156099813
Absolute Mobility Measures,500,0.3426736947715151,0.2927647413149994,0.4166878273308021,0.01756362061043553,-0.12189906521595957
Others_Measure,500,0.2443665676180644,0.22784030617318443,0.3124829598738523,-0.05388268528797485,0.02049557463834524
Others_DataType,500,0.42337127292955645,0.42562895541124984,0.5853233920378126,0.09030784308511094,0.06028451566355921
Archival/Historical Data,500,0.44959478703920075,0.3819026265037498,0.5739137633403331,0.0010605143658348984,-0.008103058464856847
Non‐parametric Approaches,500,0.23587750273748462,0.21269801850360567,0.2872828997894409,-0.021538773712725327,-0.08719807746446395
Natural/Experimental Data,500,0.573674181753517,0.4047519234637677,0.690676850563411,0.00768192073248606,0.04595710920271317
Opportunity Atlas,500,0.35540906764322616,0.4216193827583529,0.5251348081904321,-0.12084009093288345,0.02795516362441261
Multigenerational Measures,500,0.40981286952041646,0.46692227869998887,0.5900099485960977,0.14142214251845792,0.13058241778439966
Perceptions of Mobility and Attitudes,500,0.5172593149997324,0.504278782129752,0.7180063117207778,-0.03366671602166601,-0.03902047809310104
University/Institution Data,500,0.4829744414718561,0.41692847226054125,0.6252944534316187,-0.11109083201932296,-0.05534907384339406
Big Data,500,0.38275965557857866,0.5688967622671826,0.675570566290527,-0.13341429162854512,-0.014083440884590792
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",500,0.5509390735061482,0.4928878854179562,0.7310567417941628,0.010183998971834085,-0.16920182677057594
Others_RqType,500,0.4617392849317757,0.5266071254977301,0.669511402646357,0.1888151344026034,0.21629951723701119
Pseudo-Panel/Household Budget Survey,500,0.8412724244013927,0.6965762094923825,1.0852316308713745,0.0677643428261115,0.09132292013004499
Regression‐based Measures,1000,0.18890451829141483,0.199063544804201,0.24805311162774102,0.0333615233205206,0.0007461613313355785
Empirical Estimates and Determinants,1000,0.2690672682821418,0.2005491843381548,0.32012813862967493,0.010203124818543897,-0.017459533911480928
Linked Administrative Data,1000,0.31275591148794396,0.2838983079668241,0.4095924472729064,0.0737969182136096,-0.03196133547434635
Rank‐based Measures,1000,0.16520740405471748,0.17572824423681915,0.21655890080728868,0.001917349708034675,0.0243946174339615
Transition Matrix / Probability Measures,1000,0.3061867626521172,0.24706501348446058,0.37655350599648435,-0.06442275632687287,-0.0004932034273251372
No dataset,1000,0.3412687050883807,0.39438087186265347,0.5042722911677897,0.08086463301528755,0.08235225757494101
Theoretical and Structural Models,1000,0.446323123344537,0.4864320503490288,0.6565324919533182,0.010108304503858885,0.03628036553384963
Decomposition / Structural Approaches,1000,0.3504363941781928,0.42174263555885716,0.530371888935702,0.012977697820450924,0.04209717649023935
Administrative/Registry Data,1000,0.38902492828606444,0.3427755409989407,0.50850220172203,0.08336942544479707,-0.023347939369207427
International Panel Data,1000,0.49829707899050724,0.47908161341916505,0.6789385400106179,-0.1355410293000903,0.05061196968372675
Panel/Longitudinal Surveys,1000,0.2152372541835621,0.1869991865781267,0.25411811237369897,-0.0214385821770584,-0.03030915148771726
Intergenerational Wealth Mobility and Inheritance,1000,0.25102411829623006,0.2622790981982618,0.3544120430350684,-0.010409136857638255,-0.0162087453738597
National Survey Data,1000,0.26177262699212933,0.26358228559050295,0.34652942726238783,-0.04522387423036292,-0.01019226654575975
Measurement and Methodological Advances,1000,0.2347287796268977,0.3886270159681037,0.44512485777578104,0.03298773577041193,0.048588382029710525
"Policy, Institutional, and Geographic Impacts",1000,0.34749272639788603,0.30455435378909834,0.43902883715288127,-0.03014257979143266,-0.08128683734534585
"Demographic Differences in Mobility (Race, Gender, etc.)",1000,0.3837563769882481,0.3526359324670909,0.495798265393567,0.09561763969125205,0.04670013417549416
Absolute Mobility Measures,1000,0.29386753651273595,0.3657184907573492,0.44589200446222743,-0.003965319502604067,-0.030472091572346142
Others_Measure,1000,0.2594164079889021,0.25195814256061166,0.3381188884594718,-0.07855697877195769,0.0674446950890276
Others_DataType,1000,0.4828152230513778,0.4050526151240939,0.6138084246991665,0.08158459431744544,-0.07318044017396279
Archival/Historical Data,1000,0.41463450677387476,0.47489731197942975,0.6228959963215925,-0.07048839950811223,-0.009917735522868606
Non‐parametric Approaches,1000,0.29297129049258175,0.2048235405596813,0.314474947585342,0.027236179980514426,0.0200392631564884
Natural/Experimental Data,1000,0.5653661046947561,0.4422644508341717,0.7056192419508965,-0.03549141921454416,-0.0558498496003643
Opportunity Atlas,1000,0.3271110771944049,0.47473711029713633,0.5601010776060381,0.010086046662137095,-0.02784943811183883
Multigenerational Measures,1000,0.4523256572728532,0.478246616202605,0.6521094066845007,-0.02009726371855078,-0.015112924195028021
Perceptions of Mobility and Attitudes,1000,0.49802608850887015,0.5354972750849275,0.7228572660517848,-0.12955555330311297,-0.043457270060031784
University/Institution Data,1000,0.5012639100070925,0.4210624290600424,0.6443321573474973,-0.026857767726325706,-0.031475818716959224
Big Data,1000,0.44553936901099855,0.5470615524838616,0.7010940531773978,0.037760422432408076,0.036120130489951136
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1000,0.5942017889530004,0.4925260804943538,0.7665293953608195,-0.05198015412043689,-0.05713376414440351
Others_RqType,1000,0.5412940435124882,0.5157795498706558,0.7349429012905127,0.11600722837627248,-0.009279657562988921
Pseudo-Panel/Household Budget Survey,1000,0.8485935089814997,0.7262130232322707,1.1075846634709234,0.016291990473574054,0.10961284960710219
Regression‐based Measures,2000,0.1825592584866555,0.1804839040019686,0.23519333857703761,0.007848498917837067,0.026668056836906345
Empirical Estimates and Determinants,2000,0.23362807259533142,0.24396396703337814,0.31835613153373254,-0.009190125678378921,0.038555807634430686
Linked Administrative Data,2000,0.280881779891909,0.2583834216334901,0.3600742047727105,-0.042931199375581326,-0.11994485387014146
Rank‐based Measures,2000,0.1927443038170226,0.16827024058293888,0.23507964527612252,0.02991432309818405,-0.021346086316525178
Transition Matrix / Probability Measures,2000,0.2979726117787923,0.26146580758550164,0.38640796799260346,-0.04434281682702739,-0.035981563244795976
No dataset,2000,0.33756537948754267,0.4302960575319325,0.5374986840892954,0.0075834073715849186,-0.030403676958501002
Theoretical and Structural Models,2000,0.4771079597762588,0.4357255160994271,0.6396512182786702,0.03934730908678882,-0.026150530863818116
Decomposition / Structural Approaches,2000,0.3500533338929852,0.39331285282849215,0.5072736671952681,0.042679475763072905,0.08887022848751214
Administrative/Registry Data,2000,0.3196293217787696,0.35445811805244365,0.46695587629049795,-0.03802670090927003,0.012860783167609472
International Panel Data,2000,0.49395216663106045,0.47325855101082315,0.6760345062933928,-0.1028015467199997,0.04612064797665179
Panel/Longitudinal Surveys,2000,0.20982089939309828,0.1555164538591616,0.23610346341817104,-0.02857710926182896,-0.019428679677794068
Intergenerational Wealth Mobility and Inheritance,2000,0.26156016022865347,0.19980832958970995,0.31359723096061365,-0.03116487106815936,0.048565092855773116
National Survey Data,2000,0.2645351870383759,0.1999561089804744,0.3125216343917898,-0.018302113590283747,0.02411114096077968
Measurement and Methodological Advances,2000,0.2625759093574344,0.37147440403392495,0.44338808023686704,0.06760969053001853,-0.018136915069904995
"Policy, Institutional, and Geographic Impacts",2000,0.31043342252253975,0.32047035602616286,0.4145962674161662,-0.10321231562753537,-0.05749733429717011
"Demographic Differences in Mobility (Race, Gender, etc.)",2000,0.44629027576374614,0.35552153941375086,0.5477821070441565,0.05216827947855351,-0.047687771388298085
Absolute Mobility Measures,2000,0.32133454820271273,0.29481048640475344,0.4203248214280034,0.026169818440081576,-0.11900480533058581
Others_Measure,2000,0.23923078670379028,0.2943070639497052,0.36484448261484353,-0.014545669296150341,0.03781543730703991
Others_DataType,2000,0.4073355040546359,0.4224878053905016,0.5669410033266167,-0.06534150068369765,-0.18758515569829767
Archival/Historical Data,2000,0.38983281389472757,0.4389316368004695,0.5610052304665948,0.028772487039232426,0.1294823433912055
Non‐parametric Approaches,2000,0.3019871542192446,0.24759913415086962,0.3700588682593134,-0.027002266168422256,-0.0943678101168343
Natural/Experimental Data,2000,0.5304035257444655,0.42176444534548174,0.6637212927731826,-0.09645202866374818,0.04458948228430208
Opportunity Atlas,2000,0.3915140531436262,0.44135858523645066,0.5773919992645145,-0.06130205162963143,-0.05507409880166023
Multigenerational Measures,2000,0.4438993814791447,0.44082855759591544,0.6136601965025847,0.06673206534059133,0.03280063602347948
Perceptions of Mobility and Attitudes,2000,0.5130701914138117,0.5098563524645642,0.7183324840294458,0.04574816248087014,0.013663354450548074
University/Institution Data,2000,0.5203799755710218,0.4318453133315425,0.6667128726176558,-0.029323809610060605,-0.05860534079745731
Big Data,2000,0.4109075948321048,0.5466944140026088,0.6786917196617404,0.016877211041960383,0.03997099980726968
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2000,0.6093122427845985,0.42804197933970023,0.735470905733728,0.10951098367707421,0.023412997057912575
Others_RqType,2000,0.5530760632216619,0.4808319557662251,0.7195162784697984,0.14080015152299963,0.11673186589678047
Pseudo-Panel/Household Budget Survey,2000,0.7443690314658528,0.799403898969673,1.0825903567324613,0.03075426132086853,0.16699574829360686
