id,data_cat,data_type
73,1,"1982 Birth Cohort in Pelotas, Rio Grande do Sul State, Brazil"
74,13,N/A
75,1,"Household, Income and Labour Dynamics in Australia (HILDA Survey)"
76,1,"A 3000‐person longitudinal study (tracking individuals from 1942 to 1972) – supplemented by international father/son income correlation data from countries such as England, South Africa, Germany, Finland, Sweden, and Canada"
77,3,1982 survey of 1200 respondents from 10 major city districts in Pakistan on intergenerational mobility
78,1,Panel Study of Income Dynamics (PSID)
79,2,"Norwegian administrative/registry longitudinal data tracking children born in 1950, 1955, 1960, and 1965"
80,1,"SOEP, PSID"
81,1,"The abstract indicates use of the most current intergenerational data on income, wealth, and earnings – which is typically obtained via panel or longitudinal survey data (e.g., the Panel Study of Income Dynamics), although no specific dataset is named."
82,3,2006 ESRU Survey on Social Mobility in Mexico
83,1,1970 BCS cohort and 1958 NCDS cohort
84,13,N/A
85,1,"Panel/Longitudinal Surveys – the abstract implies use of intergenerational panel data (e.g., a study like the PSID), though no specific dataset is explicitly named"
86,3,Spanish Census Data
87,6,N/A
88,2,Swedish income register data (a uniquely long series of Swedish administrative income records)
89,6,Longitudinal Income Tax Data
90,1,PSID (Panel Study of Income Dynamics)
91,1,British birth cohort studies of 1958 and 1970
92,14,"The paper uses two unnamed datasets. The abstract does not specify panel, administrative, or survey data explicitly, so we classify them as 'Others' with no exact dataset name provided."
93,1,Five longitudinal data sets (exact names not provided)
94,2,Canadian tax system administrative data
95,13,N/A
96,3,Singapore National Youth Surveys of 2002 and 2010
97,1,Korea Labor and Income Panel Study; Household Income and Expenditure Survey (National Survey Data)
98,13,N/A
99,6,Swedish Multi-Generational Administrative Registry Data
100,1,N/A
101,7,international version of the Cross-National Equivalent File (PSIDGSOEP)
102,2,Norwegian administrative/registry data
103,14,Not specified
104,3,Programme for International Assessment of Adult Competencies (PIAAC)
105,1,"German Socio-Economic Panel (SOEP), Panel Study of Income Dynamics (PSID), British Household Panel Survey (BHPS)"
106,2,Italian administrative/registry data combined from various provincial-level sources
107,3,PISA (Programme for International Student Assessment)
108,1,National Longitudinal Survey of Youth
109,1,Panel Study of Income Dynamics (PSID)
110,7,EU-15 cross-country panel data (exact dataset name not specified)
111,10,"Pseudo-panel data for Colombia, Ecuador, Uruguay, and Mexico"
112,1,German Socio-Economic Panel Survey
113,1,China Health and Nutrition Survey (CHNS)
114,1,National Longitudinal Surveys
115,3,Repeated cross-sectional national income survey data (no specific name provided)
116,13,N/A
117,3,2006 Mexican Social Mobility Survey
118,3,2001 Canadian Census
119,2,Probate records
120,1,1958 British Cohort Study and 1970 British Cohort Study
121,2,income tax data
122,13,N/A
123,1,Panel Study of Income Dynamics
124,3,Bank of Italy's repeated cross-section household survey
125,13,N/A
126,1,"Harmonized longitudinal data (panel/longitudinal surveys, likely combining datasets from the US and Great Britain, e.g., PSID and BHPS, though exact names are not specified)"
127,14,Database built using a two‐sample instrumental variable (TSIV) approach on Brazilian income and wage data
128,13,N/A
129,1,China Health and Nutrition Survey
130,2,Gothenburg tax data for 1925–1958
131,11,England and Wales death records (1858–2012) using rare surnames for archival/historical tracking
132,13,N/A
133,1,"PSID, GSOEP"
134,2,"Swedish administrative registry data (e.g., population and income registers)"
135,1,Panel Study of Income Dynamics
136,6,"Linked Administrative Data – Specifically, the study utilizes linked administrative records (e.g., tax and earnings registers) from Denmark, Sweden, Norway, Finland, the United Kingdom, and the United States to measure and compare intergenerational earnings mobility."
137,14,Others – The abstract does not specify a concrete dataset name; it appears the authors constructed a dataset (possibly from administrative records or merged sources) to analyze intergenerational income and the effect of compulsory education law.
138,1,1989-2009 China Health and Nutrition Survey (CHNS)
139,1,N/A
140,3,"The study uses survey data, likely from national surveys capturing wealth measures among baby boomers and their parents"
141,3,Chinese Urban Household Education and Employment Survey (CHUHEES)-2004
142,6,Linked Administrative Data (exact dataset not specified)
143,13,N/A
144,7,"International panel data on income mobility, tax rates, and public expenditures"
145,1,Korean Labor and Income Panel Study (KLIPS)
146,1,"Finnish intergenerational income mobility panel data from 1950–1999 on over 250,000 individuals born between 1930 and 1970"
147,1,Chile's most extended household panel survey (observed income data for both parents and children)
148,13,N/A
149,1,European Community Household Panel
150,13,N/A
151,2,Swedish tax-data files (Administrative/Registry Data)
152,14,"The abstract does not explicitly specify a dataset, making it unclear whether the study employs a known nationally representative or administrative dataset. Therefore, it is categorized as Others."
153,11,Kastamonu court records (estate inventories of the deceased)
154,1,National Educational Longitudinal Study (1988 and 2000 sweeps)
155,2,"One dataset is a large intergenerational sample of social security earnings records (Administrative/Registry Data). The other data source is used for covariates (e.g., adolescent test scores, parental wealth, family structure) but is not explicitly named, so it falls under an unspecified/other data source."
156,6,Linked Administrative Data
157,13,N/A
158,3,Survey of Household Income and Wealth
159,13,N/A
160,11,"3,000 families survey from the Loire-Infrieure department historical wealth genealogies"
161,13,N/A
162,13,N/A
163,2,estate tax returns data
164,13,N/A
165,6,Social Security Earnings Data
166,6,"Chilean administrative records that link parental and offspring information (e.g., tax/registry data for Greater Santiago)"
167,13,N/A
168,3,"Urban household surveys in China (with comparative survey data on child poverty from Canada, the United Kingdom, and urban India)"
169,3,IPUMS one percent sample decennial Census (1970 and 1990)
170,6,US Linked Administrative Records (parent-child tax records)
171,13,N/A
172,1,National Child Development Study; British Cohort Study
173,3,"The paper uses Spanish national survey data—specifically, it relies on separate national survey sources (one providing children’s current income/earnings and another with information on fathers’ earnings) that are combined using a two‐sample two‐stage least squares estimator to address the absence of a single survey containing long‐term linked father–child income data."
174,3,U.S. Decennial Census
175,13,N/A
176,3,National Survey Data – a survey of young respondents reporting contemporaneous parental incomes (exact dataset name not specified)
177,11,a new intergenerational dataset compiled from early twentieth century archival/historical records
178,13,N/A
179,4,Opportunity Atlas
180,13,N/A
181,1,"The abstract implies the use of a panel/longitudinal survey (tracking childhood conditions, early adulthood obstacles, and midlife wealth) but does not specify the exact dataset name."
182,7,Young Lives
183,6,Social Security earnings histories linked with the 1984 Survey of Income and Program Participation
184,1,Japanese Panel Survey of Consumers
185,1,U.S. Panel Study of Income Dynamics
186,1,Dunedin Study
187,2,Swedish register data
188,14,Unique residential history and retrospective parental assets survey data collected from 141 villages in rural Bangladesh
189,1,PSID (Panel Study of Income Dynamics)
190,6,Finnish linked administrative registry data (parent and offspring earnings records)
191,3,US General Social Survey
192,14,Statistical and ethnographic data (unspecified)
193,13,N/A
194,13,N/A
195,13,N/A
196,2,administrative earnings records
197,14,"The abstract does not specify the exact dataset; it only indicates the use of urban China household income data, so the exact dataset name is not provided."
198,1,"German SocioEconomic Panel, British Household Panel Survey"
199,3,National Sample Survey
200,1,Restricted Panel Study of Income Dynamics (Panel/Longitudinal Surveys); Census data and aggregated IRS records of intergenerational income elasticities (Administrative/Registry Data)
201,13,N/A
202,1,1958 British Birth Cohort Study and 1970 British Cohort Study
203,1,PSID
204,2,Swedish administrative registers (exact dataset not specified)
205,2,Danish wealth records of three generations
206,11,US Census (historical records from the 19th and early 20th centuries)
207,6,Linked Administrative Data – likely constructed from IRS or other government tax records linking parent and child earnings across census commuting zones
208,6,Swedish linked administrative registry data (parent and offspring income data from national registers)
209,11,Rare English Surnames Archival/Historical Data
210,3,2001 National Health Interview Survey
211,13,N/A
212,13,N/A
213,7,"Ad hoc international panel dataset combining cross‐country measures of income mobility, tax rates, and public expenditures"
214,3,Vietnam Household Living Standards Survey (VHLSS) of 2012 and Vietnam Living Standards Survey (VLSS) of 1997-98
215,1,PSID
216,13,N/A
217,13,N/A
218,1,Panel Studies of Income Dynamics (PSID)
219,14,Two‐sample approach combining separate data sources (one with children’s earnings and one with fathers’ earnings) in Spain – the exact dataset names are not specified
220,13,N/A
221,13,N/A
222,1,Panel Study of Income Dynamics
223,2,"Social Security earnings data (an administrative/registry source) and an additional, unspecified dataset providing covariate information"
224,13,N/A
225,3,Harmonized micro data from 18 Latin American countries spanning multiple cohorts
226,6,Linked administrative earnings records (parent–child linked tax records)
227,2,"Norwegian administrative/registry data (e.g., national population registers)"
228,13,N/A
229,2,Danish administrative registers
230,1,National Longitudinal Survey of Youth
231,1,"Panel Study of Income Dynamics; (Additionally: Current Population Survey – 3: National Survey Data, Census – 2: Administrative/Registry Data, National Vital Statistics – 2: Administrative/Registry Data)"
232,13,N/A
233,1,30 poverty-stricken counties in Xinjiang (2000-2012 panel data)
234,3,Chinese Household Income Project (1995 and 2002)
235,13,N/A
236,14,Dataset not explicitly specified in the abstract
237,1,1970 BCS cohort and 1958 NCDS cohort
238,14,Not specified
239,1,China Health and Nutrition Survey (CHNS) from 1989 to 2009
240,1,CHNS (China Health and Nutrition Survey)
241,1,CHNS
242,1,CHNS data set
243,1,CHNS data set
244,1,Chinese health and nutrition survey
245,13,N/A
246,1,China Health and Nutrition Survey; China Family Panel Studies
247,1,"The paper uses CHNS – the China Health and Nutrition Survey – which is a panel/longitudinal survey, along with regional government administrative data on education expenditure."
248,1,China Health and Nutrition Survey
249,3,China General Social Survey (CGSS)
250,13,N/A
251,1,CHNS (Chinese Health and Nutrition Survey)
252,2,"National earnings and income registers (administrative/registry data used in the respective Nordic countries, US, and UK)"
253,14,Cross-national aggregate data on wealth and income inequality
254,13,N/A
255,3,2005 Ethiopian Labour Force Survey and 2013 Ethiopian Labour Force Survey
256,2,US administrative tax records and Swedish population registers
257,6,Norwegian linked administrative register data (using family linkage of income records)
258,13,N/A
259,2,Swedish administrative/registry data on wealth and bequests (newly handcollected)
260,1,"Household, Income and Labour Dynamics in Australia (HILDA) Survey"
261,2,"U.S. administrative/registry data (e.g., IRS tax records)"
262,1,1958 British Cohort (National Child Development Study) and 1970 British Cohort Study
263,1,Representative longitudinal survey data on American children (exact dataset name not specified)
264,11,"Archival/Historical Data – custom-collected historical records linking surnames with wealth, educational attainment, and social class across multiple regions and generations"
265,1,"Panel dataset spanning 1994–2012; additionally, repeated cross‐sections from the National Sample Survey (i.e. National Survey Data, category 3)"
266,1,Baccalaureate & Beyond Longitudinal Study of 1993 and 2008
267,13,N/A
268,1,Panel Study of Income Dynamics (1989-2013)
269,13,N/A
270,13,N/A
271,1,National Longitudinal Survey of Youth
272,2,National statistical study using administrative/registry data (e.g. tax records on intergenerational income mobility) combined with archival/historical data from elite interviews and historical sources in a case study
273,1,National Longitudinal Survey of Youths of 1997 (NLSY97)
274,13,N/A
275,13,N/A
276,13,N/A
277,3,Nationally representative survey data
278,11,Three generations of Irish American families dataset (1901–1940; archival/historical data) and Industrial Removal Office records (natural/experimental data)
279,11,Historical Census data on names and occupational income from 1850 to 1940
280,13,N/A
281,3,"Likely Brazilian National Survey Data (such as the PNAD), though the abstract does not specify an exact dataset name"
282,2,1970 Brazilian Census
283,1,National Longitudinal Study of Youth 1979; British Cohort Study 1970; Population Register cohort (the first two are Panel/Longitudinal Surveys and the last is Administrative/Registry Data)
284,3,European Union Statistics on Income and Living Conditions (EU-SILC) 2005
285,1,"Household, Income and Labour Dynamics Australia Survey"
286,11,"Archival/Historical Data (utilizing historical estate, inheritance, and wealth records from 1848 to 1960 in France)"
287,1,Korean Labor and Income Panel Study (KLIPS)
288,6,"The paper appears to use linked administrative data drawn from official registers in both the UK and Sweden (e.g., linking parental income records with birth records, school performance data, and later earnings outcomes)"
289,13,N/A
290,1,Panel Study of Income Dynamics
291,1,"Korea Labor and Income Panel Study; 3, Household Income and Expenditure Survey"
292,13,N/A
293,11,"Three generations of Irish American families data (1901–1940, archival/historical) and Industrial Removal Office records (natural/experimental)"
294,11,"Primary dataset: Three generations of occupational data from Great Britain and the US (1850–1910) – an archival/historical source. Other papers in the feature use administrative/registry‐style data, for example, wealth transmission data from Malm, Sweden and Danish wealth records on child-to-adult wealth mobility."
295,2,"U.S. county-level administrative/registry data (e.g., aggregated records on income and teen birth rates)"
296,5,County-level estimates of intergenerational economic mobility based on natural variation in Medicaid eligibility expansions
297,13,N/A
298,2,IRS administrative tax records (as used by the Equality of Opportunity Project)
299,1,1958 British Birth Cohort Study and 1970 British Cohort Study
300,11,Iowa State Census of 1915; 1940 Federal Census
301,14,"The study employs two key datasets. First, contemporary intergenerational mobility measures drawn from Chetty et al.’s work—commonly disseminated as the Opportunity Atlas (linked administrative data)—which aligns with category 4. Second, historical data on the prevalence of slavery and cotton‐cultivation suitability obtained from archival records (e.g., historical U.S. Census and agricultural records), which falls under category 11."
302,1,National Longitudinal Surveys
303,2,rich register-based dataset from Oslo registers
304,13,N/A
305,3,National Survey Data (cross-national survey data collected from 40 countries)
306,3,CGSS data (pooled cross-sectional survey data) combined with a market index
307,13,N/A
308,2,Prefecture-level administrative data in China
309,1,Panel Study of Income Dynamics (PSID)
310,13,N/A
311,1,Panel Study of Income Dynamics
312,6,Linked Administrative Data (exact dataset not specified)
313,7,Cross-National Equivalent File 1980-2016
314,13,N/A
315,14,N/A
316,6,IRS tax records / SOI Working Paper data on tax expenditures
317,13,N/A
318,9,The University of Texas System administrative records data
319,3,Household level survey data
320,4,Opportunity Atlas
321,1,rich survey and test score data (exact dataset name not specified)
322,1,China Health and Nutrition Survey
323,7,Internationally comparable measures of intergenerational mobility
324,13,N/A
325,1,National Longitudinal Survey of Youth 1979
326,2,Australian tax data covering over a million individuals born between 1978 and 1982
327,11,Cape Colony archival/historical records
328,2,"The second chapter uses rich administrative/registry data for Sweden. (The other chapters rely on simulation or unspecified data, so no explicit external dataset is provided.)"
329,1,Panel Study of Income Dynamics (PSID)
330,6,"Linked administrative data from Chicago, combining Census tract–level environmental exposures with administrative records on incarceration, income, and vital statistics"
331,14,detailed childhood income data collected from a sample of 1610 men and 1885 women in Japan
332,14,Case study data from six poverty-stricken counties in rural China
333,13,N/A
334,6,"Swedish administrative data registers on net wealth of adoptees, biological parents, and adoptive parents"
335,3,IPUMS survey data bank
336,2,"Tax-based administrative data (e.g., the tax dataset used in Chetty et al. 2014 and a different tax administrative dataset)"
337,1,National Longitudinal Survey of Youth 1979
338,1,China Health and Nutrition Survey (CHNS)
339,3,Household Income Distribution Survey
340,2,1986 Census-based administrative data on a cohort of Canadian men and women born between 1963 and 1970
341,9,Federal University of Pernambuco admissions data combined with family income and subsequent earnings records
342,3,"Large-scale, population-representative survey instrument (National Survey Data, exact name not specified)"
343,2,Norwegian tax registers
344,2,2015 U.S. Department of Education College Scorecard Data
345,2,Swedish register data
346,3,"Vietnam National Survey Data (e.g., Vietnam Household Living Standards Survey)"
347,1,British Cohort Study
348,13,N/A
349,1,Panel Study of Income Dynamics
350,1,Vietnam Household Living Standards Survey (VHLSS) – panel data covering 2004 to 2014
351,13,N/A
352,13,N/A
353,1,Panel Study of Income Dynamics
354,11,3000 familles survey
355,13,N/A
356,13,N/A
357,3,National Survey of College Graduates
358,1,National Longitudinal Survey of Youth 1979 and National Longitudinal Survey of Youth 1979 for Children and Young Adults
359,6,Deidentified tax records linked with SAT/ACT score data
360,13,N/A
361,13,N/A
362,13,N/A
363,2,Swedish administrative registers
364,1,Panel Study of Income Dynamics
365,13,N/A
366,2,"U.S. administrative data on metropolitan statistical areas, including real gross metropolitan product and intergenerational mobility measures (likely drawn from government economic statistics such as BEA data)"
367,1,Three Longitudinal Surveys
368,1,German Socio-Economic Panel (SOEP)
369,13,N/A
370,6,Longitudinal and International Study of Adults
371,1,Panel Studies of Income Dynamics
372,1,"Although the abstract does not specify the dataset names, it refers to national panel/longitudinal surveys. In practice, these often correspond to datasets such as Australia’s HILDA, the US’s PSID, and Germany’s SOEP."
373,3,European Union Statistics on Income and Living Conditions 2011 (EU-SILC 2011)
374,1,British Cohort Study
375,1,NLSY79 and NLSY79 CY
376,13,N/A
377,13,N/A
378,3,GAO-reviewed national survey data (exact dataset not specified)
379,1,Nationally representative longitudinal household survey data
380,2,Highquality Administrative Data for Denmark and the United States
381,1,Panel Study of Income Dynamics
382,5,State-level natural experiment data derived from school finance reforms and newly collected state funding formulas to simulate district revenues
383,2,Rich register data (Dutch administrative/registry data for adult children aged 20-30)
384,3,Philippine labor market survey data
385,2,Norwegian administrative data
386,13,N/A
387,1,National Longitudinal Study of Youth 1979
388,2,Population Census (China Population Census)
389,1,"SOEP, PSID"
390,14,"The study uses intergenerational income data—parental earnings and child’s disposable income—that does not explicitly correspond to a commonly named public dataset, so it falls under ‘Others’ (e.g., income records from labor earnings and disposable income data)."
391,2,"Norwegian administrative registry data (e.g., the Norwegian Population Register)"
392,6,"Linked Administrative Data (e.g., linked tax records capturing parent‐child earnings)"
393,1,"Panel dataset spanning 1994–2012 for rural India; additionally, repeated cross‐sections from the National Sample Survey (category 3)"
394,10,"The paper uses repeated cross‐section survey data with retrospective information to impute parental income, effectively creating a pseudo‐panel from household surveys in Chile and Peru."
395,6,Longitudinal Income Tax Data
396,1,Panel Study of Income Dynamics
397,11,Florence 1427-2011 dataset (archival/historical records linked with modern registry data)
398,14,"The abstract does not specify a particular dataset by name. It implies the use of micro‐data on urban Chinese households (with linked parent–child information) to estimate intergenerational mobility, but no explicit dataset (e.g., national survey, panel, or administrative records) is identified."
399,3,Japanese Social Stratification and Mobility (SSM) surveys
400,11,Florence 1427–2011 historical dataset (archival records of Florentine residents in 1427 linked to modern data)
401,2,Uniquely long series of Swedish income data (administrative/registry data)
402,13,N/A
403,14,Chicago historical data on racial residential mobility restrictions
404,2,Complete Dutch Population Data
405,2,anonymized longitudinal administrative/registry data covering nearly the entire U.S. population from 1989 to 2015
406,6,U.S. Census Bureau's Survey of Income and Program Participation (SIPP) matched to Social Security Administration (SSA) earnings records; U.S. Bureau of Labor Statistics' National Longitudinal Survey of Youth (NLSY) is a panel/longitudinal survey (Category 1)
407,13,N/A
408,13,N/A
409,6,Swedish linked administrative registry data
410,2,Newly collected administrative data on state funding formulas and school finance reforms
411,13,N/A
412,6,Swedish linked administrative data (matched father‐son pairs from national registers)
413,2,"Administrative/Registry Data (likely using linked tax records from Canada and the United States, such as Canadian tax agency records and IRS data, though the abstract does not specify exact dataset names)"
414,2,Administrative/Registry Data – likely originating from Chilean government records on income and education in the Greater Santiago area
415,2,Administrative/Registry Data (unspecified dataset)
416,13,N/A
417,6,"Linked Administrative Data (exact dataset names not specified; likely official registers linking parental income with birth, education, and health records in Sweden and the UK)"
418,2,Swedish administrative registers (linked family and income registers)
419,13,N/A
420,3,US General Social Survey
421,1,PSID (Panel/Longitudinal Surveys) and administrative tax data (Chetty et al. 2014)
422,13,N/A
423,1,"Household, Income and Labour Dynamics Australia survey"
424,1,CHNS (China Health and Nutrition Survey)
425,13,N/A
426,2,"Norwegian administrative registers (e.g., Statistics Norway Population Register linking parental and income records)"
427,1,United States PSID
428,4,Opportunity Atlas (National database on the social mobility of American children across Census tracts)
429,1,Panel Study of Income Dynamics (PSID)
430,3,National Survey Data – the abstract implies the use of a nationally representative household survey from China (exact dataset name not specified)
431,5,Experimental Questionnaire
432,1,Cross‐sectional and longitudinal income surveys
433,6,Danish administrative registry data (linked tax and demographic registers)
434,6,Administrative data on tax returns across two generations
435,6,"The study appears to combine administrative records—using regulatory data on local banks (e.g. from FDIC or similar sources) with linked parent‐child economic and education records—to construct intergenerational mobility measures. Hence, it uses linked administrative data, even though no dataset is explicitly named."
436,1,"Comparable panel/longitudinal survey data for Germany and the United States (exact dataset names not specified, but likely sources such as the German SOEP and the US PSID)"
437,2,Administrative data from tax returns
438,1,N/A
439,13,N/A
440,6,"Swiss administrative records combining labor income, family linkages, and census data"
441,13,N/A
442,2,"Swedish administrative register data (linking income, education, student aid records, and adoption records)"
443,2,Australian income tax data (with supplementary cross-country mobility datasets)
444,6,Swedish linked administrative registry data (exploiting both cross‐sectional and longitudinal administrative records)
445,14,"Primary survey data of 61 households from Utmanzai, District Charsadda, Khyber Pakhtunkhwa, Pakistan"
446,2,Norwegian administrative/registry data
447,6,Swedish Population Registers (linked administrative data)
448,2,Swedish administrative registers
449,2,Norwegian population-wide administrative data
450,1,Nationally representative longitudinal household survey data (exact dataset not specified)
451,3,National Sample Survey data
452,6,Linked Administrative Data – Swiss labor income administrative records matched with census and survey data
453,1,Korean Labor and Income Panel Study; Panel Study of Income Dynamics
454,1,SOEP (German Socio-Economic Panel) and PSID (Panel Study of Income Dynamics)
455,2,German Census Data (Educational attainment and parental income records)
456,14,Data from the United States and South Africa (no specific dataset name provided)
457,4,"Opportunity Atlas (Chetty et al., 2018) combined with archival county‐level frontier experience measures"
458,3,French wealth and housing survey data (national survey data)
459,13,N/A
460,1,China Health and Nutrition Survey
461,3,Harmonized national survey data (surveys asking about father's occupation and own family income across representative samples)
462,3,Survey of Social Stratification and Mobility (SSM)
463,3,Harmonized U.S. national surveys that collect data on father’s occupation and family income
464,6,N/A
465,13,N/A
466,6,"No exact dataset name provided; the study likely uses linked administrative records (e.g., parental and individual income/education registries) to assess intergenerational mobility in Chile."
467,1,"Panel Study of Income Dynamics, National Longitudinal Survey of Youth"
468,13,N/A
469,2,Estonian rich registry dataset on yearly earnings and background characteristics
470,2,Swedish population registers covering birth cohorts between 1953 and 1955
471,14,Not Specified
472,6,Intergenerational registry data from Norway
473,7,"Linked intergenerational data from national sources (e.g., administrative/registry records and panel surveys from Germany, Norway, Sweden, and the US; specific dataset names are not provided)"
474,14,"The study uses actual empirical data on Japanese income and family background but does not specify a known survey or registry, so it falls under Others."
475,13,N/A
476,2,Newly collected administrative data on state funding formulas used to simulate postreform revenues
477,3,N/A
478,1,US panel/longitudinal data (spanning 1996 to 2000)
479,5,IFR Industrial Robot Data (to capture the spread of industrial robots across 722 local labor markets) and Opportunity Atlas (measuring intergenerational income mobility)
480,1,Unique residential history data with retrospective parental asset information from 141 villages in rural Bangladesh
481,1,China Health and Nutrition Survey (CHNS)
482,2,"Scandinavian administrative income data (Sweden, Denmark, Norway); US survey data (National Survey Data)"
483,13,N/A
484,1,National Longitudinal Study of Adolescent to Adult Health
485,13,N/A
486,1,"Panel Study of Income Dynamics (PSID), National Longitudinal Study of Adolescent to Adult Health (Add Health)"
487,5,Field et al. 2013 Liquidity Shock Experiment Data
488,13,N/A
489,3,Harmonized micro data from 18 Latin American countries spanning multiple cohorts
490,6,"The study relies on linked administrative records (using Denmark’s national registries and Canada’s administrative data on employment and earnings), though the exact dataset names are not specified."
491,1,NLSY (National Longitudinal Survey of Youth)
492,3,GSS (General Social Survey) | National Survey Data
493,2,"US administrative data compiled from government sources (e.g. state‐level and census-tract measures of income, inequality, and segregation)"
494,3,European Union Statistics on Income and Living Conditions survey; European Community Household Panel (Panel/Longitudinal Surveys)
495,13,N/A
496,6,Swiss administrative data covering the universe of labor income since 1982 with family linkages over three generations
497,3,Household-level national survey data (exact dataset name not specified)
498,2,"Danish administrative/registry data (using population registers for income, education, and wealth trajectories)"
499,13,N/A
500,1,"The paper uses both cross‐sectional and longitudinal income data—i.e. panel/longitudinal survey data (from multiple advanced economies), though specific survey names are not provided."
501,5,Housing Voucher Experiment
502,1,Panel Study of Income Dynamics (1968–2017)
503,3,Large-scale college graduate survey and nationally representative household survey
504,6,Spanish administrative tax returns
505,1,China Health and Nutrition Survey (CHNS)
506,2,"Norwegian administrative/registry data (e.g., tax registry data from Norway)"
507,1,China Health and Nutrition Survey; Regional Statistic Yearbooks (the former is a panel/longitudinal survey and the latter is administrative/registry data)
508,13,N/A
509,13,N/A
510,13,N/A
511,2,rich administrative data (exact dataset not specified)
512,1,China Family Panel Studies (CFPS)
513,1,China Health and Nutrition Survey
514,13,N/A
515,1,PSID (Panel Study of Income Dynamics); also critiques analysis based on U.S. administrative tax records as used by Chetty et al. (2014)
516,1,China Family Panel Survey (CFPS)
517,14,Self-collected survey data from Greek university students and graduates
518,1,US birth cohort panel data (early baby boomers and late Generation X/early millennials)
519,14,"The abstract does not specify an established dataset. It appears the author uses a unique, compiled dataset (or merged administrative records) on Chinese intergovernmental transfers and income mobility, which does not clearly fall into one of the predefined categories."
520,13,N/A
521,2,Swedish full-population administrative/register data (typically from the Swedish population registers)
522,2,"Tax and Employment Registries; additionally, Census/Survey Data for imputing informal income (i.e. National Survey Data)"
523,6,Norwegian administrative registry data with linked parent-child information
524,2,Brazilian tax and employment registries (formal income) and Brazilian census/survey data (for predicting informal income)
525,5,Historical Railroad Track Placement Data (natural experiment design)
526,2,"Brazil tax and employment registries; additionally, Brazil census and survey data used to predict informal income (categories 2 & 3 respectively)"
527,3,The India Human Development Survey 2012 (IHDS-II)
528,13,N/A
