id,citations_count,title,data_cat,rq_cat,category_1,category_2,citation_rank,cited_by_count,citation_rank_617
https://openalex.org/W1545014524,23,Unequal chances: family background and economic success,No dataset,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,10.0,567.0,26.0
https://openalex.org/W3123816425,23,Race and Economic Opportunity in the United States: an Intergenerational Perspective*,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,8.0,611.0,27.0
https://openalex.org/W2460486083,21,The Scandinavian Fantasy: The Sources of Intergenerational Mobility in Denmark and the US,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,,44.0,142.0,28.0
https://openalex.org/W2512952691,21,Intergenerational Wealth Mobility and the Role of Inheritance: Evidence from Multiple Generations,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,Rank‐based Measures,25.0,200.0,29.0
https://openalex.org/W2118931737,19,Intergenerational Income Mobility in Singapore,National Survey Data,Empirical Estimates and Determinants,Regression‐based Measures,,95.0,54.0,30.0
https://openalex.org/W2170708007,19,THE POLITICAL ECONOMY OF INTERGENERATIONAL INCOME MOBILITY,No dataset,Theoretical and Structural Models,Decomposition / Structural Approaches,Decomposition / Structural Approaches,79.0,69.0,31.0
https://openalex.org/W1988669335,17,THE INTERGENERATIONAL CORRELATION BETWEEN CHILDREN'S ADULT EARNINGS AND THEIR PARENTS' INCOME: RESULTS FROM THE MICHIGAN PANEL SURVEY OF INCOME DYNAMICS,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,20.0,225.0,32.0
https://openalex.org/W2049773875,17,Intergenerational income mobility in permanent and separated families,Linked Administrative Data,Empirical Estimates and Determinants,Regression‐based Measures,,63.0,90.0,33.0
https://openalex.org/W3124550008,17,Intergenerational Mobility Between and Within Canada and the United States,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,,94.0,55.0,34.0
https://openalex.org/W1577807578,16,Has social mobility in Britain decreased? Reconciling divergent findings on income and class mobility,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,30.0,182.0,35.0
https://openalex.org/W1993865286,16,Intergenerational Mobility in the <scp>U</scp>nited <scp>S</scp>tates and <scp>G</scp>reat <scp>B</scp>ritain: A Comparative Study of Parent–Child Pathways,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Decomposition / Structural Approaches,Decomposition / Structural Approaches,100.0,50.0,36.0
https://openalex.org/W2028148226,16,Differences across Cohorts in Finnish Intergenerational Income Mobility,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,66.0,82.0,37.0
https://openalex.org/W2171543589,16,Intergenerational Persistence in Income and Social Class: The Effect of Within-Group Inequality,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,53.0,115.0,38.0
https://openalex.org/W1792190074,15,"Income Inequality, Intergenerational Mobility, and the Great Gatsby Curve: Is Education the Key?",National Survey Data,Empirical Estimates and Determinants,Regression‐based Measures,,32.0,178.0,39.0
https://openalex.org/W2125337016,15,Intergenerational Mobility of Earnings and Income in Japan,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,110.0,40.0,40.0
https://openalex.org/W2158055684,15,Intergenerational Mobility and Marital Sorting,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,Decomposition / Structural Approaches,29.0,187.0,41.0
https://openalex.org/W2947666646,14,The Canadian Geography of Intergenerational Income Mobility,Administrative/Registry Data,Empirical Estimates and Determinants,Others,Others,71.0,74.0,42.0
https://openalex.org/W2613688294,13,Understanding the Great Gatsby Curve,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Decomposition / Structural Approaches,62.0,92.0,43.0
https://openalex.org/W2003514985,13,"Intergenerational Wealth Mobility in England, 1858-2012: Surnames and Social Mobility",Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,27.0,189.0,44.0
https://openalex.org/W2049884882,12,Intergenerational Social Mobility: The United States in Comparative Perspective,No dataset,Empirical Estimates and Determinants,Regression‐based Measures,,21.0,223.0,45.0
https://openalex.org/W2116568238,12,"Intergenerational Economic Mobility in the U.S., 1940 to 2000",National Survey Data,Empirical Estimates and Determinants,Regression‐based Measures,Rank‐based Measures,69.0,79.0,46.0
https://openalex.org/W2258354779,12,Intergenerational Mobility under Private vs. Public Education*,No dataset,Theoretical and Structural Models,Decomposition / Structural Approaches,,85.0,62.0,47.0
https://openalex.org/W2772867153,12,Generations of Advantage. Multigenerational Correlations in Family Wealth,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Regression‐based Measures,35.0,162.0,48.0
https://openalex.org/W3163153651,12,And Yet It Moves: Intergenerational Mobility in Italy,Administrative/Registry Data,Empirical Estimates and Determinants,Rank‐based Measures,Transition Matrix / Probability Measures,83.0,64.0,49.0
https://openalex.org/W1967097718,11,Intergenerational Income Mobility in Taiwan: Evidence from TS2SLS and Structural Quantile Regression,National Survey Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Decomposition / Structural Approaches,146.0,26.0,50.0
https://openalex.org/W2107393980,11,Moving Towards Estimating Sons' Lifetime Intergenerational Economic Mobility in the UK,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Regression‐based Measures,,105.0,45.0,51.0
https://openalex.org/W2716435981,11,"The Role of Education for Intergenerational Income Mobility: A comparison of the United States, Great Britain, and Sweden",Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Rank‐based Measures,96.0,53.0,52.0
https://openalex.org/W2011405670,10,Intergenerational transfer of human capital and its impact on income mobility: Evidence from China,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,89.0,58.0,53.0
https://openalex.org/W3084113281,10,Intergenerational Income Mobility in Denmark and the United States*,Administrative/Registry Data,Empirical Estimates and Determinants,Regression‐based Measures,Regression‐based Measures,161.0,21.0,54.0
https://openalex.org/W3125359030,10,Estimating the Intergenerational Elasticity and Rank Association in the US: Overcoming the Current Limitations of Tax Data,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Regression‐based Measures,Rank‐based Measures,155.0,24.0,55.0
https://openalex.org/W2018079782,9,Education and intergenerational income mobility in urban China,National Survey Data,Empirical Estimates and Determinants,Regression‐based Measures,,142.0,27.0,56.0
https://openalex.org/W2108734997,9,Intergenerational Earnings and Income Mobility in <scp>S</scp>pain,National Survey Data,Empirical Estimates and Determinants,Regression‐based Measures,,137.0,28.0,57.0
https://openalex.org/W2210747677,9,One size doesn’t fit all: a quantile analysis of intergenerational income mobility in the U.S. (1980–2010),Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,150.0,25.0,58.0
https://openalex.org/W2495276003,9,The Evolution of Social Mobility: Norway during the Twentieth Century,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Rank‐based Measures,101.0,50.0,59.0
https://openalex.org/W2595264819,9,Childhood Family Structure and Intergenerational Income Mobility in the United States,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,Non‐parametric Approaches,49.0,124.0,60.0
https://openalex.org/W2943104001,9,The Intergenerational Transmission of Family-Income Advantages in the United States,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,144.0,27.0,61.0
https://openalex.org/W1559271355,8,The Intergenerational Earnings and Income Mobility of Canadian Men: Evidence from Longitudinal Income Tax Data,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,73.0,71.0,62.0
https://openalex.org/W2038719374,8,"Intergenerational Income Mobility in a Less-Developed, High-Inequality Context: The Case of Chile",Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,86.0,59.0,63.0
https://openalex.org/W2132728629,8,Intergenerational Earnings Mobility Among Daughters and Sons: Evidence from Sweden and a Comparison with the United States,Administrative/Registry Data,Empirical Estimates and Determinants,Regression‐based Measures,Transition Matrix / Probability Measures,74.0,71.0,64.0
https://openalex.org/W4283657131,8,The Long-Run Evolution of Absolute Intergenerational Mobility,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Absolute Mobility Measures,,131.0,31.0,65.0
https://openalex.org/W4386370708,8,Measuring Intergenerational Income Mobility: A Synthesis of Approaches,Administrative/Registry Data,Measurement and Methodological Advances,Rank‐based Measures,Absolute Mobility Measures,117.0,38.0,66.0
https://openalex.org/W1748686498,7,"The Trend and Mechanism of Intergenerational Income Mobility in China: An Analysis from the Perspective of Human Capital, Social Capital and Wealth",National Survey Data,Empirical Estimates and Determinants,Decomposition / Structural Approaches,Decomposition / Structural Approaches,135.0,29.0,67.0
https://openalex.org/W2034417760,7,Intergenerational income mobility: The transmission of socio-economic status in Spain,International Panel Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,123.0,35.0,68.0
https://openalex.org/W2106387882,7,Intergenerational Mobility for Women and Minorities in the United States,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,143.0,27.0,69.0
https://openalex.org/W2117544103,7,"Intergenerational Economic Mobility in the United States 1 Measures, Differentials, and Trends",No dataset,Measurement and Methodological Advances,Others,Others,84.0,63.0,70.0
https://openalex.org/W2124465354,7,Earnings Mobility in the US: A New Look at Intergenerational Inequality,Linked Administrative Data,Empirical Estimates and Determinants,Regression‐based Measures,,99.0,51.0,71.0
https://openalex.org/W2182279624,7,How Much Scope for a Mobility Paradox? The Relationship between Social and Income Mobility in Sweden,No dataset,Measurement and Methodological Advances,Regression‐based Measures,Transition Matrix / Probability Measures,98.0,52.0,72.0
https://openalex.org/W2322954441,7,Racial Inequality Trends and the Intergenerational Persistence of Income and Family Structure,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,48.0,126.0,73.0
https://openalex.org/W2756659966,7,Direct Measures of Intergenerational Income Mobility for Australia,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,Rank‐based Measures,180.0,17.0,74.0
https://openalex.org/W2906080883,7,The Intergenerational Elasticity of What? The Case for Redefining the Workhorse Measure of Economic Mobility,No dataset,Measurement and Methodological Advances,Regression‐based Measures,,153.0,24.0,75.0
https://openalex.org/W2931489399,7,Punishing and toxic neighborhood environments independently predict the intergenerational social mobility of black and white children,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",Regression‐based Measures,Regression‐based Measures,57.0,108.0,76.0
https://openalex.org/W2940947093,7,Poor Little Rich Kids? The Role of Nature versus Nurture in Wealth and Other Economic Outcomes and Behaviours,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Regression‐based Measures,67.0,80.0,77.0
https://openalex.org/W2943421593,7,Equalization or Selection? Reassessing the “Meritocratic Power” of a College Degree in Intergenerational Income Mobility,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,59.0,99.0,78.0
https://openalex.org/W3124992314,7,Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income,Linked Administrative Data,Empirical Estimates and Determinants,Decomposition / Structural Approaches,Decomposition / Structural Approaches,87.0,59.0,79.0
https://openalex.org/W3145594932,7,"The Decline of Intergenerational Income Mobility in Denmark: Returns to Education, Demographic Change, and Labor Market Experience☆",Linked Administrative Data,Empirical Estimates and Determinants,Rank‐based Measures,Rank‐based Measures,174.0,19.0,80.0
https://openalex.org/W1994031345,6,Unequal But Fluid: Social Mobility in Chile in Comparative Perspective,No dataset,Empirical Estimates and Determinants,Transition Matrix / Probability Measures,,19.0,257.0,81.0
https://openalex.org/W1974242925,6,Inter-generational Transmission of Inequality: An Empirical Study of Wealth Mobility,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,45.0,138.0,82.0
https://openalex.org/W2048745299,6,Black-White Differences in Intergenerational Economic Mobility in the US,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",Rank‐based Measures,Transition Matrix / Probability Measures,178.0,17.0,83.0
https://openalex.org/W2094244093,6,Intergenerational income and educational mobility in urban Chile,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,104.0,46.0,84.0
https://openalex.org/W2485689150,6,Two‐sample nonparametric estimation of intergenerational income mobility in the United States and Sweden,Linked Administrative Data,Empirical Estimates and Determinants,Non‐parametric Approaches,Non‐parametric Approaches,204.0,14.0,85.0
https://openalex.org/W2807800750,6,Multiple Measures of Historical Intergenerational Mobility: Iowa 1915 to 1940,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,65.0,88.0,86.0
https://openalex.org/W3041900243,5,Trends in Absolute Income Mobility in North America and Europe,Others,Empirical Estimates and Determinants,Absolute Mobility Measures,,217.0,12.0,87.0
https://openalex.org/W2470832101,5,The Class Pay Gap in Higher Professional and Managerial Occupations,National Survey Data,Empirical Estimates and Determinants,Absolute Mobility Measures,,23.0,207.0,88.0
https://openalex.org/W4238028113,5,Status Traps,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,233.0,10.0,89.0
https://openalex.org/W1546068527,5,Intergenerational Mobility and the Informative Content of Surnames,Administrative/Registry Data,Measurement and Methodological Advances,Others,Others,107.0,43.0,90.0
https://openalex.org/W1648451562,5,The political economy of intergenerational income mobility in Singapore,National Survey Data,Empirical Estimates and Determinants,Regression‐based Measures,,152.0,24.0,91.0
https://openalex.org/W1896316165,5,Parental Wealth and the Black–White Mobility Gap in the <scp>U</scp>.<scp>S</scp>.,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,175.0,18.0,92.0
https://openalex.org/W1947133949,5,The Sins of the Fathers: Intergenerational Income Mobility in <scp>C</scp>hina,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,208.0,13.0,93.0
https://openalex.org/W1985674062,5,"Understanding – and Misunderstanding – Social Mobility in Britain: The Entry of the Economists, the Confusion of Politicians and the Limits of Educational Policy",No dataset,Measurement and Methodological Advances,Absolute Mobility Measures,Absolute Mobility Measures,41.0,151.0,94.0
https://openalex.org/W2009549340,5,Do birth order and family size matter for intergenerational income mobility? Evidence from Sweden,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,118.0,37.0,95.0
https://openalex.org/W2009705015,5,Estimation of sons' intergenerational earnings mobility in the presence of censoring,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,Non‐parametric Approaches,115.0,38.0,96.0
https://openalex.org/W2507475885,5,Estimating Intergenerational Mobility With Grouped Data,No dataset,Measurement and Methodological Advances,Regression‐based Measures,Others,121.0,36.0,97.0
https://openalex.org/W2984996373,5,"Linked Lives, Linked Trajectories: Intergenerational Association of Intragenerational Income Mobility",Panel/Longitudinal Surveys,Measurement and Methodological Advances,Regression‐based Measures,Decomposition / Structural Approaches,102.0,49.0,98.0
https://openalex.org/W3007051557,5,Income Segregation and Intergenerational Mobility Across Colleges in the United States*,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,Decomposition / Structural Approaches,18.0,270.0,99.0
https://openalex.org/W3123202179,5,Heterogeneous Income Profiles and Life-Cycle Bias in Intergenerational Mobility Estimation,Administrative/Registry Data,Measurement and Methodological Advances,Regression‐based Measures,Regression‐based Measures,173.0,19.0,100.0
https://openalex.org/W3189747191,5,Switzer-Land of Opportunity: Intergenerational Income Mobility in the Land of Vocational Education,Linked Administrative Data,Empirical Estimates and Determinants,Rank‐based Measures,,177.0,18.0,101.0
https://openalex.org/W3195123941,5,Estimating intergenerational income mobility on sub-optimal data: a machine learning approach,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Regression‐based Measures,,183.0,17.0,102.0
https://openalex.org/W3202616165,5,Government spending and intergenerational income mobility: Evidence from China,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Transition Matrix / Probability Measures,50.0,122.0,103.0
https://openalex.org/W4289222991,4,Social capital I: measurement and associations with economic mobility,Big Data,Empirical Estimates and Determinants,Absolute Mobility Measures,,16.0,325.0,104.0
https://openalex.org/W2009897266,4,Intergenerational Earnings Mobilities – How Sensitive are they to Income Measures?,Linked Administrative Data,Measurement and Methodological Advances,Regression‐based Measures,,188.0,16.0,105.0
https://openalex.org/W2037234295,4,An alternative measure of intergenerational income mobility based on a random coefficient model,No dataset,Measurement and Methodological Advances,Regression‐based Measures,,210.0,13.0,106.0
https://openalex.org/W2159953986,4,Breaking the Caste Barrier: Intergenerational Mobility in India,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,36.0,161.0,107.0
https://openalex.org/W2229381819,4,The impact of education on income inequality and intergenerational mobility,No dataset,Empirical Estimates and Determinants,Decomposition / Structural Approaches,Decomposition / Structural Approaches,56.0,109.0,108.0
https://openalex.org/W2773177589,4,Intergenerational mobility in Korea,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,239.0,10.0,109.0
https://openalex.org/W2922039017,4,Government spending during childhood and intergenerational income mobility in the United States,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,,228.0,11.0,110.0
https://openalex.org/W3124226182,4,"Income Inequality, Equality of Opportunity, and Intergenerational Mobility",No dataset,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,24.0,205.0,111.0
https://openalex.org/W4386491507,4,Intergenerational income mobility in France: A comparative and geographic analysis,Administrative/Registry Data,Empirical Estimates and Determinants,Rank‐based Measures,,207.0,14.0,112.0
https://openalex.org/W4393244952,3,Measuring Absolute Income Mobility: Lessons from North America and Europe,Linked Administrative Data,Measurement and Methodological Advances,Absolute Mobility Measures,,224.0,11.0,113.0
https://openalex.org/W3208235548,3,Are We Richer than Our Parents Were? Absolute Income Mobility in Australia*,Linked Administrative Data,Empirical Estimates and Determinants,Absolute Mobility Measures,,334.0,3.0,114.0
https://openalex.org/W1983053572,3,Jumping off of the Great Gatsby curve: how institutions facilitate entrepreneurship and intergenerational mobility,International Panel Data,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,,97.0,52.0,115.0
https://openalex.org/W2079089263,3,A re‐consideration of rates of ‘social mobility’ in Britain: or why research impact is not always a good thing,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,108.0,41.0,116.0
https://openalex.org/W1502476793,3,Intergenerational Mobility and Long-term Socio-economic Change in Pakistan,Others,Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Absolute Mobility Measures,316.0,4.0,117.0
https://openalex.org/W1523582143,3,Pursuing the American Dream: Economic Mobility Across Generations,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Absolute Mobility Measures,Transition Matrix / Probability Measures,64.0,88.0,118.0
https://openalex.org/W1978270348,3,Up and Down the Generational Income Ladder in Britain: Past Changes and Future Prospects,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,103.0,46.0,119.0
https://openalex.org/W2010545686,3,Intergenerational income mobility and public education spending: Evidence from China,Natural/Experimental Data,Empirical Estimates and Determinants,Regression‐based Measures,,227.0,11.0,120.0
https://openalex.org/W2030719283,3,Another problem in the estimation of intergenerational income mobility,No dataset,Measurement and Methodological Advances,Regression‐based Measures,,209.0,13.0,121.0
https://openalex.org/W2056823769,3,Transmission and inequality of wealth: An empirical study of wealth mobility from 1800 to 1938 in France,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,169.0,19.0,122.0
https://openalex.org/W2119455293,3,American Mobility and the Expansion of Public Education,Archival/Historical Data,Empirical Estimates and Determinants,Regression‐based Measures,,119.0,37.0,123.0
https://openalex.org/W2133321662,3,Less Equal and Less Mobile: Evidence of a Decline in Intergenerational Income Mobility in the United States,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Rank‐based Measures,302.0,5.0,124.0
https://openalex.org/W2151222191,3,Intergenerational Mobility and Inequality: The Latin American Case,No dataset,Empirical Estimates and Determinants,Regression‐based Measures,Transition Matrix / Probability Measures,31.0,181.0,125.0
https://openalex.org/W2159988399,3,Geographic Effects on Intergenerational <scp>I</scp>ncome Mobility,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Regression‐based Measures,72.0,72.0,126.0
https://openalex.org/W2182749524,3,Stability and persistence of intergenerational wealth formation: Evidence from Danish wealth records of three generations,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,Non‐parametric Approaches,129.0,31.0,127.0
https://openalex.org/W2237492881,3,Your American Dream is Not Mine! A New Approach to Estimating Intergenerational Mobility Elasticities,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Regression‐based Measures,,318.0,4.0,128.0
https://openalex.org/W2261420935,3,Interpreting Trends in Intergenerational Income Mobility,No dataset,Theoretical and Structural Models,Decomposition / Structural Approaches,,179.0,17.0,129.0
https://openalex.org/W2527995213,3,A land of the ‘fair go’? Intergenerational earnings elasticity in Australia,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Regression‐based Measures,,212.0,13.0,130.0
https://openalex.org/W2587329652,3,Family Background and Earnings Inequality among College Graduates,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,77.0,70.0,131.0
https://openalex.org/W2761614070,3,"Intergenerational Wealth Mobility in France, 19th and 20th Century",Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,247.0,9.0,132.0
https://openalex.org/W2804958844,3,The geography of family differences and intergenerational mobility,Administrative/Registry Data,Empirical Estimates and Determinants,Decomposition / Structural Approaches,Decomposition / Structural Approaches,181.0,17.0,133.0
https://openalex.org/W2806349642,3,Intergenerational Persistence in Income and Social Class: The Impact of Within-Group Inequality,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,182.0,17.0,134.0
