year,category_1,measure_clusters,measure_1
2023,Regression‐based Measures,6,Regression‐based Estimate
2018,Regression‐based Measures,2,Income Elasticity
2017,Decomposition / Structural Approaches,0,Structural Measure
2022,Regression‐based Measures,6,Regression‐based Measure
2024,Regression‐based Measures,1,Difference‐in‐Differences
2023,Regression‐based Measures,6,Regression Coefficient
2003,Regression‐based Measures,6,Regression‐based Measure
2014,Regression‐based Measures,1,Regression‐based Poverty Transmission Estimate
2024,Absolute Mobility Measures,4,Absolute Income Mobility
2018,Others,4,Human Development Index
2024,Others,4,Bourdieusian Analysis
2022,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,6,Regression‐based Fixed Effects
2024,Multigenerational Measures,3,Multigenerational Measure
2020,Others,4,Composite County‐Level Indicators
1982,Regression‐based Measures,6,Status Attainment Model
2017,Regression‐based Measures,6,Discrete Time Event History Model
2022,Regression‐based Measures,1,Regression‐based Estimate
2013,Regression‐based Measures,2,Intergenerational Elasticity
2019,Transition Matrix / Probability Measures,5,Transition Matrix
2016,Decomposition / Structural Approaches,2,Structural Decomposition
2022,Regression‐based Measures,2,Intergenerational Elasticity
2015,Decomposition / Structural Approaches,3,Structural Equation Modeling
2018,Absolute Mobility Measures,4,Educational Mobility
2021,Non‐parametric Approaches,6,Generalized Concentration Curve
2012,Regression‐based Measures,1,Intergenerational Elasticity
2021,Decomposition / Structural Approaches,0,Structural Model
2021,Decomposition / Structural Approaches,0,Structural Model
1968,Absolute Mobility Measures,4,Absolute Mobility Measure
2019,Others,0,Structural Model Parameter
2023,Regression‐based Measures,6,Regression‐based Estimate
2013,Regression‐based Measures,6,Regression Residuals
2022,Transition Matrix / Probability Measures,5,Transition Probability
2023,Others,4,Economic Connectedness and Credit Score
2016,Transition Matrix / Probability Measures,5,Transition Probability
2024,Regression‐based Measures,6,Regression‐based Measure
2018,Regression‐based Measures,6,Regression‐based Diminishing Education Effect
2019,Others,4,Descriptive Socioeconomic Comparison
1996,Transition Matrix / Probability Measures,5,Transition Matrix
2025,Decomposition / Structural Approaches,0,Decomposition
2022,Regression‐based Measures,6,Regression‐based Measure
2000,Regression‐based Measures,1,Regression‐based
2021,Multigenerational Measures,3,Multigenerational Measure
2023,Non‐parametric Approaches,6,Non‐parametric Regression
2022,Transition Matrix / Probability Measures,5,Transition Matrix
2020,Others,1,Quasi‐experimental Causal Estimate
2015,Regression‐based Measures,2,Intergenerational Elasticity
2003,Decomposition / Structural Approaches,0,Structural Equilibrium
2015,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2004,Regression‐based Measures,1,Intergenerational Elasticity
1991,Regression‐based Measures,1,Regression‐based
1986,Absolute Mobility Measures,4,Absolute Mobility Measure
2011,Decomposition / Structural Approaches,4,Structural Mobility Index
2003,Transition Matrix / Probability Measures,5,Transition Matrix
2007,Transition Matrix / Probability Measures,5,Transition Matrix
2012,Absolute Mobility Measures,4,Absolute Mobility Measure
2014,Regression‐based Measures,6,Regression‐based Measure
2007,Regression‐based Measures,2,Intergenerational Elasticity
2000,Decomposition / Structural Approaches,0,Structural Model – Steady State Effects
2009,Others,4,Parental Monetary Transfers
2005,Regression‐based Measures,2,Intergenerational Elasticity
2007,Others,3,Surname‐based Persistence
2012,Transition Matrix / Probability Measures,5,Transition Probability
2010,Others,4,Inherited Income Pattern
2015,Transition Matrix / Probability Measures,5,Transition Probability
2016,Regression‐based Measures,2,Intergenerational Elasticity
1998,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2003,Regression‐based Measures,2,Intergenerational Elasticity
2010,Regression‐based Measures,2,Intergenerational Income Elasticity
2006,Regression‐based Measures,2,Intergenerational Elasticity (with Quantile Regression)
2011,Regression‐based Measures,6,Intergenerational Association (Regression‐based)
1998,Transition Matrix / Probability Measures,5,Transition Probability
2011,Others,0,Model‐based Characterization
2014,Decomposition / Structural Approaches,0,Structural Model
2012,Regression‐based Measures,6,Regression‐based
2014,Regression‐based Measures,2,Intergenerational Elasticity
2012,Decomposition / Structural Approaches,0,Structural Model
2012,Regression‐based Measures,2,Intergenerational Income Elasticity
2013,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2012,Transition Matrix / Probability Measures,0,Transition Probability
2006,Regression‐based Measures,2,Intergenerational Elasticity
2013,Decomposition / Structural Approaches,0,Structural Decomposition
2009,Regression‐based Measures,1,Regression‐based Measure
2015,Regression‐based Measures,6,Period‐specific Regression Coefficient
2013,Regression‐based Measures,1,Intergenerational Elasticity
2015,Regression‐based Measures,6,Residual Regression Estimate
1986,Regression‐based Measures,0,Regression‐based Asset Persistence
2013,Regression‐based Measures,2,Intergenerational Income Elasticity
2015,Others,3,Novel Mobility Measure
2015,Regression‐based Measures,2,Intergenerational Income Elasticity
2010,Rank‐based Measures,5,Transition Probability
2015,Regression‐based Measures,6,Regression‐based Measure
2011,Regression‐based Measures,2,Intergenerational Elasticity
2014,Regression‐based Measures,2,Persistence Coefficients
2012,Regression‐based Measures,1,Regression‐based Measure
2016,Regression‐based Measures,6,Regression‐based Estimate
2012,Decomposition / Structural Approaches,0,Structural Model (Segmentation Analysis)
2015,Regression‐based Measures,2,Intergenerational Elasticity
1992,Regression‐based Measures,3,R² from Regression
2014,Regression‐based Measures,2,Intergenerational Elasticity
2012,Others,4,Qualitative
1982,Others,0,Theoretical Measure
2015,Decomposition / Structural Approaches,0,Structural Model
2010,Regression‐based Measures,6,Regression Coefficient (Parental Wealth Effect)
2006,Regression‐based Measures,6,Regression‐based IGE
1979,Regression‐based Measures,6,Intergenerational Elasticity (Regression)
1974,Decomposition / Structural Approaches,0,Path Models
2008,Regression‐based Measures,3,Intergenerational Earnings Correlation
1984,Decomposition / Structural Approaches,0,Log‐linear Model Decomposition
2013,Transition Matrix / Probability Measures,5,Transition Matrix
2013,Transition Matrix / Probability Measures,5,Transition Probabilities
2013,Absolute Mobility Measures,4,Absolute Mobility Measure
2002,Others,0,Model‐based Transition
1990,Regression‐based Measures,2,Intergenerational Elasticity
2007,Regression‐based Measures,2,Intergenerational Income Elasticity
1982,Others,4,Family Transfer
2010,Absolute Mobility Measures,4,Net Economic Mobility
2013,Decomposition / Structural Approaches,0,Channel Decomposition
2010,Non‐parametric Approaches,6,Opportunity Inequality (Conditional Income Distribution)
1979,Decomposition / Structural Approaches,0,Structural Model
2014,Regression‐based Measures,2,Intergenerational Income Elasticity
2014,Absolute Mobility Measures,4,Absolute Mobility Measure
2014,Regression‐based Measures,2,Intergenerational Elasticity
1990,Regression‐based Measures,2,Intergenerational Elasticity
1995,Transition Matrix / Probability Measures,5,Transition Matrix
2014,Regression‐based Measures,3,Intergenerational Elasticity
2012,Regression‐based Measures,2,Intergenerational Elasticity
2008,Regression‐based Measures,2,Intergenerational Elasticity
2002,Non‐parametric Approaches,2,Non‐parametric Bounds
2009,Regression‐based Measures,2,Intergenerational Elasticity (Regression‐based)
2014,Regression‐based Measures,2,Intergenerational Elasticity (IV
2014,Regression‐based Measures,2,Intergenerational Elasticity
2013,Transition Matrix / Probability Measures,5,Transition Matrix
2001,Transition Matrix / Probability Measures,0,Simulated Transition Probability
2008,Regression‐based Measures,2,Intergenerational Elasticity
2006,Others,1,Poverty‐risk Measure
2013,Regression‐based Measures,2,Intergenerational Elasticity
1979,Decomposition / Structural Approaches,0,Structural Parameters (Inheritance
1997,Transition Matrix / Probability Measures,5,Transition Matrix
2015,Regression‐based Measures,2,Intergenerational Elasticity
1973,Decomposition / Structural Approaches,0,Path Analysis
2014,Regression‐based Measures,6,Quantile Regression (Earnings Effect)
2007,Regression‐based Measures,2,Intergenerational Elasticity (with Decomposition)
2010,Regression‐based Measures,2,Intergenerational Elasticity for Income
2010,Regression‐based Measures,3,Intergenerational Elasticity
1969,Transition Matrix / Probability Measures,5,Occupational Transition Matrix
2009,Regression‐based Measures,2,Intergenerational Elasticity (via Regression)
1996,Others,0,General Equilibrium Model
2011,Regression‐based Measures,3,R
2000,Regression‐based Measures,5,Intergenerational Elasticity
2010,Regression‐based Measures,2,Intergenerational Income Elasticity
2008,Multigenerational Measures,3,Multigenerational Wealth Accumulation
1991,Decomposition / Structural Approaches,0,Structural Measure
2005,Transition Matrix / Probability Measures,1,Transition Matrix
2011,Rank‐based Measures,5,Rank‐based Measure
2003,Regression‐based Measures,2,Intergenerational Income Elasticity
1996,Decomposition / Structural Approaches,0,Structural Decomposition
2007,Regression‐based Measures,2,Earnings Elasticity (IGE)
2012,Regression‐based Measures,2,Intergenerational Elasticity
2006,Regression‐based Measures,2,Log‐linear IGE
2011,Others,0,Dynamic Model Parameter
2014,Others,4,Structural Income Mobility Parameter
2003,Regression‐based Measures,2,Regression Coefficient (IGE)
2011,Regression‐based Measures,6,Regression‐based Estimate
2013,Regression‐based Measures,1,Pooled Logit Regression (Occupational Mobility)
2010,Regression‐based Measures,3,Intergenerational Elasticity
2014,Regression‐based Measures,2,Intergenerational Elasticity
2012,Decomposition / Structural Approaches,0,Dynamic Structural Model
1997,Others,0,Structural Model
2009,Others,7,Share of Women Among Wealthy (Proxy for Dynastic Wealth)
2004,Regression‐based Measures,2,Regression‐based IGE (Income/Social Class)
2002,Regression‐based Measures,2,Intergenerational Elasticity
1978,Others,7,Net Wealth Flow
2012,Regression‐based Measures,6,Causal Effect Estimate (Regression)
2005,Regression‐based Measures,2,Intergenerational Elasticity
2014,Others,4,Bias‐corrected Retrospective Mobility
2014,Regression‐based Measures,6,Regression Coefficient
2011,Regression‐based Measures,2,Intergenerational Income Elasticity
2008,Absolute Mobility Measures,6,Social Gains/Losses from Work‐life Earnings
2009,Regression‐based Measures,1,Regression‐based IGE
2016,Decomposition / Structural Approaches,0,Structural Decomposition
2006,Transition Matrix / Probability Measures,5,Transition Matrix (Mobility Index)
2014,Rank‐based Measures,7,Rank‐rank Gradient
2014,Regression‐based Measures,2,Intergenerational Elasticity
2006,Transition Matrix / Probability Measures,5,Transition Matrix (Quartile-based)
2016,Regression‐based Measures,2,Intergenerational Elasticity
2014,Regression‐based Measures,2,Two-sample 2SLS IGE
2014,Regression‐based Measures,6,Regression‐based Human Capital Coefficient
2006,Regression‐based Measures,6,Regression Coefficient
2007,Regression‐based Measures,6,Regression‐based Educational Impact
2005,Regression‐based Measures,2,Intergenerational Elasticity
1998,Others,3,Occupational Level Proxy
2007,Regression‐based Measures,2,Intergenerational Elasticity
2011,Regression‐based Measures,2,Intergenerational Elasticity (via School Quality)
2002,Regression‐based Measures,2,Intergenerational Elasticity
2014,Regression‐based Measures,1,Spatial Regression-based Mobility
2013,Regression‐based Measures,2,Intergenerational Elasticity
2014,Multigenerational Measures,3,Multigenerational Wealth Outcome Measure
2013,Regression‐based Measures,6,Regression‐based Parental Effect
2010,Regression‐based Measures,6,Regression‐based Educational Mobility
2002,Regression‐based Measures,2,Intergenerational Elasticity
2009,Regression‐based Measures,2,Intergenerational Elasticity
2000,Others,7,Net Worth
2008,Regression‐based Measures,2,Intergenerational Elasticity
2006,Decomposition / Structural Approaches,0,Structural Model
2008,Regression‐based Measures,2,Intergenerational Elasticity
2008,Regression‐based Measures,5,Intergenerational Elasticity (Mean & Quantile)
2012,Regression‐based Measures,5,Father‐son Correlation
2013,Regression‐based Measures,2,Intergenerational Elasticity
2006,Regression‐based Measures,3,Intergenerational Income Correlation
2015,Decomposition / Structural Approaches,0,Structural Recursive Probit
2013,Others,0,Asset Transfer Analysis
2009,Regression‐based Measures,6,Ordered Logit Analysis
2013,Regression‐based Measures,6,Regression‐based Skill Premium Analysis
2000,Decomposition / Structural Approaches,0,Structural Simulation (Overlapping Generations)
2014,Regression‐based Measures,1,Intergenerational Elasticity
2014,Decomposition / Structural Approaches,0,Dynamic General Equilibrium Mobility Model
2014,Rank‐based Measures,7,Percentile Rank‐based Measure
2006,Regression‐based Measures,6,Regression Coefficient
2012,Regression‐based Measures,2,Intergenerational Elasticity
2006,Decomposition / Structural Approaches,0,Decomposition (Assortative Mating Contribution)
2013,Regression‐based Measures,4,Absolute Mobility Rate (Transition Table)
2015,Decomposition / Structural Approaches,0,Structural Model
2013,Transition Matrix / Probability Measures,5,Transition/Probability Measure
2014,Regression‐based Measures,2,Regression‐based IGE
2007,Regression‐based Measures,6,OLS Regression (Father’s SES Effect)
2010,Decomposition / Structural Approaches,2,Structural Determinants (IGE of Income)
2012,Regression‐based Measures,2,Regression‐based IGE
1994,Others,0,Model‐based Transitional Measure
2012,Absolute Mobility Measures,4,Absolute Wealth Mobility
2016,Regression‐based Measures,1,Regression-based IGE
2014,Non‐parametric Approaches,7,Non‐parametric Rank–rank Slope
2014,Regression‐based Measures,2,Intergenerational Elasticity (with Second‐order AR)
2013,Regression‐based Measures,2,Income Correlation (IGE)
2011,Regression‐based Measures,2,Intergenerational Income Elasticity
2009,Others,4,Network Equilibrium
2011,Multigenerational Measures,3,Multigenerational Wealth Mobility (Death-based)
2011,Regression‐based Measures,2,Intergenerational Income Elasticity
2007,Others,0,Pareto Distribution
2015,Regression‐based Measures,3,Regression‐based Income Mobility (IGE)
2013,Decomposition / Structural Approaches,0,Structural Approach
1977,Rank‐based Measures,7,Rank Correlation
2013,Regression‐based Measures,2,Intergenerational Elasticity
2015,Regression‐based Measures,2,Intergenerational Elasticity (2SLS)
2012,Others,1,Probit
2017,Regression‐based Measures,2,Intergenerational Income Elasticity
2011,Regression‐based Measures,6,Probit Marginal Effects
2015,Decomposition / Structural Approaches,0,Structural Overlapping‐generation Model
2015,Absolute Mobility Measures,4,Absolute Mobility
2015,Regression‐based Measures,2,Intergenerational Elasticity
2012,Regression‐based Measures,2,2SLS-based Intergenerational Elasticity
2005,Decomposition / Structural Approaches,0,Structural Mobility
2011,Decomposition / Structural Approaches,0,Structural Parameter
2013,Decomposition / Structural Approaches,0,Structural Model
2012,Regression‐based Measures,2,Regression-based Income Elasticity
2011,Regression‐based Measures,1,Regression-based Health Investment Returns
2011,Rank‐based Measures,5,Directional Rank Mobility
2009,Non‐parametric Approaches,6,U‐statistic
2015,Regression‐based Measures,3,Intergenerational Correlation (IGE)
2011,Regression‐based Measures,2,Intergenerational Elasticity (Persistence)
2016,Regression‐based Measures,2,Intergenerational Elasticity (Regression-based)
2014,Others,5,Rank-based Mobility
2016,Decomposition / Structural Approaches,0,Structural Parameter
2016,Regression‐based Measures,2,Intergenerational Elasticity
2015,Others,4,Subjective Modernity Measure
2015,Regression‐based Measures,2,Intergenerational Elasticity
2011,Regression‐based Measures,6,Regression‐style Income Correlation
1973,Decomposition / Structural Approaches,0,Path Models (Decompositional)
1971,Transition Matrix / Probability Measures,5,Occupational Transition Probability
2011,Transition Matrix / Probability Measures,5,Transition Probability
2014,Transition Matrix / Probability Measures,5,Upward
1978,Regression‐based Measures,1,Lagged Regression Effects
1969,Transition Matrix / Probability Measures,5,Markov Two‐stage Transition Matrix
2024,Transition Matrix / Probability Measures,0,Transition Probabilities
2015,Regression‐based Measures,6,Two‐factor Regression (Class Reproduction)
2014,Regression‐based Measures,6,Panel Model Coefficient
2012,Regression‐based Measures,6,"Regression Coefficient (Human, Social, Asset Capital)"
2015,Regression‐based Measures,2,Quantile Regression (Earnings Correlation)
2010,Transition Matrix / Probability Measures,5,Transition Matrix (with Derived IGE)
2007,Regression‐based Measures,2,Intergenerational Elasticity
2014,Regression‐based Measures,1,Regression‐based Wage Determination
2014,Regression‐based Measures,2,Intergenerational Elasticity
2014,Regression‐based Measures,2,Intergenerational Elasticity
2013,Regression‐based Measures,2,Intergenerational Elasticity
2009,Regression‐based Measures,1,Regression‐based IGE Estimate
2010,Regression‐based Measures,6,Unconditional Quantile Regression
2010,Regression‐based Measures,2,Two-level Regression (IGE)
2013,Regression‐based Measures,2,Intergenerational Income Elasticity
2011,Others,0,Axiomatic
2015,Decomposition / Structural Approaches,0,Structural Decomposition (Oaxaca-Blinder-like)
2015,Regression‐based Measures,6,Regression‐based IGE
2014,Regression‐based Measures,2,Intergenerational Income Elasticity
2004,Non‐parametric Approaches,6,Non‐parametric Kernel Density
2015,Regression‐based Measures,2,Intergenerational Elasticity
2011,Regression‐based Measures,5,Atkinson Regression Model
2016,Transition Matrix / Probability Measures,5,Intergenerational Transition Probability
2009,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2013,Decomposition / Structural Approaches,0,"Channel Decomposition (Education, Health, Occupation)"
2016,Others,4,Study Grant Impact (Exogenous Variation)
2007,Regression‐based Measures,2,Intergenerational Elasticity
2005,Others,6,Descriptive Expenditure/Wealth Patterns
2016,Others,3,Subjective
2014,Regression‐based Measures,2,Intergenerational Elasticity
2016,Regression‐based Measures,2,Intergenerational Elasticity
2016,Regression‐based Measures,2,Intergenerational Elasticity
2016,Others,2,IGM Indices (Multiple Approaches)
2016,Regression‐based Measures,2,OLS
2015,Non‐parametric Approaches,3,New Non‐parametric IGM Estimator
2016,Regression‐based Measures,2,Intergenerational Elasticity
2016,Regression‐based Measures,3,Surname‐based Persistence (Regression)
2018,Rank‐based Measures,7,Rank Correlation (Parent–child/gr
2016,Regression‐based Measures,6,Odds Ratios
2016,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2018,Regression‐based Measures,6,County Fixed Effects (Regression)
2016,Others,0,Propensity to Consume
2005,Regression‐based Measures,1,Regression‐based IGE (Net Income)
2016,Absolute Mobility Measures,4,Absolute Mobility Measure (Middle‐class Achievement)
2016,Multigenerational Measures,3,Multigenerational Wealth Mobility (Surname Persistence)
2017,Regression‐based Measures,2,Between‐groups Regression Coefficient (IGE-like)
2017,Regression‐based Measures,6,Regression‐based Income Difference
2013,Decomposition / Structural Approaches,0,Structural Reading
2017,Regression‐based Measures,3,Regression‐based Effect of Financial Transfers
2016,Regression‐based Measures,2,Intergenerational Persistence (IGE Regression)
2016,Transition Matrix / Probability Measures,5,Markov Transition Matrix
2017,Regression‐based Measures,1,Intergenerational Elasticity
2017,Non‐parametric Approaches,3,Non‐parametric Approach (Upward/Downward Mobility)
2016,Regression‐based Measures,3,Regression-based IGE
2016,Regression‐based Measures,3,Growth Curve Model (Income Trajectories)
2016,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2017,Regression‐based Measures,6,Regression Coefficients (IGE analogue)
2016,Regression‐based Measures,1,Regression Coefficient (Homeownership Impact)
2013,Regression‐based Measures,2,Intergenerational Elasticity
2013,Transition Matrix / Probability Measures,5,Transition Matrix
2017,Multigenerational Measures,3,Multigenerational Mobility (3-generation)
2015,Regression‐based Measures,2,Intergenerational Elasticity
2017,Absolute Mobility Measures,4,Intergenerational Elasticity (Relative Mobility)
2017,Decomposition / Structural Approaches,0,Decomposition (Pure vs. Mediated Inheritance)
1981,Decomposition / Structural Approaches,0,Simulation‐based Structural Approach
2017,Regression‐based Measures,2,Intergenerational Income Elasticity
2017,Multigenerational Measures,7,Rich‐list Analysis
2013,Regression‐based Measures,2,Intergenerational Income Elasticity
2016,Decomposition / Structural Approaches,7,Sibling Correlations
2017,Absolute Mobility Measures,4,County‐level Upward Mobility (Chetty-Hendren)
2018,Regression‐based Measures,2,Intergenerational Income Elasticity
1983,Absolute Mobility Measures,1,Absolute Poverty Duration
2017,Regression‐based Measures,2,Intergenerational Wealth IGE
2017,Regression‐based Measures,2,Intergenerational Elasticity
2017,Regression‐based Measures,2,Intergenerational Elasticity
2017,Regression‐based Measures,6,"Regression Coefficients (Birthweight, Height, School Performance)"
2015,Others,6,Relative Concern Parameters
2016,Regression‐based Measures,2,Intergenerational Elasticity
2017,Regression‐based Measures,3,Regression Coefficient (Wealth Mobility Effect)
2017,Regression‐based Measures,2,Intergenerational Elasticity
2020,Non‐parametric Approaches,6,Counterfactual Distributional Measures (Quantile Regression)
2017,Multigenerational Measures,3,Multigenerational Measure
2019,Decomposition / Structural Approaches,0,Structural Model
2018,Regression‐based Measures,6,Regression-based Mobility (Health Outcomes IGE analogue)
2018,Regression‐based Measures,2,Least Squares IGE Estimate
2018,Regression‐based Measures,6,Regression Fit Statistics (R² for Cumulative Earnings)
2018,Regression‐based Measures,2,Regression‐based IGE
2018,Regression‐based Measures,3,IV-based IGE
2018,Decomposition / Structural Approaches,0,Structural Model
2018,Regression‐based Measures,6,Regression Coefficients (Occupation
2018,Decomposition / Structural Approaches,0,Simulated Measure
2018,Decomposition / Structural Approaches,0,Decomposition via Structural Simulation
2018,Transition Matrix / Probability Measures,5,Parent–child Transition Probabilities
2018,Regression‐based Measures,6,Regression Coefficient (Test Scores IGE analogue)
2011,Regression‐based Measures,2,Intergenerational Elasticity
2018,Regression‐based Measures,2,"Intergenerational Elasticity (Earnings, Education, Occupation)"
2018,Regression‐based Measures,6,IV Regression-based IGE
2018,Decomposition / Structural Approaches,0,Structural Model
2018,Regression‐based Measures,6,Regression-based Social Background Effects
2018,Regression‐based Measures,6,Multilevel Regression (Neighborhood Median Income Effects)
2019,Regression‐based Measures,2,Intergenerational Income Elasticity
2018,Others,3,Subjective Intergenerational Mobility
2018,Regression‐based Measures,2,Intergenerational Regression Coefficient (IGE)
2017,Regression‐based Measures,3,Intergenerational Income Mobility Elasticity
2011,Regression‐based Measures,2,Intergenerational Elasticity
2018,Regression‐based Measures,1,Regression-based IGE
2018,Regression‐based Measures,2,Intergenerational Elasticity
2018,Transition Matrix / Probability Measures,5,New Mobility Table (Scaled Quintiles)
2020,Regression‐based Measures,2,Intergenerational Income Elasticity
2018,Transition Matrix / Probability Measures,1,Non‐linear Transition Matrix
2018,Regression‐based Measures,6,Unconditional Quantile Regression Coefficients
2018,Multigenerational Measures,3,Multigenerational Measure
2018,Regression‐based Measures,2,Intergenerational Elasticity
2018,Regression‐based Measures,2,Intergenerational Income Elasticity
2020,Regression‐based Measures,2,Intergenerational Elasticity
2016,Regression‐based Measures,6,OLS Estimation
2020,Others,0,Simulation Outcomes
2015,Decomposition / Structural Approaches,1,Fixed‐effects Decomposition
2018,Decomposition / Structural Approaches,0,Dynastic Model Counterfactual Decomposition
2019,Others,5,Logistic Regression (Causal Effect)
2019,Regression‐based Measures,1,Regression Coefficients (Self‐reported Mobility)
2019,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,3,Regression‐based IGE Estimate
2020,Decomposition / Structural Approaches,0,New Decomposition Approach (Educational Mobility Focus)
2019,Regression‐based Measures,2,Intergenerational Income Elasticity
2019,Regression‐based Measures,1,Regression‐based IGE
2018,Absolute Mobility Measures,4,Absolute Income Mobility
2019,Regression‐based Measures,2,Intergenerational Income Elasticity
2019,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,6,Regression‐based IGE
2016,Regression‐based Measures,2,Intergenerational Elasticity
2019,Transition Matrix / Probability Measures,5,Transition Matrix (Wealth Flows)
2019,Regression‐based Measures,3,Regression‐based Income Mobility
2019,Regression‐based Measures,3,IV-based Causal Effect Estimate (Upward Mobility)
2019,Regression‐based Measures,5,Regression Model
2019,Decomposition / Structural Approaches,3,Life Cycle Dynastic Model
