year,category_1,count
2012,Transition Matrix / Probability Measures,2
2012,Regression‐based Measures,19
2011,Rank‐based Measures,3
2011,Regression‐based Measures,20
2011,Multigenerational Measures,1
2011,Transition Matrix / Probability Measures,3
2011,Others,6
2011,Decomposition / Structural Approaches,2
2010,Absolute Mobility Measures,1
2010,Non‐parametric Approaches,1
2010,Others,3
2010,Decomposition / Structural Approaches,3
2010,Regression‐based Measures,12
2010,Transition Matrix / Probability Measures,1
2010,Rank‐based Measures,1
2009,Non‐parametric Approaches,1
2009,Transition Matrix / Probability Measures,2
2009,Decomposition / Structural Approaches,1
2009,Others,3
2009,Regression‐based Measures,11
2008,Rank‐based Measures,1
2008,Others,1
2008,Multigenerational Measures,1
2008,Absolute Mobility Measures,1
2008,Regression‐based Measures,9
2008,Transition Matrix / Probability Measures,1
2007,Others,2
2007,Regression‐based Measures,11
2007,Transition Matrix / Probability Measures,1
2007,Decomposition / Structural Approaches,1
2006,Transition Matrix / Probability Measures,3
2006,Others,2
2006,Decomposition / Structural Approaches,2
2006,Regression‐based Measures,12
2005,Others,2
2005,Regression‐based Measures,5
2005,Transition Matrix / Probability Measures,2
2005,Decomposition / Structural Approaches,1
2004,Others,1
2004,Non‐parametric Approaches,1
2004,Absolute Mobility Measures,1
2004,Regression‐based Measures,2
2003,Decomposition / Structural Approaches,2
2003,Regression‐based Measures,4
2003,Transition Matrix / Probability Measures,1
2002,Regression‐based Measures,4
2002,Others,3
2002,Absolute Mobility Measures,1
2002,Non‐parametric Approaches,1
2001,Decomposition / Structural Approaches,1
2001,Transition Matrix / Probability Measures,1
2001,Multigenerational Measures,1
2000,Others,1
2000,Regression‐based Measures,2
2000,Decomposition / Structural Approaches,2
2000,Transition Matrix / Probability Measures,2
1999,Regression‐based Measures,1
1999,Decomposition / Structural Approaches,1
1998,Others,1
1998,Regression‐based Measures,3
1998,Transition Matrix / Probability Measures,1
1997,Transition Matrix / Probability Measures,1
1997,Others,1
1996,Others,1
1996,Decomposition / Structural Approaches,1
1996,Transition Matrix / Probability Measures,1
1995,Decomposition / Structural Approaches,2
1995,Transition Matrix / Probability Measures,1
1995,Others,1
1994,Others,1
1992,Regression‐based Measures,1
1992,Others,1
1991,Decomposition / Structural Approaches,1
1991,Regression‐based Measures,1
1990,Regression‐based Measures,2
1989,Regression‐based Measures,1
1986,Regression‐based Measures,1
1986,Absolute Mobility Measures,1
1984,Absolute Mobility Measures,1
1984,Decomposition / Structural Approaches,1
1983,Absolute Mobility Measures,1
1982,Others,2
1982,Regression‐based Measures,1
1981,Decomposition / Structural Approaches,1
1980,Regression‐based Measures,1
1979,Regression‐based Measures,1
1979,Decomposition / Structural Approaches,2
1979,Absolute Mobility Measures,1
1978,Others,1
1978,Regression‐based Measures,1
1977,Decomposition / Structural Approaches,1
1977,Rank‐based Measures,1
1976,Absolute Mobility Measures,1
1974,Decomposition / Structural Approaches,1
1973,Decomposition / Structural Approaches,2
1971,Transition Matrix / Probability Measures,1
1969,Transition Matrix / Probability Measures,2
1968,Absolute Mobility Measures,1
